"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"TXRandy14","128891177274584_709807912516238","Congressman Randy Weber","2017-01-01","2017-01-01 03:51:37","May your New Year’s Eve ring with laughter and cheer! Marking the start of a blessed New Year! #TX14 #NYE","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/709807912516238/?type=3",NA,18,8,0,0,0,0,0,0
"TXRandy14","128891177274584_710708789092817","Congressman Randy Weber","2017-01-02","2017-01-02 19:06:52","Poll: What would you like Congress to focus on in 2017?","status",NA,NA,26,215,6,0,0,0,0,1
"TXRandy14","128891177274584_711357159027980","Congressman Randy Weber","2017-01-03","2017-01-03 23:05:14","Looking forward to starting 2017 off right by putting America first! #TX14","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/711357159027980/?type=3",NA,124,31,4,5,3,0,2,1
"TXRandy14","128891177274584_711935522303477","Congressman Randy Weber","2017-01-04","2017-01-04 23:09:12","Looking over my notes before my interview with @kfdm_kbtv. #TX14","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/711935522303477/?type=3",NA,19,29,2,0,0,0,0,3
"TXRandy14","128891177274584_711966195633743","Congressman Randy Weber","2017-01-05","2017-01-05 00:18:35","My interview with KFDM News.","link","http://kfdm.com/news/connect-to-congress/house-republicans-reluctant-to-join-trumps-defense-of-russia","kfdm.com",9,17,2,0,2,0,1,4
"TXRandy14","128891177274584_712774862219543","Congressman Randy Weber","2017-01-06","2017-01-06 14:32:37","H.Res 11 passed in a bipartisan fashion with a vote of 342 to 80.","link","http://weber.house.gov/media-center/press-releases/weber-votes-to-support-israel","eber.house.gov",42,18,4,3,0,0,0,4
"TXRandy14","128891177274584_712780128885683","Congressman Randy Weber","2017-01-06","2017-01-06 17:30:00",NA,"link","http://time.com/4624001/energy-independent-crude-oil/","time.com",32,51,4,2,0,0,0,5
"TXRandy14","128891177274584_713512982145731","Congressman Randy Weber","2017-01-08","2017-01-08 01:01:00",NA,"video","https://www.facebook.com/12NewsNow/videos/10154031703941604/",NA,35,31,0,1,0,0,0,6
"TXRandy14","128891177274584_715558371941192","Congressman Randy Weber","2017-01-11","2017-01-11 18:31:25",NA,"link","https://science.house.gov/news/press-releases/committee-introduces-bipartisan-nuclear-rd-bill-0","science.house.gov",7,194,2,0,0,0,0,9
"TXRandy14","128891177274584_718189411678088","Congressman Randy Weber","2017-01-16","2017-01-16 00:42:51",NA,"link","https://www.govtrack.us/congress/bills/115/s97","govtrack.us",3,2,0,0,0,1,0,0
"TXRandy14","128891177274584_718509288312767","Congressman Randy Weber","2017-01-16","2017-01-16 16:16:54","Men like Dr. Martin Luther King Jr. are pillars in the community and giants in American history. Today, as we celebrate the legacy left by Dr. Martin Luther King Jr., I hope we find time to remember his fight for justice.","status",NA,NA,31,17,0,0,1,0,0,0
"TXRandy14","128891177274584_724888394341523","Congressman Randy Weber","2017-01-27","2017-01-27 18:30:27","No matter if I am in Texas or DC, know that I will always fight for the rights of our most vulnerable, our Nation’s unborn. Children bring an indescribable joy to the world and are our Nation’s future.#WhyWeMarch","status",NA,NA,94,34,3,14,0,0,0,4
"TXRandy14","128891177274584_724979447665751","Congressman Randy Weber","2017-01-27","2017-01-27 22:15:00","72 years ago, allied forces liberated Auschwitz-Birkenau. This is one of those moments in history that the world will not soon forget, nor will we soon forget the circumstances surrounding it. The atrocities committed during the Holocaust are unfathomable. #HolocaustRemembranceDay  http://thehill.com/blogs/congress-blog/judicial/316424-a-time-to-remember-a-time-to-act","link","http://thehill.com/blogs/congress-blog/judicial/316424-a-time-to-remember-a-time-to-act","thehill.com",18,9,3,0,0,0,5,1
"TXRandy14","128891177274584_725592480937781","Congressman Randy Weber","2017-01-29","2017-01-29 02:48:04","#OTD 31 years ago, the Challenger space shuttle fell apart shortly after liftoff. We will never forget them. GOD bless those seven astronauts and their families.","status",NA,NA,20,1,1,0,0,0,6,0
"TXRandy14","128891177274584_727146964115666","Congressman Randy Weber","2017-01-31","2017-01-31 23:37:46","Governor Abbott delivered his State of the State address this afternoon. In case you missed it, click here to read his remarks. http://bit.ly/2kRTHxh","link","http://bit.ly/2kRTHxh","bit.ly",9,7,1,2,0,0,0,2
"TXRandy14","128891177274584_727457510751278","Congressman Randy Weber","2017-02-01","2017-02-01 14:34:55","#OTD 14 years ago, the Columbia space shuttle fell apart while crossing over Texas. My thoughts and prayers are with the families of the fallen astronauts. We can all remember where we were that day. May we continue to honor those seven men and women.","status",NA,NA,14,1,0,0,0,0,12,0
"TXRandy14","128891177274584_727559010741128","Congressman Randy Weber","2017-02-01","2017-02-01 18:10:17","Gaveled in and ready to go. #firsthearing #Building21","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/727559010741128/?type=3",NA,23,2,0,0,0,1,0,0
"TXRandy14","128891177274584_727648427398853","Congressman Randy Weber","2017-02-01","2017-02-01 21:28:27","The legacy left behind by Justice Antonin Scalia is rooted in a deep respect and understanding of the United States’ most important legal document – the Constitution. I applaud President Trump’s thoughtful and measured nomination. Judge Gorsuch has an impeccable legal mind with an unmatched pedigree. I am confident he will faithfully follow the Constitution, and protect the pillars of our democracy for decades to come.","status",NA,NA,36,9,1,2,1,0,0,1
"TXRandy14","128891177274584_728209174009445","Congressman Randy Weber","2017-02-06","2017-02-06 14:10:02","Last fall, a 5th grader asked me which President I admired most. Without hesitating, I said “Ronald Reagan.” The legacy that Mr. Reagan left is one for the ages. A Ronald Reagan bust proudly sits in the right hand corner of my office. It always reminds me that, ""Without God, there is no virtue because there's no prompting of the conscience. And without God, democracy will not and cannot long endure. If we ever forget that we're one nation under God, then we will be a nation gone under."" - Ronald Reagan","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/728209174009445/?type=3",NA,26,6,4,3,0,0,0,0
"TXRandy14","128891177274584_728623147301381","Congressman Randy Weber","2017-02-03","2017-02-03 15:29:19","Today is National Wear Red Day. We must work together to combat Cardiovascular disease. Read more here: http://bit.ly/2kshVSb","video","https://www.facebook.com/TXRandy14/videos/728623147301381/",NA,5,1,1,0,0,0,0,0
"TXRandy14","128891177274584_728678190629210","Congressman Randy Weber","2017-02-03","2017-02-03 19:04:01","Today, the House rolled up its sleeves and rolled back costly regulations aimed at our energy producers! It is time to unleash our energy resources and create much needed job opportunities!","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/728678190629210/?type=3",NA,11,10,4,2,0,0,0,5
"TXRandy14","128891177274584_729903110506718","Congressman Randy Weber","2017-02-06","2017-02-06 00:19:35","Who’s ready for some football? Did you know that Texas 14 will be well represented during the Super Bowl? Per tradition, Port Arthur has a long and storied history in the big game, starting with Kansas City Chief Aaron Brown in Super Bowl I and sending more players than any school district in the nation.  It’s an honor to have Port Arthur Lincoln High School’s Jonathan Babineaux of the Atlanta Falcons and Port Arthur Memorial High School’s Elandon Roberts of the New England Patriots playing during the big dance.","video","https://www.facebook.com/TXRandy14/videos/729903110506718/",NA,19,8,9,1,0,0,0,0
"TXRandy14","128891177274584_730933623737000","Congressman Randy Weber","2017-02-07","2017-02-07 22:14:09","Deeply saddened by this news. Last night, a helicopter crashed in the waters of West Bay of Galveston. Details are still being reported. http://bit.ly/2kQ3Lu5","link","http://bit.ly/2kQ3Lu5","bit.ly",8,0,1,1,0,0,13,1
"TXRandy14","128891177274584_731280790368950","Congressman Randy Weber","2017-02-08","2017-02-08 16:05:38","This morning, my staff alerted me that Galveston’s Guy Taylor passed away. His service to the Marines paired with his dedication and support of our nation’s veterans will truly be missed. http://bit.ly/2kHtnHm","link","http://bit.ly/2kHtnHm","bit.ly",81,7,54,15,0,1,84,0
"TXRandy14","128891177274584_731861836977512","Congressman Randy Weber","2017-02-09","2017-02-09 18:53:03","Our district was devastated by Hurricane Ike, and our low to moderate income families felt the brunt of the destruction. However, Texas City community members are rolling up their sleeves and getting our community back on track. Check out this video for more information about Texas City’s public-private partnership to revitalize our coastal communities affected by Hurricane Ike. http://bit.ly/2k8tJom","video","http://bit.ly/2k8tJom",NA,4,5,2,0,0,0,0,0
"TXRandy14","128891177274584_734237990073230","Congressman Randy Weber","2017-02-13","2017-02-13 23:01:58","It is #BlackHistoryMonth. Please join me and my staff as we celebrate the rich history of Texas 14 this month and every month.","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/734237990073230/?type=3",NA,4,4,0,0,0,0,0,0
"TXRandy14","128891177274584_734599230037106","Congressman Randy Weber","2017-02-15","2017-02-15 14:00:07","Marathon sure knows how to pick 'em. Thank you for awarding Blocker Middle School $270,000 for their STEM program. Read more about this award here: http://bit.ly/2lHmHIs","link","http://bit.ly/2lHmHIs","bit.ly",19,3,3,0,0,0,0,0
"TXRandy14","128891177274584_734603466703349","Congressman Randy Weber","2017-02-14","2017-02-14 15:14:50","Happy Valentine's Day to my bride of 40 years, Brenda Gail!","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/734603466703349/?type=3",NA,47,1,0,6,0,0,0,0
"TXRandy14","128891177274584_734604006703295","Congressman Randy Weber","2017-02-15","2017-02-15 17:27:01","Happy Birthday, Susan B. Anthony #19thAmendment","photo","https://www.facebook.com/TXRandy14/photos/a.129036670593368.28766.128891177274584/734604006703295/?type=3",NA,12,7,3,2,0,0,0,0
