"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"TomColeOK04","146497782066300_1144708175578584","Congressman Tom Cole","2017-01-01","2017-01-01 14:00:01","As we begin a new year, I look forward to a new era in leadership. Wishing you a Happy New Year and many blessings in 2017!","photo","https://www.facebook.com/TomColeOK04/photos/a.159614374087974.32803.146497782066300/1144708175578584/?type=3",NA,36,5,3,0,0,0,0,0
"TomColeOK04","146497782066300_1152611224788279","Congressman Tom Cole","2017-01-03","2017-01-03 21:00:54","Today, the 115th Congress convenes and the real work begins. I’m honored to serve as the Representative for the Fourth District of Oklahoma for another term, and I look forward to a productive year in the U.S. House of Representatives.","link","https://cole.house.gov/media-center/weekly-columns/new-year-new-promises","cole.house.gov",61,37,3,1,0,0,0,3
"TomColeOK04","146497782066300_1154120977970637","Congressman Tom Cole","2017-01-05","2017-01-05 21:58:24","Took a few moments to admire the new renovations in the U.S. Capitol. Renovations began in 2014 and just finished a few months ago. 2017 will be an exciting year to visit Washington, D.C. For more information on visiting the Capitol and my D.C. office, please visit: https://cole.house.gov/services/tours-and-tickets","photo","https://www.facebook.com/TomColeOK04/photos/a.159614374087974.32803.146497782066300/1154120977970637/?type=3",NA,45,13,4,0,0,0,0,0
"TomColeOK04","146497782066300_1157828644266537","Congressman Tom Cole","2017-01-10","2017-01-10 20:59:13","Thank you Secretary Sally Jewell for stopping by my office today. I am grateful for your leadership and your generous support for Native Americans and the state of Oklahoma during your tenure as Secretary of the Interior. Many thanks and my best wishes!","photo","https://www.facebook.com/TomColeOK04/photos/a.159614374087974.32803.146497782066300/1157828644266537/?type=3",NA,34,5,1,0,0,0,0,0
"TomColeOK04","146497782066300_1158345767548158","Congressman Tom Cole","2017-01-11","2017-01-11 14:49:27","The road to repeal and replace Obamacare begins now. There are many different constructs of a replacement plan that Republicans are considering, but Americans deserve a health care system that is patient centered, market oriented and affordable.","link","https://cole.house.gov/media-center/weekly-columns/road-replacement-begins-now","cole.house.gov",53,35,9,4,0,0,0,8
"TomColeOK04","146497782066300_1159448180771250","Congressman Tom Cole","2017-01-12","2017-01-12 20:55:41","I am extremely honored and humbled to be the recipient of the Distinguished Public Service Award from the Secretary of the Navy, the highest honor a civilian can receive from the Navy. I am proud to serve on the House Appropriations Subcommittee on Defense and am committed to ensuring that our service members and Department of Defense have adequate resources at all times. Many thanks to Secretary Ray Mabus for this incredible honor and thank you to Rear Admiral Craig Faller and your staff for presenting this award to me. https://cole.house.gov/media-center/press-releases/cole-awarded-navy-distinguished-public-service-award","photo","https://www.facebook.com/TomColeOK04/photos/a.159614374087974.32803.146497782066300/1159447957437939/?type=3",NA,165,21,14,15,0,2,0,1
"TomColeOK04","146497782066300_1160190867363648","Congressman Tom Cole","2017-01-16","2017-01-16 14:00:47","Today we celebrate the life of Dr. Martin Luther King Jr., who was a true pioneer of justice and an icon of the American civil rights movement. Through his example, he taught Americans that the content of a man’s character is the true measurement of his worth.","photo","https://www.facebook.com/TomColeOK04/photos/a.159614374087974.32803.146497782066300/1160190867363648/?type=3",NA,29,10,5,1,0,0,0,0
"TomColeOK04","146497782066300_1160195740696494","Congressman Tom Cole","2017-01-13","2017-01-13 20:46:52","This morning I spoke on the House Floor in support of two pieces of legislation that just passed – S. Con. Res. 3 and S. 84. The first bill, S. Con. Res. 3 would provide the blueprint for our nation’s budget for the rest of Fiscal Year 2017 and for Fiscal Year 2018-2026. More importantly, it provides the first step in repealing Obamacare. The second bill, S. 84, would provide the waiver needed for General James Mattis to serve as Secretary of Defense in the Trump Administration – it is required that the Secretary of Defense be seven years removed from military service, while General Mattis is only three years. These two pieces of legislation are crucial for America to go forward and make it great again.","video","https://www.youtube.com/watch?v=MULNeuhQVy8",NA,61,40,11,1,0,1,0,11
"TomColeOK04","146497782066300_1163397177043017","Congressman Tom Cole","2017-01-17","2017-01-17 22:02:13","Oklahoma has been hit the hardest by the failures of Obamacare. Our state is an example of what happens when promises are broken, premiums rise and the quality of healthcare declines. Our delegation has been united in the fight to repeal Obamacare, and agree to support a replacement that will benefit Oklahomans and Americans of all ages.","link","http://www.tulsaworld.com/opinion/othervoices/oklahoma-s-congressional-delegation-obamacare-fails-oklahoma/article_a64d60f8-de80-5ee8-9db7-d639af770d9c.html","tulsaworld.com",48,44,8,1,3,0,1,11
"TomColeOK04","146497782066300_1165133726869362","Congressman Tom Cole","2017-01-20","2017-01-20 14:00:01","Today we recognize and celebrate the peaceful transition of power, and the beginning of President Donald Trump’s administration. We have a lot of work ahead, but I am looking forward to the leadership and progress under President Trump and Vice President Pence.","photo","https://www.facebook.com/TomColeOK04/photos/a.159614374087974.32803.146497782066300/1165133726869362/?type=3",NA,35,13,0,1,1,0,5,5
