"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"USCongressmanFilemonVela","510462622331477_1394381373939593","Congressman Filemon Vela","2017-01-09","2017-01-09 23:28:12","Today, I am lighting my office blue in observance of National Law Enforcement Appreciation Day (L.E.A.D).   Thank you to all of the law enforcement men and women for your selfless service.  #LawEnforcementAppreciationDay #TX34Forward","photo","https://www.facebook.com/UsCongressmanFilemonVela/photos/a.510602648984141.117629.510462622331477/1394381373939593/?type=3",NA,107,9,11,2,0,0,0,0
"USCongressmanFilemonVela","510462622331477_1400731876637876","Congressman Filemon Vela","2017-01-16","2017-01-16 14:20:10","Today, we remember Dr. Martin Luther King, Jr. and honor his legacy of promoting freedom and equality for all Americans.","photo","https://www.facebook.com/UsCongressmanFilemonVela/photos/a.510602648984141.117629.510462622331477/1400731876637876/?type=3",NA,148,12,23,22,0,0,0,0
"USCongressmanFilemonVela","510462622331477_1402557943121936","Congressman Filemon Vela","2017-01-18","2017-01-18 16:07:24","Reminder to all college cybersecurity and STEM students that applications for the Homeland Security Cyber Student Volunteer Initiative are due Friday! Vacancies are available in Brownsville and McAllen. #TX34Forward https://www.dhs.gov/homeland-security-careers/cybersecurity-internship-program","link","https://www.dhs.gov/homeland-security-careers/cybersecurity-internship-program","dhs.gov",41,7,14,2,0,0,0,0
"USCongressmanFilemonVela","510462622331477_1403774836333580","Congressman Filemon Vela","2017-01-19","2017-01-19 17:33:27","I had hoped that this Friday’s Inauguration would be a moment of healing and outreach, but yesterday, two days before the Inauguration, two things occurred that leave me no choice but to boycott the event. While visiting Washington, DC, 40 migrant students from my district were subjected to comments of “beaners,"" “burritos,"" and ""wetbacks” from Inauguration attendees. One student was even spit on. Then, Donald Trump made his final cabinet selection ensuring that there would be no Hispanic representation in the cabinet for the first time in 36 years.   Mr. Trump’s repeated acts of disrespect for the 33 million Americans of Hispanic descent are historic in modern times. The hope that his actions as President would not match his political rhetoric is becoming more and more of a distant dream. One would think that an American President in the 21st Century would be dedicated to eradicating racism once and for all. However, Mr. Trump has turned a blind eye to overt racism. Indeed, in many instances, Mr. Trump himself has stirred the seeds of bigotry. This is an ominous sign for the future of the American Presidency and the United States of America.","status",NA,NA,2624,824,1733,118,12,39,532,596
"USCongressmanFilemonVela","510462622331477_1408046709239726","Congressman Filemon Vela","2017-01-23","2017-01-23 20:38:53","Join us as we discuss why ""Border Business is America's Business"" #BorderBiz","video","https://www.facebook.com/BetoORourkeTX16/videos/1381004428632073/",NA,52,24,0,6,0,0,0,1
"USCongressmanFilemonVela","510462622331477_1410599072317823","Congressman Filemon Vela","2017-01-25","2017-01-25 19:24:20","Tune in to CNN as I discuss President Trump's Executive Order to build a Border Wall","photo","https://www.facebook.com/UsCongressmanFilemonVela/photos/a.510602648984141.117629.510462622331477/1410599072317823/?type=3",NA,366,153,29,43,3,2,0,13
"USCongressmanFilemonVela","510462622331477_1413429252034805","Congressman Filemon Vela","2017-01-28","2017-01-28 16:02:58","My interview with CNN this week regarding #TheBigLie. #TX34Forward #WALLternativeFacts","video","https://www.facebook.com/UsCongressmanFilemonVela/videos/1413429252034805/",NA,251,59,74,24,3,3,0,6
"USCongressmanFilemonVela","510462622331477_1415370745173989","Congressman Filemon Vela","2017-01-30","2017-01-30 21:56:06","Mr. Trump, you can take your Immigration ban and shove IT too. #NoBanNoWall #SolidaritySelfie #WALLternativeFacts","photo","https://www.facebook.com/UsCongressmanFilemonVela/photos/a.510602648984141.117629.510462622331477/1415370745173989/?type=3",NA,1191,213,527,298,47,5,3,16
"USCongressmanFilemonVela","510462622331477_1417449914966072","Congressman Filemon Vela","2017-02-01","2017-02-01 20:26:15","I am honored to serve as the Vice Ranking Member of the House Committee on Agriculture during the 115th Congress.   I look forward to using my new role within the committee to continue my support of South Texas agriculture. #TX34Forward","link","https://vela.house.gov/media-center/press-releases/press-release-vela-named-vice-ranking-member-house-agriculture-committee","vela.house.gov",367,32,17,17,0,3,0,2
"USCongressmanFilemonVela","510462622331477_1421716744539389","Congressman Filemon Vela","2017-02-06","2017-02-06 01:55:53","Immigrants make America great. #NoBanNoWall #WALLternativeFacts","link","https://twitter.com/repfilemonvela/status/828419284942594048","twitter.com",451,40,25,72,1,0,0,4
