"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"UsRepRickNolan","388085277945339_1204243899662802","US Rep Rick Nolan","2017-01-03","2017-01-03 18:33:53","U.S. Steel’s decision to re-open its Keetac mining operation and immediately bring back 200 good-paying jobs to Minnesota’s Iron Range was a wonderful way to close out 2016 and set the stage for even more economic growth in the coming year. Read more in this week's Monday Report:","link","http://nolan.house.gov/the-monday-report","nolan.house.gov",47,4,3,0,0,0,0,0
"UsRepRickNolan","388085277945339_1205326482887877","US Rep Rick Nolan","2017-01-04","2017-01-04 20:47:25","The 2017 Congressional Art Competition is underway and the deadline is in April! So if you're an artistically inclined high school student here in Minnesota's 8th District, I hope you'll get busy and enter. If you win, your piece will be displayed along with other winners from around the nation in the U.S. Capitol walkway -- just like last year's winner, Brainerd High School sophomore Gemma Hollen, with her pencil drawing entitled “Freckles.” Learn more: https://nolan.house.gov/services/art-competition","photo","https://www.facebook.com/UsRepRickNolan/photos/a.390043131082887.96747.388085277945339/1205326482887877/?type=3",NA,36,1,16,1,0,1,0,0
"UsRepRickNolan","388085277945339_1205934929493699","US Rep Rick Nolan","2017-01-05","2017-01-05 16:12:15","What an honor to participate in the reading of the United States Constitution this morning on the House floor to mark the beginning of the 115th Congress. I read the 7th Amendment – Watch below:","video","https://www.facebook.com/UsRepRickNolan/videos/1205934929493699/",NA,165,21,7,5,0,0,0,0
"UsRepRickNolan","388085277945339_1206764756077383","US Rep Rick Nolan","2017-01-06","2017-01-06 15:59:40","For the life of me, I don’t know what the Republicans were thinking by starting off the new Congress, which they control, by trying to dismantle the Office of Congressional Ethics (OCE) -- an independent ethics office absolutely necessary to restoring Americans’ confidence in our government.","video","https://www.facebook.com/UsRepRickNolan/videos/1206764756077383/",NA,238,27,28,6,0,1,1,6
"UsRepRickNolan","388085277945339_1209438479143344","US Rep Rick Nolan","2017-01-09","2017-01-09 21:57:55","Republicans last week launched an all out attack on rules and regulations necessary to ensure the integrity of Social Security and Medicare and protect Americans from dirty air and water, dangerous workplaces, unsafe food, hazardous toys and questionable drugs. An outright gift to big banks, powerful corporations and special interests, their so-called “REINS” Act would kill any major rule issued by a federal agency that both the House and Senate fail to approve within 70 legislative days. Read more in this week's Monday Report:","link","http://nolan.house.gov/the-monday-report","nolan.house.gov",23,7,13,0,0,2,6,9
"UsRepRickNolan","388085277945339_1211097432310782","US Rep Rick Nolan","2017-01-11","2017-01-11 20:40:51","Our staff will operate many Congress Comes to You meetings all around Minnesota's 8th District in the coming months. Hearing directly from residents makes me a better advocate for our region. These meetings are an opportunity for constituents to meet with members of our staff and discuss matters of interest or get help with a federal agency. Full schedule: http://nolan.house.gov/congress-comes-to-you-schedule","link","http://www.grandrapidsmn.com/news/congress-comes-to-you-jan/article_7de913aa-d68a-11e6-8bcc-6f1d3630bf85.html","grandrapidsmn.com",41,5,7,0,0,0,0,0
"UsRepRickNolan","388085277945339_1215544471866078","US Rep Rick Nolan","2017-01-16","2017-01-16 16:18:55","When I think of Dr. Martin Luther King Jr., what comes to mind beyond the courage of his acts is the power of his message. Dr. King’s words move people in incredible ways. He famously said, “Change does not roll in on the wheels of inevitability, but comes through continuous struggle.” He understood that there are no final victories in the fight for justice. But through it all, Dr. King was not only a realist – he was an optimist who believed in the ultimate good. “Let us realize,” he said, “that the arc of the moral universe is long, but it bends toward justice.”","photo","https://www.facebook.com/UsRepRickNolan/photos/a.390043131082887.96747.388085277945339/1215544471866078/?type=3",NA,93,7,4,4,0,0,0,0
"UsRepRickNolan","388085277945339_1217223131698212","US Rep Rick Nolan","2017-01-18","2017-01-18 16:41:35","Defying all common sense, House and Senate Republicans are moving full steam ahead to repeal the Affordable Care Act without a plan to replace it -- and the cost to Minnesotans predicted to lose good paying jobs and health care coverage would appear to be devastating. Read more in this week's Monday Report:","link","http://nolan.house.gov/the-monday-report","nolan.house.gov",42,13,7,0,0,1,13,21
"UsRepRickNolan","388085277945339_1222234024530456","US Rep Rick Nolan","2017-01-23","2017-01-23 22:24:31","President Trump’s inauguration and the Women’s March for inclusiveness and equality marked two important American traditions of democracy last weekend, and I was proud to participate in both of them. Read this week's Monday Report for more:","link","http://nolan.house.gov/the-monday-report","nolan.house.gov",17,1,2,0,0,1,0,0
"UsRepRickNolan","388085277945339_1223001677787024","US Rep Rick Nolan","2017-01-24","2017-01-24 15:06:24","President Trump's federal employee freeze and the Republican assault on public employees is an attack on good, hardworking people. It's wrong, unfair, demoralizing and it has to stop. Government workers are not the derisive bureaucrats Republicans claim – they are hardworking men and women trying to support their families and serve our great Nation.","link","https://www.washingtonpost.com/news/powerpost/wp/2017/01/23/trump-freezes-federal-hiring/?utm_term=.94fa63d3a533","washingtonpost.com",315,45,89,7,2,4,8,68
"UsRepRickNolan","388085277945339_1226353904118468","US Rep Rick Nolan","2017-01-27","2017-01-27 17:51:26","President Trump should immediately withdraw his nomination of Betsy DeVos for Secretary of Education. American students are falling behind on the global scale. Our Secretary of Education must be committed to the public education of our children and have the experience, knowledge and respect for federal law necessary to do that important job. Read more in this week's Monday Report:","link","http://nolan.house.gov/the-monday-report","nolan.house.gov",84,8,11,2,0,0,0,0
