"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"WhipHoyer","282861997886_10154332756997887","Democratic Whip Steny Hoyer","2017-01-03","2017-01-03 17:06:10","I am deeply concerned by House Republicans’ decision in the dead of night to strip away the independence of the Office of Congressional Ethics. House Republicans could have found willing partners among Democrats to increase transparency and renew faith in government through bipartisan action, including making possible improvements to the Office of Congressional Ethics and the way Congress polices itself and maintains the highest standards of integrity among its Members.  Instead they chose this shameful move, which is an indication of their priorities for the new Congress. http://bit.ly/2izG6uG","photo","https://www.facebook.com/WhipHoyer/photos/a.292904427886.145474.282861997886/10154332756997887/?type=3",NA,188,26,63,4,0,5,5,19
"WhipHoyer","282861997886_10154333224947887","Democratic Whip Steny Hoyer","2017-01-03","2017-01-03 20:49:45","As the #115thCongress convenes today, Americans are deeply worried about the future and are looking to their Representatives to work together to craft responsible, just, and wise policies that heal the divisions of the recent election and renew faith in government to be a force for good in Americans’ lives. To that end, House Democrats will be working tirelessly over the next two years to create jobs and opportunity so that all Americans can Make It In America, while holding the Republican Majority accountable for actions that undermine America’s future and threaten the rights and opportunities of hardworking Americans and their families. http://bit.ly/2iFcNJI","photo","https://www.facebook.com/WhipHoyer/photos/a.292904427886.145474.282861997886/10154333224947887/?type=3",NA,58,16,9,3,0,0,0,0
"WhipHoyer","282861997886_10154333490067887","Democratic Whip Steny Hoyer","2017-01-03","2017-01-03 22:35:25","This afternoon, I spoke on the Floor of the House of Representatives in opposition to the Republican rules package for the #115thCongress. The rules package undermines civil service protections; restricts Members First Amendment protections; and denies a voice to the people of the District of Columbia, Puerto Rico, Guam, American Samoa, the Northern Mariana Islands, and the U.S. Virgin Islands. Watch my remarks here: https://www.youtube.com/watch?v=fORL28eXW4w&feature=youtu.be","video","https://www.youtube.com/watch?v=fORL28eXW4w&feature=youtu.be",NA,75,15,12,7,1,1,2,6
"WhipHoyer","282861997886_10154335770727887","Democratic Whip Steny Hoyer","2017-01-04","2017-01-04 20:01:37","Despite years of promising to repeal and replace the Affordable Care Act, Republicans are still no closer to offering an alternative plan to protect the millions of Americans who would lose their health coverage and the millions more who would see costs increase and benefits eroded. Take a look at how the Republican plan to repeal the ACA without offering a replacement will #MakeAmericaSickAgain: http://bit.ly/2ib6tpT","photo","https://www.facebook.com/WhipHoyer/photos/a.292904427886.145474.282861997886/10154335770727887/?type=3",NA,61,35,27,1,0,0,6,16
"WhipHoyer","282861997886_10154335930542887","Democratic Whip Steny Hoyer","2017-01-04","2017-01-04 21:31:35","Read my statement on why I’ll be supporting a resolution expressing opposition to the U.S.'s abstention from a U.N. Security Council vote on a resolution regarding Israel: http://bit.ly/2j5wLtF","link","http://bit.ly/2j5wLtF","bit.ly",35,17,0,2,0,0,1,6
"WhipHoyer","282861997886_10154339069192887","Democratic Whip Steny Hoyer","2017-01-06","2017-01-06 02:05:22","A new report from the nonpartisan Commonwealth Fund and Milken Institute School of Public Health shows that if Republicans succeed in their partisan-driven attempt to repeal the Affordable Care Act without a replacement, it would cost our country almost 3 million jobs by 2021. Additionally, it shows an economic impact of more than a quarter trillion dollars in lost gross state product across the fifty states in the year 2019. These numbers ought to give serious pause to Republican Members from across the country as they pursue their efforts to #MakeAmericaSickAgain. http://bit.ly/2hWiW4J","photo","https://www.facebook.com/WhipHoyer/photos/a.292904427886.145474.282861997886/10154339069192887/?type=3",NA,26,6,20,0,0,7,1,7
"WhipHoyer","282861997886_10154340158547887","Democratic Whip Steny Hoyer","2017-01-06","2017-01-06 14:47:28","Today’s #JobsReport shows an economy that continues to produce jobs at a steady clip, with seventy-five consecutive months of positive job growth alongside 144,000 new private sector jobs created in December. The 115th Congress has a responsibility to build on the employment gains made over the past eight years by ensuring that the overwhelming trend continues and, more important, that everyone who has a job in this country also has opportunities to get ahead. http://bit.ly/2iJtXVZ","photo","https://www.facebook.com/WhipHoyer/photos/a.292904427886.145474.282861997886/10154340158547887/?type=3",NA,41,8,1,7,0,1,0,0
"WhipHoyer","282861997886_10154340691282887","Democratic Whip Steny Hoyer","2017-01-06","2017-01-06 16:47:19","Today, National Oceanic and Atmospheric Administration (NOAA) announced a proposed rule and draft environmental impact statement for the proposed Mallows Bay National Marine Sanctuary. Senator Ben Cardin, Senator Chris Van Hollen, and I are encouraged that the nomination process continues to move forward, and we look forward to hearing from business and community leaders during public meetings in the coming months. http://bit.ly/2ijGPiy","photo","https://www.facebook.com/WhipHoyer/photos/a.292904427886.145474.282861997886/10154340691282887/?type=3",NA,44,4,5,1,0,0,0,0
"WhipHoyer","282861997886_10154340746107887","Democratic Whip Steny Hoyer","2017-01-06","2017-01-06 17:03:47","This morning, I joined Squawk Box to discuss President Obama’s economic legacy. Watch my interview here: https://www.youtube.com/watch?v=Fuu5VTZ2-98&feature=youtu.be","video","https://www.youtube.com/watch?v=Fuu5VTZ2-98&feature=youtu.be",NA,10,4,0,0,0,0,0,0
"WhipHoyer","282861997886_10154340926812887","Democratic Whip Steny Hoyer","2017-01-06","2017-01-06 18:23:03","Earlier today, I joined Carol Costello on CNN to discuss President-Elect Trump’s response to Russian interference in the election. Watch my interview here: https://www.youtube.com/watch?v=mnyo1h5DIIs&feature=youtu.be","video","https://www.youtube.com/watch?v=mnyo1h5DIIs&feature=youtu.be",NA,32,8,1,0,0,1,0,2
"WhipHoyer","282861997886_10154343944637887","Democratic Whip Steny Hoyer","2017-01-07","2017-01-07 20:29:07","Today, I joined Senator Ben Cardin, Senator Chris Van Hollen, Representative Elijah E. Cummings and Congressman John Sarbanes, Baltimore City Health Commissioner Dr. Leana Wen, and Maryland healthcare advocates to highlight how Congressional Republicans’ assault on the Affordable Care Act will #MakeAmericaSickAgain and have a devastating impact on Maryland families. http://bit.ly/2joawU7","photo","https://www.facebook.com/WhipHoyer/photos/a.292904427886.145474.282861997886/10154343944637887/?type=3",NA,110,24,13,12,4,2,0,0
