"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"bobcorker","109251415789533_1191667197547944","Senator Bob Corker","2017-09-20","2017-09-20 17:25:14",NA,"photo","https://www.facebook.com/bobcorker/photos/a.130099973704677.21654.109251415789533/1191667197547944/?type=3",NA,835,669,47,28,32,4,11,183
"bobcorker","109251415789533_1226898217358175","Senator Bob Corker","2017-01-03","2017-01-03 20:44:35","Enjoyed a wide-ranging discussion with Rex Tillerson this afternoon and am looking forward to chairing his confirmation hearing next week.","photo","https://www.facebook.com/bobcorker/photos/a.112749448773063.6289.109251415789533/1226898217358175/?type=3",NA,207,93,11,8,1,0,2,37
"bobcorker","109251415789533_1226954284019235","Senator Bob Corker","2017-01-03","2017-01-03 22:59:32","As I traveled across the Volunteer State this year, Tennesseans made clear that they are eager to have a president and Congress that will work together to govern responsibly, grow our economy, address our dismal fiscal situation and protect American interests around the world. I look forward to serving as chairman of the Senate Foreign Relations Committee and as a member of the banking and budget committees to focus on the issues that matter most to Tennesseans. We have a tremendous opportunity before us to solve our country’s problems, and I look forward to working with President-elect Trump and my colleagues to ensure that we leave behind a stronger nation for future generations.","link","http://bit.ly/2iFivem","bit.ly",259,176,15,7,1,0,1,18
"bobcorker","109251415789533_1231404196907577","Senator Bob Corker","2017-01-09","2017-01-09 22:48:27","Fred Thompson served the people of Tennessee and our country with great distinction. Through his many different roles in public life, Fred never forgot where he came from, and our state and country miss his common sense approach to public service. I was proud to call him a friend and am pleased to join my colleagues to honor his life in this way.","link","http://www.commercialappeal.com/story/news/politics/2017/01/09/lawmakers-resume-push-name-courthouse-after-thompson/96361536/","commercialappeal.com",340,36,25,26,2,2,0,0
"bobcorker","109251415789533_1232573626790634","Senator Bob Corker","2017-01-11","2017-01-11 13:39:50","Was glad to welcome David Friedman, President-elect Trump’s nominee for Ambassador to Israel, to the office yesterday.","photo","https://www.facebook.com/bobcorker/photos/a.112749448773063.6289.109251415789533/1232573626790634/?type=3",NA,224,51,14,10,0,0,1,15
"bobcorker","109251415789533_1233808690000461","Senator Bob Corker","2017-01-12","2017-01-12 17:45:24","I look forward to working with Dr. Ben Carson as he ascends to the important position of Secretary of Housing and Urban Development.","video","https://www.facebook.com/bobcorker/videos/1233808690000461/",NA,368,97,17,23,10,0,1,39
"bobcorker","109251415789533_1233899093324754","Senator Bob Corker","2017-01-12","2017-01-12 20:13:28","The Affordable Care Act has led to high premiums, rising out-of-pocket costs, and reduced choice across the Volunteer State, and I am pleased Congress has initiated the repeal and replace process. We need a health care system that works for the American people, and I am encouraged that the debate has shifted in recent weeks from ‘repeal only’ to ‘repeal and replace’ in a thoughtful and deliberative manner. It is important to provide the incoming Trump administration, including its top health care official Dr. Tom Price, with time to review the regulatory and legislative steps needed to replace the Affordable Care Act with a responsible alternative that works well for Tennesseans and does not waste taxpayer resources.","link","http://www.foxnews.com/politics/2017/01/12/republican-led-senate-takes-first-step-to-repeal-obamacare.html","foxnews.com",116,391,26,10,1,0,5,77
"bobcorker","109251415789533_1237003516347645","Senator Bob Corker","2017-01-16","2017-01-16 17:15:08","Today we remember Dr. Martin Luther King, Jr., who spent his life fighting for freedom for all. May his legacy inspire us not just today, but every day. #MLKDay","status",NA,NA,116,46,6,9,1,0,0,0
"bobcorker","109251415789533_1237170882997575","Senator Bob Corker","2017-01-16","2017-01-16 21:44:04","Enjoyed my time on Glass Street in Chattanooga earlier today. Inspired by the many Tennesseans who are giving back today to honor Dr. King. #MLKDay","photo","https://www.facebook.com/bobcorker/photos/a.112749448773063.6289.109251415789533/1237170882997575/?type=3",NA,192,36,25,18,2,0,0,0
"bobcorker","109251415789533_1238623716185625","Senator Bob Corker","2017-01-18","2017-01-18 18:37:25","The gap between what the United Nations was meant to be and what it has become has never been wider. Governor Nikki Haley is a fierce advocate for U.S. interests and knows the U.N. needs tremendous reform and change; and I think she will, in fact, demand that as our U.N. ambassador. Watch my opening remarks at this morning’s hearing to consider Governor Haley’s nomination:","video","https://www.facebook.com/bobcorker/videos/1238623716185625/",NA,153,44,12,3,2,0,0,7
"bobcorker","109251415789533_1239611769420153","Senator Bob Corker","2017-01-19","2017-01-19 20:50:53","Had a great meeting earlier today with President-elect Donald J. Trump’s incoming national security adviser, General Michael Flynn.","photo","https://www.facebook.com/bobcorker/photos/a.112749448773063.6289.109251415789533/1239611769420153/?type=3",NA,285,49,26,13,8,2,2,26
"bobcorker","109251415789533_1240330689348261","Senator Bob Corker","2017-01-20","2017-01-20 19:45:38","I was proud to welcome the University of Tennessee’s Pride of the Southland Band to Washington. They’ll represent Tennessee well in the inaugural parade this afternoon.","photo","https://www.facebook.com/bobcorker/photos/a.112749448773063.6289.109251415789533/1240330689348261/?type=3",NA,1287,50,85,102,1,1,10,8
"bobcorker","109251415789533_1240467946001202","Senator Bob Corker","2017-01-20","2017-01-20 23:18:40","General Mattis is the right person at the right time to lead the Defense Department. Having completed a very distinguished military career, General Mattis uniquely understands the sacrifices our men and women in uniform and their families make on a daily basis to keep our country safe. He also fully recognizes the invaluable role of U.S. leadership and the importance of military readiness and strong alliances for deterring conflict, and I am confident he will advise President Trump well as we continue to face many threats at home and abroad.","link","http://www.foxnews.com/politics/2017/01/20/gen-james-mattis-confirmed-as-secretary-defense.html","foxnews.com",549,28,30,43,0,1,1,9
"bobcorker","109251415789533_1240542375993759","Senator Bob Corker","2017-01-21","2017-01-21 01:46:01","General Kelly knows what it takes to keep our country safe and will bring a strategic focus and extraordinary leadership skills to the Department of Homeland Security. I have full confidence in General Kelly to head this important agency and advise the Trump administration in our efforts to confront the terrorist threat and secure the border.","link","http://www.reuters.com/article/us-usa-congress-kelly-idUSKBN1542Y4","reuters.com",153,37,6,9,0,0,1,8
"bobcorker","109251415789533_1243068755741121","Senator Bob Corker","2017-01-23","2017-01-23 18:12:42","We had a great time hosting more than 1,500 Tennesseans at our office following the inauguration on Friday.","photo","https://www.facebook.com/bobcorker/photos/a.112749448773063.6289.109251415789533/1243065469074783/?type=3",NA,220,49,6,10,0,0,2,13
"bobcorker","109251415789533_1243409279040402","Senator Bob Corker","2017-01-23","2017-01-23 23:48:10","Rex Tillerson is well-qualified to be Secretary of State, and I am pleased the Senate Foreign Relations Committee favorably reported his nomination today. Watch my opening remarks from today’s committee business meeting to consider his nomination:","video","https://www.facebook.com/bobcorker/videos/1243409279040402/",NA,239,125,14,16,1,0,3,88
"bobcorker","109251415789533_1244070422307621","Senator Bob Corker","2017-01-24","2017-01-24 13:45:43","Director Pompeo brings the knowledge and military experience needed to help address the emerging threats at home and abroad. He is a tireless advocate for the intelligence community, and I look forward to his leadership at the CIA as we work to improve our national security.","video","http://www.reuters.com/video/2017/01/24/mike-pompeo-takes-oath-becomes-cia-direc?videoId=370982543",NA,192,32,13,12,0,0,5,7
