"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"chrismurphyct","19437978960_10154580871368961","Chris Murphy","2017-01-03","2017-01-03 15:42:06","In a hint of what's to come, the first act of Trump's Congress is to gut ethics law, make corruption easier to hide.","link","https://www.washingtonpost.com/blogs/plum-line/wp/2017/01/03/the-house-gop-just-gutted-ethics-oversight-whatever-happened-to-draining-the-swamp/?postshare=1671483456385926&tid=ss_tw&utm_term=.22e2a63b1b5b","washingtonpost.com",467,246,257,1,10,27,135,877
"chrismurphyct","19437978960_10154581507788961","Chris Murphy","2017-01-03","2017-01-03 19:41:33","Happy swearing in day to all the new members of the 115th Congress! Four years ago at my swearing in my son Rider decided he wanted to take the oath of office too.","photo","https://www.facebook.com/ChrisMurphyCT/photos/a.391506843960.158410.19437978960/10154581507788961/?type=3",NA,2567,91,28,330,37,0,2,1
"chrismurphyct","19437978960_10154584343853961","Chris Murphy","2017-01-04","2017-01-04 21:13:25","Thanks to the Affordable Care Act, 20 million Americans now have health insurance. Sick people can't be kicked off their plans. People are no longer being bankrupted by medical bills. We can fix the Affordable Care Act together - or Republicans can repeal it without a replacement plan and harm millions of Americans.","photo","https://www.facebook.com/ChrisMurphyCT/photos/a.391506843960.158410.19437978960/10154584343853961/?type=3",NA,1079,139,239,19,3,2,101,121
"chrismurphyct","19437978960_10154586723618961","Chris Murphy","2017-01-05","2017-01-05 19:37:09","I can’t stand the idea of a brave soldier risking her or his life for this country, suffering the wounds of battle, and then being kicked to the curb as a result of those very same wounds. But that is exactly what has happened to tens of thousands of men & women who fought in the Middle East and Vietnam. I've worked hard on this issue under President Obama and I'll continue to push President-Elect Trump to make sure that our men & women who serve get the care they need when they return home.","link","http://nyti.ms/2hWuH9v","nyti.ms",379,39,57,20,1,2,72,11
"chrismurphyct","19437978960_10154587192563961","Chris Murphy","2017-01-05","2017-01-05 23:37:00","Today I introduced an amendment with U.S. Senator Tim Kaine opposing Republican efforts to repeal the Affordable Care Act without a replacement. I wanted to take a minute to tell you a little more about it.","video","https://www.facebook.com/ChrisMurphyCT/videos/10154587192563961/",NA,5496,499,1856,500,9,11,23,234
"chrismurphyct","19437978960_10154588868133961","Chris Murphy","2017-01-06","2017-01-06 15:54:33","In Massachusetts and other states across the country, people with mental illness often wait for hours, sometimes days, in the ER. We passed the Mental Health Reform Act last month specifically to target this problem and I'm hopeful that I will help get people out of the ER and into the care they need.","link","http://bit.ly/2hWtHSN","bit.ly",300,26,38,18,0,1,47,9
"chrismurphyct","19437978960_10154590680833961","Chris Murphy","2017-01-07","2017-01-07 16:10:01","The Republican plans to defund Planned Parenthood means taking care away from 2.5 million women and families who rely on them every year. I will not step aside as the GOP attempts to strip healthcare from millions of Americans. I will fight this tooth and nail. #IStandwithPP","photo","https://www.facebook.com/ChrisMurphyCT/photos/a.391506843960.158410.19437978960/10154590680833961/?type=3",NA,2309,206,762,150,5,7,61,305
"chrismurphyct","19437978960_10154590682353961","Chris Murphy","2017-01-08","2017-01-08 18:11:01","The vast majority of Americans don't want Congress to repeal the ACA without a replacement - yet that is exactly what Republicans are trying to do. Right now, they are barreling forward to repeal the law, without showing the American people their plan to replace it.","link","http://n.pr/2jjpwT3","n.pr",639,121,206,12,1,13,30,162
"chrismurphyct","19437978960_10154598452298961","Chris Murphy","2017-01-10","2017-01-10 04:41:46","I was proud to join my colleagues in holding the Senate floor late into the night to tell real stories of Connecticut families who depend on the Affordable Care Act. Republicans this week are taking the first step to repealing this lifesaving law -- but they won't show Americans what their plan is for the 30 million people who stand to lose coverage.","photo","https://www.facebook.com/ChrisMurphyCT/photos/a.391506843960.158410.19437978960/10154598452298961/?type=3",NA,1222,230,341,69,2,11,164,308
"chrismurphyct","19437978960_10154600801633961","Chris Murphy","2017-01-10","2017-01-10 21:41:04","Repealing the Affordable Care Act with no immediate replacement will take insurance and medicines away from those who can't afford them otherwise. It can sound like hyperbole, but it's not. I know people back home in Connecticut who will lose insurance & medication without the ACA. They will die without it.   Some of my Republican colleagues understand the terrible consequences of ripping up the health care system without an immediate fix. I hope Congressional leaders will listen to them. Our constituents sent us here to fight for them -- it's times like this that matter most.","status",NA,NA,1528,181,140,84,0,4,116,35
"chrismurphyct","19437978960_10154604043728961","Chris Murphy","2017-01-11","2017-01-11 20:44:07","Repealing the Affordable Care Act without an *immediate* replacement would throw the health care market into chaos and cause 30 million Americans to lose their health insurance. We can't let that happen.","photo","https://www.facebook.com/ChrisMurphyCT/photos/a.391506843960.158410.19437978960/10154604043728961/?type=3",NA,922,134,118,20,4,4,70,103
"chrismurphyct","19437978960_10154617528813961","Chris Murphy","2017-01-15","2017-01-15 19:30:00","Today I joined hundreds at the State Capitol to rally and speak out against Congressional Republicans’ effort to repeal the Affordable Care Act and take away health coverage from millions of Americans. Jon from Meriden suffers from cystic fibrosis. He said, “Without the Affordable Care Act, I’d be dead.”  Make no mistake, the Affordable Care Act isn’t perfect. And I want to work with Republicans make it better. But to flat out repeal it with absolutely no solution for the over 20 million Americans who will lose access to health insurance—and even more who will now have to worry about lifetime caps or pre-existing conditions and whether their adult children can stay on their health insurance—is unconscionable.","status",NA,NA,2944,258,166,199,1,3,70,32
"chrismurphyct","19437978960_10154620361498961","Chris Murphy","2017-01-16","2017-01-16 15:52:49","Today, we recognize the life and legacy of one of my personal heroes, Martin Luther King Jr. There are many forces that seek to divide us, but we must worth together as a nation to rise above that. There is much work left to be done. I hope today pushes us all to work harder to make Dr. King’s dream a reality.","status",NA,NA,922,60,17,78,0,0,3,0
