"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"congressmanbobbyrush","230753786936538_1543448915667012","Congressman Bobby L. Rush","2017-01-11","2017-01-11 15:54:34",NA,"photo","https://www.facebook.com/congressmanbobbyrush/photos/a.401417916536790.103175.230753786936538/1543448915667012/?type=3",NA,16,4,2,3,2,0,0,0
"congressmanbobbyrush","230753786936538_1547110101967560","Congressman Bobby L. Rush","2017-01-13","2017-01-13 18:30:31","The Department of Justice released its findings of the Chicago Police Department's policing strategy stating it has found systemic deficiencies in training and accountability, including a historical failure to train officers in de-escalation and failure to conduct meaningful investigations of uses of force. To read the full view the link below:  https://www.justice.gov/opa/file/925846/download","link","https://www.justice.gov/opa/file/925846/download","justice.gov",28,18,14,0,0,1,1,2
"congressmanbobbyrush","230753786936538_1550531614958742","Congressman Bobby L. Rush","2017-01-16","2017-01-16 16:01:12","On this day we celebrate the life and legacy of Dr. Martin Luther King Jr. at Rainbow Push's Excel breakfast where scholarships are given to deserving youth to further their education and pursuit for advancement of all people.","photo","https://www.facebook.com/congressmanbobbyrush/photos/a.761981730480405.1073741826.230753786936538/1550530144958889/?type=3",NA,40,8,7,3,0,0,0,0
"congressmanbobbyrush","230753786936538_1553128774699026","Congressman Bobby L. Rush","2017-01-18","2017-01-18 23:48:19","Thanks to President Obama Eric Wilson will now serve a shorter prison sentence and become a free man soon.","link","https://www.google.com/amp/www.chicagotribune.com/news/local/breaking/ct-obama-reduces-gangster-disciples-sentence-20170118-story,amp.html?client=safari","google.com",31,13,22,1,0,1,0,1
"congressmanbobbyrush","230753786936538_1555063824505521","Congressman Bobby L. Rush","2017-01-20","2017-01-20 18:42:09","I'm not in our nations Capitol at the inauguration. I'm not protesting. I'm at my wife's bedside in the hospital. I look forward to continuing to build a far better life for my constituents and the nation.","status",NA,NA,81,47,3,16,0,1,0,0
"congressmanbobbyrush","230753786936538_1568192263192677","Congressman Bobby L. Rush","2017-01-30","2017-01-30 18:33:55","President Trump’s executive order demonstrates the infantile evil acts of a street bully.  In my experience, the only way to beat a bully is to stand up and fight back; which, morally, I must do.","status",NA,NA,133,70,21,24,5,0,0,0
"congressmanbobbyrush","230753786936538_1568413623170541","Congressman Bobby L. Rush","2017-01-30","2017-01-30 23:40:55","Click here for the full text of my statement responding to President Trump's recent Executive Order. http://go.usa.gov/x9sQp","link","http://go.usa.gov/x9sQp","go.usa.gov",91,24,31,19,0,0,0,0
"congressmanbobbyrush","230753786936538_1570620602949843","Congressman Bobby L. Rush","2017-02-01","2017-02-01 16:52:26","Today marks the beginning of  #BlackHistoryMonth! This month,  we honor the contributions of our ancestors while pressing forward for change. #Black365","photo","https://www.facebook.com/congressmanbobbyrush/photos/a.401417916536790.103175.230753786936538/1570620602949843/?type=3",NA,30,13,15,6,0,0,0,0
"congressmanbobbyrush","230753786936538_1574828675862369","Congressman Bobby L. Rush","2017-02-04","2017-02-04 21:08:26","We have seen time and time again that immigration has been, and continues to be, an important factor in the development of the United States.  From the very beginning of our history immigrants have played an important role in helping to weave our modern social fabric. #weareone","video","https://www.facebook.com/congressmanbobbyrush/videos/1574828675862369/",NA,21,13,8,2,0,0,0,0
"congressmanbobbyrush","230753786936538_1578379798840590","Congressman Bobby L. Rush","2017-02-07","2017-02-07 16:36:15","I have sent a letter with my colleagues to ask the FCC why they won’t defend prison phone rate rules.  Read more at http://go.usa.gov/x9FpE","link","http://go.usa.gov/x9FpE","go.usa.gov",27,15,6,3,0,0,0,0
"congressmanbobbyrush","230753786936538_1578693995475837","Congressman Bobby L. Rush","2017-02-07","2017-02-07 21:14:29","See my statement expressing concern with Sec. Devos at http://go.usa.gov/x9FMM #QualityEducationforAll","link","http://go.usa.gov/x9FMM","go.usa.gov",36,25,4,2,0,0,0,1
"congressmanbobbyrush","230753786936538_1579562168722353","Congressman Bobby L. Rush","2017-02-08","2017-02-08 15:50:05","What Senator Mitch McConnell said about U.S. Senator Elizabeth Warren is right: She was warned. She was given an explanation. Nevertheless, she persisted. #PersistOn","photo","https://www.facebook.com/congressmanbobbyrush/photos/a.401417916536790.103175.230753786936538/1579562168722353/?type=3",NA,36,33,18,13,1,0,1,1
"congressmanbobbyrush","230753786936538_1579800445365192","Congressman Bobby L. Rush","2017-02-08","2017-02-08 20:29:04","This NPR story is exactly why I’m reintroducing my legislation to bring more transparency to the funeral industry. https://goo.gl/OAnNbf","link","https://goo.gl/OAnNbf","goo.gl",30,77,2,1,1,0,0,0
"congressmanbobbyrush","230753786936538_1588043051207598","Congressman Bobby L. Rush","2017-02-15","2017-02-15 22:49:08","WASHINGTON, D.C.—U.S. Representative Bobby L. Rush (DL-IL01) issued the following statement during an Energy Subcommittee Hearing on “Modernizing Energy and Electricity Delivery Systems: Challenges and Opportunities to Promote Infrastructure Improvement and Expansion,” where he serves as Ranking Member. The congressman noted that the federal government must embark on a path of upgrading the nation’s energy infrastructure that it is done “in a way that is responsible, environmentally-conscious, and takes into account the rights and interests of impacted communities.”  Reading from a letter from the National Urban League, Rep. Rush questioned the first panel on the level of employment, business and entrepreneurial opportunities for African Americans and other minorities. ““My office received a letter from the National Urban League, which in part noted the importance of job training and workforce development programs as an essential component of any comprehensive infrastructure proposal,” he said. “Specifically, the letter discussed the necessity for including technical training, pre-apprenticeships, internships and job placement opportunities for African Americans and other minority communities as a way to ensure that all Americans are able to fully benefit in the tremendous opportunities before us. “  Legislators heard testimony from Ganesh Bell, chief digital officer of GE Power; Dr. Michael Howard, president and CEO of Electric Power Research Institute; Lonnie Stephenson, international president of International Brotherhood of Electrical Workers; Steven G. Hauser, CEO of GridWise Alliance; Chad Harrison, Councilman-at-large of Standing Rock Sioux Tribe; Rex Ferry, owner of Valley Electrical Consolidated; Kim Kann, private landowner from Lancaster County, PA; Terry O’Sullivan, general president of Laborers International Union of North America; and Joey Mahmoud, project director of Dakota Access Pipeline. “I want to thank you, Mr. Chairman, for holding this important hearing today on the challenges and opportunities associated with improving our nation’s energy infrastructure,” Rush’  “Mr. Chairman, this is a timely hearing and it is my hope that we can follow up on the bipartisan agreement that was initiated last session as part of the comprehensive energy bill that ultimately fell through.   “As part of those discussions, Mr. Chairman, there are two provisions in particular that I hope we can bring to fruition this time around, specifically, the pipeline safety replacement program that would provide assistance to low income communities that I have been promoting.   “Additionally, I hope that we can come together and agree to invest in modernizing the nation’s aging electrical grid infrastructure, as Ranking Member Pallone has been advocating for.   “Mr. Chairman, it is also important that as we embark on this path of upgrading our nation’s energy infrastructure that we do so in a way that is responsible, environmentally-conscious, and takes into account the rights and interests of impacted communities.   “Even as we speak, Mr. Chairman, we are seeing the impact of shoddily built infrastructure in the tragedy playing out in California, where almost 200 thousand residents have been evacuated due to leaks in an emergency spillway at the Oroville Dam.   “Sadly, Mr. Chairman, this entire episode could have been avoided if builders and regulators had taken heed to the warnings of environmental groups who had forewarned of the risk of catastrophic flooding more than a decade ago, but who were unfortunately ignored.   “Indeed Mr. Chairman, it is important to remember that while some may consider commonsense safety and environmental regulations to be overly burdensome or tedious, these protections may one day be the difference in saving one’s property, livelihood, or even life.   “Another important aspect of today’s hearing will hopefully provide instruction in attempting to strike the right balance between modernizing and upgrading the nation’s energy infrastructure, like we so desperately need, while also taking into account the rights of landowners, Native Americans, and other communities that might be adversely impacted by these types of projects.   “Mr. Chairman, nowhere is this struggle more pronounced than in the battle over the Dakota Access Pipeline, as we will hear from our second panel of witnesses.   “As policymakers, we all understand the need for additional infrastructure to ensure that critical fuels and resources are carried to the places where they are needed in order to meet our nation’s energy demands.   “However, as Representatives of the people we must also ensure that the rights and interests of Native Americans, property-owners, and less affluent communities are also protected.   “Mr. Chairman, Congress should help provide thoughtful and responsible guidance for instituting a fair and balanced process for moving forward with large-scale energy projects that respect the rights of all communities and does not place expedience or maximum profit above the rights of landowners or the communities these projects traverse.   “So Mr. Chairman, I welcome all of today’s witnesses and I look forward to a rigorous debate on these important and sometimes difficult issues…”  -30-","photo","https://www.facebook.com/congressmanbobbyrush/photos/a.401417916536790.103175.230753786936538/1588043051207598/?type=3",NA,10,1,6,0,0,0,0,0
"congressmanbobbyrush","230753786936538_1588047447873825","Congressman Bobby L. Rush","2017-02-15","2017-02-15 22:56:12","I am pleased to know a suspect has been apprehended in the killing of Takiya Holmes; yet I am still calling on those responsible for the recent death and wounding of two other children to come forward so justice may be served. Our children are in crisis. This turmoil and trauma in our communities must end now. As we examine the roots of the problem, let's make a plan and then promise to work together to reduce violence in Chicago and give communities the resources they need. Are you with me?","status",NA,NA,75,15,8,2,0,0,0,0
"congressmanbobbyrush","230753786936538_1589099664435270","Congressman Bobby L. Rush","2017-02-16","2017-02-16 18:19:56","In case you missed this important essay from the Sun-Times, please check it out below. Chicago, and cities across the nation, must identify how illegal guns are getting into the hands of people and meaningful ways to hold them accountable. That is why I introduced H.R.810 - Hadiya Pendleton and Nyasia Pryear-Yard Stop Illegal Trafficking in Firearms Act of 2017 which bans straw purchases and provides enhanced punishment for using these trafficked weapons in crimes. This legislation is vital to stopping the carnage in my city.","link","http://chicago.suntimes.com/opinion/silencing-the-guns-how-chicago-can-keep-guns-off-the-streets/","chicago.suntimes.com",21,0,6,0,0,0,0,0
"congressmanbobbyrush","230753786936538_1589101224435114","Congressman Bobby L. Rush","2017-02-16","2017-02-16 18:22:13","I remain in solidarity with our nation's immigrants who are facing an unprecedented attack by the new administration in the White House. That is why I will hold a immigration policy forum on Thursday, Feb. 23rd at 5:30 p.m. at IIT, 10 W. 35th Street. We need clarity! If interested call my district office at 773-779-2400. #ImmigrantRights","status",NA,NA,49,11,28,2,0,0,0,0
"congressmanbobbyrush","230753786936538_1589400364405200","Congressman Bobby L. Rush","2017-02-16","2017-02-16 22:42:17","Who is next on Trump's growing list of disrespect? Maybe I should ask Fox News to set up a meeting with the President and the growing chorus of people who are asking for a full disclosure of his relationship with Russia? #CBC","link","https://www.washingtonpost.com/news/politics/wp/2017/02/16/trump-asks-a-black-reporter-to-set-up-a-meeting-with-black-members-of-congress/?utm_term=.880a2f180bba","washingtonpost.com",61,14,23,4,2,3,3,17
"congressmanbobbyrush","230753786936538_1589408981071005","Congressman Bobby L. Rush","2017-02-16","2017-02-16 22:52:44",NA,"photo","https://www.facebook.com/congressmanbobbyrush/photos/a.386970837981498.100175.230753786936538/1589408857737684/?type=3",NA,10,13,3,0,0,0,0,0
"congressmanbobbyrush","230753786936538_1595704783774758","Congressman Bobby L. Rush","2017-02-21","2017-02-21 16:54:58","On Thursday I will engage constituents on ""the ban."" I value human rights. I also value the safety of our nation. Yet,  I am concerned that Trump's executive order violates the tenants of our nation and unfairly targets immigrants, many of whom are poor, fleeing tyranny, and or trying to reunite with their families. We are indivisible. There is no morality in the ranking and sorting of human beings. Join me Thursday at 5:30 pm at IIT on Chicago's South Side to share your views. Seating is limited. So get there early. Call my office at 773-779-2400 if you have questions. #TogetherWeStand","status",NA,NA,18,6,6,0,0,0,0,0
"congressmanbobbyrush","230753786936538_1597009266977643","Congressman Bobby L. Rush","2017-02-22","2017-02-22 20:59:53","On Thursday at 5:30 pm. at IIT, 10 W. 35th Street, join me in a spirited discussion about Trump's travel ban and escalating attacks on Sanctuary Cities. The forum, ""Navigating Today's U.S. Immigration Policy,"" will be live streamed on my YouTube channel. Let your voices be heard on the impact of the Trump administration's executive orders that seek to disrupt families and communities across the nation. #HumanRights #TravelBan","photo","https://www.facebook.com/congressmanbobbyrush/photos/a.401417916536790.103175.230753786936538/1597009266977643/?type=3",NA,11,1,5,0,0,0,0,0
