"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"congressmancomer","1888216188065538_1893019717585185","Congressman James Comer","2017-01-04","2017-01-04 00:04:35","http://www.kentucky.com/news/politics-government/article124334784.html","link","http://www.kentucky.com/news/politics-government/article124334784.html","kentucky.com",73,7,5,3,0,0,0,0
"congressmancomer","1888216188065538_1893099714243852","Congressman James Comer","2017-01-04","2017-01-04 03:01:36","Congressman Comer was sworn in to the 115th Congress today. Pictured is his voting card and his Congressional license plate with his seniority rank. Due to his being sworn in immediately following the November election due to former Congressman Whitfield's resignation, Congressman Comer has already moved up 51 spots in seniority after only 6 weeks of service!","photo","https://www.facebook.com/CongressmanComer/photos/a.1888223141398176.1073741828.1888216188065538/1893099714243852/?type=3",NA,256,12,10,10,0,0,0,0
"congressmancomer","1888216188065538_1893580614195762","Congressman James Comer","2017-01-04","2017-01-04 23:11:09","Congressman Comer voted tonight for HR 21 (The Midnight Rules Relief Act) which will prevent President Obama from passing more unnecessary regulations before he leaves office. The regulatory burden that the Obama Administration has placed on our small businesses is one of the biggest issues holding our economy back and preventing Americans from getting good paying jobs.","photo","https://www.facebook.com/CongressmanComer/photos/a.1888223141398176.1073741828.1888216188065538/1893580614195762/?type=3",NA,123,15,12,6,0,0,0,0
"congressmancomer","1888216188065538_1893930874160736","Congressman James Comer","2017-01-05","2017-01-05 13:57:56","Congressman Comer congratulates one of his best friends in the world -- Jeff Hoover R-Jamestown --upon his election as Speaker of the Kentucky House of Representatives in Frankfort this week. He is pictured here taking the oath of office by former Kentucky Senate President and current Judge David Williams. Both Hoover and Williams are Comer's constituents, friends, advisors, and close personal friends.","photo","https://www.facebook.com/CongressmanComer/photos/a.1888223141398176.1073741828.1888216188065538/1893930874160736/?type=3",NA,88,2,2,1,0,0,0,0
"congressmancomer","1888216188065538_1894558537431303","Congressman James Comer","2017-01-06","2017-01-06 15:39:46","Last night Congressman Comer was proud to vote for the REINS Act, which passed the House. It would require Congress to approve all new major regulations  and prevent unelected bureaucrats from holding our economy back.","photo","https://www.facebook.com/CongressmanComer/photos/a.1888223141398176.1073741828.1888216188065538/1894558537431303/?type=3",NA,40,2,2,1,0,0,0,0
"congressmancomer","1888216188065538_1894681514085672","Congressman James Comer","2017-01-06","2017-01-06 19:45:42","The Comer kids have taken over Congressman Comer's DC office.  Call Harlan if you need information on legislation or Aniston to request a tour.  They have it all under control!","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1894665827420574/?type=3",NA,398,17,15,44,2,0,0,0
"congressmancomer","1888216188065538_1896401520580338","Congressman James Comer","2017-01-10","2017-01-10 01:40:15","Congressman Comer is presiding over the floor of the House for the first time tonight! í ¼í·ºí ¼í·¸","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1896401493913674/?type=3",NA,590,20,40,29,0,2,1,0
"congressmancomer","1888216188065538_1896742467212910","Congressman James Comer","2017-01-10","2017-01-10 18:43:59","This morning, Congressman Comer met with Theresa Reno-Weber of Metro United Way and Melissa Clements of United Way of Henderson Co. We love having visitors in our DC Office! Thanks for stopping by!","photo","https://www.facebook.com/CongressmanComer/photos/a.1896742463879577.1073741832.1888216188065538/1896742467212910/?type=3",NA,92,3,2,0,0,0,0,0
"congressmancomer","1888216188065538_1897875413766282","Congressman James Comer","2017-01-12","2017-01-12 14:49:53","It was great to have Leon Owens from Paducah visit the office yesterday!","photo","https://www.facebook.com/CongressmanComer/photos/a.1896742463879577.1073741832.1888216188065538/1897875413766282/?type=3",NA,56,2,1,0,0,0,0,0
"congressmancomer","1888216188065538_1898485383705285","Congressman James Comer","2017-01-13","2017-01-13 18:59:05","Congressman Comer gave his first formal speech on the floor last night.  Check it out!","video","https://www.facebook.com/CongressmanComer/videos/1898485383705285/",NA,290,40,119,12,0,1,1,0
"congressmancomer","1888216188065538_1899691690251321","Congressman James Comer","2017-01-16","2017-01-16 02:24:23","On Martin Luther King Jr. Day we celebrate and remember a great man who changed history and made our country a better place.","photo","https://www.facebook.com/CongressmanComer/photos/a.1888223141398176.1073741828.1888216188065538/1899691690251321/?type=3",NA,49,0,5,0,0,0,0,0
"congressmancomer","1888216188065538_1900007443553079","Congressman James Comer","2017-01-16","2017-01-16 21:45:01","Congressman Comer recently did a thorough 14-minute CSPAN interview on his background and goals for his first year. https://www.c-span.org/video/?421129-9/interview-representative-james-comer","link","https://www.c-span.org/video/?421129-9%2Finterview-representative-james-comer","c-span.org",131,8,19,3,0,0,0,0
"congressmancomer","1888216188065538_1900594243494399","Congressman James Comer","2017-01-17","2017-01-17 19:47:30","Congressman Comer was in Lebanon this morning for a very productive Marion County Industry Roundtable.","photo","https://www.facebook.com/CongressmanComer/photos/a.1888223141398176.1073741828.1888216188065538/1900594243494399/?type=3",NA,36,0,1,1,0,0,0,0
"congressmancomer","1888216188065538_1900723226814834","Congressman James Comer","2017-01-18","2017-01-18 02:26:12","This afternoon Congressman Comer was in Campbellsville where he met with local business leaders and was joined by Senator Max Wise and Representative Bam Carney.","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1900722630148227/?type=3",NA,37,0,6,2,0,0,0,0
"congressmancomer","1888216188065538_1900728910147599","Congressman James Comer","2017-01-18","2017-01-18 02:46:10",NA,"photo","https://www.facebook.com/CongressmanComer/photos/a.1896742463879577.1073741832.1888216188065538/1900728910147599/?type=3",NA,53,2,2,0,0,0,0,0
"congressmancomer","1888216188065538_1902182076668949","Congressman James Comer","2017-01-20","2017-01-20 23:22:32","Here are some pictures that Congressman Comer took at today's historic ceremony.  On Monday we will share pictures of Kentuckians from across KY-01 who traveled to the inauguration. It was a great day!","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1902181013335722/?type=3",NA,299,6,17,22,0,0,0,0
"congressmancomer","1888216188065538_1903906496496507","Congressman James Comer","2017-01-23","2017-01-23 19:07:50","Congressman Comer & TJ Comer were honored to welcome many guests to DC last week for President Trump's inauguration.","photo","https://www.facebook.com/CongressmanComer/photos/a.1903906389829851.1073741833.1888216188065538/1903906496496507/?type=3",NA,90,3,1,1,0,0,0,0
"congressmancomer","1888216188065538_1904014396485717","Congressman James Comer","2017-01-23","2017-01-23 19:30:10","More inauguration pictures","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1904013583152465/?type=3",NA,67,3,2,0,0,0,0,0
"congressmancomer","1888216188065538_1904598203094003","Congressman James Comer","2017-01-24","2017-01-24 18:30:34",NA,"photo","https://www.facebook.com/CongressmanComer/photos/a.1896742463879577.1073741832.1888216188065538/1904555789764911/?type=3",NA,21,1,0,0,0,0,0,0
"congressmancomer","1888216188065538_1904698589750631","Congressman James Comer","2017-01-24","2017-01-24 22:45:32","Congressman Comer voted for and co-sponsored the No Taxpayer Funding for Abortion Act (H.R.7), which passed the House of Representatives by a vote of 238-183.","photo","https://www.facebook.com/CongressmanComer/photos/a.1888223141398176.1073741828.1888216188065538/1904698589750631/?type=3",NA,256,23,30,25,0,1,0,0
"congressmancomer","1888216188065538_1905290523024771","Congressman James Comer","2017-01-25","2017-01-25 21:34:17",NA,"photo","https://www.facebook.com/TheFamilyFoundation/photos/a.10150503891653616.366437.93973548615/10154263187913616/?type=3",NA,188,15,0,16,0,0,0,0
"congressmancomer","1888216188065538_1905746012979222","Congressman James Comer","2017-01-26","2017-01-26 18:22:27","Two members of Congressman Comer's field team visited Ohio County yesterday.","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1905742076312949/?type=3",NA,34,2,4,1,0,0,0,0
"congressmancomer","1888216188065538_1905861759634314","Congressman James Comer","2017-01-27","2017-01-27 00:01:09","Congressman Comer is in Philadelphia with all the Republican Representatives and Senators to discuss policy and map out a strategy to pass major legislation.  President Trump, Vice-President Pence and British Prime Minister Theresa May all spoke today. Here are some pictures from the retreat:","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1905861526301004/?type=3",NA,189,7,7,3,0,0,0,0
"congressmancomer","1888216188065538_1906439269576563","Congressman James Comer","2017-01-28","2017-01-28 04:27:53","Congressman Comer spent the evening with a large crowd of 800+ celebrating business and industry at the Paducah Area Chamber of Commerce Annual Dinner.","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1906438776243279/?type=3",NA,70,3,4,3,0,0,0,0
"congressmancomer","1888216188065538_1907357192818104","Congressman James Comer","2017-01-29","2017-01-29 23:30:24","Congratulations to Congressman Comer's hometown Monroe County Lady Falcons Basketball Team upon winning the Kentucky Class A State Basketball Tournament today in Frankfort!","photo","https://www.facebook.com/CongressmanComer/photos/a.1894681534085670.1073741831.1888216188065538/1907357156151441/?type=3",NA,185,2,8,8,0,0,0,0
