"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"congressmangkbutterfield","274687979233940_1230925576943504","Congressman G. K. Butterfield","2017-01-01","2017-01-01 13:01:09","Happy New Year! Wishing you a blessed, healthy, and happy 2017!","photo","https://www.facebook.com/congressmangkbutterfield/photos/a.367090353327035.79285.274687979233940/1230925576943504/?type=3",NA,79,7,1,5,0,0,0,0
"congressmangkbutterfield","274687979233940_1232632693439459","Congressman G. K. Butterfield","2017-01-03","2017-01-03 14:33:10","This morning, I join my colleagues for the ceremonial swearing-in of the Congressional Black Caucus for the 115th Congress. It has been a distinct honor to have been selected by my colleagues to serve as the Chairman of the Caucus for the 114th Congress. I commend Congressman Cedric Richmond of Louisiana on becoming the incoming Chairman of the Caucus. We have much work to do in the coming years and I am confident that Congressman Richmond will be a strong leader on our priorities and interests.  Watch the swearing-in LIVE here: cbcfinc.org/live","photo","https://www.facebook.com/congressmangkbutterfield/photos/a.367090353327035.79285.274687979233940/1232632693439459/?type=3",NA,193,15,14,16,1,0,0,0
"congressmangkbutterfield","274687979233940_1232981283404600","Congressman G. K. Butterfield","2017-01-03","2017-01-03 22:23:04","Today, the House of Representatives held its first session of the 115th Congress. Thank you to the people of the great First District of North Carolina for the opportunity to serve you. I stand ready to fight for our needs and interests every step of the way.","photo","https://www.facebook.com/congressmangkbutterfield/photos/a.367090353327035.79285.274687979233940/1232981283404600/?type=3",NA,59,4,5,4,0,0,0,0
"congressmangkbutterfield","274687979233940_1233487926687269","Congressman G. K. Butterfield","2017-01-04","2017-01-04 14:30:33","To remain competitive in today's economy, we must invest in modern transportation infrastructure. I am proud of the strides being made in eastern NC to improve all modes of transportation.   http://www.rockymounttelegram.com/News/2017/01/03/Transportation-plans-move-forward.html","link","http://www.rockymounttelegram.com/News/2017/01/03/Transportation-plans-move-forward.html","rockymounttelegram.com",42,0,5,0,0,0,0,0
"congressmangkbutterfield","274687979233940_1235321346503927","Congressman G. K. Butterfield","2017-01-06","2017-01-06 15:09:50","Temps are expected to fall below and remain below freezing this weekend. Be sure to protect your pipes. See the image for tips to get your home ready for the winter weather.","photo","https://www.facebook.com/edgecombecountync/photos/a.10151734230539575.1073741829.301996069574/10154997720634575/?type=3",NA,15,1,0,0,0,0,0,0
"congressmangkbutterfield","274687979233940_1238302639539131","Congressman G. K. Butterfield","2017-01-10","2017-01-10 00:42:01","Proud to see Congressman Richard Hudson and my bipartisan bill to allow first responders to provide life-saving medications during emergencies unanimously pass the House today. This bill now heads to the U.S. Senate.  Read my full statement here: https://butterfield.house.gov/media-center/press-releases/butterfield-hudson-bipartisan-ems-bill-passes-house","link","https://butterfield.house.gov/media-center/press-releases/butterfield-hudson-bipartisan-ems-bill-passes-house","butterfield.house.gov",95,4,17,7,0,0,0,0
"congressmangkbutterfield","274687979233940_1239084639460931","Congressman G. K. Butterfield","2017-01-10","2017-01-10 22:05:18","I am proud to join Congressman David Price and Congresswoman Alma S. Adams in support of Governor Roy Cooper's plan to expand Medicaid. Republicans want to roll back coverage and make our families' health care a political football, but I stand ready to fight for access to care for more North Carolinians.","photo","https://www.facebook.com/congressmangkbutterfield/photos/a.367090353327035.79285.274687979233940/1239084526127609/?type=3",NA,148,10,17,14,0,0,0,0
"congressmangkbutterfield","274687979233940_1239129326123129","Congressman G. K. Butterfield","2017-01-10","2017-01-10 23:29:22","We need to be very honest with ourselves about what the war on the Affordable Care Act means for our communities. The reality is that — despite years of misdirection by Republicans — the ACA is making real, meaningful change for families across eastern North Carolina. Seniors know we have their backs. Young people are able to stay on their parents’ plans until they turn 26. And local hospitals are getting the support they need to serve our communities in the best way they know how. That’s something worth fighting for, that's why I say 'Thanks, Obama' — and that’s why I’m not backing down.","photo","https://www.facebook.com/congressmangkbutterfield/photos/a.367090353327035.79285.274687979233940/1239129326123129/?type=3",NA,68,6,11,10,0,0,0,0
"congressmangkbutterfield","274687979233940_1240521852650543","Congressman G. K. Butterfield","2017-01-12","2017-01-12 13:58:56","President Obama, what an honor it has been to work with you to move our country forward. Thank you for your leadership. I'm ready to keep fighting for the progress we've made. #TBT","photo","https://www.facebook.com/congressmangkbutterfield/photos/a.367090353327035.79285.274687979233940/1240521852650543/?type=3",NA,212,4,20,26,1,1,0,1
"congressmangkbutterfield","274687979233940_1240577632644965","Congressman G. K. Butterfield","2017-01-12","2017-01-12 15:18:20","Deadline Extended - Those impacted by Hurricane Matthew now have until January 23 to apply for assistance. This applies to homeowners, renters, and businesses.   Register by Jan. 23 with FEMA Federal Emergency Management Agency online at DisasterAssistance.gov or call the FEMA Helpline at 800-621-3362.","photo","https://www.facebook.com/congressmangkbutterfield/photos/a.367090353327035.79285.274687979233940/1240577632644965/?type=3",NA,8,0,6,0,0,0,0,0
