"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"congressmanjohndelaney","324527257655694_1098921570216255","Congressman John K. Delaney","2017-01-02","2017-01-02 15:31:00","Congratulations, Levi!","link","http://www.heraldmailmedia.com/news/local/williamsport-firefighter-among-best-high-school-firefighting-students-in-nation/article_d01125bf-a5fa-54a0-bb3d-a7efc8202cf1.html","heraldmailmedia.com",40,0,11,1,0,0,0,0
"congressmanjohndelaney","324527257655694_1100388196736259","Congressman John K. Delaney","2017-01-03","2017-01-03 14:24:18","The House of Representatives is in session this week. Here's what we're scheduled to vote on:","link","http://delaney.house.gov/news/blogs/on-the-house-floor-this-week-132017","delaney.house.gov",23,16,3,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1100607256714353","Congressman John K. Delaney","2017-01-03","2017-01-03 20:27:06","I am truly humbled to represent the people of Maryland’s Sixth District in the House, and I look forward to standing up for them again this Congress. After a very contentious 2016 and with a new Administration moving into the White House, many Marylanders are anxious about what will happen next. I believe that we must re-embrace our core values of fairness, civility and respect for all and rededicate ourselves to advancing policies that create jobs and make government more effective.  Click here to read my full statement:","link","http://delaney.house.gov/news/press-releases/delaney-statement-on-opening-of-115th-congress","delaney.house.gov",108,12,3,4,0,0,0,0
"congressmanjohndelaney","324527257655694_1101240219984390","Congressman John K. Delaney","2017-01-05","2017-01-05 00:01:00","Let's stay in touch. Click here to subscribe to our e-newsletter to receive updates on my legislative work and constituent services events in your neighborhood","link","https://delaney.house.gov/contact/newsletter","delaney.house.gov",34,4,1,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1101859449922467","Congressman John K. Delaney","2017-01-05","2017-01-05 14:45:05","Joined four of my colleagues in speaking out on a new House rule change designed to target federal employees.  “Federal employees work in every congressional district to provide vital services that help keep our nation healthy, safe and strong, but with this rule House Republicans would instead treat these civil servants like political pawns and scapegoats,” national capital area lawmakers said in a Jan. 3 statement. “We urge the GOP leadership to withdraw this harmful provision and show support for the federal workforce.”","link","http://federalnewsradio.com/congress/2017/01/blast-past-house-reinstates-rule-targeting-agency-spending-employee-salaries/","federalnewsradio.com",79,28,21,2,0,3,0,8
"congressmanjohndelaney","324527257655694_1102185026556576","Congressman John K. Delaney","2017-01-06","2017-01-06 00:03:41","I have opposed defunding Planned Parenthood in the past and will do so again. Defunding Planned Parenthood is wrong, it’s an attack on women’s health and will reduce access to needed services that many families rely upon. - John","link","http://www.cnn.com/2017/01/05/politics/paul-ryan-planned-parenthood-obamacare/","cnn.com",193,39,21,11,0,3,4,5
"congressmanjohndelaney","324527257655694_1102743033167442","Congressman John K. Delaney","2017-01-08","2017-01-08 21:49:01",NA,"photo","https://www.facebook.com/congressmanjohndelaney/photos/a.325893790852374.72988.324527257655694/1102743033167442/?type=3",NA,12,1,2,1,0,0,0,0
"congressmanjohndelaney","324527257655694_1102996096475469","Congressman John K. Delaney","2017-01-07","2017-01-07 01:41:04","Congratulations to the Long family on the award and on 185 years of business in Washington County!","link","http://www.heraldmailmedia.com/news/local/seventh-generation-dairy-operation-named-washington-county-farm-of-the/article_84631d38-d451-11e6-8c27-a331d281145a.html","heraldmailmedia.com",38,1,0,2,0,0,0,0
"congressmanjohndelaney","324527257655694_1104894536285625","Congressman John K. Delaney","2017-01-09","2017-01-09 23:44:00","“If the next President and leaders in Congress want to rebuild America in a fiscally-responsible way that has deep bipartisan support, we’ve given them a blueprint. A bold infrastructure-tax deal that combines legitimate support for new projects and pro-growth reform would be transformative for the country, for our economy and our quality of life,” said Congressman Delaney. “Congressman Yoho, Congressman Davis and I represent different districts and bring different perspectives to Washington, but we see the same set of facts and we’re excited to lead the effort to get a smart and fair infrastructure-tax deal done.”","link","http://delaney.house.gov/news/press-releases/delaney-yoho-davis-to-introduce-bipartisan-bills-using-international-tax-reform","delaney.house.gov",43,2,2,2,0,0,0,0
"congressmanjohndelaney","324527257655694_1105634279544984","Congressman John K. Delaney","2017-01-10","2017-01-10 18:36:41","Had a great time speaking with students from Mr. Short's AP Government class at Poolesville High School and taking their questions about Congress.","photo","https://www.facebook.com/congressmanjohndelaney/photos/a.325893790852374.72988.324527257655694/1105634279544984/?type=3",NA,45,0,3,1,0,0,0,0
"congressmanjohndelaney","324527257655694_1106396779468734","Congressman John K. Delaney","2017-01-11","2017-01-11 18:41:30","This ARC grant is all about jobs and economic development; it’s good for Cumberland and is another step in downtown revitalization. I commend Mayor Grim and all city officials for stepping up and getting this done. Projects like this are why I’m fighting hard for a new infrastructure program in Congress and why I’ve called for more federal support for Western Maryland - John","link","http://delaney.house.gov/news/press-releases/delaney-applauds-federal-grant-for-road-improvements-in-cumberland","delaney.house.gov",9,1,3,1,0,0,0,0
"congressmanjohndelaney","324527257655694_1107163072725438","Congressman John K. Delaney","2017-01-12","2017-01-12 15:17:03","Let's stay connected - click here to subscribe to our e-newsletter and receive updates on key votes in Congress and invitations to constituent events in your neighborhood","link","https://delaney.house.gov/contact/newsletter","delaney.house.gov",4,0,0,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1107405119367900","Congressman John K. Delaney","2017-01-12","2017-01-12 22:28:00","Maryland veterans come to us nearly every day because they are frustrated and need assistance. The WINGMAN Act cuts out the middleman, helps veterans get answers more quickly and reduces VA bureaucracy. The faster that veterans can receive information on the status of their applications and appeals, the faster they can update their claims, provide additional materials and find resolution. - John","link","http://delaney.house.gov/news/press-releases/delaney-cosponsors-bipartisan-legislation-to-expedite-constituent-services-for","delaney.house.gov",46,6,6,3,0,0,0,0
"congressmanjohndelaney","324527257655694_1107998155975263","Congressman John K. Delaney","2017-01-13","2017-01-13 16:33:03","Our prayers are with Katie Malone and her family.","link","https://www.google.com/amp/www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-fire-20170112-story,amp.html","google.com",16,2,0,2,0,0,31,0
"congressmanjohndelaney","324527257655694_1108182792623466","Congressman John K. Delaney","2017-01-15","2017-01-15 18:26:31","On Friday I voted against repealing the Affordable Care Act. Repealing the ACA with no replacement could lead to a significant public health crisis, increases our national debt and is an irresponsible way to govern.","link","http://delaney.house.gov/news/press-releases/delaney-votes-against-legislation-to-begin-repeal-of-affordable-care-act","delaney.house.gov",269,48,7,16,0,0,2,2
"congressmanjohndelaney","324527257655694_1108182939290118","Congressman John K. Delaney","2017-01-13","2017-01-13 21:25:59","Just walked off the House floor, where I voted against repealing the Affordable Care Act. Hard-edged partisan politics has eroded confidence in government and caused it to function at a low standard. I’ve never seen a better example of that than with the resolution we considered today, which could lead to a public health crisis and avoids serious policy-making. Here's my floor speech as we debated the legislation:","video","https://www.facebook.com/congressmanjohndelaney/videos/1108182939290118/",NA,543,130,140,45,0,9,5,7
"congressmanjohndelaney","324527257655694_1108198145955264","Congressman John K. Delaney","2017-01-16","2017-01-16 13:32:31",NA,"photo","https://www.facebook.com/congressmanjohndelaney/photos/a.325893790852374.72988.324527257655694/1108198145955264/?type=3",NA,34,4,5,4,0,0,0,0
"congressmanjohndelaney","324527257655694_1110467619061650","Congressman John K. Delaney","2017-01-16","2017-01-16 18:37:34","With Catherine Leggett, Vivian Malloy and Wilbur Malloy at today's annual Alpha Phi Alpha MLK Breakfast.","photo","https://www.facebook.com/congressmanjohndelaney/photos/a.325893790852374.72988.324527257655694/1110467619061650/?type=3",NA,18,0,0,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1110653025709776","Congressman John K. Delaney","2017-01-17","2017-01-17 01:20:00","Always wonderful seeing so many people joining together at the MLK Day of Service organized by the Montgomery County Volunteer Center.","video","https://www.facebook.com/congressmanjohndelaney/videos/1110653025709776/",NA,39,2,1,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1111255858982826","Congressman John K. Delaney","2017-01-18","2017-01-18 11:09:00","I encourage you to take a moment to read this story about Edward R. Glenn Jr.","link","http://www.heraldmailmedia.com/news/local/remembering-washington-county-s-first-casualty-of-the-vietnam-war/article_9c50dee6-daa3-11e6-a80a-431ffcf53b5b.html","heraldmailmedia.com",18,3,3,0,0,0,11,0
"congressmanjohndelaney","324527257655694_1112419945533084","Congressman John K. Delaney","2017-01-19","2017-01-19 04:42:58","As someone who founded and led two publicly-traded companies, it is always important to me to hear from local entrepreneurs and get their feedback.","link","http://www.heraldmailmedia.com/news/local/delaney-offers-encouragement-advice-to-local-entrepreneurs/article_043766c6-dde5-11e6-ac9e-1f0a95788087.html","heraldmailmedia.com",31,1,7,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1113105222131223","Congressman John K. Delaney","2017-01-20","2017-01-20 02:28:12","I shared my thoughts in the Washington Post on the inauguration and why I will be there on Friday. You can read it here:","link","https://www.washingtonpost.com/opinions/three-members-of-congress-explain-why-theyre-going-to-trumps-inauguration--or-boycotting-it/2017/01/19/cb4e2b80-de7d-11e6-ad42-f3375f271c9c_story.html?utm_term=.4f5d9ab53416","washingtonpost.com",91,18,11,7,0,0,2,8
"congressmanjohndelaney","324527257655694_1114660498642362","Congressman John K. Delaney","2017-01-21","2017-01-21 23:08:18","Can't believe that the Trump Administration shut down the National Park Service's Twitter account because they were upset at the comparison of inauguration crowd sizes. Sad!","link","http://www.cnn.com/2017/01/21/politics/trump-national-park-service-tweets/index.html","cnn.com",155,82,105,5,12,12,31,90
"congressmanjohndelaney","324527257655694_1116356658472746","Congressman John K. Delaney","2017-01-23","2017-01-23 16:29:38","This week, the House of Representatives will be in session. Here's what we're scheduled to vote on:","link","http://delaney.house.gov/news/blogs/on-the-house-floor-this-week-12317","delaney.house.gov",33,16,14,0,0,0,0,1
"congressmanjohndelaney","324527257655694_1116918775083201","Congressman John K. Delaney","2017-01-24","2017-01-24 01:55:40","For a safer and more reliable ride for Marylanders, we need big reforms at Metro. That's why I'm drafting new legislation to bring forward comprehensive changes to improve the way Metro is funded and governed. Our effort was highlighted in this editorial by the Washington Post.","link","https://www.washingtonpost.com/opinions/metro-rises-to-the-occasion-but-next-time/2017/01/23/b3c2bd88-e1b5-11e6-a547-5fb9411d332c_story.html?utm_term=.f5e13846347a","washingtonpost.com",58,2,1,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1117846138323798","Congressman John K. Delaney","2017-01-24","2017-01-24 19:53:52","I am encouraged by the Senate infrastructure proposal, which includes both funding and financing, and am interested in seeing further details on how it is paid for. We have a Republican-led government, but infrastructure will need Democratic votes, so the key now is finding a way to get to a bipartisan bill and after meeting with hundreds of members of Congress over the last four years on this issue, I am convinced the best way to get this done is through international tax reform.","link","http://delaney.house.gov/news/press-releases/delaney-on-senate-infrastructure-proposal-the-key-is-how-we-pay-for-it","delaney.house.gov",46,10,1,0,0,0,0,0
"congressmanjohndelaney","324527257655694_1119080664867012","Congressman John K. Delaney","2017-01-25","2017-01-25 15:05:13","This is a misguided and ill-informed move, I am concerned that we will see significant problems with attrition, which will ultimately make federal agencies less effective and less innovative by shutting the next generation out of federal public service. Demonizing federal workers may be good politics for President Trump, but it’s really bad policy.","link","http://www.militarytimes.com/articles/trump-hiring-freeze-dod-va-veterans","militarytimes.com",100,37,21,2,1,1,21,42
"congressmanjohndelaney","324527257655694_1120297068078705","Congressman John K. Delaney","2017-01-26","2017-01-26 16:46:26","I am very troubled by reports that government scientists are being ordered by the new Administration not to talk about their research. Hard to know how we can choose and implement the right policies when we aren't grounding our decisions in facts.","photo","https://www.facebook.com/congressmanjohndelaney/photos/a.325893790852374.72988.324527257655694/1120297068078705/?type=3",NA,200,27,30,17,0,5,3,2
