"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"congressmanrodblum","1525881227682054_1826146504322190","Congressman Rod Blum","2017-01-01","2017-01-01 01:07:22","Thankful for this year's many blessings and optimistic about returning government to the people in 2017.   #IA01","status",NA,NA,51,1,2,0,0,0,0,0
"congressmanrodblum","1525881227682054_1826605800942927","Congressman Rod Blum","2017-01-01","2017-01-01 23:08:31","Hoping for full recovery for UNI Football great David Johnson after injury in today's game   #IA01","status",NA,NA,24,1,0,0,0,0,0,0
"congressmanrodblum","1525881227682054_1826932340910273","Congressman Rod Blum","2017-01-02","2017-01-02 17:03:08","Good luck to Hawkeye Football today and look out for #IA01 bands Waverly-Shell Rock Senior High School & Western Dubuque High School at halftime!  http://www.kcrg.com/content/news/Local-high-schools-get-involved-in-Outback-Bowl-festivities-409227565.html","link","http://www.kcrg.com/content/news/Local-high-schools-get-involved-in-Outback-Bowl-festivities-409227565.html","kcrg.com",33,1,0,1,0,0,0,0
"congressmanrodblum","1525881227682054_1827450344191806","Congressman Rod Blum","2017-01-03","2017-01-03 18:04:37","I was opposed to the measure that would have reduced the authority of the Office of Congressional Ethics, and am glad to see the provision removed from the Rules of the 115th Congress. I appreciate all the folks from Iowa who have called to express their opinion on this issue -- thank you for participating in our form of government!","status",NA,NA,79,10,7,5,0,0,0,0
"congressmanrodblum","1525881227682054_1827576437512530","Congressman Rod Blum","2017-01-04","2017-01-04 01:16:00","Had good conversations today with Ted Cruz & Congressman Ron DeSantis about term limits bill.  #IA01","link","http://wcfcourier.com/news/local/govt-and-politics/blum-to-reintroduce-drain-the-swamp-bills/article_ed014388-769a-5533-9dc3-ede3db5f2007.html","cfcourier.com",110,15,25,6,0,1,0,2
"congressmanrodblum","1525881227682054_1827999080803599","Congressman Rod Blum","2017-01-04","2017-01-04 22:19:33","Good news - House just passed my bill to protect whistleblowers who expose fraud and abuse in the Federal Government!  #DrainTheSwamp  #IA01","video","https://www.facebook.com/congressmanrodblum/videos/1827999080803599/",NA,263,19,82,16,1,0,0,0
"congressmanrodblum","1525881227682054_1828476564089184","Congressman Rod Blum","2017-01-05","2017-01-05 22:28:32","I voted for the Midnight Rules Relief Act to stop last minute executive regulations, right call to get economy back on track #IA01","photo","https://www.facebook.com/congressmanrodblum/photos/a.1525952627674914.1073741828.1525881227682054/1828476564089184/?type=3",NA,35,3,0,1,0,0,0,2
"congressmanrodblum","1525881227682054_1828509704085870","Congressman Rod Blum","2017-01-06","2017-01-06 00:26:07","I met Mr. John Lewis today. He's in charge of the bunting and carpeting for the Inauguration. #IA01","photo","https://www.facebook.com/congressmanrodblum/photos/a.1525952627674914.1073741828.1525881227682054/1828509704085870/?type=3",NA,25,2,0,0,0,0,0,0
"congressmanrodblum","1525881227682054_1828551667415007","Congressman Rod Blum","2017-01-06","2017-01-06 03:06:54","Good discussion today with Senator Rand Paul and the House Freedom Caucus about the need to get serious about balancing the budget.","photo","https://www.facebook.com/congressmanrodblum/photos/a.1532206757049501.1073741829.1525881227682054/1828551574081683/?type=3",NA,74,9,4,2,0,1,0,0
"congressmanrodblum","1525881227682054_1828829644053876","Congressman Rod Blum","2017-01-06","2017-01-06 16:59:38","Joined with Rep. David Young, Congressman Steve King, Senator Chuck Grassley, and Senator Joni Ernst to reintroduce Sarah's Law in 115th Congress  #IA01  http://www.nonpareilonline.com/news/local/roots-are-ecstatic-at-reintroduction-of-sarah-s-law/article_affa0299-7fa2-57b3-aac5-d8f0f4e50c17.html","link","http://www.nonpareilonline.com/news/local/roots-are-ecstatic-at-reintroduction-of-sarah-s-law/article_affa0299-7fa2-57b3-aac5-d8f0f4e50c17.html","nonpareilonline.com",31,3,3,2,0,0,0,0
"congressmanrodblum","1525881227682054_1828963177373856","Congressman Rod Blum","2017-01-06","2017-01-06 22:24:15","Our office is now accepting applications for internships this spring semester, please apply at https://blum.house.gov/services/internships  #IA01","link","https://blum.house.gov/services/internships","blum.house.gov",3,1,1,0,0,0,0,0
"congressmanrodblum","1525881227682054_1829322184004622","Congressman Rod Blum","2017-01-07","2017-01-07 17:55:19","Business can't continue as usual, we owe it to veterans to end this behavior #IA01","link","http://dailycaller.com/2017/01/06/fed-watchdog-exposes-vas-40-million-bonus-slush-fund/","dailycaller.com",47,14,25,0,0,4,2,20
"congressmanrodblum","1525881227682054_1829458130657694","Congressman Rod Blum","2017-01-08","2017-01-08 00:23:38","Favorite selfie this week w/ Justin Amash Congressman Thomas Massie! Good to be back among liberty loving friends in DC  #IA01 #AuditTheFed","photo","https://www.facebook.com/congressmanrodblum/photos/a.1525952627674914.1073741828.1525881227682054/1829458130657694/?type=3",NA,136,14,22,9,0,0,0,0
