"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"congresswomanbonamici","252633384817156_118299152102483","Congresswoman Suzanne Bonamici","2017-06-20","2017-06-20 22:43:28","On Monday, June 26 at 6:00 p.m. Pacific, I will be holding a Telephone Town Hall Meeting. During this call I will be discussing my work to hold the Trump Administration accountable, strengthen public education, and help working families get ahead. I look forward to answering your questions.   Pre-registration for this event has now closed. If you would like to participate, please call 888-476-4201 on Monday, June 26 at 6:00pm Pacific.","event","https://www.facebook.com/events/118299152102483/",NA,10,0,0,0,0,0,0,0
"congresswomanbonamici","252633384817156_1238859722861179","Congresswoman Suzanne Bonamici","2017-01-03","2017-01-03 21:58:04","It’s an honor to return to Congress representing Northwest Oregon, one of our nation’s most innovative and economically diverse regions. I will continue to stand up for policies that support working families, increase opportunities for American workers and businesses, strengthen public education, protect our environment, and support seniors and the vulnerable.","link","http://bonamici.house.gov/press-release/bonamici-sworn-third-term-congress","bonamici.house.gov",614,56,14,58,0,1,1,4
"congresswomanbonamici","252633384817156_1239649299448888","Congresswoman Suzanne Bonamici","2017-01-04","2017-01-04 22:12:42","This session there is more diversity in Congress, but less than 20 percent of the members are women. Today I was proud to stand with the Democratic women of the House to highlight our progress. Congress will better serve the American people when it accurately represents the population.","photo","https://www.facebook.com/CongresswomanBonamici/photos/a.280161715397656.67149.252633384817156/1239649299448888/?type=3",NA,386,19,28,48,2,1,0,0
"congresswomanbonamici","252633384817156_1240449392702212","Congresswoman Suzanne Bonamici","2017-01-05","2017-01-05 23:29:17","We must not go back to the days when health insurance companies discriminated against women. Under the Affordable Care Act, women cannot be charged higher premiums simply because of their gender. And under the #ACA, women have better access to primary and preventive care. Repealing the ACA would take away those protections. #ProtectOurCare","photo","https://www.facebook.com/CongresswomanBonamici/photos/a.280161715397656.67149.252633384817156/1240449392702212/?type=3",NA,140,24,19,7,0,0,1,12
"congresswomanbonamici","252633384817156_1241212362625915","Congresswoman Suzanne Bonamici","2017-01-06","2017-01-06 22:21:18","Today the vote of the electoral college was certified in the House Chamber. Although I am deeply disappointed with the results of the election, I will stand my ground to advocate for policies that promote tolerance and equality. To move our country forward we will need to work together on behalf of all of our constituents, and I will be doing just that.","status",NA,NA,249,32,1,18,0,0,10,0
"congresswomanbonamici","252633384817156_1243449742402177","Congresswoman Suzanne Bonamici","2017-01-09","2017-01-09 22:44:00","All presidential nominees should be held to the same high standards, including undergoing complete ethics and background checks before their confirmation hearings.","photo","https://www.facebook.com/senschumer/photos/a.10150113225969407.290747.15771239406/10154959595244407/?type=3",NA,276,20,0,42,15,1,0,1
"congresswomanbonamici","252633384817156_1243483035732181","Congresswoman Suzanne Bonamici","2017-01-10","2017-01-10 01:12:02","Today the House passed the bipartisan bill I've been working on to improve weather forecasting and research. More accurate and timely weather forecasts will help NW Oregonians decide when to harvest their crops, when to go to sea to fish, and how to prepare for possible flood conditions. I’m proud to see this progress, and hope the Senate passes the bill soon.","link","http://democrats.science.house.gov/press-release/house-passes-bipartisan-weather-research-bill","democrats.science.house.gov",192,12,7,9,0,1,0,0
"congresswomanbonamici","252633384817156_1244251728988645","Congresswoman Suzanne Bonamici","2017-01-10","2017-01-10 22:07:38","People on the coast need better tsunami warnings so they can make it to safety. We must do more to help coastal communities prepare. I’m proud to re-introduce my Tsunami Warning, Education, and Research Act with a great group of bipartisan colleagues.","link","http://bonamici.house.gov/press-release/coastal-leaders-urge-congress-prepare-communities-tsunami","bonamici.house.gov",94,6,1,4,0,0,0,0
"congresswomanbonamici","252633384817156_1244837262263425","Congresswoman Suzanne Bonamici","2017-01-11","2017-01-11 16:54:44","It is tragic that we've already lost four Oregonians to this unusually cold and snowy winter. Please call 911 if you see someone in need of immediate assistance, and call 211 or visit 211info.org for shelter info. Road conditions are dangerous, so please check road closures, use chains where required, and exercise caution if you must travel. #WinterStorm #WinterSafety","link","http://www.oregonlive.com/portland/index.ssf/2017/01/wheeler_kafoury_ask_for_help_a.html","oregonlive.com",59,6,25,2,0,0,21,0
"congresswomanbonamici","252633384817156_1244959758917842","Congresswoman Suzanne Bonamici","2017-01-11","2017-01-11 19:52:07","President-elect Trump’s press conference raised a lot of questions. Turning his business operations over to his sons abandons the longstanding presidential practice of placing assets in a blind trust and divesting from personal business dealings. I’m proud to support the Presidential Conflict of Interests Act, which would require a blind trust. Americans deserve to know that the President will focus on keeping the nation secure and improving the lives of Americans, not on his own financial interests.","video","https://www.facebook.com/oversightdems/videos/10154958187494048/",NA,155,23,0,7,1,1,0,0
