"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"darrellissa","19463427992_10154280794132993","Darrell Issa","2017-01-03","2017-01-03 02:54:35","Tomorrow marks the first day of our new Congress and first thing in the morning I'll be introducing my bill - the Midnight Rules Relief Act - that will help us reverse the growing tide of last-minute regulations costing jobs, hiking costs on families and dragging down economic growth.","link","http://www.usatoday.com/story/news/politics/2017/01/02/republican-congress-puts-priority-targeting-regulations-trump/96003180/","usatoday.com",1057,59,106,74,2,0,1,7
"darrellissa","19463427992_10154282946182993","Darrell Issa","2017-01-03","2017-01-03 23:11:30","Just introduced my bill, with bipartisan support, to help us undo last-minute regulations from killing jobs and hiking costs on families. The House will pass it later this week.","link","http://go.usa.gov/x94G7","go.usa.gov",1045,36,138,98,12,4,0,1
"darrellissa","19463427992_10154282980437993","Darrell Issa","2017-01-04","2017-01-04 02:41:00","Thrilled, humbled and honored to be sworn in today as a member of the 115th Congress by Speaker Paul Ryan. Ready to get back to work!","photo","https://www.facebook.com/darrellissa/photos/a.140015987992.104938.19463427992/10154282980437993/?type=3",NA,1103,102,23,53,2,2,0,2
"darrellissa","19463427992_10154283026462993","Darrell Issa","2017-01-03","2017-01-03 23:54:54","I did not vote in favor of the ethics changes discussed last night in conference. I believe reforms to the Congressional ethics process should be done in an open, transparent, and bipartisan fashion. I have consistently worked to increase transparency in government, including successfully passing bipartisan Freedom of Information Act reforms, government spending transparency legislation, and by co-chairing the Congressional Transparency Caucus where I've supported further open government initiatives with colleagues from both sides of the aisle. Any changes should be done together, in the open, and on a bipartisan basis.","status",NA,NA,606,64,25,21,0,0,0,0
"darrellissa","19463427992_10154284527767993","Darrell Issa","2017-01-04","2017-01-04 15:39:24","Great news for our veterans!","link","http://www.latimes.com/nation/la-na-bonus-repayments-20170103-story.html","latimes.com",131,11,0,3,0,4,1,1
"darrellissa","19463427992_10154284664772993","Darrell Issa","2017-01-04","2017-01-04 16:25:14","Just introduced important legislation to stop the outsourcing of American jobs through abuse of our high-skilled visa program, like we've seen at SoCal Edison, Disney and others. Bill stops the abuse and ensures these high-skilled spots are available to help America attract the best and brightest talent from around the world.","link","https://t.co/AYCj7zduLH","t.co",432,41,54,37,0,2,0,2
"darrellissa","19463427992_10154285368477993","Darrell Issa","2017-01-04","2017-01-04 22:19:25","✅  We promised to hit the ground running from day one. And that's just what we did. The House just passed my bill to stop last-minute Obama admin regulations from killing jobs and raising costs on families. http://go.usa.gov/x92Rb","link","http://go.usa.gov/x92Rb","go.usa.gov",617,42,84,54,2,1,0,4
"darrellissa","19463427992_10154285455697993","Darrell Issa","2017-01-05","2017-01-05 02:45:00","Veterans are leading San Diego to become one of the biggest hubs for startups and job creation","video","https://www.facebook.com/darrellissa/videos/10154285455697993/",NA,158,10,10,10,0,5,0,0
"darrellissa","19463427992_10154285504207993","Darrell Issa","2017-01-05","2017-01-05 04:59:00","Freshly signed my Oath of Office to support and defend the Constitution this morning. It’s truly an honor to serve the people of California. Can't wait to get to work creating jobs, growing the economy, and creating opportunity for all to succeed!","photo","https://www.facebook.com/darrellissa/photos/a.140015987992.104938.19463427992/10154285502692993/?type=3",NA,983,107,23,53,0,2,1,1
"darrellissa","19463427992_10154285565942993","Darrell Issa","2017-01-05","2017-01-05 08:00:00","My bill, which passed the House last night, will help us repeal President Obama's ""midnight regulation express"" rushing through droves of costly new mandates, just before he leaves office.","link","http://www.wsj.com/articles/obamas-midnight-regulation-express-1482451192","wsj.com",1315,136,253,91,12,14,3,63
"darrellissa","19463427992_10154287047997993","Darrell Issa","2017-01-05","2017-01-05 15:50:10","San Diego companies are making a real show of force at this years Consumer Electronics Show (CES) in Vegas! Can't wait to check out all the incredible new products this weekend. See you at the show!","link","http://www.sandiegouniontribune.com/business/sd-fi-qualcomm-snapdragon835-story.html","sandiegouniontribune.com",34,5,3,0,0,0,0,0
"darrellissa","19463427992_10154287124617993","Darrell Issa","2017-01-05","2017-01-05 19:59:27","""If we can work together, we can solve a lot of our problems!"" Joined Fox & Friends this morning on Fox News to talk about my plan to stop the outsourcing of American jobs and fix our broken immigration system. Take a look!","video","https://www.facebook.com/darrellissa/videos/10154287124617993/",NA,295,24,26,18,0,4,0,0
"darrellissa","19463427992_10154288254987993","Darrell Issa","2017-01-06","2017-01-06 00:55:16","Today I am proud to stand with my House colleagues on both sides of the aisle in support of our close ally Israel and in rejection of last month’s UN Security Council Resolution as it is an obstacle to peace.","link","http://www.jpost.com/Israel-News/Politics-And-Diplomacy/House-passes-resolution-condemning-UN-for-Israel-action-477641","jpost.com",3328,145,569,324,7,13,0,7
