"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"dennis.ross.376","469477579757018_1266613526710082","Rep. Dennis A. Ross","2017-01-01","2017-01-01 04:59:00","Happy New Year! I am excited for a new year, new Congress and new direction for our great nation. I am truly blessed to represent the great folks of District 15, and I pray for the Lord's guidance as we journey into the New Year together. May this New Year bring you peace, good health, blessings and prosperity. Here's to 2017! God Bless you all and the United States of America!","photo","https://www.facebook.com/dennis.ross.376/photos/a.474338745937568.102736.469477579757018/1266613526710082/?type=3",NA,70,8,3,6,0,0,0,0
"dennis.ross.376","469477579757018_1286237414747693","Rep. Dennis A. Ross","2017-01-03","2017-01-03 23:50:45","Today, I proudly reintroduced my resolution for the 115th Congress to condemn President Obama and the U.N. for their anti-Israel vote. We MUST #StandWithIsrael.   http://m.washingtontimes.com/news/2017/jan/3/dems-absent-house-gop-resolution-un-israel-vote/","link","http://m.washingtontimes.com/news/2017/jan/3/dems-absent-house-gop-resolution-un-israel-vote/","m.washingtontimes.com",212,39,20,19,0,0,1,1
"dennis.ross.376","469477579757018_1289090681129033","Rep. Dennis A. Ross","2017-01-05","2017-01-05 20:57:37","I proudly cosponsored legislation (H.R. 299) today to expand benefits for Vietnam Blue Water Navy Veterans exposed to Agent Orange. There is absolutely no reason those veterans who served in the waters off the coast of Vietnam and currently suffer from diseases related to Agent Orange exposure should not qualify for current VA care. They are the backbone of the freedom and prosperity America has enjoyed for more than two hundred years, and I refuse to let their sacrifices and service go undervalued and unnoticed.   http://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398540","link","http://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398540","dennisross.house.gov",120,18,6,5,0,0,0,0
"dennis.ross.376","469477579757018_1289306857774082","Rep. Dennis A. Ross","2017-01-06","2017-01-06 01:23:04","I was proud to stand up for Israel today on the House Floor and condemn the anti-Israel UN Security Council Resolution 2334, and President Obama for turning his back on our closest ally in the Middle East by failing to veto this dangerous resolution. Click below to watch my Floor speech:   https://www.c-span.org/video/?c4641753/rep-dennis-ross-unisrael-resolution","link","https://www.c-span.org/video/?c4641753%2Frep-dennis-ross-unisrael-resolution","c-span.org",212,27,10,18,0,0,0,1
"dennis.ross.376","469477579757018_1294519407252827","Rep. Dennis A. Ross","2017-01-09","2017-01-09 20:27:08","Today is Law Enforcement Appreciation Day, a day to celebrate and acknowledge the contributions that countless men and women in uniform make on a daily basis to keep our communities safe and secure. I also want to extend my deepest sympathies and prayers to the families and communities of the two officers from Orlando and Orange County, Florida, who were tragically killed in the line of duty today.   As we honor the Thin Blue Line, let’s always remember they put on their uniforms every day with the realization that they may never come home. That kind of selflessness and bravery deserves our recognition and support not just today, but every day.","photo","https://www.facebook.com/dennis.ross.376/photos/a.474338745937568.102736.469477579757018/1294519407252827/?type=3",NA,21,2,4,2,0,0,0,0
"dennis.ross.376","469477579757018_1294618950576206","Rep. Dennis A. Ross","2017-01-09","2017-01-09 22:04:30","Today, I sent letters to House Veteran Affairs Committee Chairman Phil Roe, the U.S. Air Force and House Armed Services Committee Chairman Mac Thornberry, all regarding Vietnam veterans being denied Veterans Affairs (VA) benefits for diseases associated with Agent Orange, a toxic herbicide sprayed by the U.S. during the Vietnam War to clear out foliage.   I have spoken to countless Veterans, including many in my own district, suffering from devastating cancers and diseases attributed to Agent Orange who bravely served in the territorial seas of Vietnam and in Guam. However, many of them are told they do not qualify for VA benefits for their disabilities. These veterans, and their families, deserve the care and benefits they earned, and I won't stop fighting for them until they receive the help they need.   For more information about the letters I sent, please click on the link below:  https://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398543","link","https://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398543","dennisross.house.gov",56,11,6,4,0,0,0,0
"dennis.ross.376","469477579757018_1298620296842738","Rep. Dennis A. Ross","2017-01-12","2017-01-12 18:35:46","Since I was first elected, securing our border has been a top priority of mine. I reintroduced the Finish the Fence Act because finishing the construction of the fence along our Southwest border is the first incremental step in securing our border, providing for our national security, and halting the massive influx of illegal entry into our country.  I refuse to put American lives at risk and let our laws on the books continue to be ignored. This is not just an issue of illegal immigrants crossing our porous border. This is also an issue of national security. We cannot waste any more time on this, and I call on my colleagues to join me in demanding that this fence be finished.  http://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398544","link","http://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398544","dennisross.house.gov",77,23,2,4,1,0,0,0
"dennis.ross.376","469477579757018_1300231956681572","Rep. Dennis A. Ross","2017-01-13","2017-01-13 20:36:11","Ross Votes to Repeal and Replace Obamacare: http://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398545","link","http://dennisross.house.gov/news/documentsingle.aspx?DocumentID=398545","dennisross.house.gov",121,57,10,9,1,1,2,9
"dennis.ross.376","469477579757018_1300247076680060","Rep. Dennis A. Ross","2017-01-16","2017-01-16 11:00:01","When Dr. Martin Luther King, Jr. first stepped foot in Rockefeller Chapel 60 years ago, his Montgomery home had been bombed just months earlier. However, his words were not marked by hate or revenge. Instead, he called on the crowd to ""resist with your heart and strength the forces of evil.""  With his voice, with his actions, and with his dignity, Dr. King brought hope and healing to America. Dr. King’s fearless efforts were a driving force behind the enactment of the Voting Rights Act and equality for all. On this day, we commemorate the timeless values he taught us through his own examples — the values of courage, truth, justice, compassion, humility and service that so defined his character and empowered his leadership. We also recognize the unconditional love, forgiveness and nonviolence that empowered his revolutionary movement.   As we embark on new beginnings, let us remember to emulate Dr. King’s call for unity, peace, love and justice. I call on all of you to make a personal commitment to serve humanity with the same vibrant spirit that was Dr. King’s greatest strength. May God Bless you all, and May God Bless the United States of America.","photo","https://www.facebook.com/dennis.ross.376/photos/a.474338745937568.102736.469477579757018/1300247076680060/?type=3",NA,25,12,3,5,0,0,0,0
"dennis.ross.376","469477579757018_1301270623244372","Rep. Dennis A. Ross","2017-01-14","2017-01-14 13:31:27","ICYMI: Rep. Ross' interview on Fox and Friends this morning discussing the left's tired attempts to discredit President-elect Donald Trump, as well as the imminent need for stronger border security.  http://video.foxnews.com/v/video-embed.html?video_id=5282081571001","video","https://s3.amazonaws.com/TVEyesMediaCenter/UserContent/383983/7164307.6549/FNC_01-14-2017_07.53.50.mp4?AWSAccessKeyId=AKIAIXFJOHH6AGZU2PPA&Expires=1484400814&response-content-disposition=attachment%3B+filename%3DFNC_01-14-2017_07.53.50.mp4&Signature=zo0AIIJUp1M3p%2BQSsqkoGt2vtaU%3D",NA,39,31,3,0,0,0,0,1
