"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"drnealdunnfl2","230276277419636_230789644034966","Congressman Neal Dunn, M.D.","2017-01-03","2017-01-03 18:10:40",NA,"photo","https://www.facebook.com/DrNealDunnFL2/photos/a.230789637368300.1073741826.230276277419636/230789617368302/?type=3",NA,8,9,0,0,0,0,0,0
"drnealdunnfl2","230276277419636_230847710695826","Congressman Neal Dunn, M.D.","2017-01-03","2017-01-03 21:54:57",NA,"photo","https://www.facebook.com/DrNealDunnFL2/photos/a.230847667362497.1073741827.230276277419636/230847670695830/?type=3",NA,29,2,6,2,0,0,1,0
"drnealdunnfl2","230276277419636_230848464029084","Congressman Neal Dunn, M.D.","2017-01-03","2017-01-03 21:59:58","I am humbled and honored to be able to serve the hardworking people of Florida’s Second Congressional District and represent their conservative values in Congress. I’m looking forward to hitting to the ground running and getting some real work done. It’s not going to be easy, but we will fix our broken health care system, strengthen our military and the economy, provide for our veterans, and protect the Second Amendment.","photo","https://www.facebook.com/DrNealDunnFL2/photos/a.230848570695740.1073741828.230276277419636/230848464029084/?type=3",NA,72,11,10,6,0,0,0,0
"drnealdunnfl2","230276277419636_231117440668853","Congressman Neal Dunn, M.D.","2017-01-04","2017-01-04 14:36:25","Behind the scenes look at yesterday's swearing in ceremony! #OpeningDay","video","https://www.facebook.com/WECPtv/videos/853670531442688/",NA,24,2,0,4,0,0,0,0
"drnealdunnfl2","230276277419636_231149070665690","Congressman Neal Dunn, M.D.","2017-01-05","2017-01-05 00:07:00","Make sure to follow me on Twitter at @DrNealDunnFL2!","status",NA,NA,14,1,3,0,0,0,0,0
"drnealdunnfl2","230276277419636_231175540663043","Congressman Neal Dunn, M.D.","2017-01-04","2017-01-04 16:44:41","Last night, I proudly cast my first votes as a member of the 115th Congress on two bills that will work to improve the lives of our veterans and ensure accountability at the VA. Veterans across our nation fought for our freedom, they shouldn’t have to fight here at home to get the care they need and deserve. As an Army veteran myself, please know that I will fight for our veterans in Congress!  http://www.washingtonexaminer.com/house-votes-to-end-va-scrubbing-of-employee-records/article/2610806","link","http://www.washingtonexaminer.com/house-votes-to-end-va-scrubbing-of-employee-records/article/2610806","washingtonexaminer.com",29,0,3,0,0,0,0,0
"drnealdunnfl2","230276277419636_231265743987356","Congressman Neal Dunn, M.D.","2017-01-04","2017-01-04 22:36:46","Today, I voted to rein in President Obama’s overregulation and to stop him from implementing harmful regulations just days before the end of his presidency. Overregulation under the Obama Administration has crippled our economy and left small businesses and hardworking Florida families struggling to stay afloat. The American people undoubtedly wanted a change by electing Donald Trump as our next President, sending a clear message that the overreach and burdensome regulations by President Obama needs to be stopped.  http://dunn.house.gov/media/press-releases/dr-dunn-votes-rein-obama-during-final-days-presidency","photo","https://www.facebook.com/DrNealDunnFL2/photos/a.230848570695740.1073741828.230276277419636/231265743987356/?type=3",NA,26,5,2,1,0,0,0,0
"drnealdunnfl2","230276277419636_231587217288542","Congressman Neal Dunn, M.D.","2017-01-05","2017-01-05 15:21:30","Proud to have voted for the Midnight Rules Relief Act!  http://fosterfollynews.com/2017/01/05/dr-dunn-votes-to-rein-in-obama-during-finals-days-of-presidency/","link","http://fosterfollynews.com/2017/01/05/dr-dunn-votes-to-rein-in-obama-during-finals-days-of-presidency/","fosterfollynews.com",19,2,2,0,0,0,0,0
"drnealdunnfl2","230276277419636_231638037283460","Congressman Neal Dunn, M.D.","2017-01-05","2017-01-05 17:57:08","Today, I took part in the reading aloud of the U.S. Constitution on the floor of the House of Representatives by reciting Article I, Section 7, Clause 2, more commonly known as the “pocket veto clause.” The reading of the Constitution aloud is a statement to the American people that we, as a Congress, are dedicated to upholding the sacred, fundamental values put forth by our forefathers.","video","https://www.facebook.com/DrNealDunnFL2/videos/231638037283460/",NA,56,6,6,3,0,0,0,0
"drnealdunnfl2","230276277419636_231651753948755","Congressman Neal Dunn, M.D.","2017-01-05","2017-01-05 18:31:45",NA,"photo","https://www.facebook.com/DrNealDunnFL2/photos/a.230847667362497.1073741827.230276277419636/231651337282130/?type=3",NA,32,1,7,1,0,0,0,0
