"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"emanuelcleaverii","7954512692_10153954981957693","Emanuel Cleaver II","2017-01-04","2017-01-04 18:32:11","This morning @POTUS urged Democrats to unite to fight for the healthcare of Americans.  #ACAWorks Thanks to the #ACA, 203,000 people in Missouri have gained health coverage.","status",NA,NA,402,36,25,36,2,0,0,1
"emanuelcleaverii","7954512692_10153966572482693","Emanuel Cleaver II","2017-01-09","2017-01-09 21:57:57","Did you know...this year was the second warmest year on record in the U.S. and it’s costing us billions. @NOAA @SEEC. Take a look at this, http://bit.ly/2ndwarmest.","link","http://bit.ly/2ndwarmest","bit.ly",66,10,15,1,1,12,21,2
"emanuelcleaverii","7954512692_10153969125722693","Emanuel Cleaver II","2017-01-10","2017-01-10 22:56:15","As the Senate begins to hold confirmation hearings this week, it is important that all cabinet nominees be fully vetted to protect the American people.","status",NA,NA,732,42,15,41,1,0,0,0
"emanuelcleaverii","7954512692_10153970756692693","Emanuel Cleaver II","2017-01-11","2017-01-11 17:48:37","Today is the second day of Senator Sessions nomination hearing. We need an Attorney General  that will defend and enforce our laws and protect civil rights. Someone who is unequivocally committed to the principles of racial, ethnic, gender, religious, and sexual orientation equality. Sen. Sessions’ voting record and public comments raise concerns about his ability to make that commitment.","photo","https://www.facebook.com/emanuelcleaverii/photos/a.404812177692.187394.7954512692/10153970756692693/?type=3",NA,155,35,29,3,0,2,16,31
"emanuelcleaverii","7954512692_10153975068837693","Emanuel Cleaver II","2017-01-12","2017-01-12 22:45:53","Congratulations Vice President Joe Biden on being awarded the Presidential Medal of Freedom, the nation's highest civilian honor.","photo","https://www.facebook.com/emanuelcleaverii/photos/a.404812177692.187394.7954512692/10153975068837693/?type=3",NA,985,32,50,201,2,1,1,0
"emanuelcleaverii","7954512692_10153975081442693","Emanuel Cleaver II","2017-01-12","2017-01-12 23:00:00","The storm will encompass the entire 5th District and it is going to cause trouble this weekend.","photo","https://www.facebook.com/emanuelcleaverii/photos/a.404812177692.187394.7954512692/10153975081442693/?type=3",NA,20,5,6,0,0,5,2,0
"emanuelcleaverii","7954512692_10153979424417693","Emanuel Cleaver II","2017-01-14","2017-01-14 17:44:37","On MLK weekend, where service and civility are celebrated, I stand with @repjohnlewis, an American icon and continuing reminder of the power of #civility.","status",NA,NA,1016,74,84,185,1,1,1,1
"emanuelcleaverii","7954512692_10153989352767693","Emanuel Cleaver II","2017-01-18","2017-01-18 21:30:00","Access to health care is not the same as providing affordable insurance coverage. Rep. Tom Price, President-elect Trump’s nominee for Secretary of HHS, needs to commit to providing affordable insurance to all Americans and to protect those with pre-existing conditions. Yesterday the nonpartisan Congressional Budget Office reported that repealing the Affordable Care Act would lead to 18 million people losing coverage in the first year.","status",NA,NA,254,46,20,6,0,7,28,41
"emanuelcleaverii","7954512692_10154007492397693","Emanuel Cleaver II","2017-01-24","2017-01-24 21:31:50","Today, the House of Representatives will vote on H.R. 7. This dangerous bill would take away private health insurance coverage from millions of women and undermine a woman’s ability to make personal decisions about her own health. This action comes just days after millions of women marched nationwide to protect their rights and over 10,000 Kansas Citians gathered in support. The bill  would take away the tax credits women are entitled to in order to help buy insurance and would make the Hyde Amendment and other federal abortion bans permanent. This legislation does not allow any exceptions for women to get the coverage they need when their health is in danger, even in circumstances where a woman needs an abortion to prevent severe, permanent damage to her health  The  Affordable Care Act set out rules to ensure federal financial assistance is not used to pay for abortion services, except in the case  of rape, incest and life endangerment. Thanks to the ACA providing better access to birth control and family planning services, the U.S. abortion rate is at its lowest level on record. The abortion rate dropped 14 percent between 2011 and 2014.  H.R. 7 would take away a women’s ability to make an extremely personal medical decision. I plan to  vote against this harmful piece of legislation and stand with the thousands of my constituents who marched to have their voices heard this weekend. #WeWontGoBack","status",NA,NA,1131,269,420,52,0,12,112,179
"emanuelcleaverii","7954512692_10154022479607693","Emanuel Cleaver II","2017-01-30","2017-01-30 19:46:11",NA,"link","https://twitter.com/heatherscope/status/826107108466782209","twitter.com",126,13,6,10,0,0,1,0
"emanuelcleaverii","7954512692_10154023222987693","Emanuel Cleaver II","2017-01-31","2017-01-31 03:10:07","Proud to stand in front of the Supreme Court tonight with @HouseDemocrats to fight against  extreme executive orders.  #NoBanNoWall","photo","https://www.facebook.com/emanuelcleaverii/photos/a.497321027692.270401.7954512692/10154023222632693/?type=3",NA,964,85,43,171,1,1,1,2
"emanuelcleaverii","7954512692_10154032450107693","Emanuel Cleaver II","2017-02-03","2017-02-03 16:11:25","ICYMI,","link","http://www.kansascity.com/opinion/editorials/article130391704.html","kansascity.com",302,17,61,28,0,2,1,1
"emanuelcleaverii","7954512692_10154033274707693","Emanuel Cleaver II","2017-02-03","2017-02-03 22:45:37","Here's the agenda for the Town Hall on Immigration. Look forward to seeing you tomorrow. https://www.facebook.com/events/218120501983232/","photo","https://www.facebook.com/emanuelcleaverii/photos/a.404812177692.187394.7954512692/10154033274707693/?type=3",NA,72,5,24,7,0,0,0,0
"emanuelcleaverii","7954512692_10154035271337693","Emanuel Cleaver II","2017-02-04","2017-02-04 20:20:53","#KCTownhall4All","link","https://www.youtube.com/attribution_link?a=QCChKQYiiow&u=%2Fchannel%2FUCRvs4XNQuDYCDtBKYX7gVww%2Flive","youtube.com",124,5,21,13,0,0,0,0
"emanuelcleaverii","7954512692_10154040606857693","Emanuel Cleaver II","2017-02-06","2017-02-06 22:55:12","Pleased to see over 1,100 people attend this weekend’s Town Hall on Immigration. Thank you for coming out.","link","http://www.kansascity.com/news/politics-government/article130813344.html","kansascity.com",505,20,29,49,1,3,0,0
"emanuelcleaverii","7954512692_10154042399572693","Emanuel Cleaver II","2017-02-07","2017-02-07 18:15:21","Disappointed that VP Pence broke Senate tie to vote for #BetsyDeVos as Education Secretary.  Proud of Senate Dems for standing up for students and voting NO.","status",NA,NA,987,84,33,18,1,1,153,86
