"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"grassley","106480645796_10154791555600797","Senator Chuck Grassley","2017-01-03","2017-01-03 16:59:12","Senator Grassley's Veterans Fellow, Dave Allen, presented Vietnam War veteran Steve Kellerhals with service medals he earned. The presentation occurred at Mr. Kellerhals’ home in Altoona.   The medals include the Bronze Star, two Purple Hearts, Air Medal, National Defense Service Medal, Vietnam Service Medal, Combat Infantryman Badge 1st Award, Republic of Vietnam Campaign Ribbon with device (1960), Expert Badge and Rifle Bar, Marksman Badge and Auto Rifle Bar and Machine Gun Bar and the 50th Anniversary Vietnam Commemorative Lapel Pin.   Senator Grassley is glad to help veterans obtain the medals they earned. A list of his offices to contact is available at http://www.grassley.senate.gov/explore/regional-offices","photo","https://www.facebook.com/grassley/photos/a.10150437772385797.420695.106480645796/10154791553300797/?type=3",NA,109,16,8,8,0,2,0,0
"grassley","106480645796_10154791717400797","Senator Chuck Grassley","2017-01-03","2017-01-03 18:23:55","Senator Grassley welcomed new members of the Senate Judiciary Committee for the 115th Congress.   “The Judiciary Committee handles a broad policy jurisdiction and oversight portfolio, as well as processing appointments to the administration and federal judiciary, which are all important responsibilities that the committee takes very seriously,” Chairman Grassley and Ranking Member Feinstein said. “We welcome all of the new and returning members of the Judiciary Committee and look forward to having a productive two years.”","link","http://www.grassley.senate.gov/news/news-releases/grassley-and-feinstein-welcome-new-judiciary-committee-members","grassley.senate.gov",25,14,0,2,0,0,0,1
"grassley","106480645796_10154791916895797","Senator Chuck Grassley","2017-01-04","2017-01-04 14:00:00","A new Associated Press report shows that a Mexican national, Tomas Martinez-Maldonado, accused of raping a 13-year-old girl, was deported ten times and was voluntarily removed from the United States another nine times since 2003. Senator Grassley, Chairman of the Senate Judiciary Committee, had written in early December a letter to Department of Homeland Security Secretary Jeh Johnson questioning how the man was able to re-enter so many times and remain in the country.  “This is an extremely disturbing case,” Chairman Grassley wrote. “In order for Congress to better understand the circumstances that led to this alleged rape of a child, we request information about Martinez-Maldonado’s criminal and immigration history, and why he was able to enter and remain in the country despite his unlawful status.”  Senator Grassley’s full letter can be found here: http://www.grassley.senate.gov/news/news-releases/sens-grassley-moran-roberts-press-obama-administration-answers-criminal-immigrant","link","http://abcnews.go.com/US/wireStory/mexican-man-charged-rape-19-deportations-removals-44472938","abcnews.go.com",65,60,66,1,1,5,9,83
"grassley","106480645796_10154792024180797","Senator Chuck Grassley","2017-01-03","2017-01-03 20:53:25","Senator Grassley was sworn in today for a new term serving Iowa in the United States Senate. Vice President Biden administered the oath of office.   “I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.”   Senator Grassley will continue to serve on the Senate Judiciary, Finance, Agriculture and Budget committees. He is also expected to retain his position as Chairman of the Senate Judiciary Committee.","video","https://www.facebook.com/grassley/videos/10154792024180797/",NA,389,47,19,37,0,1,0,5
"grassley","106480645796_10154795049935797","Senator Chuck Grassley","2017-01-04","2017-01-04 23:25:17","Senator Grassley met with Dr. Ben Carson, President-elect Donald J. Trump's nominee to lead the Department of Housing and Urban Development. Senator Grassley discussed his long record of seeking accountability from the agency and public housing authorities in fulfilling their responsibilities.  “The taxpayers spend billions of dollars a year to provide safe, affordable housing for those in need. HUD is good at writing checks but not as interested in making sure the money is spent as intended,” Senator Grassley said. “Several public housing authorities around the country have used the lack of checks and balances to run up excessive executive salaries, travel expenses and other wasteful spending…I conveyed to Dr. Carson the problems I’ve run into and how I hope for more accountability and transparency for how taxpayer dollars are used to fulfill housing needs under a new administration…I look forward to Dr. Carson’s swift confirmation so he can get to work making much-needed changes at HUD.”","link","http://www.grassley.senate.gov/news/news-releases/grassley-conveys-housing-concerns-hud-secretary-nominee-carson","grassley.senate.gov",190,23,15,18,2,0,1,8
"grassley","106480645796_10154796940835797","Senator Chuck Grassley","2017-01-05","2017-01-05 15:16:03","Last Congress, Senate Judiciary Committee Chairman Chuck Grassley led the effort to reform the criminal justice system.  Senator Grassley led a bill through the Judiciary Committee that would recalibrate prison sentences for certain drug offenders, target violent criminals and grant judges greater discretion at sentencing for lower-level drug crimes. It also seeks to curb recidivism by helping prisoners successfully re-enter society.   As a new Congress begins, Senator Grassley plans to continue to press for commonsense reforms to the criminal justice system that prevent taxpayer dollars from being wasted and improve public safety.","link","http://www.politico.com/story/2017/01/senate-criminal-justice-sentencing-reform-233071","politico.com",58,22,4,4,0,0,0,0
"grassley","106480645796_10154798020825797","Senator Chuck Grassley","2017-01-06","2017-01-06 14:21:37","Senator Grassley and Senator Joni Ernst, along with Senator Deb Fischer and Senator Ben Sasse from Nebraska, re-introduced Sarah's Law, legislation to honor Sarah Root, an Iowan from Council Bluffs who was killed nearly one year ago by Edwin Mejia, a drunk driver in the country illegally. First introduced last year, Sarah's Law would amend the immigration laws to ensure that illegal immigrants who are a threat to public safety are taken into custody and off the streets. Mejia remains at large, continuing to deprive the Root family of the justice and closure they deserve. Under this law, Mejia would have been detained, rather than allowed to flee from justice and the Root family would be kept up-to-date on Mejia’s status as well as federal immigration authorities’ efforts to remove him from the United States.  “No family should be forced to endure the pain that the Roots have felt since last year,” Senator Grassley said. “First, young Sarah’s life was cut short by an immigrant who disregarded the rule of law and decided to get behind the wheel after drinking. Then the Obama Administration refused to take custody of Sarah’s killer because it didn’t consider him a priority, allowing him to disappear into the shadows. The Roots have been robbed of their daughter, and at least for now, they have been robbed of justice. Our legislation, named in Sarah’s memory, will ensure that those who harm or kill Americans will be taken into custody and removed while also ensuring that victims and their families get the information they deserve from the government as they pursue justice.”","link","http://www.grassley.senate.gov/news/news-releases/iowa-and-nebraska-senators-lead-way-re-introducing-sarah%E2%80%99s-law","grassley.senate.gov",318,37,41,25,1,0,1,4
"grassley","106480645796_10154798025120797","Senator Chuck Grassley","2017-01-05","2017-01-05 23:54:05","Senate Judiciary Committee Chairman Chuck Grassley met with law enforcement personnel from across the country who support the nomination of Senator Jeff Sessions to be the next Attorney General.   “Law enforcement personnel know, like those of us who have served with him in the Senate, that Senator Sessions is an honorable man, and they have good reason to support his nomination to be Attorney General,"" Senator Grassley said. ""I was glad to meet with them and hear their thoughts on the nomination and other legislation that may come before the Judiciary Committee.”","photo","https://www.facebook.com/Nationalsheriffsassociation/photos/a.192821529622.159541.166256744622/10154967462879623/?type=3",NA,72,31,0,4,0,0,0,0
"grassley","106480645796_10154799854355797","Senator Chuck Grassley","2017-01-06","2017-01-06 17:21:16","Senator Grassley led a meeting of Midwestern senators with President-elect Donald J. Trump's nominee to lead the Environmental Protection Agency, Oklahoma Attorney General Scott Pruitt. Senator Grassley organized the meeting because he wanted to convey the importance of biofuels to job creation, energy security, the environment and meeting the country’s significant energy needs. Senator Grassley has been disappointed by the Obama Administration’s lack of strong support in implementing the congressionally-mandated Renewable Fuel Standard (RFS).  “We got a very positive response on Mr. Pruitt’s support not just for the RFS but more importantly, for the rule of law,” Senator Grassley said. “The rule of law is that what Congress passed, the EPA is supposed to follow and not undermine it, the way the current administration has done with the RFS. The purpose of the meeting was to convey the contributions that Iowa and other renewable energy-producing states contribute to the economy and otherwise. From the standpoint of what President-elect Trump wants to accomplish, renewable energy supports a high number of jobs, 43,000 jobs in Iowa just with biofuels and another 7,000 jobs in wind energy. We have to import less oil from the Mideast because we have a very vibrant ethanol industry. As far as whether I’ll support the nomination, I tend to wait for nomination hearings before making up my mind. We got a positive comment that the law’s going to be followed, and that’s very, very important.”","link","http://www.grassley.senate.gov/news/news-releases/grassley-welcomes-positive-statement-renewable-fuel-standard-rule-law-epa-nominee","grassley.senate.gov",68,20,6,2,0,0,1,0
"grassley","106480645796_10154800206355797","Senator Chuck Grassley","2017-01-07","2017-01-07 14:00:00","As a new Congress begins, Senator Grassley is continuing to press the Centers for Medicare and Medicaid Services (CMS) for answers on whether it sought to recoup tax dollars overpaid for EpiPens from drug maker Mylan and added a new request for two additional drugs reportedly misclassified under the Medicaid Drug Rebate Program, Dilaudid and Prilosec.   “Congress and the American public have a right to know what additional steps, if any, CMS took to hold Mylan and other companies accountable and CMS has an obligation to answer,” Senator Grassley said. “These misclassifications could have cost the taxpayers and states hundreds of millions of dollars. The Obama Administration’s silence on these issues is unwarranted and irresponsible.”","link","http://www.grassley.senate.gov/news/news-releases/grassley-presses-administration-epipen-dilaudid-prilosec-misclassifications","grassley.senate.gov",87,27,12,6,0,0,0,1
