"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"herrerabeutler","177551525610164_1384971644868140","Jaime Herrera Beutler","2017-01-04","2017-01-04 20:57:21","It was an honor to once again take the oath of office. I am thankful and humbled to continue representing  the residents of Southwest Washington in the U.S. Congress.","photo","https://www.facebook.com/herrerabeutler/photos/a.185529758145674.40382.177551525610164/1384971644868140/?type=3",NA,825,76,46,96,1,1,0,1
"herrerabeutler","177551525610164_1387425551289416","Jaime Herrera Beutler","2017-01-06","2017-01-06 16:16:50","We are less than a week into 2017 and federal agencies have wasted no time releasing a stack of new regulations! Federal regulations often are prohibitively costly and unnecessary, and they harm local job creators and communities. Yesterday, Congress passed the REINS Act requiring federal government agencies to submit major regulations to Congress for approval.","photo","https://www.facebook.com/herrerabeutler/photos/a.185529758145674.40382.177551525610164/1387425551289416/?type=3",NA,76,41,6,0,2,10,1,10
"herrerabeutler","177551525610164_1390710417627596","Jaime Herrera Beutler","2017-01-09","2017-01-09 22:30:37","I learned of Lewis County veteran John Weston’s tragic death after a delay in care. I am asking the VA secretary for an internal investigation to see what happened and make sure it doesn’t happen to other veterans.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398830","herrerabeutler.house.gov",133,35,15,10,1,1,24,8
"herrerabeutler","177551525610164_1390726854292619","Jaime Herrera Beutler","2017-01-09","2017-01-09 22:58:29","Today is Law Enforcement Appreciation Day, and we thank the brave men and women serving in law enforcement in Southwest Washington, and throughout our nation. I will continue to support our officers who put themselves in harm’s way for the safety of our communities.","photo","https://www.facebook.com/herrerabeutler/photos/a.185529758145674.40382.177551525610164/1390726854292619/?type=3",NA,118,14,10,14,1,0,0,0
"herrerabeutler","177551525610164_1391495980882373","Jaime Herrera Beutler","2017-01-10","2017-01-10 19:48:39","It’s vital that we move forward with replacing the Affordable Care Act in a manner that doesn't cause additional disruption to those families who have already endured higher costs and the loss of their doctors and plans since the ACA was forced upon them.  As such, any action to repeal on the U.S. House floor should be accompanied by a simultaneous and immediate strategy for replacing it. Read my letter from today to Speaker Paul Ryan about making health care better in Southwest Washington.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398838","herrerabeutler.house.gov",195,158,15,8,2,1,2,35
"herrerabeutler","177551525610164_1392106940821277","Jaime Herrera Beutler","2017-01-11","2017-01-11 14:18:41","This week, I introduced a bill that would permanently extend a decades-long fishery agreement to support the jobs within Washington state’s Dungeness crab industry. Reauthorizing the agreement between Washington, Oregon and California will ensure managers use state coordination to appropriately manage the West Coast crab fishery in federal waters. The agreement is vital for Washington’s economy, as our crab industry brings $61 million into the state’s economy annually and provides more than 60,000 maritime jobs.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398836","herrerabeutler.house.gov",43,12,1,1,2,0,0,0
"herrerabeutler","177551525610164_1392583530773618","Jaime Herrera Beutler","2017-01-11","2017-01-11 22:40:18","Next week, I will have the honor of recognizing a true American hero. Craig Robinson assisted in caring for critically wounded Marines in the immediate aftermath of the 1983 Marine barracks bombing in Beirut, going beyond the call of duty on his first day in the Navy. His courage and strength are trademarks of all our military men and women, and I'm proud to share our gratitude and appreciation with him. If you're near Chehalis, I hope you will join us for this public ceremony next Monday.","link","http://www.chronline.com/local-veteran-to-receive-medal-years-after-heroic-efforts/article_9905ff92-d4a3-11e6-84e6-bb301f032f43.html","chronline.com",77,14,1,8,1,1,0,0
"herrerabeutler","177551525610164_1400601129971858","Jaime Herrera Beutler","2017-01-19","2017-01-19 22:26:12","It was a great honor to be part of veteran Craig Robinson’s pinning ceremony earlier this week. Please check out this article to read more about his brave and sacrificial service to our county and fellow service members right after the bombing of the Marine barracks in Beirut.","link","http://www.chronline.com/lewis-county-veteran-honored-for-combat-heroism-years-later/article_bc715812-dce8-11e6-bbdd-c326688d5bae.html","chronline.com",54,14,1,2,1,0,0,1
"herrerabeutler","177551525610164_1406734936025144","Jaime Herrera Beutler","2017-01-24","2017-01-24 23:22:32","Please see a letter that my Washington GOPcolleagues and I sent to Governor Jay Inslee and Insurance Commissioner Mike Kreidler responding to their correspondence concerninghealth care. While we agree that all Washington state residents deserve access to quality health care, there are too many failures in the Affordable Care Act to achieve that goal.  We are working to do better.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398842","herrerabeutler.house.gov",141,183,18,16,1,0,6,58
"herrerabeutler","177551525610164_1411148835583754","Jaime Herrera Beutler","2017-01-27","2017-01-27 21:44:30","Just kicked off the Congressional Maternity Care Caucus for 2017 with my colleague, Rep. Lucille Roybal-Allard. 2016 was great year with new initiatives & bills passed to help moms & babies!","status",NA,NA,70,63,3,9,3,0,0,2
"herrerabeutler","177551525610164_1414635021901802","Jaime Herrera Beutler","2017-01-31","2017-01-31 00:01:38","I’m pleased that my colleagues in the House passed the permanent extension of the tri-state agreement that is imperative for the future success of the West Coast Dungeness crab fishery, bringing certainty to an industry that helps support 60,000 maritime jobs in Washington state.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398843","herrerabeutler.house.gov",125,79,6,3,1,0,3,2
"herrerabeutler","177551525610164_1415724231792881","Jaime Herrera Beutler","2017-01-31","2017-01-31 21:51:03","Click here to read Pennie Saum’s tragic story and how it inspired Congresswoman Suzan DelBenee and me to develop a bill to help survivors of sexual assault seek justice.","link","http://komonews.com/news/komo-4-investigators/congress-could-change-law-following-komo-story","komonews.com",58,35,3,3,0,0,0,0
"herrerabeutler","177551525610164_1422874271077877","Jaime Herrera Beutler","2017-02-07","2017-02-07 16:55:19","The IRS says Americans shouldn’t have a “reasonable expectation of privacy” in emails and other online communication.  That’s wrong, and unconstitutional. Yesterday, the U.S. House passed bipartisan legislation that would extend the same privacy protections to electronic communications that exist for hard mail and other personal, paper documents.  Under this bipartisan bill, a government agency would not be able to access a U.S. citizen’s emails without a court-ordered search warrant.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398847","herrerabeutler.house.gov",259,84,26,5,4,0,0,0
"herrerabeutler","177551525610164_1432579463440691","Jaime Herrera Beutler","2017-02-17","2017-02-17 20:11:10","There is currently a loophole that shields convicted child abusers from paying the restitution they owe if their income comes from military retirement pay. I joined with Congresswoman Suzan DelBene to close this loophole and bring justice to the survivors of these horrible acts. Read more.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398848","herrerabeutler.house.gov",135,65,11,8,0,0,0,0
"herrerabeutler","177551525610164_1435848223113815","Jaime Herrera Beutler","2017-02-20","2017-02-20 20:42:16","Meeting with crab fishermen about protecting coastal jobs and their industry. It will help if we have the resources to complete dredging and get my Dungeness crab fisheries management bill across the finish line and signed into law.","photo","https://www.facebook.com/herrerabeutler/photos/a.185529758145674.40382.177551525610164/1435848223113815/?type=3",NA,106,120,4,3,0,0,0,1
"herrerabeutler","177551525610164_1443774478987856","Jaime Herrera Beutler","2017-02-28","2017-02-28 22:51:39","Many people are struggling with mental health and substance abuse in our communities, and because of the shortage of inpatient beds it can be weeks or months before individuals can receive treatment. I just introduced a bipartisan bill with Rep. Derek Kilmer that will be a benefit to many individuals and families struggling with mental health disorders. Too often, hospitals and law enforcement are having to overcommit resources and are simply ill-equipped to try and assist those individuals in a mental health crisis.  Our effort will provide relief and strengthen our communities without putting any additional burdens on taxpayers.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398849","herrerabeutler.house.gov",98,61,13,5,2,0,1,6
"herrerabeutler","177551525610164_1443966602301977","Jaime Herrera Beutler","2017-03-01","2017-03-01 03:52:56","Whenever I attend a presidential speech to Congress, I look first for areas of common ground where we can work together to improve conditions for the people I serve in Southwest Washington.  Tonight was no exception and I look forward to working with President Trump to truly improve health care in this country for everyone – including protecting access for those who currently have coverage, and those with pre-existing conditions.  Where Obamacare has failed, we need health care solutions that will actually make quality health care affordable and accessible for everyone.  I was also encouraged by the president's championing of efforts to make the workplace better for parents and to protect good jobs and create better-paying ones by strengthening opportunities for small businesses.  And I stand ready to partner with him on rebuilding our infrastructure to get our economy moving again. After tonight's speech, I see a number of areas we can cooperate and make life better for Southwest Washington residents, and I’m ready to get to work.","status",NA,NA,361,231,23,28,3,0,0,34
"herrerabeutler","177551525610164_1445605815471389","Jaime Herrera Beutler","2017-03-02","2017-03-02 22:51:47","My new bipartisan legislation introduced today will allow states to address preventable maternal deaths. The United States is ranked 50th globally for its maternal mortality rate, which is why The Preventing Maternal Deaths Act is critical #Act2SaveMoms","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398851","herrerabeutler.house.gov",65,68,9,6,3,1,0,0
"herrerabeutler","177551525610164_1450649838300320","Jaime Herrera Beutler","2017-03-07","2017-03-07 22:18:11","Kidneys are one of the several organs that can be given by a living donors. There are over 100,000 people currently waiting for kidney transplants in the United States.  Today I spoke at a press conference about the need for the Living Donor Protection Act that gives living donors access to FMLA for recovery from a transplant surgery. It also makes sure these life-giving donors are not penalized by insurance companies for volunteering to donate.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398852","herrerabeutler.house.gov",245,81,95,39,2,1,0,1
"herrerabeutler","177551525610164_1460945093937461","Jaime Herrera Beutler","2017-03-15","2017-03-15 20:47:44","Karcher, an employer in Camas, showed me some of the equipment they manufacture that’s vital to protecting our waterways from invasive species like Quagga and Zebra mussels.   Contamination would wreak havoc on the Columbia River system, and be a devastating blow to our economy and environment. Read more about my efforts to prevent the spread of invasive species in the Northwest.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398814","herrerabeutler.house.gov",72,34,4,3,2,1,0,1
"herrerabeutler","177551525610164_1462021110496526","Jaime Herrera Beutler","2017-03-16","2017-03-16 18:37:32","It was great to hear from Jennifer Garner, a fellow mom, about the importance of early education and childhood development.","photo","https://www.facebook.com/herrerabeutler/photos/a.185529758145674.40382.177551525610164/1462021110496526/?type=3",NA,118,48,2,6,2,1,0,4
"herrerabeutler","177551525610164_1463637690334868","Jaime Herrera Beutler","2017-03-17","2017-03-17 20:31:55","Today, I successfully amended a bill to address the high staff turnover at the VA that leads to long wait times for veterans. My amendment strengthens anonymity protections for VA employees who fill out surveys upon their departures. Only if VA providers are telling the honest truth about what they saw, heard and experienced in the workplace can the VA fix the problems that plague its facilities. It also requires this exit survey data to be more localized so that the agency can better solve region-specific problems.","video","https://www.facebook.com/herrerabeutler/videos/1463637690334868/",NA,159,67,19,5,5,1,0,3
"herrerabeutler","177551525610164_1469171726448131","Jaime Herrera Beutler","2017-03-22","2017-03-22 21:39:34","Today the U.S. House of Representatives adopted my amendment and passed The Small Business Health Fairness Act, a bill to protect health care for 400,000 Washingtonians who receive health care through Association Health Plans. This important solution puts small businesses on an equal playing field with those bigger employers in their efforts to attract and retain employees by offering quality, affordable health care. It also helps eliminate the tremendous uncertainty individuals, families and small businesses face when their health care plans are repeatedly threatened by state officials with other agendas.","link","http://herrerabeutler.house.gov/news/documentsingle.aspx?DocumentID=398861","herrerabeutler.house.gov",92,124,6,7,1,0,0,7
