"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"jameseclyburn","127744320598870_1387961624577127","James E. Clyburn","2017-01-13","2017-01-13 18:39:02","Thanks #POTUS @BarackObama for establishing the Reconstruction Era National Monument. http://bit.ly/2jMZMPj","link","http://bit.ly/2jMZMPj","bit.ly",123,6,10,15,1,0,0,0
"jameseclyburn","127744320598870_1387964547910168","James E. Clyburn","2017-01-13","2017-01-13 18:40:38","Click here to read my statement on Barack Obama proclamation establishing the Reconstruction Era National Monument. http://bit.ly/2iQouKs","link","http://bit.ly/2iQouKs","bit.ly",98,7,21,8,1,1,0,0
"jameseclyburn","127744320598870_1391787277527895","James E. Clyburn","2017-01-17","2017-01-17 17:36:24","#ACA is the Civil Rights Act of the 21st Century. Click here to read my Op-Ed in The Post and Courier. http://bit.ly/2ixPBhm","link","http://bit.ly/2ixPBhm","bit.ly",84,19,14,6,1,0,3,0
"jameseclyburn","127744320598870_1408754732497816","James E. Clyburn","2017-02-01","2017-02-01 17:43:41","If extreme vetting is good for refugees, it's good for nominees...click here to watch my CNN interview http://bit.ly/2jDG2sS","video","http://bit.ly/2jDG2sS",NA,205,28,32,21,0,1,2,0
"jameseclyburn","127744320598870_1423946764311946","James E. Clyburn","2017-02-16","2017-02-16 15:19:21","Honoring Historically Black Colleges and Universities for Black History Month. Salute to Allen University. http://bit.ly/2kBZCWE","video","http://bit.ly/2kBZCWE",NA,56,4,6,1,1,0,0,0
"jameseclyburn","127744320598870_1423961297643826","James E. Clyburn","2017-02-16","2017-02-16 15:37:48","Honoring Historically Black Colleges and Universities for Black History Month. Salute to Benedict College. http://bit.ly/2lSBOQ6","video","http://bit.ly/2lSBOQ6",NA,26,2,1,0,1,1,0,0
"jameseclyburn","127744320598870_1424022267637729","James E. Clyburn","2017-02-16","2017-02-16 16:47:40","Honoring Historically Black Colleges and Universities for Black History Month. Salute to Clinton College and Morris College. http://bit.ly/2lSKXbA","video","http://bit.ly/2lSKXbA",NA,38,7,6,0,1,1,0,0
"jameseclyburn","127744320598870_1425336487506307","James E. Clyburn","2017-02-17","2017-02-17 16:07:08","Honoring Historically Black Colleges and Universities for Black History Month. Salute to Denmark Technical College and Voorhees College. https://youtu.be/j49lM2iHY38","video","https://youtu.be/j49lM2iHY38",NA,28,22,8,1,1,0,0,0
"jameseclyburn","127744320598870_1440313852675237","James E. Clyburn","2017-03-03","2017-03-03 18:31:35","Click here to watch the Democratic Faith Working Group video. http://bit.ly/2mjEGs4","video","http://bit.ly/2mjEGs4",NA,12,2,4,2,1,0,0,0
"jameseclyburn","127744320598870_1444515262255096","James E. Clyburn","2017-03-07","2017-03-07 22:32:54","HBCUs are National Treasures, Show Them the Money. Read my op-ed in the The Huffington Post today. http://bit.ly/2mgpABy","link","http://bit.ly/2mgpABy","bit.ly",56,3,8,0,1,0,0,0
"jameseclyburn","127744320598870_1445738945466061","James E. Clyburn","2017-03-08","2017-03-08 23:26:40","A woman is free if she lives by her own standards and creates her own destiny - Mary McLeod Bethune Celebrating #IWD2017 w/ some of my staff.","photo","https://www.facebook.com/jameseclyburn/photos/a.171047039601931.34197.127744320598870/1445738945466061/?type=3",NA,246,10,24,21,1,0,0,0
"jameseclyburn","127744320598870_1454841604555795","James E. Clyburn","2017-03-16","2017-03-16 21:08:21","Click here to watch Members of the #DemFaithWorkGroup respond to House Republicans' plan to repeal #ACA. http://bit.ly/2mze7MN  #ACARepeal","link","http://bit.ly/2mze7MN","bit.ly",22,18,3,1,1,1,0,1
"jameseclyburn","127744320598870_1464440146929274","James E. Clyburn","2017-03-24","2017-03-24 21:36:45","Click here to watch my response to House Republicans’ pulling the American Health Care bill. https://youtu.be/EwBHPSU6rLg","video","https://youtu.be/EwBHPSU6rLg",NA,135,34,28,13,1,0,0,1
"jameseclyburn","127744320598870_1520085588031396","James E. Clyburn","2017-05-04","2017-05-04 20:51:41","Click here to read my floor statement in opposition to #Trumpcare. http://bit.ly/2pKVurv","link","http://bit.ly/2pKVurv","bit.ly",202,47,39,23,1,0,0,1
"jameseclyburn","127744320598870_1574108252629129","James E. Clyburn","2017-06-16","2017-06-16 19:42:04","Today, I delivered the Weekly Democratic Address, click here to watch http://bit.ly/2ski3Vm","link","http://bit.ly/2ski3Vm","bit.ly",45,12,7,3,1,0,0,1
"jameseclyburn","127744320598870_1585912601448694","James E. Clyburn","2017-06-26","2017-06-26 16:28:44","U.S. Senator Bernie Sanders and I will announce legislation today on Community Health Centers. #ACA #ProtectOurCare","status",NA,NA,81,30,9,8,1,1,0,0
"jameseclyburn","127744320598870_1666285670078053","James E. Clyburn","2017-09-07","2017-09-07 20:16:04","The #JohnsonAmendment protects the integrity of houses of worship & other charitable organizations: http://bit.ly/2f3Opyf  (1/4)","link","http://bit.ly/2f3Opyf","bit.ly",1,0,1,1,1,0,0,0
"jameseclyburn","127744320598870_1666285896744697","James E. Clyburn","2017-09-07","2017-09-07 20:16:23","Today, the @USHouseRep will vote on an appropriations bill that weakens the #JohnsonAmendment. (2/4)","status",NA,NA,1,1,0,0,1,0,1,0
"jameseclyburn","127744320598870_1666286110078009","James E. Clyburn","2017-09-07","2017-09-07 20:16:41","4,000 faith leaders; 5,500 nonprofits; 99 religious orgs & the public wants to keep #JohnsonAmendment strong: http://bit.ly/2gHbIhk  (3/4)","status",NA,NA,6,4,0,0,1,0,0,0
"jameseclyburn","127744320598870_1666288136744473","James E. Clyburn","2017-09-07","2017-09-07 20:20:14","Debbie Wasserman Schultz, Congresswoman Barbara Lee, John Lewis & Congressman Beto O'Rourke were denied a vote on amendments to protect the #JohnsonAmendment.  (4/4)","status",NA,NA,10,35,4,0,0,4,0,7
"jameseclyburn","127744320598870_1721088124597807","James E. Clyburn","2017-10-31","2017-10-31 22:58:12",NA,"photo","https://www.facebook.com/jameseclyburn/photos/a.171047039601931.34197.127744320598870/1721088071264479/?type=3",NA,18,4,7,1,1,0,1,0
"jameseclyburn","127744320598870_1723041104402509","James E. Clyburn","2017-11-02","2017-11-02 19:03:05","Open Enrollment started on Nov. 1st. Get Covered today! #ACAworks #Souls2Enroll #SoulsToEnroll","video","https://www.facebook.com/jameseclyburn/videos/1723040101069276/",NA,389,20,528,38,1,3,0,1
"jameseclyburn","127744320598870_1729319580441328","James E. Clyburn","2017-11-08","2017-11-08 22:32:54","As a past recipient of the LBJ Foundation's Liberty & Justice for All Award, I'm looking forward to tonight's annual dinner, and I extend my congratulations to this year's recipient, David Rubenstein.","status",NA,NA,16,4,0,2,1,0,0,0
"jameseclyburn","127744320598870_1729321777107775","James E. Clyburn","2017-11-08","2017-11-08 22:35:18","In case you missed the Faith and Congressional Leaders Souls 2 Enroll Press Conference on the Affordable Care Act Open Enrollment, watch it here: http://bit.ly/2zHLIyu","video","https://www.facebook.com/HouseDemocrats/videos/10155741339998548/",NA,4,2,1,0,1,0,0,0
"jameseclyburn","127744320598870_1729323290440957","James E. Clyburn","2017-11-08","2017-11-08 22:37:12","Mr. Speaker, paying for pass-through gimmicks and tax giveaways to multi-millionaires by raising taxes on moderate and middle-income Americans is reprehensible. Read my full statement on the #GOPTaxScam: http://bit.ly/2m7xS2o","status",NA,NA,66,29,10,1,1,0,0,14
"jameseclyburn","127744320598870_1752831774756775","James E. Clyburn","2017-11-29","2017-11-29 23:11:17","Congress must streamline the process, protect victims that wish to be protected, and ensure all allegations of wrongdoing are investigated with professionalism, urgency and due process. Read my full statement here, http://bit.ly/2j4LxDx","link","http://bit.ly/2j4LxDx","bit.ly",40,60,3,0,2,0,0,3
