"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"janschakowsky","160143957118_10155399486532119","Jan Schakowsky","2017-01-03","2017-01-03 19:35:27","As their first action in the new Congress, House Republicans chose to serve themselves and forget about their constituents. Last night, they met behind closed doors and rigged the rules in their favor. They hoped that they could completely gut the Office of Congressional Ethics without the American people and House Democrats taking notice. Faced with overwhelming opposition, they were forced to withdraw that change.   Now, Republicans have come up with unconstitutional rules to punish Democrats for practicing their right to free speech after the anti-gun violence sit-in this summer. Further, the Republican rules package will make it easier to take away healthcare and slash Social Security’s and Medicare’s earned benefits.   Rather than ‘draining the swamp,’ Republicans are feeding the hungry alligators. Democrats won’t be silenced and won’t be stifled. We will fearlessly stand for freedom of speech and resist their dangerous agenda.","link","https://www.washingtonpost.com/powerpost/gop-to-start-on-ambitious-conservative-agenda-as-congress-convenes-today/2017/01/03/6117cbe2-d1a1-11e6-945a-76f69a399dd5_story.html","washingtonpost.com",497,100,105,39,6,7,4,97
"janschakowsky","160143957118_10155399710157119","Jan Schakowsky","2017-01-03","2017-01-03 21:07:23","Stirring up some #goodtrouble on the House floor","video","https://www.facebook.com/janschakowsky/videos/10155399710157119/",NA,1608,552,601,412,8,17,3,47
"janschakowsky","160143957118_10155402741172119","Jan Schakowsky","2017-01-04","2017-01-04 20:07:58","Jay Clayton has spent his career defending the interests of Wall Street. He has helped big banks like Goldman Sachs and Barclays avoid paying taxes and dodge government regulations. He has no government experience and has never served as a prosecutor. Now, Donald Trump has chosen him to head the Securities and Exchange Commission, the watchdog that oversees the very banks Clayton has spent his career defending.  Make no mistake. This appointment makes Wall Street banks breathe a sigh of relief. With Clayton in charge of the SEC, they hope to go back to the “wild west” days of Wall Street that led to the 2007-2008 financial crisis and the job loss and pain that came in its aftermath.   Clayton fits right in with the rest of Donald Trump’s team: a group of mostly male, mostly white, extremely wealthy individuals who have laughably little government experience and, for the most part, have never done anything to improve the lives of working men and women.","link","https://www.washingtonpost.com/news/wonk/wp/2017/01/04/trump-to-tap-wall-street-lawyer-jay-clayton-to-head-sec/?utm_term=.320fab2280e5","washingtonpost.com",66,17,52,2,2,6,16,116
"janschakowsky","160143957118_10155405355897119","Jan Schakowsky","2017-01-05","2017-01-05 18:25:00","Women are the big winners when it comes to the Affordable Care Act, and we're going to fight like hell to make sure it's not repealed and #ProtectOurCare","video","https://www.facebook.com/janschakowsky/videos/10155405355897119/",NA,893,60,206,99,0,1,2,2
"janschakowsky","160143957118_10155417881637119","Jan Schakowsky","2017-01-09","2017-01-09 21:12:39","I am outraged and horrified by the terrorist attack on Jerusalem yesterday. I condemn this act of terror, and any and all who glorify it, in the strongest terms.  My heart goes out to the people of Israel and the families of the four young Israeli cadets who were killed. I wish all those who were injured a full and speedy recovery. These deliberate acts of terror against Israeli citizens must stop if there is to be any hope of peace in the region.","link","http://www.nytimes.com/2017/01/08/world/middleeast/jerusalem-truck-attack.html?_r=0","nytimes.com",37,8,3,0,0,1,18,6
"janschakowsky","160143957118_10155418254532119","Jan Schakowsky","2017-01-10","2017-01-10 00:10:06","Under Republican control, ethics are the enemy and cutting corners is the norm.   One week after House Republicans tried and failed to do away with the Office of Congressional Ethics, their colleagues in the Senate have ignored the concerns of the Office of Government Ethics by going forward with confirmation hearings before the nominees have been properly vetted. This weekend, the Director of the independent Office of Government Ethics criticized rushing confirmation hearings when several of Mr. Trump’s nominees have ‘unknown or unresolved ethics issues.’  Before any of President-elect Trump’s nominees are considered, ethics paperwork and financial disclosures should be submitted in full, and Senators should be given at least three days to study the materials. Americans deserve to know that their government is working in the interest of the public and not for themselves. There is no excuse for Senate Republicans cutting corners because nominees have failed to submit complete information on time. A full ethics review must be performed before confirmation hearings take place.  One of the hallmarks of the outgoing Obama administration has been a strict adherence to governmental ethics rules, which led to eight years without even a hint of a scandal. Now, the Trump administration is kicking off by ignoring ethics reviews and creating a scandal waiting to happen. No previous administration in modern history has acted like this to confirm their nominees. The move has been called ‘unprecedented’ by the Director of the Office of Government Ethics and must be rectified immediately.","link","https://www.washingtonpost.com/politics/ethics-official-warns-against-confirmations-before-reviews-are-complete/2017/01/07/e85a97ee-d348-11e6-9cb0-54ab630851e8_story.html?utm_term=.f74177b1d439","washingtonpost.com",215,28,85,1,1,11,8,82
"janschakowsky","160143957118_10155423689027119","Jan Schakowsky","2017-01-11","2017-01-11 18:24:48","Rex Tillerson is a dangerous choice for Secretary of State. He should be carefully and thoroughly vetted by the United States Senate before any decision is made on his confirmation. As CEO of ExxonMobil, he directly undermined the U.S. foreign policy he would be in charge of implementing. By signing oil exploration contracts with the Kurdistan Regional government in Northern Iraq, Mr. Tillerson further endangered the religious minorities in the Nineveh Plain, and completely undercut the vision of a unified, democratic Iraq. As a representative of many Assyrian Christians, I am compelled to demand that these actions be investigated and reconciled.   During today’s confirmation hearings, I urge the Senate to demand answers from Mr. Tillerson about why the American people should expect him to protect them and not his stock portfolio. Nothing in his history indicates that he is a friend to working men and women, and his actions in the Nineveh Plain strike fear in the hearts of Assyrians and other religious minorities. I join them in demanding answers.","link","http://www.huffingtonpost.com/entry/donald-trumps-secretary-of-state-pick-undercut-middle-east-christians_us_58755bc4e4b05b7a465c2d35","huffingtonpost.com",386,38,67,22,0,1,0,33
"janschakowsky","160143957118_10155429152432119","Jan Schakowsky","2017-01-12","2017-01-12 21:52:54","I joined my good friend, and fellow Seniors Task Force co-Chair Congresswoman Doris O. Matsui to talk about how much the Affordable Care Act means to seniors. We're ready to fight to protect the gains we’ve made for seniors in the Affordable Care Act and to safeguard Medicare, Medicaid, and Social Security for generations to come.","video","https://www.facebook.com/janschakowsky/videos/10155429152432119/",NA,345,37,71,31,0,0,6,2
"janschakowsky","160143957118_10155432233017119","Jan Schakowsky","2017-01-13","2017-01-13 18:14:52","I'll be speaking on Facebook live in a few minutes about what happened in Washington this week and why I'm feeling optimistic.","status",NA,NA,38,11,0,1,0,0,0,0
"janschakowsky","160143957118_10155432246252119","Jan Schakowsky","2017-01-13","2017-01-13 18:21:52","Jan Schakowsky reporting from Washington","video","https://www.facebook.com/janschakowsky/videos/10155432246252119/",NA,376,256,100,112,0,3,6,7
