"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"jefffortenberry","48426842354_10157729975567355","Congressman Jeff Fortenberry","2017-01-04","2017-01-04 22:27:11","In spite of differences, our country has an extraordinary capacity to replenish. I'm grateful to be part of the 115th Congress. #OpeningDay","photo","https://www.facebook.com/jefffortenberry/photos/a.269182657354.143995.48426842354/10157729974082355/?type=3",NA,95,13,5,5,1,0,0,0
"jefffortenberry","48426842354_10157735711857355","Congressman Jeff Fortenberry","2017-01-06","2017-01-06 23:23:57","Despite tensions, China bans #Ivorytrade . President Xi Jinping, this was the right move in an area of vital mutual interest. #savetheelephants","status",NA,NA,28,2,4,0,0,0,0,0
"jefffortenberry","48426842354_10157743146242355","Congressman Jeff Fortenberry","2017-01-09","2017-01-09 21:43:41",NA,"photo","https://www.facebook.com/jefffortenberry/photos/a.10157743146202355.1073741847.48426842354/10157743146242355/?type=3",NA,51,2,0,1,0,0,0,0
"jefffortenberry","48426842354_10157746058407355","Congressman Jeff Fortenberry","2017-01-10","2017-01-10 19:49:04","In our day and time, we are no longer connected to the deeper concept of an oath. We see it in the courtroom when someone is required to tell the truth. We see it when the President is sworn in. But we rarely take time to reflect on its deeper sense. We see it more like an old tradition, a time-honored nostalgic exercise. However, the oath is a solemn declaration. It is a pause, the start of sacred duty. By taking an oath, you effectively hold yourself as ransom. You commit, at the deepest levels, that you will perform these tasks to the best of your ability. It is the ultimate measure and test of integrity. If violated, you tear the center of being to the detriment of yourself and of the community. This is a very high bar. https://fortenberry.house.gov/media-center/fort-reports/oath-office","link","https://fortenberry.house.gov/media-center/fort-reports/oath-office","fortenberry.house.gov",52,15,1,2,0,0,0,0
"jefffortenberry","48426842354_10157746063887355","Congressman Jeff Fortenberry","2017-01-10","2017-01-10 19:52:54","Dear Students,  Working for the United States Congress is a rewarding experience. The internship programs in the Congressman's DC and Lincoln offices provide young people with the opportunity to learn first-hand about the operations of Congress and its role in our nation's government.  The Congressman's DC and Lincoln offices are looking for hard-working college interns. Nebraska ties are preferred, but not required. If you are interested in applying for an internship, please submit a cover letter, resume, two writing samples, and a list of references to the office where you seek to intern.  Internships are available during the fall, winter, and summer semesters.  For more information, please contact one of my offices.  Congressman Jeff Fortenberry Attention: Christine Capobianco 1514 Longworth HOB Washington, DC 20515 (202) 225-4806 Christine.Capobianco@mail.house.gov   Congressman Jeff Fortenberry Attention: Marie Woodhead 301 South 13th Street, Suite 100 Lincoln, NE 68508 (402) 438-1598 Marie.Woodhead@mail.house.gov  https://fortenberry.house.gov/services/internships","link","https://fortenberry.house.gov/services/internships","fortenberry.house.gov",15,5,9,0,0,0,0,0
"jefffortenberry","48426842354_10157768341897355","Congressman Jeff Fortenberry","2017-01-17","2017-01-17 16:08:50","This moment of government transition provides a chance to rethink the equation, giving people where they live the security of affordable health care insurance while also nurturing a greater sense of place, purpose, and participation, so that they can actualize community solutions. I’m working on a new public policy concept called the Community Savings Account to facilitate and reward social health innovation.","link","https://fortenberry.house.gov/media-center/fort-reports/fort-report-life-expectancy#.WH5BXxxlGbk.facebook","fortenberry.house.gov",19,32,3,1,0,0,1,1
"jefffortenberry","48426842354_10157777127667355","Congressman Jeff Fortenberry","2017-01-20","2017-01-20 20:52:30","Donald Trump's Inaugural speech was a striking, direct call for a new healthy nationalism: to the people, about the people, for the people.","photo","https://www.facebook.com/jefffortenberry/photos/a.269182657354.143995.48426842354/10157777127667355/?type=3",NA,166,40,8,20,0,0,0,9
"jefffortenberry","48426842354_10157792084792355","Congressman Jeff Fortenberry","2017-01-24","2017-01-24 17:39:48","I invite you to watch an interview I had with 1011 News on President Trump's Inauguration.  https://youtu.be/EWA65OfspHE","video","https://youtu.be/EWA65OfspHE",NA,14,4,0,0,0,0,0,0
"jefffortenberry","48426842354_10157792094997355","Congressman Jeff Fortenberry","2017-01-24","2017-01-24 17:42:26","I wanted to share with you my reflections on President Trump's Inauguration Speech  https://youtu.be/khzfvLESL1k","video","https://youtu.be/khzfvLESL1k",NA,36,16,5,7,0,0,3,7
"jefffortenberry","48426842354_10157792936262355","Congressman Jeff Fortenberry","2017-01-24","2017-01-24 21:43:41","President Trump: I'm proud to continue supporting the #BuyAmerican #HireAmerican Initiative to rebuild U.S. infrastructure with American jobs and resources.","photo","https://www.facebook.com/jefffortenberry/photos/a.269182657354.143995.48426842354/10157792936262355/?type=3",NA,53,16,4,3,0,0,0,0
"jefffortenberry","48426842354_10157795895052355","Congressman Jeff Fortenberry","2017-01-25","2017-01-25 16:06:45",NA,"photo","https://www.facebook.com/jefffortenberry/photos/a.10157795724602355.1073741848.48426842354/10157795740802355/?type=3",NA,19,1,1,4,0,0,2,0
