"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"jerrymcnerney","215241308510238_1473574396010250","Congressman Jerry McNerney","2017-01-02","2017-01-02 04:56:05","Happy New Year! I hope you have a happy, healthy, and prosperous 2017. I look forward to my continued work in Congress this year – serving the constituents in #CA09.","status",NA,NA,60,8,2,0,0,0,0,0
"jerrymcnerney","215241308510238_1476785859022437","Congressman Jerry McNerney","2017-01-04","2017-01-04 23:59:37","Yesterday, my colleagues and I got sworn in to the 115th Congress and took our first votes of the year.","photo","https://www.facebook.com/jerrymcnerney/photos/a.217476098286759.63484.215241308510238/1476785859022437/?type=3",NA,89,19,3,4,0,0,0,0
"jerrymcnerney","215241308510238_1486009668100056","Congressman Jerry McNerney","2017-01-12","2017-01-12 17:00:25","California’s uninsured rate has fallen by 54% since the Affordable Care Act (ACA) was enacted in 2010. This means that 3,826,000 Californians have gained health care coverage. How has the ACA helped you or your family? Share your story in the comments below.","photo","https://www.facebook.com/jerrymcnerney/photos/a.217476098286759.63484.215241308510238/1486009668100056/?type=3",NA,29,15,1,1,0,0,0,0
"jerrymcnerney","215241308510238_1486301954737494","Congressman Jerry McNerney","2017-01-12","2017-01-12 22:57:41","Next week, I will host two open houses for #CA09 constituents. Please join me on Wednesday, January 18th from 4:00-5:30 pm PST at my Stockton office or on Thursday January 19th from 4:00-5:30 pm at my Antioch office. Come by for light refreshments and ask me about issues that are important to you. I hope to see you there!","photo","https://www.facebook.com/jerrymcnerney/photos/a.217476098286759.63484.215241308510238/1486301954737494/?type=3",NA,30,5,27,1,0,0,0,0
"jerrymcnerney","215241308510238_1486334688067554","Congressman Jerry McNerney","2017-01-13","2017-01-13 02:45:29","I am disappointed that the Secretary of the Interior issued an order supporting the WaterFix tunnels. The proposed tunnels threaten to decimate the Delta’s ecosystem, destroy thousands of jobs, and risk the livelihoods of countless Californians. The tunnels are a narrow-minded approach that will do great harm to the Delta region, and should not become a top-priority for the next administration.  http://mcnerney.house.gov/media-center/press-releases/thompson-mcnerney-matsui-statement-on-california-waterfix-secretarial","link","http://mcnerney.house.gov/media-center/press-releases/thompson-mcnerney-matsui-statement-on-california-waterfix-secretarial","mcnerney.house.gov",54,14,12,1,0,1,8,18
"jerrymcnerney","215241308510238_1487492981285058","Congressman Jerry McNerney","2017-01-13","2017-01-13 20:30:38","I am happy that Northern California recently received 20 inches of rain and 12 feet of snow. We need to invest in solutions that best recycle, reuse, and capture incoming stormwater. By adopting these solutions, California could save up to 14 million acre-feet of water every year.   http://usat.ly/2iomxqP","link","http://usat.ly/2iomxqP","usat.ly",115,10,12,9,0,0,0,0
"jerrymcnerney","215241308510238_1488908951143461","Congressman Jerry McNerney","2017-01-14","2017-01-14 22:41:13","Tomorrow (Sunday 1/15), I will be speaking at a rally in Stockton to #SaveHealthcare hosted by Our Revolution San Joaquin County. The event starts at 2 pm PST and is open to the public. Details below.","photo","https://www.facebook.com/jerrymcnerney/photos/a.217476098286759.63484.215241308510238/1488908951143461/?type=3",NA,42,6,22,5,0,0,0,0
"jerrymcnerney","215241308510238_1491606380873718","Congressman Jerry McNerney","2017-01-16","2017-01-16 22:41:10","Today, we honor and celebrate the great legacy of Dr. Martin Luther King Jr. His dream continues to live on and inspire us. #MLKDay‬","photo","https://www.facebook.com/jerrymcnerney/photos/a.217476098286759.63484.215241308510238/1491606380873718/?type=3",NA,39,9,5,8,0,0,0,0
"jerrymcnerney","215241308510238_1493547844012905","Congressman Jerry McNerney","2017-01-17","2017-01-17 22:33:03","I will not be attending the inauguration of President-Elect Donald Trump on January 20th. Instead, I will be in my district serving my constituents, as I was elected to do.   The election of Mr. Trump lacks legitimacy due to Russian hacking, which Mr. Trump encouraged, the FBI’s biased involvement, and other irregularities, and I cannot sanction the inauguration by attending the ceremony. However, because I support the peaceful transition of power and respect the office of the presidency, I will work with the new administration when possible to deliver for my district and move our country forward.  http://mcnerney.house.gov/media-center/press-releases/rep-mcnerney-releases-statement-on-upcoming-presidential-inauguration","link","http://mcnerney.house.gov/media-center/press-releases/rep-mcnerney-releases-statement-on-upcoming-presidential-inauguration","mcnerney.house.gov",545,282,75,103,2,1,3,47
"jerrymcnerney","215241308510238_1495261713841518","Congressman Jerry McNerney","2017-01-19","2017-01-19 03:22:21","Thanks to everyone who stopped by the open house I hosted today in Stockton. It was great to see so many #CA09 constituents.","photo","https://www.facebook.com/jerrymcnerney/photos/a.217476098286759.63484.215241308510238/1495261713841518/?type=3",NA,62,8,1,5,0,0,0,0
