"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"jerrymoran","171578807105_10152889103752106","Senator Jerry Moran","2017-05-05","2017-05-05 14:20:40",NA,"photo","https://www.facebook.com/jerrymoran/photos/a.10150619640087106.385840.171578807105/10152889103752106/?type=3",NA,176,18,1,12,0,1,0,2
"jerrymoran","171578807105_10154291851522106","Senator Jerry Moran","2017-01-01","2017-01-01 00:18:45",NA,"photo","https://www.facebook.com/jerrymoran/photos/a.10150619640087106.385840.171578807105/10154291851522106/?type=3",NA,121,7,4,2,0,0,0,0
"jerrymoran","171578807105_10154293915902106","Senator Jerry Moran","2017-01-01","2017-01-01 16:14:51","Robba and I wish you and your families a very happy new year! We are looking forward to a busy 2017. I am thankful for the opportunity to serve you, and I hope you will continue to stay in touch with me and share your thoughts and priorities through calls, emails and during my visits to your community.","photo","https://www.facebook.com/jerrymoran/photos/a.175345067105.124989.171578807105/10154293915902106/?type=3",NA,105,12,1,3,0,0,0,0
"jerrymoran","171578807105_10154300562342106","Senator Jerry Moran","2017-01-04","2017-01-04 00:38:25","I am honored and humbled to have been given another opportunity to serve Kansans in the United States Senate. I am ready to get to work to strengthen our national security, make healthcare accessible and affordable for more Americans, secure our border and make much-awaited changes to our immigration system, simplify our tax code, help local businesses thrive, and make certain Kansas farmers and ranchers can continue feeding the country and the globe.","link","http://www.moran.senate.gov/public/index.cfm/news-releases?ID=2595E621-BC31-4563-974B-E2E7385B4402","moran.senate.gov",220,38,7,0,0,0,1,0
"jerrymoran","171578807105_10154302776757106","Senator Jerry Moran","2017-01-04","2017-01-04 19:44:42","This week’s #KansasCommonSense newsletter – mapping out my 2016 travels, standing with #Israel, seeing Irwin Army Community Hospital at Fort Riley in action and stops in Axtell, Seneca, Bern, Logan, Harper and Ashland. Click below to subscribe or learn more.","link","http://www.moran.senate.gov/public/index.cfm/newsletter?ID=A1651073-1AE5-4E1F-A03E-785F128C67ED","moran.senate.gov",23,3,1,0,0,0,0,0
"jerrymoran","171578807105_10154303255702106","Senator Jerry Moran","2017-01-04","2017-01-04 23:22:37","The Obama administration made an unnecessary mistake in failing to defend one of America’s closest partners in the Middle East at the United Nations at the end of last month. Allowing the passage of such a one-sided Security Council resolution that seeks to harm Israel and ultimately pushes peace between Israel and the Palestinians further out of reach. The Senate resolution I introduced yesterday makes clear that, despite the actions of the outgoing administration, Congress and the American people still stand with #Israel. Watch my remarks on the Senate floor to learn more.","video","https://www.facebook.com/jerrymoran/videos/10154303255702106/",NA,90,20,6,1,0,0,2,0
"jerrymoran","171578807105_10154303300057106","Senator Jerry Moran","2017-01-04","2017-01-04 23:39:42","Honored to have my wife Robba, daughters Kelsey and Alex, and Alex’s husband Cole with me as I was sworn in to another six-year term in the Senate yesterday. Looking forward to the opportunities to help Kansans that the new Congress brings.","photo","https://www.facebook.com/jerrymoran/photos/a.175345067105.124989.171578807105/10154303300057106/?type=3",NA,573,34,5,14,1,3,0,0
"jerrymoran","171578807105_10154306658067106","Senator Jerry Moran","2017-01-05","2017-01-05 23:20:46","The failure to fix America’s broken immigration system puts lives at risk and justice out of reach. This week I sponsored Sarah's Law, which is named for a young woman killed nearly one year ago by a drunk driver in the country illegally. This bill would require the federal government to better prioritize its responses to individuals charged with violent crimes while in this country illegally – correcting current policies that leave unchecked criminals free to reoffend. I will push for the bill’s passage in the 115th Congress.","link","http://www.moran.senate.gov/public/index.cfm/news-releases?ID=BCCF7529-AC95-4C20-9DFC-7D03A0267C46","moran.senate.gov",58,18,8,3,0,0,0,0
"jerrymoran","171578807105_10154308849272106","Senator Jerry Moran","2017-01-06","2017-01-06 19:23:46","In 2010 the American people were promised affordable, accessible, and quality health care that would allow them to keep the plans they liked and get more folks covered at a lower cost. As it turns out, #Obamacare has failed to live up to its promises. With a new Congress, a new year, and a new administration, we now have a tremendous opportunity to provide real, substantive reform to our healthcare system. I spoke on the Senate floor to again provide a blueprint of ideas I’ve offered during my time in Congress to reform our healthcare system – things to keep in mind as we work to improve health care for the American people.","video","https://www.facebook.com/jerrymoran/videos/10154308849272106/",NA,67,38,6,3,0,0,2,5
"jerrymoran","171578807105_10154309129892106","Senator Jerry Moran","2017-01-06","2017-01-06 21:10:01","We received another solemn reminder last week of the risks our military men and women who sign up to serve our country face in order to protect us all. Chief Warrant Officer 3 Dustin Lee Mortenson, who grew up in Olathe, and Chief Warrant Officer 2 Lucas Lowe, his fellow soldier in the Texas Army National Guard, tragically leave behind wives, children, and expected children after a helicopter crash in Texas. My sympathies go out to their loved ones. God bless our soldiers and may they rest in peace.","link","http://fox4kc.com/2017/01/03/olathe-south-high-school-graduate-one-of-two-soldiers-killed-in-texas-helicopter-crash/","fox4kc.com",17,2,4,1,0,0,56,0
"jerrymoran","171578807105_10154309357407106","Senator Jerry Moran","2017-01-06","2017-01-06 23:24:16","I caught up with and met a number of leaders in Southeast Kansas today at a Pittsburg Area Chamber of Commerce event. I shared my perspective on health care reform and how my new committee assignments and addition to the Senate Environment and Public Works Committee will help me advocate to improve Kansas transportation projects. Thank you to Chamber President Blake Benson for the invitation to provide an update on goings on at the federal level and all who shared their thoughts with me.","photo","https://www.facebook.com/jerrymoran/photos/a.175345067105.124989.171578807105/10154309357407106/?type=3",NA,22,8,1,0,0,0,0,0
"jerrymoran","171578807105_10154313778837106","Senator Jerry Moran","2017-01-08","2017-01-08 17:34:00","I was honored to have my family with me as I was sworn in to another term in the U.S. Senate this week. Serving Kansans in our nation's capital is one of the greatest privileges of my life. I took a few moments to reflect on what came before, the significance of this moment, and the responsibility Kansans have given me on their behalf.","video","https://www.facebook.com/jerrymoran/videos/10154313778837106/",NA,213,26,23,6,1,0,0,0
