"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"jiminhofe","55018309421_10154339877199422","Senator Jim Inhofe","2017-01-03","2017-01-03 18:19:26","In the 115th Congress I will continue to serve as the Senior Member on both the U.S. Senate Armed Services Committee (SASC) and the U.S. Senate Committee on Environment and Public Works and in addition will serve on the Senate Committee on Commerce, Science, and Transportation and the U.S. Senate Committee on Small Business and Entrepreneurship. I look forward to continuing to serve the great state of Oklahoma in the 115th Congress as Senior Member of the SASC and EPW committees as well as on the Commerce and Small Business committees. I am honored to serve on these panels and look forward to working with the new Congress and incoming administration to rebuild our national defense, advance infrastructure priorities and rein in the federal bureaucracy.","status",NA,NA,166,32,14,12,0,1,0,1
"jiminhofe","55018309421_10154340248284422","Senator Jim Inhofe","2017-01-03","2017-01-03 22:01:33","Today I met with Oklahoma Attorney General Scott Pruitt for his first meeting on Capitol Hill since he was selected by President-elect Trump to lead the U.S. Environmental Protection Agency (EPA). Scott Pruitt is the ideal candidate to lead the EPA. Pruitt has seen first-hand the abuses of power at the hands of this agency and has fought back to ensure environmental quality without sacrificing jobs. Scott is an expert in constitutional law, and understands the fundamental element of balance necessary between the states and the federal government. I look forward to working with Chairman Barrasso and the EPW committee to move Scott’s nomination swiftly and fairly through the committee and to the Senate floor.","status",NA,NA,313,45,24,18,1,0,1,21
"jiminhofe","55018309421_10154342219324422","Senator Jim Inhofe","2017-01-04","2017-01-04 16:45:17","Today I met with retired Gen. James N. Mattis, President-elect Trump’s nominee to be secretary of defense. It was a pleasure to sit down with Jim Mattis and I feel strongly that he is the right pick to lead the Department of Defense. He understands the need to address the issues our military faces head on, including readiness shortfalls, a diminished force and increasing threats to our national security. Mattis is also committed to increasing the combat effectiveness and lethality of our military. I look forward to his nomination hearing before the SASC Committee and his ultimate confirmation.","status",NA,NA,253,27,27,18,0,0,0,3
"jiminhofe","55018309421_10154345560814422","Senator Jim Inhofe","2017-01-05","2017-01-05 22:53:32","Today I introduced S. 36, the Keep Our Communities Safe Act, with Sens. Chuck Grassley (R-Iowa), Ted Cruz (R-Texas), John Boozman (R-Ark.), and Tom Cotton (R-Ark.). The legislation would close the legal loophole that requires immigration authorities to release back into the United States illegal aliens who have not been accepted for deportation to other countries after being detained for six months; a practice also referred to as ""catch and release.""  I also co-sponsored Kate’s Law, Sarah’s Law, the Taking Action Against Drunk Drivers Act and a bill to make aliens associated with a criminal gang inadmissible, deportable and ineligible for various forms of relief, which were also introduced in the Senate today. As the current law stands, an illegal alien with a criminal record is released back into the United States after six months if no other country accepts them for deportation. This catch-and-release practice puts our law abiding citizens, local law enforcement officials and communities at risk; it is time we passed commonsense legislation to protect them. The Keep Our Communities Safe Act closes the catch-and-release loophole and will ensure that illegal aliens who have been found guilty of violent crimes and aggravated felonies are not able to remain in our communities. The fact of the matter is that we need to protect American citizens first and foremost by ensuring those aliens who break our laws and threaten our safety are removed. There are far too many incidences of illegal aliens not being appropriately punished after committing heinous crimes. I look forward to working with my colleagues and the Trump administration to secure our border and make our communities safer.","status",NA,NA,350,74,66,26,0,4,0,2
"jiminhofe","55018309421_10154359642854422","Senator Jim Inhofe","2017-01-11","2017-01-11 15:34:52","Yesterday I met with Linda McMahon, President-elect Trump’s nominee for small business administrator. Linda knows exactly what it takes to run an efficient and successful business—she founded and led a company that grew to 800 employees in just over ten years. Her first-hand experience makes her particularly well suited to run the Small Business Administration. Linda is a true fiscal conservative who wants to limit the impact of government on small businesses around the country, and I am confident she will bring common sense business principles to Washington.","photo","https://www.facebook.com/jiminhofe/photos/a.483826079421.259881.55018309421/10154359642854422/?type=3",NA,266,22,9,9,1,0,1,3
"jiminhofe","55018309421_10154360252854422","Senator Jim Inhofe","2017-01-11","2017-01-11 19:13:59","Yesterday I met with Vincent Viola, President-elect Trump’s nominee for secretary of the army. Mr. Viola understands the challenges confronting our Army. He shares my desire to rebuild and strengthen our Army, improve our readiness and modernize our aging weapon systems. We discussed the ongoing challenges our nation faces in dealing with cyber threats; I was encouraged by his ideas about how to better recruit and retain cyber warriors in our military. Vinnie is a strong pick for Secretary of the Army.","photo","https://www.facebook.com/jiminhofe/photos/a.483826079421.259881.55018309421/10154360252854422/?type=3",NA,106,11,5,4,0,0,0,1
"jiminhofe","55018309421_10154360920654422","Senator Jim Inhofe","2017-01-11","2017-01-11 22:59:44","I met with Wilbur Ross, President-elect Trump’s nominee for secretary of commerce, yesterday.  Mr. Ross has a long record of protecting U.S. business interests.  We had a robust discussion about trade enforcement, our vital trade relationship with Taiwan and the possibility of entering into trade negotiations with African nations. I look forward to moving forward with Wilbur’s confirmation process.","photo","https://www.facebook.com/jiminhofe/photos/a.483826079421.259881.55018309421/10154360920654422/?type=3",NA,95,10,6,0,1,0,0,3
"jiminhofe","55018309421_10154363588699422","Senator Jim Inhofe","2017-01-12","2017-01-12 10:49:33","Last night the Senate passed a budget resolution for FY 17 which tees us up to repeal the Affordable Care Act and defund Planned Parenthood.                            This vote paves a path for the Republican-led Senate to follow through on the promise we made to the American people; we are now set and ready to repeal Obamacare. For the last seven years Americans all across the country have been feeling the devastating effects of this law. And Oklahoma has been among the worst hit. Individuals have lost their health plans and many families have seen their hard-earned dollars come up short when it comes to affording their skyrocketing healthcare premiums and deductibles. Repealing Obamacare will give us the opportunity to make things right again and will allow us to work with the incoming administration to ensure our healthcare system actually works for this country.","status",NA,NA,451,206,58,47,1,0,3,64
"jiminhofe","55018309421_10154364225579422","Senator Jim Inhofe","2017-01-12","2017-01-12 16:04:33","This morning I joined Fox News’ America’s Newsroom to preview the confirmation hearing for retired Gen. James N. Mattis for secretary of defense.","video","https://www.facebook.com/jiminhofe/videos/10154364225579422/",NA,99,12,10,8,0,1,0,8
"jiminhofe","55018309421_10154365109194422","Senator Jim Inhofe","2017-01-12","2017-01-12 22:30:11","Today the Senate passed legislation to provide for an exemption to a limitation against appointment of retired Gen. James N. Mattis to serve as secretary of defense within seven years of relief from active duty as a regular commissioned officer of the armed forces. I am pleased that my colleagues have voted to allow for the confirmation of Mattis to be the secretary of defense. Our military has faced readiness and modernization shortfalls over the last eight years while we simultaneously face increasing threats to our national security. Gen. Mattis will not only increase the combat effectiveness and lethality of our military but will reestablish this country’s global leadership position. While I am strongly in favor of the Constitutional requirement of civilian control of the armed forces, I support granting Mattis this waiver because of his exceptional commitment to Constitutional principles, his unique qualifications for this position, and the increasing global threats to our nation. This is a necessary step to rebuilding our military.  I look forward to the House vote in favor of the waiver and confirmation of Mattis as our next secretary of defense.","status",NA,NA,214,30,15,14,0,0,0,10
