"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"joecourtney","330408799230_10154886256524231","Joe Courtney","2017-01-01","2017-01-01 05:17:29","Wishing everyone across eastern Connecticut a safe and Happy New Year!","status",NA,NA,230,25,1,7,0,0,0,0
"joecourtney","330408799230_10154894441959231","Joe Courtney","2017-01-03","2017-01-03 18:54:27","It has been a remarkable 24 hours for the House GOP and the new Congress that starts today. After voting in the dead of night and behind closed doors to eviscerate the independent office that reviews ethics complaints against members of Congress, the Republican majority today caved to overwhelming public pressure and reversed themselves. It is hard to conceive how such a foolish proposal could have been passed as their first action of the new Congress. I hope they have received the message loud and clear that the American people will be watching every move they make from here on out.","video","http://www.msnbc.com/andrea-mitchell-reports/watch/house-gop-back-down-from-gutting-ethics-office-846499907727",NA,345,59,64,12,4,4,0,22
"joecourtney","330408799230_10154897364779231","Joe Courtney","2017-01-04","2017-01-04 19:31:37","I continue to hear from many constituents impacted by crumbling foundations. A report was released yesterday by the Department of Consumer Protection detailing the efforts of Commissioner Jonathan Harris and his team to solve this horrific problem. One thing that is clear: this is going to require a concerted effort from all levels of government in order to develop tangible solutions for impacted homeowners.   Crumbling foundations have so far impacted 23 Connecticut communities. The damage to homes has the potential to harm the local housing market and could ripple across our state, hindering our efforts to achieve a full economic recovery. My office received confirmation last August that federal resources can be applied to this problem through the Department of Housing and Urban Development. Local leaders are hard at work trying to leverage these resources, which combined with help from other stakeholders, insurers, lenders and home builders can stop the escalating harm this report identifies. I look forward to working with along with them and my colleagues in the federal delegation to further flush out such opportunities for relief.","video","https://www.facebook.com/joecourtney/videos/10154897364779231/",NA,21,6,6,0,0,2,0,1
"joecourtney","330408799230_10154900535569231","Joe Courtney","2017-01-05","2017-01-05 19:22:12","The Navy announced yesterday that the Columbia-class submarine program passed ”‘Milestone B” in the defense acquisition process, an important technical step. Now the process of steel-cutting and welding can begin for this next-generation program that will bring thousands of jobs to our region for decades to come.","link","http://ctmirror.org/2017/01/05/navy-moves-forward-on-new-columbia-class-subs/","ctmirror.org",88,6,16,2,0,0,0,0
"joecourtney","330408799230_10154903321874231","Joe Courtney","2017-01-06","2017-01-06 18:38:14","In February of 2010, a horrifying natural gas explosion at the Kleen Energy Systems Plant in Middletown killed six workers, including my dear friend Ron Crabb, and injured dozens more. It was later determined that the blast was caused by the unsafe but legal practice known as “blow-downs,” in which workers use natural gas to clean pipes.  As we approach the seventh anniversary of this tragedy, it is clearer than ever that workplace safety regulations can save lives – which is why I spoke on the floor yesterday to oppose a bill that would add more red tape to the regulatory process, and make it even harder for OSHA and other agencies to protect American workers.","video","https://www.facebook.com/joecourtney/videos/10154903321874231/",NA,162,26,63,7,0,1,0,0
"joecourtney","330408799230_10154912065694231","Joe Courtney","2017-01-09","2017-01-09 21:54:05","I had the honor of joining VFW Post No. 5095 and residents from East Hampton on Saturday for a Yellow Ribbon ceremony to show support for U.S. Navy Commander Michael Flatley and his wife and children. Commander Flatley will be deploying overseas for the fourth time. Despite a raging snowstorm oustide the post, there was standing room only turnout of area veterans, neighbors, and town officials to show support for the Commander. As always, the Patriot Riders were in attendance.  During the ceremony, Commander Flatley and his wife hung a yellow ribbon on a tree to honor him during his deployment. We wish the Commander a safe deployment and a speedy return home to his friends and family.","photo","https://www.facebook.com/joecourtney/photos/a.430987469230.202563.330408799230/10154912064619231/?type=3",NA,32,2,0,1,0,0,0,0
"joecourtney","330408799230_10154913857784231","Joe Courtney","2017-01-10","2017-01-10 15:07:16","Great news from Electric Boat President Jeff Geiger that the company plans to make 1,350 new hires in Connecticut this year alone! And that number doesn’t even include the jobs that will be created across the network of nearly 500 small parts suppliers and precision manufacturing firms that support work at the shipyard. The growth at EB is continuing to drive a robust economic recovery across our region, and I promise to continue to support our undersea fleet and submarine construction at EB in my role as the ranking member of the Seapower subcommittee in Washington.","link","http://www.theday.com/military/20170109/electric-boat-poised-to-invest-15-billion-to-meet-demand-for-more-subs","theday.com",133,5,26,2,0,1,0,0
"joecourtney","330408799230_10154922169919231","Joe Courtney","2017-01-12","2017-01-12 19:07:54","Check out this piece from WTNH about the “manufacturing pipeline” workforce education program, which is changing lives by training local residents to fill high-skilled, high-paying jobs across our region. I was proud to support this program by helping to obtain a $6 million dollar grant from the Department of Labor. Formerly unemployed or underemployed workers are now able to train for skilled labor positions at Electric Boat and other manufacturers on the EB supply chain, receive health and childcare benefits, and build a future for their loved ones.","video","https://www.facebook.com/joecourtney/videos/10154922169919231/",NA,56,3,14,3,0,0,0,0
"joecourtney","330408799230_10154925309904231","Joe Courtney","2017-01-13","2017-01-13 16:58:07","Today, I spoke on the House floor to share just a small sample of calls and emails I’ve received from people in eastern Connecticut who are concerned about what repealing the Affordable Care Act without a replacement will mean for them. Let’s be clear: the Affordable Care Act is working for tens of millions of families. It is beyond reckless for Congressional Republicans to repeal people’s health insurance without having any plan to replace it. #ACAWorks #StopACARepeal","video","https://www.facebook.com/joecourtney/videos/10154925309904231/",NA,518,108,92,38,1,0,7,4
"joecourtney","330408799230_10154933458134231","Joe Courtney","2017-01-16","2017-01-16 12:44:11","On this Martin Luther King Jr. Day, one line stands out as particularly relevant for this moment: ""Of all the forms of inequality, injustice in health care is the most shocking and inhumane.""","status",NA,NA,187,15,28,8,0,2,11,0
"joecourtney","330408799230_10154937145044231","Joe Courtney","2017-01-17","2017-01-17 19:04:21","Thanks to all of the amazing supporters from across Connecticut who turned up in Hartford on Sunday to show support for health coverage and preserving the Affordable Care Act. I have heard from many residents and small business owners in eastern Connecticut who receive health insurance through the #ACA and are terrified that Republicans in Congress are going to repeal their coverage. Let’s be clear: the ACA works for tens of millions of families across the US and there is no alternative being proposed which can equal its success. Let’s stop this reckless assault on health insurance before it goes any further! #ACAWorks #StopACARepeal","photo","https://www.facebook.com/joecourtney/photos/a.430987469230.202563.330408799230/10154937144554231/?type=3",NA,201,23,11,16,0,0,0,0
"joecourtney","330408799230_10154940123379231","Joe Courtney","2017-01-18","2017-01-18 17:25:17","I joined state and local officials in Preston yesterday to make public the long-awaited plan for redeveloping the closed Norwich Hospital site. The Town of Preston is on track to host a brand new multimillion dollar complex that will create hundreds of local jobs. Preston’s decision to partner with the Mohegan Tribe, whose roots in the area goes back centuries, is an enduring commitment that no other developer can match. I am proud that my office worked so closely with town officials to obtain federal brownfields grant funding from the EPA in 2012 and 2014 to help pay for the environmental cleanup that was necessary to get us to this point.","link","http://www.theday.com/local/20170117/mohegans-reveal-concepts-for-former-norwich-hospital","theday.com",73,8,7,0,0,0,0,0
"joecourtney","330408799230_10154943113634231","Joe Courtney","2017-01-19","2017-01-19 15:01:15","Last year my office was able to help save or return $2.2 million dollars directly to eastern Connecticut residents by conducting constituent casework in our Norwich and Enfield offices. Constituent casework is when members of my staff provide assistance to local residents who are struggling to cut through red tape in order to resolve an issue with the federal government. These issues can include clearing up disputes with the IRS, complications with receiving Social Security or veterans’ benefits or helping families to secure mortgage modifications. If you or anyone you know is having a difficult time resolving an issue with the federal government, please have them contact my Norwich or Enfield office for assistance. You can find the contact information on my website: www.courtney.house.gov","video","https://www.facebook.com/joecourtney/videos/10154943113634231/",NA,73,7,10,5,0,0,0,0
"joecourtney","330408799230_10154950577919231","Joe Courtney","2017-01-21","2017-01-21 18:24:34","After attending yesterday's peaceful transition of power, today I am on the Mall to peacefully support #EqualRights","photo","https://www.facebook.com/joecourtney/photos/a.10151986617064231.1073741838.330408799230/10154950576369231/?type=3",NA,484,33,14,52,2,0,0,0
"joecourtney","330408799230_10154959007909231","Joe Courtney","2017-01-23","2017-01-23 21:04:26","Last week, I shared new data from Medicare that demonstrates how the Affordable Care Act (ACA), or Obamacare, saved senior citizens in my district nearly $20 million dollars on prescription drugs in 2016. When the ACA was passed in 2010, it contained provisions to close the so-called ‘donut hole’ in Medicare Part D coverage which otherwise would have made the program less effective at lowering the cost of prescription drugs. Last year, the 14,531 seniors in eastern Connecticut who participated in the Part D prescription drug program saved an average of $1,808.00 per beneficiary – for a total savings of $19.8 million. And these savings for seniors are expected to continue to grow each year until the Part D donut hole is completely phased out in 2020 – that is as long as the relevant ACA provisions are not repealed by Congressional Republicans and the new President. #ACAworks #stopACArepeal","link","https://courtney.house.gov/media-center/press-releases/new-data-shows-affordable-care-act-saved-eastern-connecticut-seniors-1","courtney.house.gov",192,20,80,6,1,1,0,0
"joecourtney","330408799230_10154963171804231","Joe Courtney","2017-01-24","2017-01-24 18:52:15","Yesterday, I spoke on the House floor to make it clear that I am shocked that one of President Trump’s first actions in office was to roll back a scheduled rate decrease on mortgage insurance for first-time homebuyers. One of the last things the outgoing Obama Administration did was to reduce the annual fee on insurance for FHA home loans from .85 percent to .6 percent – saving the average family about $500 per year. Within an hour of his inauguration, the new President signed an executive order to cancel this rate decrease – without any conceivable justification because the money that FHA makes on this fee is pure profit for the government. I have heard from a bipartisan chorus of realtors and homebuilders who are dumbfounded by this move. Not a great start if his mission is to stand up for middle-class and working families.","video","https://www.facebook.com/joecourtney/videos/10154963171804231/",NA,358,101,222,5,2,12,8,83
"joecourtney","330408799230_10154966949554231","Joe Courtney","2017-01-25","2017-01-25 16:48:07","The planned multimillion-dollar condo complex near Fort Trumbull featured in The Day this morning is more evidence that new jobs being created at Electric Boat and its suppliers are driving an economic resurgence across our region. EB hired nearly 1,500 new workers last year and expects to hire another 1,300 this year! This is drawing people to eastern Connecticut and providing a major boost for our real estate market.","link","http://www.theday.com/local/20170124/multimillion-dollar-condo-complex-closer-to-reality-in-new-london","theday.com",91,9,17,2,0,0,0,0
"joecourtney","330408799230_10154970548749231","Joe Courtney","2017-01-26","2017-01-26 18:57:49","I stood with local healthcare providers and community members in Norwich yesterday to oppose the reckless repeal which the Republican majority rammed through Congress on January 13th - without the faintest hint of a replacement law. I walked through the Congressional Budget Office analysis which shows that a repeal of the law will put the health coverage of 30 million Americans at risk. Well over 130 people from across Eastern CT joined me to express their outrage at the rush to dismantle patient protections such as elimination of the preexisting conditions exclusion, ban on lifetime limits, exchange subsidies, and Medicaid expansion.   These protections have driven Eastern CT’s uninsured rate down from 6.9% to 3.6% - its lowest level ever. I read aloud from emails sent to my office from self-employed individuals such as a local farmer, nurses, and others who obtained affordable coverage for the first time in years through the ACA. With the budget reconciliation process coming to a head in late February or early March, it is a critical time for the public to speak out and call Congress to stop reckless legislation that will strip patients and families of access to quality care.","link","http://www.theday.com/local/20170125/courtney-local-groups-urge-residents-to-push-back-against-aca-repeal","theday.com",173,24,21,12,1,0,2,4
"joecourtney","330408799230_10154973281719231","Joe Courtney","2017-01-27","2017-01-27 18:20:17","It has become painfully clear over the past several days that when President Trump ordered a blanket hiring freeze across the entire federal government, he and his staff did not consider the collateral damage such an action would cause – particularly for our veterans. While the White House exempted military personnel, they simply neglected to make any exemption for support personnel, or for the Department of Veterans affairs which needs to hire civilian medical staff. It is incredibly damaging to interrupt the normal hiring process because such actions cannot be easily undone. I joined a number of my colleagues yesterday in sending a letter to President Trump asking that he immediately reverse the order as it relates to the VA. I would also encourage the new President to learn more about the important work that our dedicated civil service employees carry out across the country every day.","link","http://www.theday.com/military/20170126/state-delegation-among-those-who-want-to-exempt-va-vets-from-hiring-freeze","theday.com",110,10,22,0,0,1,1,9
