"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"johnmccain","6425923706_10154941539408707","John McCain","2017-01-03","2017-01-03 22:33:09","Today I was deeply humbled to be sworn in to serve in the 115th Congress. It has been the great honor of my life representing the people of Arizona in the U.S. Senate. I have never taken their trust for granted, and I will continue to work harder than the day before for the people of Arizona.","video","https://www.facebook.com/johnmccain/videos/10154941539408707/",NA,3416,1001,136,251,14,8,4,114
"johnmccain","6425923706_10154943856748707","John McCain","2017-01-04","2017-01-04 20:00:37","Last week, I had a productive and informative trip to Estonia, Latvia, Lithuania, Ukraine and Georgia, where I met with U.S., NATO and other foreign officials to reaffirm America's commitment to our allies during these challenging times for regional and global security.","photo","https://www.facebook.com/johnmccain/photos/a.10150113711578707.294021.6425923706/10154943849158707/?type=3",NA,3313,688,350,308,7,5,0,40
"johnmccain","6425923706_10154946064733707","John McCain","2017-01-05","2017-01-05 16:22:30","Every American should be alarmed by Russia’s attacks on our nation. There is no national security interest more vital to the United States of America than the ability to hold free and fair elections without foreign interference. That is why Congress must set partisanship aside, follow the facts, and work together to devise comprehensive solutions to deter, defend against, and, when necessary, respond to foreign cyberattacks...  What seems clear is that our adversaries have reached a common conclusion: that the reward for attacking America in cyberspace outweighs the risk. For years, cyberattacks on our nation have been met with indecision and inaction. Our nation has had no policy, and thus no strategy, for cyber deterrence. This appearance of weakness has been provocative to our adversaries, who have attacked us again and again, with growing severity. Unless we demonstrate that the costs of attacking the United States outweigh the perceived benefits, these cyber threats will only grow.   My full statement from today's Senate Armed Services hearing on foreign cyber threats to the United States: http://bit.ly/2hUPMD6","video","https://www.facebook.com/johnmccain/videos/10154946064733707/",NA,4756,3158,1387,314,71,30,12,273
"johnmccain","6425923706_10154960477843707","John McCain","2017-01-10","2017-01-10 20:41:00","I appreciate the great work by Senator Rob Portman & Senator Claire McCaskill to expose Backpage dot com's illegal facilitation of online prostitution and child sex trafficking. Because of this important investigation and the tireless efforts of my wife Cindy to fight human trafficking, Backpage announced last night that it will shut down the ""adult"" section of its website. There is nothing more important than protecting our children and rooting out such evil, and Congress will continue its work to bring Backpage and all perpetrators of human trafficking to justice.","video","https://www.facebook.com/johnmccain/videos/10154960477843707/",NA,1365,1420,132,100,3,10,3,93
"johnmccain","6425923706_10154968111573707","John McCain","2017-01-12","2017-01-12 14:52:42","I'm chairing the confirmation hearing for General James Mattis to be our next Secretary of Defense this morning. Gen. Mattis has a clear understanding of the many challenges facing the Department of Defense, the U.S. military, and our national security. I look forward to hearing about his vision to rebuild our Armed Forces, reform the Department of Defense, and confront a variety of threats around the world. Watch the hearing live on C-SPAN.","link","http://cs.pn/2jmQvtL","cs.pn",742,363,0,48,4,3,2,4
"johnmccain","6425923706_10154968920623707","John McCain","2017-01-12","2017-01-12 17:33:37","Today, I asked General Mattis, nominee to be our next Secretary of Defense, whether budget cuts to the military are putting the lives of our service members at risk, and what the United States should do in the face of Russian aggression. Watch our full exchange.","video","https://www.facebook.com/johnmccain/videos/10154968920623707/",NA,2807,1001,846,186,6,34,4,31
"johnmccain","6425923706_10154981582108707","John McCain","2017-01-16","2017-01-16 16:30:35","The President-elect has said he wants to ""fully eliminate the defense sequester"" and ""rebuild the military."" I could not agree more. My new report lays out a plan to repair, rebuild, and reimagine the military for a wide range of threats facing our nation: http://bit.ly/2iu3rBa","photo","https://www.facebook.com/johnmccain/photos/a.10150113711578707.294021.6425923706/10154981582108707/?type=3",NA,1288,587,148,81,8,7,3,19
"johnmccain","6425923706_10154987713633707","John McCain","2017-01-18","2017-01-18 16:07:14","EXPLAINING THE YEAS & NAYS: As a representative for the people of Arizona, it is my duty to keep you informed about the votes I take on legislation impacting your lives. In this new regular update, I will explain the ""yeas"" and ""nays"" -- providing you with full transparency on how and why I voted on different pieces of legislation, and why they are important.  GAO Access and Oversight Act of 2017: Yesterday, I voted in support of the GAO Access and Oversight Act, which will provide greater transparency and accountability into federal benefit programs to better protect American taxpayers from waste, fraud, and abuse. This will give the Government Accountability Office (GAO) access to federal databases at HHS to audit key federal programs such as Unemployment Insurance and food stamps to ensure that these important benefits are not going to individuals who are not eligible to receive them. This bipartisan, commonsense bill passed the House of Representatives unanimously on January 4th, and I am pleased that the Senate acted swiftly yesterday to pass this good-government bill.","status",NA,NA,679,1160,45,37,0,0,4,41
"johnmccain","6425923706_10155014108248707","John McCain","2017-01-25","2017-01-25 19:12:50","Watch my full interview on Morning Joe this morning discussing the President's first actions in office, including reports of an executive order directing a review of enhanced interrogation policies.   The President can sign whatever executive orders he likes. But the law is the law. We are not bringing back torture to the United States. On June 16, 2015, the United States Senate voted 78-21 to adopt an amendment to the National Defense Authorization Act for Fiscal Year 2016 that reaffirmed the prohibition on torture by limiting interrogation techniques to those in the Army Field Manual, which does not include waterboarding or other forms of enhanced interrogation.","video","https://www.facebook.com/johnmccain/videos/10155014108248707/",NA,3277,1175,446,310,6,3,9,74
"johnmccain","6425923706_10155019644158707","John McCain","2017-01-27","2017-01-27 17:18:06","President Donald Trump’s call with Vladimir Putin is scheduled to take place amid widespread speculation that the White House is considering lifting sanctions against Russia. For the sake of America’s national security and that of our allies, I hope President Trump will put an end to this speculation and reject such a reckless course. If he does not, I will work with my colleagues to codify sanctions against Russia into law.  In just the last three years under Vladimir Putin, Russia has invaded Ukraine, annexed Crimea, threatened NATO allies, and intervened militarily in Syria, leaving a trail of death, destruction, and broken promises in his wake.  Russia’s war on Ukraine has killed over 10,000 Ukrainian soldiers and civilians. Russia supplied the weapons that shot down a commercial aircraft over Ukraine and killed 298 innocent people.  Russia has conducted a massive military buildup along NATO’s eastern flank, conducted large-scale military exercises, violated the borders, airspace, and territorial waters of its neighbors, and intensified its propaganda efforts to undermine the governments of our allies.  Russia has propped up the murderous Assad regime as it has waged war on the Syrian people and killed more than 400,000 civilians. Russia’s military has targeted Syrian hospitals and first responders with precision weapons. Instead of targeting ISIL, Russia has focused its operations against the moderate Syrian opposition, which has only empowered extremist forces in the country.  And in the most flagrant demonstration of Putin’s disdain and disrespect for our nation, Russia deliberately interfered in our recent election with cyberattacks and a disinformation campaign designed to weaken America and discredit Western values.  Each of our last three presidents had high hopes for building a partnership with the Russian government. Each attempt failed, not for lack of good faith and effort on the U.S. side, but because Putin wants to be our enemy. He needs us as his enemy. He will never be our partner, including in fighting ISIL. He believes that strengthening Russia means weakening America. President Trump should remember this when he speaks to Vladimir Putin. He should remember that the man on the other end of the line is a murderer and a thug who seeks to undermine American national security interests at every turn. For our commander-in-chief to think otherwise would be naïve and dangerous.","status",NA,NA,138191,11817,50563,6255,115,3136,570,1067
