"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"judgecarter","407767916003589_1113235168790190","John Carter","2017-01-01","2017-01-01 06:00:01","My family, staff and I wish you a blessed and happy 2017!","photo","https://www.facebook.com/judgecarter/photos/a.408363842610663.1073741836.407767916003589/1113235168790190/?type=3",NA,40,7,0,5,0,0,0,0
"judgecarter","407767916003589_1113249762122064","John Carter","2017-01-16","2017-01-16 14:00:00","Today we honor the life & legacy of Dr. Martin Luther King Jr. #MLKDay","photo","https://www.facebook.com/judgecarter/photos/a.408363842610663.1073741836.407767916003589/1113249762122064/?type=3",NA,12,5,1,1,0,0,0,0
"judgecarter","407767916003589_1161234133990293","John Carter","2017-01-03","2017-01-03 01:28:35","I always enjoy looking back on the U.S. Army's #YearInPhotos. Check out this fantastic shot of an Army paratrooper over III Corps and Fort Hood! #MilitaryMonday","link","https://www.army.mil/yearinphotos/?utm_source=facebook&utm_medium=referral&utm_campaign=yip16","army.mil",16,0,0,2,0,0,0,0
"judgecarter","407767916003589_1162250140555359","John Carter","2017-01-03","2017-01-03 23:30:00","Today is #OpeningDay for the 115th Congress! I'm excited to work with the House Republicans and President Elect Donald J. Trump to get America back on track. Here's a quick tour of my DC Office, where I am humbled each day to represent #TX31 in Washington.","video","https://www.facebook.com/judgecarter/videos/1162250140555359/",NA,69,12,1,2,0,0,0,0
"judgecarter","407767916003589_1162309257216114","John Carter","2017-01-03","2017-01-03 18:35:53","Congratulations to all new Bell County, Texas officials sworn in today!","photo","https://www.facebook.com/judgecarter/photos/a.408363842610663.1073741836.407767916003589/1162309257216114/?type=3",NA,10,1,0,0,0,0,0,0
"judgecarter","407767916003589_1162550827191957","John Carter","2017-01-03","2017-01-03 22:00:00","Honored to be sworn in to serve #TX31 in the 115th Congress today!","video","https://www.facebook.com/judgecarter/videos/1162550827191957/",NA,45,4,2,1,0,0,0,0
"judgecarter","407767916003589_1162690277178012","John Carter","2017-01-04","2017-01-04 00:45:00","I believe the best reform will be done in a transparent and bipartisan manner - Now it's time to get to work for the American people!","link","https://carter.house.gov/press-releases/carter-house-approve-house-rules-carter-opposes-goodlatte-amendment2/","carter.house.gov",22,5,2,0,0,0,0,0
"judgecarter","407767916003589_1162710120509361","John Carter","2017-01-04","2017-01-04 14:00:00","ICYMI: Yesterday was #OpeningDay for the 115th Congress, and here's some highlights form the 114th!","link","https://carter.house.gov/press-releases/carter-accomplishments-for-114th-congress-sworn-in-today-for-115th-congress/","carter.house.gov",7,0,0,0,0,0,0,0
"judgecarter","407767916003589_1163937053720001","John Carter","2017-01-05","2017-01-05 01:00:00","Today I proudly supported H.J.Res. 3, which passed the House. This approved the site for the the National Desert Storm War Memorial on the National Mall and Memorial Parks for an Operation Desert Storm and Operation Desert Shield commemorative memorial.","link","https://policy.house.gov/legislative/bills/hj-res-approving-location-memorial-commemorate-and-honor-members-armed-forces?utm_source=HouseGOP+Staff+List&utm_campaign=bc335f32ac-Legislative_Digest1_5_2016&utm_medium=email&utm_term=0_f9e806e009-bc335f32ac-132529681","policy.house.gov",27,4,5,2,0,0,0,0
"judgecarter","407767916003589_1164146967032343","John Carter","2017-01-04","2017-01-04 21:00:53","It is a true honor to represent my friends and neighbors in #TX31 in the 115th Congress!","photo","https://www.facebook.com/judgecarter/photos/a.408363842610663.1073741836.407767916003589/1164146967032343/?type=3",NA,34,2,0,0,0,0,0,0
