"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"keithrothfus","133803223451004_716304791867508","Congressman Keith Rothfus","2017-01-01","2017-01-01 13:58:12","Wishing you and your loved ones a healthy, happy new year!","status",NA,NA,151,38,0,3,0,1,0,0
"keithrothfus","133803223451004_717347191763268","Congressman Keith Rothfus","2017-01-03","2017-01-03 15:46:50","New year, new Congress. What issues would you like to see taken up by your representatives?","photo","https://www.facebook.com/keithrothfus/photos/a.140480662783260.32161.133803223451004/717347191763268/?type=3",NA,19,36,2,0,0,0,0,0
"keithrothfus","133803223451004_717455711752416","Congressman Keith Rothfus","2017-01-03","2017-01-03 20:23:50","I am deeply honored that the great people of Western Pennsylvania have sent me back to Washington to represent them for a third term. I am ready to get to work passing the tax, health care, and regulatory reform we need to grow our economy, create jobs, and relieve working families and small businesses from Washington overreach.","status",NA,NA,217,40,3,11,0,1,0,0
"keithrothfus","133803223451004_717918961706091","Congressman Keith Rothfus","2017-01-04","2017-01-04 21:53:27","I, Keith J. Rothfus, do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter. So help me God.","photo","https://www.facebook.com/keithrothfus/photos/a.140480662783260.32161.133803223451004/717917621706225/?type=3",NA,215,27,5,10,0,0,0,0
"keithrothfus","133803223451004_718219555009365","Congressman Keith Rothfus","2017-01-05","2017-01-05 14:14:32","Every Member of Congress took an oath to support and defend the Constitution. There is no better way to begin the 115th Congress than by gathering to read it aloud and reflect upon the fundamental principles laid out by our founders. Tune in to CSPAN at 10 a.m. to watch.","photo","https://www.facebook.com/keithrothfus/photos/a.140480662783260.32161.133803223451004/718219555009365/?type=3",NA,24,6,3,3,0,0,0,0
"keithrothfus","133803223451004_718275468337107","Congressman Keith Rothfus","2017-01-05","2017-01-05 17:02:32","Here is my portion of the ceremonial reading of the Constitution this morning –  Article I Section 8: [The Congress shall have the Power…]  To constitute Tribunals inferior to the supreme Court; To define and punish Piracies and Felonies committed on the high Seas, and Offences against the Law of Nations;","video","https://www.facebook.com/keithrothfus/videos/718275468337107/",NA,56,9,5,1,0,0,0,2
"keithrothfus","133803223451004_718445434986777","Congressman Keith Rothfus","2017-01-06","2017-01-06 01:13:25","The REINS Act will restore the people’s voice in deciding the regulations that will affect their everyday lives. It is the beginning of making America great again.","video","https://www.facebook.com/keithrothfus/videos/718445434986777/",NA,92,11,12,1,0,1,0,1
"keithrothfus","133803223451004_718790198285634","Congressman Keith Rothfus","2017-01-06","2017-01-06 18:43:43","I’m truly honored to be named Vice Chairman of the House Committee on Financial Services Subcommittee on Financial Institutions and Consumer Credit. I look forward to working with Subcommittee Chairman Blaine Luetkemeyer to grow the economy by ensuring small businesses, entrepreneurs, and consumers have access to the credit they need.","link","https://rothfus.house.gov/media-center/press-releases/rothfus-named-vice-chairman-financial-services-subcommittee-financial","rothfus.house.gov",125,15,8,4,0,0,0,0
"keithrothfus","133803223451004_718819151616072","Congressman Keith Rothfus","2017-01-06","2017-01-06 20:26:49","Sam Johnson is not your ordinary member of Congress. His life of service to our nation, which included seven years at the notorious Hanoi Hilton, has been heroic. He is an American icon, and his retirement will leave an indelible void. We will cherish the next two years serving with him.","status",NA,NA,20,2,0,2,0,0,0,0
"keithrothfus","133803223451004_720158418148812","Congressman Keith Rothfus","2017-01-09","2017-01-09 18:00:23","Proud to display this blue light in my office in honor of National Law Enforcement Appreciation Day. Let us take a moment to appreciate the service and sacrifice of all of these brave men and women, especially the late Pennsylvania State Police Trooper Landon Weaver.","photo","https://www.facebook.com/keithrothfus/photos/a.140480662783260.32161.133803223451004/720158418148812/?type=3",NA,61,4,10,3,0,0,0,0
