"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"kevinbrady","9307301412_10154676932126413","Rep. Kevin Brady","2017-01-02","2017-01-02 14:39:44","What a way to ring in the New Year! I am blessed to represent such an incredible community.","link","http://www.mysanantonio.com/news/article/New-Year-s-Eve-masquerade-racks-nearly-40K-in-10830244.php","mysanantonio.com",40,1,1,1,0,0,0,0
"kevinbrady","9307301412_10154680946831413","Rep. Kevin Brady","2017-01-03","2017-01-03 18:37:53","Exciting day in the Capitol. We kickoff the new session of Congress. Couldn't think of a better  day to host our open house. Special thanks to Republic Kolache, started by a native TX-08 constituent, for the fantastic Kolache's.","video","https://www.facebook.com/kevinbrady/videos/10154680946831413/",NA,59,10,2,1,0,0,0,0
"kevinbrady","9307301412_10154681326776413","Rep. Kevin Brady","2017-01-03","2017-01-03 21:28:39","Sharing Texas breakfast traditions with Minnesota colleague @reperikpaulsen and his family! Great way to kickoff this 115th Congress.","photo","https://www.facebook.com/kevinbrady/photos/a.118418671412.133511.9307301412/10154681326776413/?type=3",NA,55,2,0,4,0,0,0,0
"kevinbrady","9307301412_10154681733726413","Rep. Kevin Brady","2017-01-04","2017-01-04 00:26:38","We now have the best opportunity in over a decade to tackle some of the most complex challenges facing our nation and I am excited to get to work.","video","https://www.facebook.com/kevinbrady/videos/10154681733726413/",NA,33,11,6,2,0,0,0,0
"kevinbrady","9307301412_10154681784386413","Rep. Kevin Brady","2017-01-04","2017-01-04 00:48:42","For those of us who love Tomball, losing these great community leaders all in 2016 is shocking. On the other hand, we are better for their service and their lives which touched so many. We are blessed.","link","http://www.chron.com/neighborhood/tomball/news/article/Tomball-loses-6-Citizens-of-Year-in-2016-10832203.php","chron.com",16,3,29,2,0,0,5,1
"kevinbrady","9307301412_10154684376011413","Rep. Kevin Brady","2017-01-04","2017-01-04 23:26:30","BREAKING NEWS --> The House just passed the Midnight Rules Relief Act. This important bill gives Congress the power to stop the rush of midnight regulations by Obama.","photo","https://www.facebook.com/kevinbrady/photos/a.118418671412.133511.9307301412/10154684376011413/?type=3",NA,72,9,15,5,0,0,1,1
"kevinbrady","9307301412_10154686052131413","Rep. Kevin Brady","2017-01-05","2017-01-05 15:51:43","HAPPENING NOW: No better way to start the 115th Congress than by reflecting on and recommitting ourselves to the fundamental founding principles enshrined in the Constitution.","link","https://www.c-span.org/video/?420996-1%2Fus-house-members-read-us-constitution&live","c-span.org",44,20,4,7,1,0,1,0
"kevinbrady","9307301412_10154687082156413","Rep. Kevin Brady","2017-01-06","2017-01-06 00:31:56","BREAKING NEWS --> The House just voted to condemn the UN's anti-Israel resolution. In doing so, we reaffirmed America’s unwavering support for our ally, Israel. America stands with Israel!","link","http://thehill.com/blogs/floor-action/house/312956-house-votes-to-rebuke-un-vote-on-israel","thehill.com",211,16,42,22,0,0,1,1
"kevinbrady","9307301412_10154689784006413","Rep. Kevin Brady","2017-01-06","2017-01-06 23:21:23","ITS OFFICIAL - The Electoral College results are in. Donald J. Trump will be the 45th President of the United States. Next up - Inauguration!","link","http://www.usatoday.com/story/news/politics/2017/01/06/congress-certify-trumps-victory-friday-challengers-grasp-straws/96218660/","usatoday.com",50,1,2,3,0,0,1,0
"kevinbrady","9307301412_10154689861011413","Rep. Kevin Brady","2017-01-07","2017-01-07 00:12:59","Check out what happened in Congress this past week","video","https://www.facebook.com/kevinbrady/videos/10154689861011413/",NA,37,4,2,1,0,2,1,0
"kevinbrady","9307301412_10154691938836413","Rep. Kevin Brady","2017-01-07","2017-01-07 20:01:46","Earlier this week - my dear friend, Sam Johnson, announced his decision to retire after the 115th Congress. He is an irreplaceable Member of the Ways & Means Committee and of our Congress. I will cherish working alongside him these next two years as our Committee leads the way on tax reform and health care. I also appreciate his efforts to shine a spotlight on the need to strengthen Social Security for all generations. I am so grateful for his friendship, leadership, and remarkable service to Texas and our entire nation.","photo","https://www.facebook.com/kevinbrady/photos/a.118418671412.133511.9307301412/10154691938836413/?type=3",NA,24,2,1,1,0,1,1,0
"kevinbrady","9307301412_10154697053406413","Rep. Kevin Brady","2017-01-09","2017-01-09 19:29:35",NA,"photo","https://www.facebook.com/kevinbrady/photos/a.10150735005191413.456197.9307301412/10154697053001413/?type=3",NA,14,0,2,0,0,0,0,0
"kevinbrady","9307301412_10154697356546413","Rep. Kevin Brady","2017-01-09","2017-01-09 22:15:49","Today, on National Law Enforcement Appreciation Day, Americans across the country are coming together to say thank you to our brave men and women in blue. I will continue my efforts to ensure our law enforcement officers have the tools and equipment they need to defend themselves as they fight to keep us safe. And a very special thank you to all TX-08 local law enforcement officers! Montgomery Police Department  Conroe ISD Police Department Huntsville Police Department - Texas","photo","https://www.facebook.com/kevinbrady/photos/a.118418671412.133511.9307301412/10154697297441413/?type=3",NA,14,0,5,0,0,0,0,0
"kevinbrady","9307301412_10154697831596413","Rep. Kevin Brady","2017-01-10","2017-01-10 01:13:49","President Obama and Democrats in Congress say ObamaCare is working well. But monthly prices skyrocketing, out-of-pocket costs out of control, insurance companies not coming back and patients can see fewer and fewer local doctors and hospitals. The ObamaCare experiment failed. Time for health care personalized to Americans and designed by the states, not Washington.","photo","https://www.facebook.com/kevinbrady/photos/a.118418671412.133511.9307301412/10154697831596413/?type=3",NA,39,14,8,0,0,0,2,3
