"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"marshablackburn","6470828395_10154824828978396","Marsha Blackburn","2017-01-03","2017-01-03 15:34:29","The 115th Congress starts today and it’s already a busy day here in Washington.  Introducing legislation for 1%, 2%, and 5% across the board spending cuts. It’s time to get spending under control!","video","https://www.facebook.com/marshablackburn/videos/10154824828978396/",NA,729,106,39,43,5,0,0,1
"marshablackburn","6470828395_10154825145988396","Marsha Blackburn","2017-01-03","2017-01-03 18:06:55","Tom Price is the right choice for Secretary of HHS and I look forward to working with him to fix our broken health care system.","status",NA,NA,116,50,2,1,0,0,0,3
"marshablackburn","6470828395_10154825569663396","Marsha Blackburn","2017-01-03","2017-01-03 21:29:39","Swearing in for the 115th! Looking forward to a productive Congress with my colleagues.","photo","https://www.facebook.com/marshablackburn/photos/a.318529878395.150142.6470828395/10154825569663396/?type=3",NA,462,62,13,15,0,0,0,1
"marshablackburn","6470828395_10154825729413396","Marsha Blackburn","2017-01-03","2017-01-03 22:18:47","I have my member pin, vote card, and am all set for a new congress! My member number for the 115th Congress will be 101.","photo","https://www.facebook.com/marshablackburn/photos/a.318529878395.150142.6470828395/10154825729413396/?type=3",NA,801,97,6,34,1,5,1,3
"marshablackburn","6470828395_10154827443823396","Marsha Blackburn","2017-01-04","2017-01-04 15:15:39","The 115th Congress is underway and we’ve got a lot on the docket! Take a look here ->","link","http://us11.campaign-archive2.com/?u=301a28247b80ab82279e92afb&id=f946159748&e=b17fc4ee99","us11.campaign-archive2.com",81,50,5,3,0,0,0,3
"marshablackburn","6470828395_10154827882688396","Marsha Blackburn","2017-01-04","2017-01-04 19:17:55","The Select Panel issued its final report.  Read more about it here ->","link","http://blackburn.house.gov/news/documentsingle.aspx?DocumentID=398146","blackburn.house.gov",81,31,45,3,3,1,1,1
"marshablackburn","6470828395_10154828403898396","Marsha Blackburn","2017-01-04","2017-01-04 22:35:53","Excited to join my colleagues in introducing the American Health Care Reform Act, which includes my legislation to allow the purchase of health insurance across state lines.","video","https://youtu.be/AzJqJfvKLvA",NA,193,176,14,11,4,0,1,7
"marshablackburn","6470828395_10154830169463396","Marsha Blackburn","2017-01-05","2017-01-05 15:14:10","Tune in to the Russian Hacking hearing taking place in the Senate Armed Services Committee now. ->","link","https://www.c-span.org/video/?420936-1%2Fsenior-intelligence-officials-testify-russias-role-electionyear-hacking&live","c-span.org",31,43,4,0,7,1,0,0
"marshablackburn","6470828395_10154830404778396","Marsha Blackburn","2017-01-05","2017-01-05 16:54:22","As President Obama makes the world a more dangerous place, most in the media are turning a blind eye…","link","http://www.foxnews.com/politics/2017/01/04/four-guantanamo-detainees-transferring-to-saudi-arabia-as-part-final-wave.html","foxnews.com",106,72,98,2,1,4,7,121
"marshablackburn","6470828395_10154833164178396","Marsha Blackburn","2017-01-06","2017-01-06 16:22:44","Honored to have been chosen to serve as the Chairman of the House Communications and Technology Subcommittee. I look forward to working with Chairman Greg Walden and my great colleagues on the Energy and Commerce Committee","link","https://energycommerce.house.gov/news-center/press-releases/walden-announces-subcommittee-chairs-and-vice-chairs-115th-congress","energycommerce.house.gov",201,20,8,4,1,0,0,1
"marshablackburn","6470828395_10154833678428396","Marsha Blackburn","2017-01-06","2017-01-06 20:28:27","Featured in the 2017 Clare Boothe Luce Policy Institute Calendar","photo","https://www.facebook.com/marshablackburn/photos/a.10154489236513396.1073741848.6470828395/10154833678428396/?type=3",NA,121,6,1,2,1,0,0,0
"marshablackburn","6470828395_10154833738313396","Marsha Blackburn","2017-01-06","2017-01-06 21:02:11","Rep. Sam Johnson is a hero to the American people and has been incredibly dedicated to our country and his work in public service.  He is so very dear to me and I appreciate his friendship.","link","http://www.speaker.gov/press-release/statement-retirement-rep-sam-johnson","speaker.gov",53,17,2,2,0,0,0,2
"marshablackburn","6470828395_10154841836378396","Marsha Blackburn","2017-01-09","2017-01-09 19:08:01","Subcommittee rosters are out for @HouseCommerce – Ready for a productive 115th with my colleagues ->","link","https://energycommerce.house.gov/news-center/press-releases/walden-announces-energy-and-commerce-subcommittee-rosters","energycommerce.house.gov",39,7,2,1,0,0,0,0
"marshablackburn","6470828395_10154841969063396","Marsha Blackburn","2017-01-09","2017-01-09 20:18:26","Thankful for our fearless men and women in blue who risk their lives to keep us safe!","photo","https://www.facebook.com/marshablackburn/photos/a.318529878395.150142.6470828395/10154841969063396/?type=3",NA,188,8,35,7,1,0,0,0
"marshablackburn","6470828395_10154844217718396","Marsha Blackburn","2017-01-10","2017-01-10 16:02:50","Fred Thompson was a remarkable Tennessean and I am thrilled to join my Tennessee colleagues in introducing legislation to name the new Nashville courthouse in his honor.","link","http://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=5947252B-9611-48B8-BE34-6F58DFBC8E96","alexander.senate.gov",301,11,12,30,0,1,0,1
"marshablackburn","6470828395_10154844794568396","Marsha Blackburn","2017-01-10","2017-01-10 21:01:31","My opening statement in support of H.R. 288, the Small Business Broadband Deployment Act, which will protect small internet service providers. We cannot let our small businesses and hard-working taxpayers be saddled with these onerous rules and the costs they bring.","video","https://youtu.be/L6oHIH79MPY",NA,60,6,11,0,1,0,0,0
"marshablackburn","6470828395_10154844850763396","Marsha Blackburn","2017-01-10","2017-01-10 22:33:00","Ted Crozier Sr. was an American hero--Clarksville and Montgomery County are better places because of his service.","link","http://www.theleafchronicle.com/story/news/local/clarksville/2017/01/09/ted-crozier-sr-passes-away-after-respiratory-distress/96367656/","theleafchronicle.com",19,1,3,0,0,0,8,0
"marshablackburn","6470828395_10154846939623396","Marsha Blackburn","2017-01-11","2017-01-11 16:29:59","Check out my latest blog post on how competition is the answer for patient-centered health care.","link","http://blackburn.house.gov/news/documentsingle.aspx?DocumentID=398155","blackburn.house.gov",87,13,7,5,0,0,0,2
"marshablackburn","6470828395_10154847414363396","Marsha Blackburn","2017-01-11","2017-01-11 20:15:29","Enjoyed catching up with Navy Lieutenant Commander Rex Burman in Washington.","photo","https://www.facebook.com/marshablackburn/photos/a.10154489236513396.1073741848.6470828395/10154847414363396/?type=3",NA,31,0,0,0,0,0,0,2
"marshablackburn","6470828395_10154847505388396","Marsha Blackburn","2017-01-11","2017-01-11 21:03:20","This. -->","photo","https://www.facebook.com/marshablackburn/photos/a.318529878395.150142.6470828395/10154847505388396/?type=3",NA,47,0,3,0,0,0,0,0
"marshablackburn","6470828395_10154851580658396","Marsha Blackburn","2017-01-12","2017-01-12 16:00:01","I’ve been fighting for competition in the health care industry for a long time. #TBT to the Blair House Summit in 2010 where I offered my legislation for across state lines health insurance purchase to President Obama.  We tried it his way and it failed.  Time for patient-centered solutions! --> https://www.youtube.com/watch?v=6kZtnrV_nI0","video","https://www.youtube.com/watch?v=6kZtnrV_nI0",NA,73,17,5,4,0,0,0,2
"marshablackburn","6470828395_10154851626753396","Marsha Blackburn","2017-01-12","2017-01-12 16:06:36",NA,"photo","https://www.facebook.com/marshablackburn/photos/a.10154489236513396.1073741848.6470828395/10154851626753396/?type=3",NA,546,144,16,39,5,0,0,19
"marshablackburn","6470828395_10154852310743396","Marsha Blackburn","2017-01-12","2017-01-12 20:29:48","Earlier today, President-elect Trump appointed Rudy Giuliani as the Chairman of the Committee on Cybersecurity. As the Chairman of the Subcommittee on Communications and Technology, I look forward to working with both of you on putting forth solutions to combat our nation's most serious cybersecurity challenges and congratulate Mr. Giuliani on the new post.","status",NA,NA,342,43,17,14,1,1,0,6
"marshablackburn","6470828395_10154856012543396","Marsha Blackburn","2017-01-13","2017-01-13 21:35:39","My House colleagues and I have just taken the first steps to repealing Obamacare. -->","link","http://www.cnn.com/2017/01/13/politics/house-obamacare-repeal-vote/","cnn.com",446,107,37,59,0,1,2,38
"marshablackburn","6470828395_10154856541483396","Marsha Blackburn","2017-01-14","2017-01-14 01:44:56","I'll be chatting with Sean Hannity tonight on Fox News --> Be sure to catch the show at 10PM ET!","photo","https://www.facebook.com/marshablackburn/photos/a.318529878395.150142.6470828395/10154856541483396/?type=3",NA,245,62,7,13,1,1,0,3
"marshablackburn","6470828395_10154864725958396","Marsha Blackburn","2017-01-16","2017-01-16 19:53:00","Today, we remember the life and legacy of Martin Luther King Jr. This was a hymn played at his funeral and one of his favorite songs. May it bring you peace in knowing our precious Lord guides us on.   Precious Lord, take my hand Lead me on, let me stand I'm tired, I'm weak, I'm lone Through the storm, through the night Lead me on to the light Take my hand precious Lord, lead me home  When my way grows drear precious Lord linger near When my light is almost gone Hear my cry, hear my call Hold my hand lest I fall Take my hand precious Lord, lead me home  When the darkness appears and the night draws near And the day is past and gone At the river I stand Guide my feet, hold my hand Take my hand precious Lord, lead me home  Precious Lord, take my hand Lead me on, let me stand I'm tired, I'm weak, I'm lone Through the storm, through the night Lead me on to the light Take my hand precious Lord, lead me home","status",NA,NA,114,11,14,15,0,0,0,0
"marshablackburn","6470828395_10154867087953396","Marsha Blackburn","2017-01-17","2017-01-17 16:44:51","ICYMI: On Friday, I introduced H.R. 539, the USPSTF Transparency and Accountability Act which would fundamentally reform the United States Preventative Services Task Force by requiring the following:  · Enhances transparency by allowing Congressional oversight of USPSTF recommendations  ·  Provides public input regarding the development of USPSTF recommendations  ·  Allows needed consultation with those who treat the specific disease in question   This bill is an important step to reform this flawed system and replace it with provisions that allow patients and doctors to individually choose what is right for their health plan.","status",NA,NA,54,9,3,1,2,0,0,0
"marshablackburn","6470828395_10154867818878396","Marsha Blackburn","2017-01-17","2017-01-17 21:39:02","Earlier today, I introduced legislation to address onerous FCC requirements. Read more about it here -->","link","https://energycommerce.house.gov/news-center/press-releases/blackburn-introduces-legislation-address-onerous-fcc-requirements","energycommerce.house.gov",69,12,4,2,0,0,0,3
"marshablackburn","6470828395_10154873212413396","Marsha Blackburn","2017-01-19","2017-01-19 19:05:37","Live on Fox Business to discuss the Inauguration! Tune in!","video","https://www.facebook.com/FoxBusiness/videos/10154986719885238/",NA,60,5,0,8,0,1,0,1
"marshablackburn","6470828395_10154873341043396","Marsha Blackburn","2017-01-19","2017-01-19 20:16:25","Pre-Inauguration Open House with Constituents","photo","https://www.facebook.com/marshablackburn/photos/a.10154489236513396.1073741848.6470828395/10154872981933396/?type=3",NA,546,144,16,9,0,1,0,0
"marshablackburn","6470828395_10154876071388396","Marsha Blackburn","2017-01-20","2017-01-20 19:57:40","The last Transition Press Conference!","photo","https://www.facebook.com/marshablackburn/photos/a.10154489236513396.1073741848.6470828395/10154876071388396/?type=3",NA,398,32,8,26,1,0,1,6
"marshablackburn","6470828395_10154887702303396","Marsha Blackburn","2017-01-23","2017-01-23 22:17:28","Looking forward to working with new FCC Chairman Ajit Pai!","link","https://energycommerce.house.gov/news-center/press-releases/walden-and-blackburn-statement-pais-appointment-head-fcc","energycommerce.house.gov",51,7,1,1,0,0,0,1
"marshablackburn","6470828395_10154891219158396","Marsha Blackburn","2017-01-24","2017-01-24 17:27:02","Glad to see President Trump is prioritizing common-sense infrastructure projects that will increase our energy security, lower the price at the pump and create jobs.","link","https://www.nytimes.com/2017/01/24/us/politics/keystone-dakota-pipeline-trump.html","nytimes.com",599,48,63,55,1,0,1,22
"marshablackburn","6470828395_10154892032493396","Marsha Blackburn","2017-01-24","2017-01-24 21:26:10",NA,"photo","https://www.facebook.com/marshablackburn/photos/a.10154489236513396.1073741848.6470828395/10154891956673396/?type=3",NA,546,144,16,39,5,0,0,19
"marshablackburn","6470828395_10154892223458396","Marsha Blackburn","2017-01-24","2017-01-24 22:15:22","Pleased that my colleagues just voted to protect the lives of unborn children. -->","link","https://energycommerce.house.gov/news-center/press-releases/burgess-house-passage-bill-blocking-taxpayer-funding-abortions-under","energycommerce.house.gov",421,36,40,45,0,0,0,7
"marshablackburn","6470828395_10154895162313396","Marsha Blackburn","2017-01-25","2017-01-25 16:46:16","We must immediately secure the border and pause the Syrian refugee program that terrorists have promised to exploit. Last Congress, I introduced a bill (H.R. 4218) to suspend the refugee resettlement program until the President developed a plan to address the importation of refugees into our country. I applaud the President’s actions in protecting the American people.","link","http://www.reuters.com/article/us-usa-trump-immigration-exclusive-idUSKBN1582XQ","reuters.com",521,56,48,41,1,0,5,8
"marshablackburn","6470828395_10154898250383396","Marsha Blackburn","2017-01-26","2017-01-26 17:00:22","ICYMI: I joined America’s Newsroom this morning to discuss the GOP game plan for the 115th Congress.","video","https://youtu.be/8CianyKdpDU",NA,67,5,2,1,0,0,0,2
"marshablackburn","6470828395_10154898335593396","Marsha Blackburn","2017-01-26","2017-01-26 18:30:00","Great to see President Trump taking action against sanctuary cities shielding criminal illegal aliens.  For years I have filed the Clear Law Enforcement for Criminal Removal (CLEAR) Act to strip sanctuary city funding and ensure that federal and state authorities work together to remove criminal illegal aliens.  We will not tolerate an “Open Borders” society that endangers Americans.","link","https://www.gpo.gov/fdsys/pkg/BILLS-114hr2964ih/pdf/BILLS-114hr2964ih.pdf","gpo.gov",664,72,44,54,0,1,0,30
"marshablackburn","6470828395_10154898470443396","Marsha Blackburn","2017-01-26","2017-01-26 18:38:02","Congrats to my former constituent, Dr Marshall Summar, on his new role -->","link","http://childrensnational.org/news-and-events/childrens-newsroom/2017/rare-disease-institute","childrensnational.org",39,3,4,5,0,0,0,0
"marshablackburn","6470828395_10154900852058396","Marsha Blackburn","2017-01-27","2017-01-27 15:46:00","Today’s March For Life will be especially meaningful. Check out what I had to say. →","link","http://www.foxnews.com/opinion/2017/01/27/rep-marsha-blackburn-congress-and-urgent-need-to-protect-infant-lives.html","foxnews.com",300,30,13,24,0,0,1,9
