"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"mcmorrisrodgers","321618789771_10154907775409772","Congresswoman Cathy McMorris Rodgers","2017-01-02","2017-01-02 00:31:53","Wishing you and yours a very happy New Year!","photo","https://www.facebook.com/mcmorrisrodgers/photos/a.405156824771.195673.321618789771/10154907775409772/?type=3",NA,57,8,0,2,0,0,0,0
"mcmorrisrodgers","321618789771_10154911052139772","Congresswoman Cathy McMorris Rodgers","2017-01-02","2017-01-02 22:59:00","This week, our unified Republican Congress hits the ground running to restore the people’s voice in representative government.","video","https://www.facebook.com/mcmorrisrodgers/videos/10154911052139772/",NA,153,89,11,6,2,3,0,14
"mcmorrisrodgers","321618789771_10154914386254772","Congresswoman Cathy McMorris Rodgers","2017-01-04","2017-01-04 01:54:46","It was a blessing to have my family with me today as I was sworn into the 115th Congress. I’m deeply honored to continue to serve the people of Eastern Washington in the People’s House.","photo","https://www.facebook.com/mcmorrisrodgers/photos/a.405156824771.195673.321618789771/10154914386254772/?type=3",NA,603,267,6,53,4,2,2,20
"mcmorrisrodgers","321618789771_10154916202239772","Congresswoman Cathy McMorris Rodgers","2017-01-04","2017-01-04 19:02:31","Honored to have Vice President-elect Mike Pence join us today to talk about the upcoming year. I’m ready and excited for us to hit the ground running and work on the issues important to the people of Eastern Washington and the country.","video","https://www.facebook.com/mcmorrisrodgers/videos/10154916202239772/",NA,145,38,14,6,0,3,0,2
"mcmorrisrodgers","321618789771_10154916754279772","Congresswoman Cathy McMorris Rodgers","2017-01-05","2017-01-05 02:03:00","The very first bill passed by our new Congress will work to bring accountability to the VA and help ensure our veterans get quality care. Happy to support the Ensuring VA Employee Accountability Act so that we have the best and most qualified employees taking care of our nation’s heroes.   http://www.washingtonexaminer.com/house-votes-to-end-va-scrubbing-of-employee-records/article/2610806","link","http://www.washingtonexaminer.com/house-votes-to-end-va-scrubbing-of-employee-records/article/2610806","washingtonexaminer.com",67,18,2,5,0,0,0,0
"mcmorrisrodgers","321618789771_10154919370209772","Congresswoman Cathy McMorris Rodgers","2017-01-05","2017-01-05 20:05:14","Honored to join my colleagues on the House floor today to read the Constitution. Here’s me reading my section.","video","https://www.facebook.com/mcmorrisrodgers/videos/10154919370209772/",NA,91,16,1,10,4,0,0,0
"mcmorrisrodgers","321618789771_10154919817729772","Congresswoman Cathy McMorris Rodgers","2017-01-05","2017-01-05 23:21:00","In the final days of his presidency, President Obama and his administration have passed sweeping, burdensome rules and regulations that only solidify his legacy as a president who governs by executive overreach. This is unacceptable, and this week, the People’s House took action. We passed the Midnight Rules Relief Act, which gives Congress the power to review and stop all major rules finalized 60 legislative days before Congress recessed. This means we have the ability to review every rule and regulation President Obama’s administration has issued since the middle of May. Currently under the Congressional Review Act, Congress can only stop regulations one at a time. This bill allows Congress to stop multiple regulations at once and faster respond to the regulatory onslaught from the administration. Americans were loud and clear on November 8: people are sick and tired of being governed from the top-down. President Obama has made life harder for Americans by passing burdensome regulations that increase the cost of living and interfere with everyday life. His regulations stifle innovation, hurt businesses, and especially for those in Eastern Washington, make farming difficult for American families. Executive overreach is not how America was founded, and the Midnight Rules Relief Act stops President Obama’s legacy of overregulation in its tracks.   http://www.wsj.com/articles/obamas-midnight-regulation-express-1482451192","link","http://www.wsj.com/articles/obamas-midnight-regulation-express-1482451192","wsj.com",223,121,62,27,1,7,3,21
"mcmorrisrodgers","321618789771_10154925345269772","Congresswoman Cathy McMorris Rodgers","2017-01-07","2017-01-07 20:50:55","In case you missed my statement this week on the House condemning the anti-Israel UN Resolution.   https://mcmorris.house.gov/mcmorris-rodgers-votes-condemn-uns-anti-israel-resolution-commends-colleagues-bipartisan-leadership-defense-ally/","photo","https://www.facebook.com/mcmorrisrodgers/photos/a.405156824771.195673.321618789771/10154925345269772/?type=3",NA,112,21,4,11,1,1,0,4
"mcmorrisrodgers","321618789771_10154925352639772","Congresswoman Cathy McMorris Rodgers","2017-01-08","2017-01-08 00:03:00","Good luck to the Seahawks in tonight’s playoff game. My family and I will be rooting you on! #GoHawks","status",NA,NA,65,6,2,0,0,0,0,0
"mcmorrisrodgers","321618789771_10154930975339772","Congresswoman Cathy McMorris Rodgers","2017-01-09","2017-01-09 20:52:02","Stay safe and warm, all. For those in Spokane, more info on a Stage 2 snow event can be found here:  http://www.kxly.com/weather/spokane-mayor-declares-stage-2-snow-event/257873838","link","http://www.kxly.com/weather/spokane-mayor-declares-stage-2-snow-event/257873838","kxly.com",23,7,6,1,1,1,0,0
