"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"mdiazbalart","119538428117878_1291135084291534","Congressman Mario Diaz-Balart","2017-01-01","2017-01-01 16:18:21","‪Happy New Year! Tia and I wish you happiness, health, and much success in the coming year. Here's to 2017! ‬","photo","https://www.facebook.com/mdiazbalart/photos/a.128107280594326.25111.119538428117878/1291135084291534/?type=3",NA,46,7,2,2,0,0,0,0
"mdiazbalart","119538428117878_1293303764074666","Congressman Mario Diaz-Balart","2017-01-03","2017-01-03 21:13:09","Glad to have Rep. Francis Rooney joining our Florida delegation in Congress. Looking forward to serving Southwest Florida with you!  http://www.news-press.com/story/news/politics/2017/01/03/naples-fundraiser-francis-rooney-officially-becomes-congressman/96112792/","link","http://www.news-press.com/story/news/politics/2017/01/03/naples-fundraiser-francis-rooney-officially-becomes-congressman/96112792/","news-press.com",14,1,0,0,0,0,0,0
"mdiazbalart","119538428117878_1294033147335061","Congressman Mario Diaz-Balart","2017-01-04","2017-01-04 16:43:34","‪Amazed by the courage + bravery Kim Motley demonstrated while detained by Castro's thugs on the island. #FreeElSexto ‬","photo","https://www.facebook.com/mdiazbalart/photos/a.128107280594326.25111.119538428117878/1294033147335061/?type=3",NA,38,3,5,2,0,0,0,1
"mdiazbalart","119538428117878_1294248260646883","Congressman Mario Diaz-Balart","2017-01-04","2017-01-04 20:50:21","I'm proud to represent Florida's 25th District in Washington, and it's an honor to help you and your family. Here's a round-up of the work my office has done for Southern Florida in 2016. I'm excited for what the new year will bring to our community!","photo","https://www.facebook.com/mdiazbalart/photos/a.128107280594326.25111.119538428117878/1294248260646883/?type=3",NA,38,13,3,1,0,0,0,0
"mdiazbalart","119538428117878_1295358190535890","Congressman Mario Diaz-Balart","2017-01-06","2017-01-06 00:13:23","Just now, the House voted to support one of our strongest allies and denounce the UNSC's anti-Israel resolution.   By refusing to veto the United Nations Security Council vote, the Obama Administration once again undermined Israel, one of our strongest allies. I am proud to have voted for today's House Resolution that supports Israel and bilateral negotiations towards a peace agreement. Our current President has shamefully failed to stand up to our enemies and defend our allies. I look forward to working with President-elect Trump to reverse eight years of egregious foreign policy that has weakened our country and our allies, and emboldened our enemies.  http://mariodiazbalart.house.gov/media-center/press-releases/diaz-balart-votes-to-denounce-un-anti-israel-resolution","link","http://mariodiazbalart.house.gov/media-center/press-releases/diaz-balart-votes-to-denounce-un-anti-israel-resolution","mariodiazbalart.house.gov",46,7,5,0,0,0,0,0
"mdiazbalart","119538428117878_1298829686855407","Congressman Mario Diaz-Balart","2017-01-09","2017-01-09 19:44:42","On Law Enforcement Appreciation Day, I thank the brave men and women who sacrifice so much to protect our communities. #SupportBlue","photo","https://www.facebook.com/mdiazbalart/photos/a.128107280594326.25111.119538428117878/1298829686855407/?type=3",NA,25,1,1,3,0,0,0,0
"mdiazbalart","119538428117878_1299040336834342","Congressman Mario Diaz-Balart","2017-01-10","2017-01-10 00:54:56","‪Wondering why so many offices on Capitol Hill and homes across the country have a blue light on tonight? #SupportBlue http://wvah.com/news/nation-world/congress-to-observe-law-enforcement-officers-appreciation-day‬","link","http://wvah.com/news/nation-world/congress-to-observe-law-enforcement-officers-appreciation-day","vah.com",18,0,2,1,0,0,0,0
"mdiazbalart","119538428117878_1299743876763988","Congressman Mario Diaz-Balart","2017-01-10","2017-01-10 20:18:36","I am honored to continue serving as the Chairman of the Transportation, Housing and Urban Development Appropriations Subcommittee.  In the last two years, we were able to prioritize vital housing programs and transportation initiatives our community depends on.   Whether it is supporting critical homeless assistance grants for South Florida to successfully advocating for Southwest Florida’s designation as a Promise Zone, I am proud of the work I have accomplished. This chairmanship also gives our community a direct line to the leadership of two important Cabinet departments.   As we welcome a new administration, I am excited to continue prioritizing transportation and infrastructure, helping address urgent needs in our community and across the country.   I thank House Appropriations Chairman Frelinghuysen for this opportunity, and I look forward to continue working with him in the 115th Congress.  http://appropriations.house.gov/news/documentsingle.aspx?DocumentID=394670","link","http://appropriations.house.gov/news/documentsingle.aspx?DocumentID=394670","appropriations.house.gov",32,2,1,1,0,0,0,0
"mdiazbalart","119538428117878_1300427700028939","Congressman Mario Diaz-Balart","2017-01-11","2017-01-11 14:17:54","I am proud to once again work with Senator Cruz to introduce this legislation in the 115th Congress. The Muslim Brotherhood continues to support terrorist organizations that are responsible for acts of violence around the world. This bill would impose tough sanctions on a hateful group that has spread violence and spawned extremist movements throughout the Middle East.   This designation is long overdue, and I look forward to working with the incoming administration and the appropriate committees to ensure that this bill becomes law. We have an incoming president who appreciates the threat of terrorism and has vowed to defeat it. Designating the Muslim Brotherhood as a terrorist organization is an important step in defeating violent extremists.  http://www.sunshinestatenews.com/story/mario-diaz-balart-teams-ted-cruz-wanting-us-designate-muslim-brotherhood-terrorists","link","http://www.sunshinestatenews.com/story/mario-diaz-balart-teams-ted-cruz-wanting-us-designate-muslim-brotherhood-terrorists","sunshinestatenews.com",35,4,2,1,0,0,0,0
"mdiazbalart","119538428117878_1300621356676240","Congressman Mario Diaz-Balart","2017-01-11","2017-01-11 18:17:35","Reports indicate Dr. Oscar Biscet has been arrested in Cuba. His whereabouts are unknown.   Los informes indican que el Dr. Oscar Biscet fue detenido y se encuentra en paradero desconocido.   http://www.diariolasamericas.com/america-latina/arrestan-oscar-elias-biscet-al-salir-su-casa-la-habana-n4112074","link","http://www.diariolasamericas.com/america-latina/arrestan-oscar-elias-biscet-al-salir-su-casa-la-habana-n4112074","diariolasamericas.com",26,6,24,0,0,1,16,19
