"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"michaeltmccaul","6355254859_10154876430604860","Michael McCaul","2017-01-01","2017-01-01 17:23:58","On #NewYearsDay, let's celebrate the start of a new year full of exciting and positive changes.","photo","https://www.facebook.com/michaeltmccaul/photos/a.452030959859.250495.6355254859/10154876430604860/?type=3",NA,26,4,0,0,0,0,0,0
"michaeltmccaul","6355254859_10154883013014860","Michael McCaul","2017-01-03","2017-01-03 23:43:02","Today the 115th Congress was sworn in and my Washington, D.C. staff joined me for the swearing in picture. Below is a behind the scenes look.  It is a privilege to continue to represent the people of #TX10!","video","https://www.facebook.com/michaeltmccaul/videos/10154883013014860/",NA,109,3,1,1,0,0,0,1
"michaeltmccaul","6355254859_10154885495094860","Michael McCaul","2017-01-04","2017-01-04 22:00:12","Outgoing presidential administrations frequently rush into place high-cost or politically-driven regulations during their last days and months in office. These rules are known as “Midnight Rules.”  Today, with my support, the House passed The Midnight Rules Relief Act to enhance congressional oversight of such regulations with common-sense reforms to stop the abuse of midnight rules.  We must ensure any administration will be held accountable and the policies that they put in place will have the proper level of scrutiny by Congress and the American people.","status",NA,NA,46,13,3,2,0,0,0,2
"michaeltmccaul","6355254859_10154887171759860","Michael McCaul","2017-01-05","2017-01-05 14:36:48","Tune in with the link below at 10am ET -  Along with Senator Sheldon Whitehouse, I will unveil the CSIS’ Task Force recommendations to the 45th President for strengthening the nation’s #cybersecurity efforts.  Whitehouse and I are are co-chairs of the Center for Strategic and International Studies’ (CSIS) Cyber Policy Task Force, and have worked with cybersecurity experts from across the private sector and government to formulate the bipartisan recommendations.","link","https://www.c-span.org/video/?421148-1%2Fsenator-sheldon-whitehouse-representative-michael-mccaul-present-cybersecurity-recommendationsthe","c-span.org",15,8,2,0,0,0,0,0
"michaeltmccaul","6355254859_10154887663654860","Michael McCaul","2017-01-05","2017-01-05 18:24:02","Today, I unveiled cybersecurity recommendations for the new administration because strengthening our nation's defenses in #cybersecurity is crucial for our national and economic security.  To learn more, view here: https://www.c-span.org/video/?421148-1/congressional-homeland-security-chairmen-present-cybersecurity-recommendations","photo","https://www.facebook.com/michaeltmccaul/photos/a.452030959859.250495.6355254859/10154887663654860/?type=3",NA,40,5,2,0,0,0,0,0
"michaeltmccaul","6355254859_10154888074734860","Michael McCaul","2017-01-05","2017-01-05 21:37:21","Hardworking Texans don’t receive automatic pay raises and Congress certainly shouldn’t either.  That is why Congresswoman Kyrsten Sinema and I introduced a bill today to end automatic pay increases for members of Congress.  Learn more below:","link","http://mccaul.house.gov/media-center/press-releases/mccaul-sinema-introduce-no-raise-for-congress-act","mccaul.house.gov",149,21,26,13,0,1,1,0
"michaeltmccaul","6355254859_10154888581324860","Michael McCaul","2017-01-06","2017-01-06 01:12:46","Today the House voted to reject the UN resolution.  We sent a clear message to not only the Obama Administration, but the world, that this body will not stand for any efforts aimed at weakening the U.S.–Israel relationship. The important role Israel plays in security and peace in the region cannot be overstated, and the strong bilateral relations between our two countries is more important now than ever. As such, the passage of this resolution in the House objecting to efforts at the U.N. aimed at undermining negotiations between Israel and Palestine is a sign of our unshakable resolve.","status",NA,NA,107,16,9,5,0,0,0,4
"michaeltmccaul","6355254859_10154890255769860","Michael McCaul","2017-01-06","2017-01-06 18:13:52","As we begin a new year and reflect on the year past, I want to share with you some highlights from my office in 2016. My staff and I are here to serve you in #TX10, and below are just a few of the services we provide: - assistance with a federal agencies - Washington, D.C. tours - schedule a meeting - Updates on what I am doing to represent you in Congress  To reach me with any of these inquiries in the future, please visit my website: http://mccaul.house.gov/","photo","https://www.facebook.com/michaeltmccaul/photos/a.452030959859.250495.6355254859/10154890255769860/?type=3",NA,35,4,1,0,0,0,0,0
"michaeltmccaul","6355254859_10154898541899860","Michael McCaul","2017-01-09","2017-01-09 16:00:40","#ICYMI my December Column discussed my continued fight against childhood cancer.  Read the article below via Brenham Banner-Press:","link","http://www.brenhambanner.com/opinion/editorials/continuing-the-fight-against-childhood-cancer/article_9d50c2c8-7ef9-5def-b521-1af23fd483fa.html","brenhambanner.com",12,0,2,0,0,0,0,0
"michaeltmccaul","6355254859_10154899189419860","Michael McCaul","2017-01-09","2017-01-09 21:11:59","Thank you to all of the brave men and women who put their lives on the line every day to keep our communities and country safe.  Today, as we observe National Law Enforcement Appreciation Day, we display blue lights to show our gratitude.  #BacktheBlue","photo","https://www.facebook.com/michaeltmccaul/photos/a.452030959859.250495.6355254859/10154899189419860/?type=3",NA,96,4,3,0,0,0,0,0
"michaeltmccaul","6355254859_10154905042929860","Michael McCaul","2017-01-11","2017-01-11 21:56:39","It was a privilege to be the keynote speaker for The Christian Science Monitor Cyber ""Passcode"" Event this afternoon.  We must make it a priority this Congress to strengthen our cybersecurity. #115thCongress","photo","https://www.facebook.com/michaeltmccaul/photos/a.452030959859.250495.6355254859/10154905042929860/?type=3",NA,24,6,0,0,0,0,0,0
