"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"mikeenzi","23068049436_10154852667994437","Mike Enzi","2017-01-04","2017-01-04 18:03:55","Dear President-elect Trump, come visit Wyoming. We have a lot to show you.","link","http://www.enzi.senate.gov/public/index.cfm/news-releases?ContentRecord_id=B6236138-5ED8-4323-9D12-5F06879C04F5","enzi.senate.gov",827,55,199,65,5,4,0,22
"mikeenzi","23068049436_10154853142534437","Mike Enzi","2017-01-04","2017-01-04 22:01:47","Obamacare is on the brink of collapse. Insurance markets are failing. Premiums are soaring. Choice of health plans is dwindling. As chairman of the budget committee, I am playing a key role in passing a resolution that will provide for the repeal of Obamacare while setting the stage for a transition in which those with insurance will not lose access to health care coverage. Our goal is to create a health care system where Washington makes fewer health care decisions, and families are empowered to control their own health care with more choices and lower costs. http://bit.ly/2hRJDT1","video","https://www.facebook.com/mikeenzi/videos/10154853142534437/",NA,264,246,65,13,7,3,2,52
"mikeenzi","23068049436_10154855924034437","Mike Enzi","2017-01-05","2017-01-05 19:58:46","For once the EPA made the right decision by not finalizing a rule that would have added unnecessary regulations on uranium mining in Wyoming. I am hopeful that President-elect Trump’s new administration will review the proposed rule carefully to understand the consequences of new red-tape on this vital industry.","link","http://www.enzi.senate.gov/public/index.cfm/news-releases?ContentRecord_id=8A98314F-7282-48B2-AE23-DA7F021A35AA&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=91d2f483-0ad8-44ac-bcc4-fc2c82d75e07","enzi.senate.gov",51,12,8,2,0,0,0,5
"mikeenzi","23068049436_10154858922099437","Mike Enzi","2017-01-06","2017-01-06 21:51:27","Every year, Wyoming students demonstrate their patriotism and willingness to serve their country by applying to our service academies. Apart from a quality education, the service academies open doors and provide a unique set of experiences that graduates will carry with them throughout their careers. It’s an honor to nominate these Wyoming students.","link","http://www.enzi.senate.gov/public/index.cfm/news-releases?ContentRecord_id=4310A7D0-17A7-4632-A6EF-7DC32B604363&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=91d2f483-0ad8-44ac-bcc4-fc2c82d75e07","enzi.senate.gov",148,21,17,12,0,0,0,0
"mikeenzi","23068049436_10154859016364437","Mike Enzi","2017-01-07","2017-01-07 15:40:22","Each week I am sharing a new place to visit in one of Wyoming’s 23 counties. Today I would like to recognize the Anna Miller Museum in Weston County. Relive the American West by visiting the schoolhouse, Jenney Stockade Cabin & homesteader’s house. http://westoncountywyo-museum.org/","photo","https://www.facebook.com/mikeenzi/photos/a.97914029436.84314.23068049436/10154859016364437/?type=3",NA,38,9,17,0,0,0,0,0
"mikeenzi","23068049436_10154873389644437","Mike Enzi","2017-01-11","2017-01-11 21:04:14","I recently asked President-elect Donald Trump’s pick to head the Department of Homeland Security, retired four-star Marine Corps General John Kelly, how he would go about improving security along the U.S. borders and how he might improve morale among Border Patrol personnel in his confirmation hearing. Check out this video to see his response.","video","https://www.facebook.com/mikeenzi/videos/10154873389644437/",NA,193,19,28,17,3,0,0,2
"mikeenzi","23068049436_10154877380889437","Mike Enzi","2017-01-12","2017-01-12 14:38:00","This morning the Senate passed a resolution that will set the stage for the repeal of Obamacare that Americans have long demanded while ensuring a stable transition in which those with insurance will not lose access to health care coverage. Learn more here: http://bit.ly/2inXsw6","video","https://www.facebook.com/mikeenzi/videos/10154877380889437/",NA,177,78,27,14,0,0,2,26
"mikeenzi","23068049436_10154878918154437","Mike Enzi","2017-01-12","2017-01-12 23:28:06","This report by the BLM is just another politically concocted attempt by the outgoing Administration to demonize coal. Wyomingites know the value of coal and the benefits that taxpayers and energy consumers across America receive from coal production. I am optimistic that President-elect Trump’s Administration will have a better understanding of the essential jobs, tax revenue and energy production that coal provides for our nation.","link","http://trib.com/business/energy/blm-releases-long-awaited-coal-program-review-suggests-raising-coal/article_07683bd8-9835-5a28-8b96-8e5025b378bc.html","trib.com",57,22,15,1,0,0,0,15
"mikeenzi","23068049436_10154881831009437","Mike Enzi","2017-01-13","2017-01-13 21:40:16","My friend Senator Lamar Alexander of Tennessee is chairman of the Senate Health, Education, Labor and Pensions Committee. That committee will be one of the leads in working on replacing Obamacare. As Senator Alexander said, the Obamacare bridge is collapsing and we are sending in a rescue team and we will build new bridges to better healthcare.","link","http://www.help.senate.gov/chair/newsroom/press/alexander-repeal-and-replace-obamacare-simultaneously-concurrently","help.senate.gov",59,47,8,3,4,1,1,2
"mikeenzi","23068049436_10154893807394437","Mike Enzi","2017-01-17","2017-01-17 21:47:20","Obamacare is not sustainable, the health care system is at a dangerous tipping point. But we aren’t stuck with what we have. Read my column in the Casper Star Tribune to find out why we are on the path to repeal Obamacare and how the new Congress plans to help more Americans access a better, lower cost health care system.","link","http://bit.ly/2iLx3Zn","bit.ly",96,122,24,4,2,0,0,15
