"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"pascrell","303312929155_10154969948854156","Congressman Bill Pascrell, Jr.","2017-01-04","2017-01-04 17:10:27","We're not just beveling the edges. New Jersey deserves strong voices in Washington.","link","http://www.njtvonline.org/news/video/nj-gains-greater-seniority-congressional-committees/","njtvonline.org",70,3,6,1,0,0,0,0
"pascrell","303312929155_10154970141334156","Congressman Bill Pascrell, Jr.","2017-01-04","2017-01-04 19:02:42","The Republican plan to repeal and delay a replacement of the Affordable Care Act will cause tens of millions of people to lose their health coverage and millions more will be paying more for their insurance. Share how you and your family have benefited from the #ACA in the comments below, so we can remind Republicans what is at stake. #ACAWorks #CoverageMatters","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10154970141334156/?type=3",NA,17,13,0,1,0,0,0,1
"pascrell","303312929155_10154970189099156","Congressman Bill Pascrell, Jr.","2017-01-04","2017-01-04 19:37:41","To all of my friends, family, staff, and supporters who made the trip to Washington, DC in the rain yesterday: Thank you. We have a lot of work to do and it is your strength and dedication that keep me going. #115thCongress","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10154970189099156/?type=3",NA,350,40,11,18,0,0,0,0
"pascrell","303312929155_10154974800889156","Congressman Bill Pascrell, Jr.","2017-01-06","2017-01-06 16:54:07","Welcome to the new members of the Ways and Means Committee Democrats, the oldest committee of the United States Congress! Can't wait to get to work with Congressman Brian Higgins, Congresswoman Terri A. Sewell, and Congresswoman Suzan DelBene.","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10154974800889156/?type=3",NA,40,1,2,1,0,1,0,0
"pascrell","303312929155_10154982593414156","Congressman Bill Pascrell, Jr.","2017-01-09","2017-01-09 18:49:05","Over the past six years, House Republicans have called for the repeal of the Affordable Care Act (ACA) more than 60 times.  Now that they are in a position to actually do it, it is our responsibility to help people understand exactly what that means.  That's why I stood with Congressman Frank Pallone Jr. and hospital representatives today to to let people know that ACA repeal means:  ● 799,000 New Jerseyans could lose their health insurance coverage.  ● Protections the ACA put in place for people with pre-existing conditions are in jeopardy.  ● And ACA repeal puts our hospitals at risk.  Our hospitals have been on the front lines of the implementation of the ACA, and they will be on the front lines if it's repealed.","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10154982588409156/?type=3",NA,96,2,18,1,0,2,6,0
"pascrell","303312929155_10154985028594156","Congressman Bill Pascrell, Jr.","2017-01-10","2017-01-10 17:07:12","Reckless. Frank Pallone Jr. & I spoke out yesterday on the risks of repealing the Affordable Care Act without a replacement.","link","http://www.northjersey.com/story/news/health/2017/01/09/officials-warn-problems-repealing-obamacare/96266524/","northjersey.com",57,0,9,0,0,0,0,0
"pascrell","303312929155_10154985688849156","Congressman Bill Pascrell, Jr.","2017-01-10","2017-01-10 22:33:51","Governor Christie made the right decision accepting the Affordable Care Act’s Medicaid expansion in New Jersey, and I appreciate that he has worked to leverage the additional federal resources the expansion provides to address our state’s serious substance abuse epidemic.  But with Republicans in Washington on the warpath to repeal the ACA and its Medicaid expansion, I’m counting on Governor Christie to stand up to reiterate the enormous benefit the expansion has had in New Jersey and the devastation that would ensue if it is rolled back.  Last month, House Republican Leadership sent a letter to governors and state insurance commissioners seeking feedback on ACA repeal, and I called on Governor Christie to relay everything New Jersey has at stake. I look forward to seeing the Governor’s response to that inquiry.  bit.ly/2iYroO9","link","http://bit.ly/2iYroO9","bit.ly",26,0,6,1,0,0,0,1
"pascrell","303312929155_10154987428389156","Congressman Bill Pascrell, Jr.","2017-01-11","2017-01-11 18:39:52","Happy Birthday, Alexander Hamilton! ������������  In 1791, Hamilton founded my hometown of Paterson, NJ and used the power of the Great Falls to ignite an industrial revolution in the United States.","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10154987428389156/?type=3",NA,202,10,44,9,0,0,0,0
"pascrell","303312929155_10154991261784156","Congressman Bill Pascrell, Jr.","2017-01-12","2017-01-12 17:10:45","I am deeply concerned how the President-Elect continues to parrot Russian President Vladimir Putin’s talking points.  U.S. intelligence has confirmed that Russia undertook actions to threaten our democratic institutions, national security, and sovereignty. The willingness shown by our President-Elect to take the word of a foreign adversary at face value in one breath while attacking our Intelligence Community in another is alarming to say the least.  As President Reagan said, we need to trust, but verify. The only way the American people can be assured that a foreign adversary did not interfere in our elections is by improving transparency of the next administration by establishing a bipartisan, independent commission to examine the allegations being made in news reports. Let’s take the politics out of this issue.  Further, the President-Elect must release his tax returns to show the American people he has no conflicts of interest.  http://bit.ly/2jAq6ru","link","http://bit.ly/2jAq6ru","bit.ly",206,40,36,10,0,1,0,4
"pascrell","303312929155_10154992227564156","Congressman Bill Pascrell, Jr.","2017-01-12","2017-01-12 22:08:06","Concerned that your health care is at risk under #ACA repeal?  Join us Sunday to #ProtectOurCare!  I'll be in Newark with Cory Booker, Bob Menendez, Frank Pallone Jr., and others to send a clear message to the Republican leaders in Congress.  RSVP & more details: https://t.co/erNfH8LODT","link","https://t.co/erNfH8LODT","t.co",48,5,17,6,1,0,0,0
"pascrell","303312929155_10154994391244156","Congressman Bill Pascrell, Jr.","2017-01-13","2017-01-13 16:15:49","With health coverage for nearly 528,000 New Jerseyans and $3 billion per year in federal Medicaid funding to our state at risk, it is my hope that Governor Christie will take advantage of the opportunity provided by Leader McCarthy and convey just how devastating repeal of the ACA and Medicaid expansion would be for New Jersey.","link","http://www.northjersey.com/story/news/health/2017/01/13/christie-drug-care-expansion-may-hinge-obamacare/96467134/","northjersey.com",24,3,6,1,0,0,0,0
"pascrell","303312929155_10155002492129156","Congressman Bill Pascrell, Jr.","2017-01-16","2017-01-16 15:10:01","""We may have all come on different ships, but we're in the same boat now."" #MLKDay2017","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10155002492129156/?type=3",NA,99,2,15,3,0,0,0,0
"pascrell","303312929155_10155003440679156","Congressman Bill Pascrell, Jr.","2017-01-16","2017-01-16 22:51:24","Stood with my colleagues and fellow New Jerseyans yesterday to ask Republicans and the president-elect to #ProtectOurCare.","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10155003437954156/?type=3",NA,196,11,9,13,0,0,0,0
"pascrell","303312929155_10155005833759156","Congressman Bill Pascrell, Jr.","2017-01-17","2017-01-17 21:32:36","New Jerseyans came out in force on Sunday to ask Congress to #ProtectOurCare.  On Friday, Gov. Christie had a deadline to meet for recommendations to Republican leaders in Washington regarding the Affordable Care Act and its Medicaid expansion. So far, we haven't heard whether the governor took the opportunity to stand up for our healthcare. Still waiting.","link","http://www.northjersey.com/story/news/politics/2017/01/15/hundreds-nj-rally-against-repeal-obamacare/96554694/","northjersey.com",45,4,5,2,0,0,0,2
"pascrell","303312929155_10155007584609156","Congressman Bill Pascrell, Jr.","2017-01-18","2017-01-18 15:10:49","Working with Congressman Lance to sponsor the Blue Line Use Exception (BLUE) Act, a small show of support for our police!","link","http://www.mycentraljersey.com/story/news/politics/2017/01/17/federal-bill-aims-keep-thin-blue-line-support-police/96689912/","mycentraljersey.com",110,16,20,4,0,0,0,5
"pascrell","303312929155_10155010672909156","Congressman Bill Pascrell, Jr.","2017-01-19","2017-01-19 20:09:05","As a founding stakeholder of the Great Falls, I am always proud to support highly qualified individuals who are dedicated to carrying out our long-term blueprint, which is why I strongly supported Dr. John Lawrence to succeed Jim Pepper as national parks expert and Dr. Hilary Ballon to succeed Leonard Zax as historic preservation expert.  I want to thank Jim and Leonard for their exemplary work on the park and congratulate the two new board members, who have both demonstrated a long history as devoted public servants who are invested in the future of New Jersey.  http://bit.ly/2jE3sBY","photo","https://www.facebook.com/pascrell/photos/a.10150167054564156.293982.303312929155/10155010672909156/?type=3",NA,47,1,7,2,0,0,0,0
"pascrell","303312929155_10155022817224156","Congressman Bill Pascrell, Jr.","2017-01-23","2017-01-23 18:05:37","The TPP had already failed from lack of congressional and public support. Going forward, the U.S. needs a new direction for trade – one that creates jobs in America, reduces our trade deficit, raises wages and protects the environment, consumer safety, and public health.  Most congressional Republicans supported the trade agreements President Trump now says he wants to abandon. While Democrats have spent decades fighting bad trade deals, this is a Johnny-come-lately moment for the Republican party. I look forward to bringing them into the fold of fighting for American workers. Now is as good a time as any to start.","link","https://democrats-waysandmeans.house.gov/media-center/press-releases/neal-pascrell-statements-us-withdrawal-tpp","democrats-waysandmeans.house.gov",43,5,5,0,0,0,0,0
"pascrell","303312929155_10155037983289156","Congressman Bill Pascrell, Jr.","2017-01-27","2017-01-27 22:45:28","On International Holocaust Remembrance Day, it is important, maybe now more than any time in our modern history, to pay tribute to the six million Jews and millions of others murdered by the Nazi regime. Today we also honor the survivors of the Holocaust, while understanding the scars of this tragedy may run deep and burdens many have carried are heavy. With the recent rise in hate crimes, anti-Semitic sentiments and otherization in our country and around the globe, we can see the hate that fed these atrocities continues to exist. The world must stand on guard to ensure we never witness anything close to the gross inhumanness again. I hope all communities will stand to face this hatred, on behalf of ourselves, and our neighbors. When we see religious persecution, cruelty, or simply unkind words targeting minority communities, we must speak out loudly in condemnation.","status",NA,NA,98,7,16,10,0,0,3,0
"pascrell","303312929155_10155040965314156","Congressman Bill Pascrell, Jr.","2017-01-29","2017-01-29 04:21:28","My staff and I have been monitoring and addressing cases all day. Everyone we had been concerned about was eventually processed and permitted to continue on their journey. While the Chief of Operations for CBP at Newark Liberty Airport told me no one being detained at that airport as of 11 p.m. tonight, I have received reports that residents from New Jersey remain detained at JFK Airport.  I am grateful that a federal court has issued a limited stay of this immoral order. But this bigoted and discriminatory policy remains in place and I am not going to ease my efforts for even one minute. Standing up for what is fair and right is going to take every inch of our democratic system – courts, legislators, and especially the people of this nation. #MuslimBan","status",NA,NA,522,76,96,40,1,1,9,0
