"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"raul.r.labrador","180970951936493_1478232095543699","Rep. Raúl R. Labrador","2017-01-01","2017-01-01 15:00:01","Every New Year's Day, Americans reflect on the year gone by and set goals for the coming year. I am particularly optimistic about 2017, with Congress and a new president poised to make changes demanded by voters. I am humbled and grateful to Idaho voters for putting their confidence in me to fight for a better America. I wish everyone a Happy New Year and a great 2017!","photo","https://www.facebook.com/raul.r.labrador/photos/a.192865237413731.46586.180970951936493/1478232095543699/?type=3",NA,48,21,4,2,0,0,1,0
"raul.r.labrador","180970951936493_1485296778170564","Rep. Raúl R. Labrador","2017-01-04","2017-01-04 14:32:20","Join me this morning at 9:05 MT/8:05 PT on the Neal Larson Show, KID 590 AM in Idaho Falls. We'll discuss the opening of the 115th Congress. Listen live:","link","http://590kid.com/","590kid.com",10,7,0,1,2,0,0,0
"raul.r.labrador","180970951936493_1485430764823832","Rep. Raúl R. Labrador","2017-01-04","2017-01-04 17:36:45","Idaho is the only U.S. destination included in Vogue magazine's ""Ten Hottest Travel Destinations of 2017."" Skiing in North Idaho, Boise's vibrant culture and Sun Valley all get mentions. Read the article below.","link","http://www.vogue.com/13515667/top-travel-destinations-2017/","vogue.com",66,10,19,3,0,1,0,0
"raul.r.labrador","180970951936493_1486268674740041","Rep. Raúl R. Labrador","2017-01-05","2017-01-05 16:40:23","Great meeting with Idaho Department of Lands - Idaho Land Board Director Tom Schultz. The state of Idaho does an excellent job managing 2.4 million acres of state endowment trust land to benefit public schools and other state institutions, overseeing forest practices and providing fire protection.","photo","https://www.facebook.com/raul.r.labrador/photos/a.192865237413731.46586.180970951936493/1486268674740041/?type=3",NA,30,6,2,2,0,0,0,0
"raul.r.labrador","180970951936493_1487143284652580","Rep. Raúl R. Labrador","2017-01-06","2017-01-06 17:07:16","The Idaho National Laboratory's groundbreaking work to develop new nuclear power technology was prominently featured in a 9-minute segment on the PBS NewsHour this week. INL Director Mark Peters is a key source, telling PBS, ""We’re restarting and testing infrastructure to start to develop the next generation of nuclear power. So I’m just incredibly excited about the fact that we’re finally starting to get a public dialogue going now that it’s important to build the next generation.""  The segment begins in Idaho and includes cool archival video from INL, which produced the nation's first nuclear power in 1951 to light the city of Arco. The piece is a coproduction with NOVA l PBS, which will air a full-length documentary, ""The Nuclear Option,"" on Jan. 11. It's great to see Idaho's tech sector get the attention it deserves.","link","http://www.pbs.org/newshour/bb/demand-clean-energy-inspires-new-generation-innovate-nuclear-power/","pbs.org",24,13,8,1,0,1,0,2
"raul.r.labrador","180970951936493_1489941671039408","Rep. Raúl R. Labrador","2017-01-09","2017-01-09 22:26:26","My office is joining the observance of National Law Enforcement Appreciation Day by displaying a blue tea light -- a traditional symbol to recognize our nation's 900,000 law enforcement officers. I am deeply grateful to those who serve and protect us.   I recommend a story in today's Idaho Statesman, highlighting the effort to add the full compliment of Idaho officers who have died in the line of duty to the National Law Enforcement Officers Memorial Fund in Washington. Former U.S. Marshal Mike Johnson of the Idaho Peace Officers' Memorial Fund did the legwork to gain recognition for eight officers left off the national memorial. The eight names will be formally dedicated during a May 13 ceremony as part of National Police Week. Since 1883, 71 Idaho officers have died in the line of duty. Nationwide, 136 officers made the ultimate sacrifice in 2016. Read the story: http://bit.ly/2ic1DLv","photo","https://www.facebook.com/raul.r.labrador/photos/a.192865237413731.46586.180970951936493/1489931537707088/?type=3",NA,28,0,3,7,0,0,0,0
"raul.r.labrador","180970951936493_1490635024303406","Rep. Raúl R. Labrador","2017-01-10","2017-01-10 17:46:42","My agenda has much in common with our incoming President’s plans and I look forward to a very productive partnership.  We carry a heavy responsibility, a mandate from the people to change business as usual in Washington and revive the American economy. I’m ready to seize on this historic opportunity. More in my Labrador letter:","link","https://labrador.congressnewsletter.net/common/mailings/index.cfm?id=339#q=prettyphoto&iframe=true&width=758&height=500","labrador.congressnewsletter.net",70,18,4,11,0,0,1,0
"raul.r.labrador","180970951936493_1491403107559931","Rep. Raúl R. Labrador","2017-01-11","2017-01-11 14:26:28","Join me on KBOI Boise at 9:05 a.m. MT for my conversation with Paul J and Chris.","link","http://www.kboi.com/","kboi.com",7,2,0,1,0,0,0,0
"raul.r.labrador","180970951936493_1492727770760798","Rep. Raúl R. Labrador","2017-01-12","2017-01-12 20:07:09","Idaho's U.S. District Court should provide fair and efficient justice and rely on Idaho judges. In the past four years, 17 judges from other states have presided in Idaho cases. Today, I introduced a bill to add a third federal judge for Idaho. We added a second judge in 1954 when the state had 600,000 people, about one-third of our current population. More in my news release:","link","https://labrador.house.gov/press-releases/labrador-bill-adds-third-us-district-judge-in-idaho/","labrador.house.gov",58,12,8,4,0,0,0,1
"raul.r.labrador","180970951936493_1492803720753203","Rep. Raúl R. Labrador","2017-01-12","2017-01-12 21:31:24","UPDATE: Votes ran late in the House this afternoon, pushing back my appearance to 4:05 p.m. MT with Nate Shelman on KBOI Boise. We'll discuss the prospects in the new Congress, as well my bill to add a third federal judge in Idaho. Listen live:","link","http://www.kboi.com/","kboi.com",0,0,0,0,0,0,0,0
