"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repalgreen","136237609724391_1512876225393849","Rep. Al Green","2017-01-01","2017-01-01 18:04:36","Happy New Year to all! Let’s endeavor to make 2017 a wonderful year with more opportunities and less hatred.","status",NA,NA,42,7,3,0,0,0,1,0
"repalgreen","136237609724391_1514886328526172","Rep. Al Green","2017-01-03","2017-01-03 21:44:09","Sworn in for the 115th Congress, and ready to continue working for the people of the United States of America. #115thCongress","status",NA,NA,67,5,0,6,0,0,0,0
"repalgreen","136237609724391_1515705325110939","Rep. Al Green","2017-01-04","2017-01-04 19:50:13","Proud to stand with Rep. John Lewis on the House Floor in defense of freedom of speech and transparency. #PeoplesHouse","photo","https://www.facebook.com/repalgreen/photos/a.458574094157406.118260.136237609724391/1515705325110939/?type=3",NA,96,22,9,13,0,0,0,3
"repalgreen","136237609724391_1515772251770913","Rep. Al Green","2017-01-04","2017-01-04 21:21:28","Today, I stood with my House and Senate colleagues to let it be known we will not allow Republicans to #MakeAmericaSickAgain.","photo","https://www.facebook.com/repalgreen/photos/a.458574094157406.118260.136237609724391/1515772251770913/?type=3",NA,33,4,3,5,0,0,1,1
"repalgreen","136237609724391_1516764351671703","Rep. Al Green","2017-01-05","2017-01-05 23:14:50","Healthcare should not become wealthcare in the richest country in the world. Healthcare is a right not a privilege. #MakeAmericaSickAgain","photo","https://www.facebook.com/repalgreen/photos/a.458574094157406.118260.136237609724391/1516764351671703/?type=3",NA,54,12,12,5,0,1,0,3
"repalgreen","136237609724391_1520365574644914","Rep. Al Green","2017-01-09","2017-01-09 21:20:54","Because the CFPB defends consumers, consumers must #DefendCFPB against those who would dismantle it during the 115th Congress.","status",NA,NA,8,0,0,0,0,0,0,0
"repalgreen","136237609724391_1520449394636532","Rep. Al Green","2017-01-09","2017-01-09 23:48:37","On #LawEnforcementAppreciationDay, I’m lighting my office blue in support of our nation’s law enforcement officers.","photo","https://www.facebook.com/repalgreen/photos/a.458574094157406.118260.136237609724391/1520449394636532/?type=3",NA,45,4,6,3,0,0,0,0
"repalgreen","136237609724391_1521486081199530","Rep. Al Green","2017-01-10","2017-01-10 22:33:28","Rep. Al Green Joins Fellow House Democrats, Urging President-Elect Trump to Reject Attempts to Remove CFPB Director Richard Cordray: goo.gl/1ms6KQ","link","https://goo.gl/1ms6KQ","goo.gl",24,3,3,2,0,0,1,0
"repalgreen","136237609724391_1522332031114935","Rep. Al Green","2017-01-11","2017-01-11 20:03:54","Today, I supported my fellow CBC members as they testified during Senator Sessions' confirmation hearing for Attorney General. #StopSessions","photo","https://www.facebook.com/repalgreen/photos/a.458574094157406.118260.136237609724391/1522332031114935/?type=3",NA,41,8,8,6,0,1,0,1
"repalgreen","136237609724391_1523389384342533","Rep. Al Green","2017-01-12","2017-01-12 16:49:36","We must preserve the “Justice” in the Justice Department, mere “law and order” is not enough: https://goo.gl/B5h2vN #StopSessions","video","https://goo.gl/B5h2vN",NA,11,13,4,6,0,0,0,0
"repalgreen","136237609724391_1527602423921229","Rep. Al Green","2017-01-16","2017-01-16 20:06:46","Today, we honor the legendary civil rights icon Martin Luther King, Jr, whose pursuit of justice and human rights is still relevant today.","status",NA,NA,35,14,0,6,0,0,0,0
"repalgreen","136237609724391_1527980560550082","Rep. Al Green","2017-01-17","2017-01-17 05:44:01","Congressman Al Green’s Statement on the 2017 Presidential Inauguration: https://goo.gl/frQlIS","link","https://goo.gl/frQlIS","goo.gl",131,240,37,50,0,1,0,18
"repalgreen","136237609724391_1530473110300827","Rep. Al Green","2017-01-19","2017-01-19 19:07:06","We must remain focused on the goal of affordable healthcare for all. #ProtectOurCare","status",NA,NA,65,19,1,12,0,0,0,0
"repalgreen","136237609724391_1531169856897819","Rep. Al Green","2017-01-20","2017-01-20 14:28:43","While I will not be at the inauguration, I do support and defend our peaceful transfer of power that sets the USA apart from most of the world.","status",NA,NA,80,44,1,10,0,1,0,6
"repalgreen","136237609724391_1532435063437965","Rep. Al Green","2017-01-21","2017-01-21 15:59:08","I will be participating in the Houston Women's March today because patriotic citizenship, and women’s voices and votes matter.","status",NA,NA,110,21,6,28,0,0,0,1
"repalgreen","136237609724391_1532905836724221","Rep. Al Green","2017-01-22","2017-01-22 01:23:26","Congressman Al Green Speaks at the Houston Women's March: https://goo.gl/JBZ8CZ","link","https://goo.gl/JBZ8CZ","goo.gl",121,10,8,18,0,0,0,2
"repalgreen","136237609724391_1538349812846490","Rep. Al Green","2017-01-26","2017-01-26 00:13:21","Congressman Al Green: A Wall Will Not Solve Our Immigration Dilemma: https://goo.gl/3FRKZU","link","https://goo.gl/3FRKZU","goo.gl",81,11,15,7,0,0,0,0
"repalgreen","136237609724391_1539204346094370","Rep. Al Green","2017-01-26","2017-01-26 19:55:51","Congressman Al Green: We face a real and urgent threat to the core of our democracy—the right to vote: https://goo.gl/XKd8XP","link","https://goo.gl/XKd8XP","goo.gl",61,13,18,8,0,1,5,1
"repalgreen","136237609724391_1540096572671814","Rep. Al Green","2017-01-27","2017-01-27 16:54:49","Today is International Holocaust Remembrance Day, please join me in saying “never again.”","status",NA,NA,28,8,3,9,0,0,1,0
"repalgreen","136237609724391_1543963118951826","Rep. Al Green","2017-01-30","2017-01-30 22:37:08","PRESS RELEASE--Congressman Al Green: Beware of Racially-Charged and Religiously-Inflamed Incendiary Branding: https://goo.gl/jjI1yR","link","https://goo.gl/jjI1yR","goo.gl",36,9,10,0,0,0,2,0
"repalgreen","136237609724391_1546092158738922","Rep. Al Green","2017-02-01","2017-02-01 13:59:35","MEDIA ADVISORY AND CONGRESSIONAL ALERT: Congressman Al Green to Address the House Today on the Topic of “The Hijacking of Justice”:  https://goo.gl/bQpGrS","link","https://goo.gl/bQpGrS","goo.gl",33,6,5,3,0,0,0,0
"repalgreen","136237609724391_1546644072017064","Rep. Al Green","2017-02-01","2017-02-01 20:50:36","The Republican leadership hijacked justice when they held up the #SCOTUS nomination of Judge Merrick Garland: https://goo.gl/2rbEXH","video","https://goo.gl/2rbEXH",NA,25,7,6,3,0,0,0,0
"repalgreen","136237609724391_1547830931898378","Rep. Al Green","2017-02-02","2017-02-02 20:29:56","We stand on the shoulders of giants. They sacrificed so that we could have better lives. Let us honor their legacy. #BlackHistoryMonth","status",NA,NA,22,2,1,2,0,0,0,0
"repalgreen","136237609724391_1548758378472300","Rep. Al Green","2017-02-03","2017-02-03 20:04:19","PRESS RELEASE--Congressman Al Green Introduces Resolutions to Recognize Black History Month and Honor the NAACP on its 108th Anniversary: https://goo.gl/vobPmh","link","https://goo.gl/vobPmh","goo.gl",27,3,3,2,1,0,0,0
"repalgreen","136237609724391_1550583898289748","Rep. Al Green","2017-02-05","2017-02-05 15:16:16","It’s #SuperBowl Sunday in Houston. I encourage all to celebrate and safely enjoy the festivities.","status",NA,NA,6,2,0,0,0,0,0,0
"repalgreen","136237609724391_1552142101467261","Rep. Al Green","2017-02-07","2017-02-07 00:16:09","Press Release--Congressman Al Green: We Must Not Allow Wall Street to Trump Main Street: https://goo.gl/Kc69CW","link","https://goo.gl/Kc69CW","goo.gl",37,13,4,4,0,0,0,0
"repalgreen","136237609724391_1554813684533436","Rep. Al Green","2017-02-09","2017-02-09 14:41:58","We must #FightForAll Mainstreet Americans by protecting and bolstering consumer protection laws.","status",NA,NA,7,2,0,2,0,0,0,0
"repalgreen","136237609724391_1555045994510205","Rep. Al Green","2017-02-09","2017-02-09 19:36:52","On 2/7/17, I joined my Democratic colleagues in speaking out against President Trump’s Attorney General and Secretary of Education nominees.","photo","https://www.facebook.com/repalgreen/photos/a.458574094157406.118260.136237609724391/1555045994510205/?type=3",NA,61,15,12,5,1,0,0,0
"repalgreen","136237609724391_1555823514432453","Rep. Al Green","2017-02-10","2017-02-10 16:11:45","On 2/7/17 at a Tri-Caucus event, I addressed public school privatization as well as law and order versus justice: https://goo.gl/43x8kX","video","https://goo.gl/43x8kX",NA,18,2,2,0,0,0,0,0
"repalgreen","136237609724391_1559845534030251","Rep. Al Green","2017-02-14","2017-02-14 20:50:18","MEDIA ADVISORY AND CONGRESSIONAL ALERT: Congressman Al Green to Address the House Today on the Topic of “From Desegregation to Resegregation: It Can Happen”: https://goo.gl/B531vI","link","https://goo.gl/B531vI","goo.gl",28,4,6,0,0,0,0,0
"repalgreen","136237609724391_1560848040596667","Rep. Al Green","2017-02-15","2017-02-15 22:39:31","I discussed efforts to address the high-rate of unemployment in the African-American community with Fed Chair Yellen: https://goo.gl/Xfuh3V","video","https://goo.gl/Xfuh3V",NA,15,4,0,1,0,0,0,0
"repalgreen","136237609724391_1564610916887046","Rep. Al Green","2017-02-18","2017-02-18 15:35:28","We must not allow healthcare for all who need it to become wealthcare for only those who can afford it. #ProtectOurCare","status",NA,NA,43,14,3,4,1,0,0,0
"repalgreen","136237609724391_1565876663427138","Rep. Al Green","2017-02-19","2017-02-19 14:53:20","On this Day of Remembrance for Japanese Internment, let’s redouble our efforts to relegate bigoted ideas to the ash heap of history.","status",NA,NA,47,5,9,7,0,0,3,0
