"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repbettymccollum","153386471383393_1235768059811890","Congresswoman Betty McCollum","2017-01-03","2017-01-03 01:47:56","With just hours until the 115th Congress begins, House Republicans are working to change the rules and gut the independent Office of Congressional Ethics. As the League of Women Voters of the U.S. says, this action gives ""a green light to Congressional corruption.""   If President-elect Donald Trump and Republicans are serious about ""draining the swamp"" and ending corruption, they should join me in strongly opposing this 11th hour abuse of power.","link","http://www.politico.com/story/2017/01/house-republicans-gut-their-own-oversight-233111","politico.com",184,45,119,1,2,32,12,145
"repbettymccollum","153386471383393_1236375846417778","Congresswoman Betty McCollum","2017-01-03","2017-01-03 20:05:27","Moments ago, I was honored to take the oath of office to represent Minnesota's Fourth District in the United States House of Representatives for the 115th Congress. I am very grateful to the families of the Fourth District for giving me the opportunity to represent our shared values in the U.S. House of Representatives.  With Republicans controlling both the U.S. House and Senate and Donald Trump set to become President of the United States, our Minnesota values will be under serious threat in the 115th Congress. You can count on me to represent your voices by standing up and speaking out against policies that harm Minnesotans and our way of life.","link","http://mccollum.house.gov/press-release/mccollum-statement-swearing-115th-congress","mccollum.house.gov",365,28,11,37,1,2,0,0
"repbettymccollum","153386471383393_1236620869726609","Congresswoman Betty McCollum","2017-01-04","2017-01-04 03:02:14","ICYMI: I was honored to be sworn-in today to represent the families of Minnesota's Fourth District in the U.S. House of Representatives.   Sadly, the Trump-Republican agenda for the next two years would make it harder for us to build a stronger America where everyone has the opportunity to participate and succeed.  With our Minnesota values under threat in the 115th Congress, I intend to keeping standing up and speaking out for the constituents and families I represent. Learn more here → http://bit.ly/2iwqRod.","photo","https://www.facebook.com/repbettymccollum/photos/a.157180817670625.36989.153386471383393/1236620869726609/?type=3",NA,277,15,2,24,2,0,0,1
"repbettymccollum","153386471383393_1237223062999723","Congresswoman Betty McCollum","2017-01-04","2017-01-04 19:20:10","I joined House Democrats' meeting with President Obama today to thank him for his tireless leadership to build a stronger America where everyone has the opportunity to contribute and succeed.   We also talked about the success of the Affordable Care Act. This critical law has expanded access to health coverage and protected consumers, including stopping insurance companies from discriminating against people with pre-existing conditions. We must keep fighting to guarantee that all Minnesotans and Americans have access to quality, affordable health care.","photo","https://www.facebook.com/repbettymccollum/photos/a.157180817670625.36989.153386471383393/1237223062999723/?type=3",NA,128,6,2,8,2,0,0,0
"repbettymccollum","153386471383393_1237427269645969","Congresswoman Betty McCollum","2017-01-04","2017-01-04 23:11:26","I am very proud to be one of 65 House Democratic women in the 115th Congress. Together, we are fighting for our shared values and for all of America's women and working families!","photo","https://www.facebook.com/repbettymccollum/photos/a.157180817670625.36989.153386471383393/1237427269645969/?type=3",NA,492,20,18,76,1,4,0,0
"repbettymccollum","153386471383393_1237883029600393","Congresswoman Betty McCollum","2017-01-05","2017-01-05 15:17:38","House Republicans are now leading a reading of the United States Constitution on the House Floor, but actions speak louder than words.   House and Senate Republicans must join Democrats, enforce the Constitution's Emoluments Clause, and stop President-elect Donald Trump from profiting off the Presidency by taking money from foreign governments.","photo","https://www.facebook.com/repbettymccollum/photos/a.157180817670625.36989.153386471383393/1237883029600393/?type=3",NA,133,12,26,7,0,5,0,0
"repbettymccollum","153386471383393_1238003676254995","Congresswoman Betty McCollum","2017-01-05","2017-01-05 17:51:55","I spoke on the House Floor this afternoon about the Affordable Care Act and the tremendous positive impact it has had for working families.   For the sake of all Minnesotans and Americans who are no longer uninsured, who are protected from discriminated based on pre-existing conditions, and who now get free, high-quality preventive care, we must join together and save the Affordable Care Act.","video","https://www.facebook.com/repbettymccollum/videos/1238003676254995/",NA,287,20,22,32,1,0,0,0
"repbettymccollum","153386471383393_1238105496244813","Congresswoman Betty McCollum","2017-01-05","2017-01-05 20:22:14","We cannot go back to the days when being a woman was a pre-existing condition and coverage for essential women's health care was not covered by many insurance plans.   That's why I stood with Cecile Richards, Planned Parenthood, House Democratic Leader Nancy Pelosi, and House Democrats today saying: #ProtectOurCare.","photo","https://www.facebook.com/repbettymccollum/photos/a.157180817670625.36989.153386471383393/1238105496244813/?type=3",NA,245,5,12,29,0,0,0,0
"repbettymccollum","153386471383393_1238141079574588","Congresswoman Betty McCollum","2017-01-05","2017-01-05 21:19:23","I am holding town hall meetings on Jan. 18 and Jan. 26 to discuss my work in Washington and to listen to your views on the issues that matter to you and your family.  I hope many of you will be able to attend one or both of these events and share your views with me directly. Full details here → http://mccollum.house.gov/jan2017-town-halls.","photo","https://www.facebook.com/repbettymccollum/photos/a.157180817670625.36989.153386471383393/1238141079574588/?type=3",NA,86,10,39,4,0,0,0,0
"repbettymccollum","153386471383393_1238881212833908","Congresswoman Betty McCollum","2017-01-06","2017-01-06 17:17:04","In December 2008, just before Barack Obama took office, our country — mired in the Great Recession— lost 524,000 jobs.  Thanks to President Obama's steady leadership and to the Democratic policies we enacted, our country has added 15.8 million jobs since 2010 and is currently experiencing a record 75-month streak of job growth.   While we have more work to do to ensure that every American is able to share in the economic recovery, we cannot turn back now on the progress we have made.","photo","https://www.facebook.com/repbettymccollum/photos/a.157180817670625.36989.153386471383393/1238881212833908/?type=3",NA,95,1,10,8,2,0,0,0
