"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repbrianfitzpatrick","1795367040728968_1797104190555253","Congressman Brian Fitzpatrick","2017-01-04","2017-01-04 13:32:10","Thanks to everyone who joined me in Washington, D.C. yesterday for my swearing-in!","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1797104190555253/?type=3",NA,50,10,2,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1797116350554037","Congressman Brian Fitzpatrick","2017-01-03","2017-01-03 19:58:00","Fitzpatrick Sworn In, Introduces Sweeping Government Reform Legislation as First Official Act","status",NA,NA,42,14,17,2,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1797131463885859","Congressman Brian Fitzpatrick","2017-01-03","2017-01-03 22:00:00","Just like I told the Philadelphia Inquirer: This is a time we've got to be strengthening ethics protocol, not weakening it. Period.   Read more about my stand against weakening the Office of Congressional Ethics, plus the series of bills I introduced today to reform Congress for the American people: http://bit.ly/2iMscoE","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1797131463885859/?type=3",NA,33,5,4,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1797139073885098","Congressman Brian Fitzpatrick","2017-01-09","2017-01-09 23:00:00","Stay connected -->","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1797139073885098/?type=3",NA,14,0,4,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1797399530525719","Congressman Brian Fitzpatrick","2017-01-05","2017-01-05 13:00:00","Truly amazing to have my parents join Speaker Paul Ryan and me following my swearing in Tuesday.","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1797399530525719/?type=3",NA,131,7,13,8,0,1,0,0
"repbrianfitzpatrick","1795367040728968_1797455417186797","Congressman Brian Fitzpatrick","2017-01-08","2017-01-08 15:00:00","If the House of Representatives is ‘the People’s House,’ then consider my offices the doorways for the people of Bucks & Montgomery counties. Whether it is a legislative concern or assistance with a federal agency, I’m proud to continue to build upon & expand the services the people of this district deserve.  DISTRICT OFFICE  1717 Langhorne-Newtown Rd., Suite 400 Langhorne, PA 19047 Phone: (215) 579-8102 Fax: (215) 579-8109 Hours: Monday – Friday, 8am – 6pm EST  Services: Assistance with federal agencies and programs (ie. IRS, Medicare, Social Security, etc.); Veterans’ resources; Service academy nominations; Federal grant assistance  **Note: To ensure seamless constituent service, this is the same district office location previously utilized by Congressman Mike Fitzpatrick  WASHINGTON, D.C. OFFICE      514 Cannon House Office Building Washington, D.C. 20515 Phone: (202) 225-4276 Fax: (215) 225-9511 Hours: Monday – Friday, 8am – 6pm EST  Services: Legislative work; Washington, D.C. tours and tickets","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1797455417186797/?type=3",NA,51,2,6,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1797471390518533","Congressman Brian Fitzpatrick","2017-01-04","2017-01-04 17:50:16","One of the first bills passed in this new Congress was to increase transparency & accountability at the VA. Still plenty of work to do to ensure our veterans receive the care & attention they deserve.","link","http://www.washingtonexaminer.com/house-votes-to-end-va-scrubbing-of-employee-records/article/2610806","washingtonexaminer.com",37,1,2,0,0,0,0,1
"repbrianfitzpatrick","1795367040728968_1797844463814559","Congressman Brian Fitzpatrick","2017-01-05","2017-01-05 23:00:00","""What stands out is that the 8th District's own rookie representative, Congressman Brian Fitzpatrick, not only was among the 74 righteous Republicans who voted against the unscrupulous proposal, but that he followed his first career hit with an even more impressive second at-bat.  We refer to a package of bills Fitzpatrick introduced as his 'first official act' that, if approved, would fundamentally change Congress for the better. Getting approval for what Fitzpatrick correctly calls 'sweeping government reform legislation' is a pitch he won't likely hit out of the park or even get to first base with. Still, the recognition of what changes are needed and the desire to get it done denote a code of ethics and an insightful game plan deserving both accolades and support."" - The Intelligencer Editorial Board","link","http://www.theintell.com/opinion/editorial/great-at-bats-for-rookie-congressman/article_efbcffe4-c146-5ffb-aa9e-bfbb494676bd.html","theintell.com",53,4,2,2,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1798299270435745","Congressman Brian Fitzpatrick","2017-01-06","2017-01-06 22:20:00","The #REINSact is crucial to increase accountability in our ever-growing government by ensuring economically significant regulations are reviewed and deliberated, not enacted solely by unelected and unaccountable federal bureaucrats.","link","https://medium.com/@RepBrianFitz/fitzpatrick-continues-push-for-bipartisan-government-accountability-ce6a7536d53b#.6rjjewm3n","medium.com",21,5,0,0,0,0,0,1
"repbrianfitzpatrick","1795367040728968_1798383420427330","Congressman Brian Fitzpatrick","2017-01-09","2017-01-09 14:45:00","Last year, 135 law enforcement officers made the ultimate sacrifice in the line of duty. Despite the dangers of the job, the men and women in blue willingly face those risks each day to ensure the safety of our communities and to protect the ordered liberty provided under the law.   While today, on Law Enforcement Appreciation Day, we say ‘thank you,’ let our gratitude for the selfless work of our local, state and federal law enforcement officers continue in all places and at all times.","link","https://medium.com/@RepBrianFitz/fitzpatrick-marks-law-enforcement-appreciation-day-2017-70cf84bfb43#.85so1x7dx","medium.com",64,0,10,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1800559420209730","Congressman Brian Fitzpatrick","2017-01-11","2017-01-11 19:36:08","Did you know today is National Human Trafficking Awareness Day? Take some time to learn about this form of modern day slavery & how we can #EndTraffikcing","link","https://humantraffickinghotline.org/","humantraffickinghotline.org",14,3,2,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1800979123501093","Congressman Brian Fitzpatrick","2017-01-12","2017-01-12 23:01:00","I delivered my first speech on the floor of the House of Representatives and my message was simple:  Washington needs fewer politicians and more independent voices focused on serving the American people. The time is now to answer their call to fix this system, so we can then get to addressing the challenges we face as a nation.    Learn more --> bit.ly/2iLFIIS","video","https://www.facebook.com/RepBrianFitzpatrick/videos/1800979123501093/",NA,268,70,133,17,0,6,0,0
"repbrianfitzpatrick","1795367040728968_1801001540165518","Congressman Brian Fitzpatrick","2017-01-13","2017-01-13 13:00:00","Great meeting with No Labels Problem Solver Caucus yesterday","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1801001540165518/?type=3",NA,37,2,1,1,0,0,0,1
"repbrianfitzpatrick","1795367040728968_1801047193494286","Congressman Brian Fitzpatrick","2017-01-14","2017-01-14 15:00:01","Glad I got the chance to catch up with Congressman Glenn Thompson who represents Central PA. Really great guy & a fellow Penn State Nittany Lion!","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1801047193494286/?type=3",NA,42,2,0,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1801047646827574","Congressman Brian Fitzpatrick","2017-01-17","2017-01-17 13:00:01","Thanks to Federal Law Enforcement Officers Association (FLEOA) Foundation President Jon Adler & Executive Vice President Donald Mihalek for stopping by my office last week to discuss legislation that protects our nation, our communities and law enforcement.","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1801047646827574/?type=3",NA,45,1,0,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1801384856793853","Congressman Brian Fitzpatrick","2017-01-15","2017-01-15 22:00:01","ICYMI: Find out how you can help #BristolBorough","link","http://levittownnow.com/2017/01/11/small-business-revolution-film-crew-visits-bristol/","levittownnow.com",11,2,2,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1801402690125403","Congressman Brian Fitzpatrick","2017-01-13","2017-01-13 15:29:22",NA,"photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1795367594062246.1073741826.1795367040728968/1801402353458770/?type=3",NA,34,10,0,0,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1801462813452724","Congressman Brian Fitzpatrick","2017-01-18","2017-01-18 13:00:01","Did you read my letter to President-Elect Trump? Learn more --> http://bit.ly/2iQn5Dr","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1801462713452734/?type=3",NA,23,3,0,0,0,1,0,0
"repbrianfitzpatrick","1795367040728968_1801508553448150","Congressman Brian Fitzpatrick","2017-01-22","2017-01-22 23:20:00",NA,"link","http://www.philly.com/philly/blogs/inq-phillydeals/Pa-reps-prominent-in-Problem-Solver-Caucus.html","philly.com",59,6,4,3,0,0,0,1
"repbrianfitzpatrick","1795367040728968_1801967683402237","Congressman Brian Fitzpatrick","2017-01-14","2017-01-14 22:09:00","Enjoyed sitting down with the Washington Free Beacon and discussing how my 14 years in the FBI – Federal Bureau of Investigation fighting political corruption is guiding efforts in Congress","link","http://freebeacon.com/issues/freshman-congressman-pushing-anti-corruption-legislation/","freebeacon.com",55,5,10,1,0,0,0,0
"repbrianfitzpatrick","1795367040728968_1802794766652862","Congressman Brian Fitzpatrick","2017-01-16","2017-01-16 13:40:01","""The time is always right to do what is right.""","photo","https://www.facebook.com/RepBrianFitzpatrick/photos/a.1797143023884703.1073741828.1795367040728968/1802794766652862/?type=3",NA,38,6,2,0,0,0,0,0
