"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repcardenas","485493954794945_114768255904648","U.S. Rep. Tony Cárdenas","2017-09-05","2017-09-05 22:43:12","My team will be out in Pacoima Thursday to help YOU navigate the red tape of Federal Agencies like the VA, IRS, or Medicare. Come on over if you're having trouble getting the benefits or services you need. Feel free to SHARE with family and friends!","event","https://www.facebook.com/events/114768255904648/",NA,11,2,0,1,0,0,0,0
"repcardenas","485493954794945_119240068759318","U.S. Rep. Tony Cárdenas","2017-09-30","2017-09-30 01:46:08","Please join my staff for an information overview on Medicare","event","https://www.facebook.com/events/119240068759318/",NA,11,6,0,0,0,0,0,1
"repcardenas","485493954794945_120901358586653","U.S. Rep. Tony Cárdenas","2017-10-04","2017-10-04 19:43:13","Please join me in learning about the services and support that is available to veterans in the San Fernando Valley!","event","https://www.facebook.com/events/120901358586653/",NA,69,5,0,3,0,1,0,0
"repcardenas","485493954794945_1479528348798824","U.S. Rep. Tony Cárdenas","2017-11-02","2017-11-02 16:21:29","Please join me and my staff on Saturday, November 4, 2017 for a Citizenship Workshop. Experts will be present to assist with filing your N400 Form. For more information and to RSVP, please contact my District Office at 818-221-3718.","event","https://www.facebook.com/events/1479528348798824/",NA,26,1,0,1,0,0,0,0
"repcardenas","485493954794945_1515197128572517","U.S. Rep. Tony Cárdenas","2017-10-26","2017-10-26 02:02:05","Join me and my staff to learn about the skills and opportunities in the manufacturing sector in our community. Hear from manufacturers directly about what it takes to succeed.","event","https://www.facebook.com/events/1515197128572517/",NA,19,2,0,1,0,0,0,0
"repcardenas","485493954794945_1528123263865337","U.S. Rep. Tony Cárdenas","2017-01-04","2017-01-04 00:15:43","Here's a behind the scenes shot from my interview with ABC7 on protecting healthcare in the next Administration. Tune in to watch tonight at 5:30 PT!","photo","https://www.facebook.com/repcardenas/photos/a.563895176954822.130096.485493954794945/1528123263865337/?type=3",NA,76,3,5,4,0,0,0,0
"repcardenas","485493954794945_1529767477034249","U.S. Rep. Tony Cárdenas","2017-01-04","2017-01-04 18:56:26","Yesterday I put on my new Member Pin and swore the Congressional Oath of Office for the third time.   At the outset of this Congress, we are faced with more uncertainty than ever. I hear daily from people back home who are worried about what lies ahead. They’re concerned about being able to see their doctor, about keeping insurance for their cancer treatments, about their son losing his school lunch, and about their grandmother losing her Meals on Wheels.  During my time in Congress, I’ve fought to protect the people of our district. And I will fight like hell before I let anyone take away what they have worked so hard to earn.  My job as your Representative is to be your voice. I guarantee that voice will only grow louder and stronger in the face of the uncertainty we’re up against.  It is a privilege to serve the 29th District, and I will never stop fighting for what we believe in.","photo","https://www.facebook.com/repcardenas/photos/a.563895176954822.130096.485493954794945/1529767477034249/?type=3",NA,163,17,3,24,0,0,0,0
"repcardenas","485493954794945_1532001930144137","U.S. Rep. Tony Cárdenas","2017-01-05","2017-01-05 17:38:34","This morning I joined my colleagues in the tradition of reading our Constitution on the House Floor. It’s a great way to start the new session and a reminder to all of us on what we’re here to do.","video","https://www.facebook.com/repcardenas/videos/1532001930144137/",NA,68,4,10,8,0,0,0,0
"repcardenas","485493954794945_1532540216756975","U.S. Rep. Tony Cárdenas","2017-01-05","2017-01-05 23:24:06","Proud to serve with this hardworking group of members. We've got some challenges ahead of us, but we'll continue to fight for what we believe in.","photo","https://www.facebook.com/congressional.hispanic.caucus/photos/a.101854408260.91196.67490733260/10154331661333261/?type=3",NA,113,4,0,9,0,0,0,1
"repcardenas","485493954794945_1534479499896380","U.S. Rep. Tony Cárdenas","2017-01-06","2017-01-06 22:08:34","As we learn more about the situation in Fort Lauderdale, I'm praying for the recovery of those injured and for the families of those who have lost their loved ones. I continue to believe we must do everything we can to end senseless violence in our country.","status",NA,NA,17,5,1,1,0,0,1,0
