"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repcurbelo","110569152353952_1208776582533198","Rep. Carlos Curbelo","2017-01-01","2017-01-01 13:22:01","Happy New Year to all my constituents in #FL26. I’m grateful to have the honor and privilege of representing our community for another year, and I look forward to all the things to come in 2017.","photo","https://www.facebook.com/RepCurbelo/photos/a.129333937144140.30687.110569152353952/1208776582533198/?type=3",NA,60,0,5,5,0,0,0,0
"repcurbelo","110569152353952_1220314474712742","Rep. Carlos Curbelo","2017-01-04","2017-01-04 20:23:14","Honored to meet with Kimberly Motley, an international human rights attorney who has represented victims around the world and was recently arrested and detained while conducting her work in Cuba. Thank you for giving these victims a voice.","photo","https://www.facebook.com/RepCurbelo/photos/a.129333937144140.30687.110569152353952/1220314474712742/?type=3",NA,61,5,5,2,0,0,0,0
"repcurbelo","110569152353952_1220601281350728","Rep. Carlos Curbelo","2017-01-05","2017-01-05 12:13:00","I'm honored to be selected by my colleagues to serve as a member of the powerful Committee on Ways and Means in the new Congress. This position will allow me to advocate for many issues of importance to my constituents and our South Florida community. I look forward to working with my Republican and Democratic colleagues to advance bipartisan solutions that will better the lives of those in my district and across the country.","link","http://miamiherald.typepad.com/nakedpolitics/2017/01/curbelo-gets-seat-on-powerful-house-tax-writing-committee.html","miamiherald.typepad.com",214,24,18,9,0,0,0,0
"repcurbelo","110569152353952_1221156371295219","Rep. Carlos Curbelo","2017-01-05","2017-01-05 22:45:14","My colleague Congressman Ted Deutch and I met with French Ambassador to the U.S. Gérard Araud today to discuss the U.S.-French partnership to battle #ClimateChange and the importance of American energy efficient technology.","photo","https://www.facebook.com/RepCurbelo/photos/a.431612503582947.96908.110569152353952/1221154771295379/?type=3",NA,53,4,2,2,0,0,0,0
"repcurbelo","110569152353952_1221248717952651","Rep. Carlos Curbelo","2017-01-06","2017-01-06 01:14:04","I was proud to join the majority of my colleagues today to take a stand against the Obama Administration's unprecedented and shameful abandonment of Israel. The resolution we adopted today condemns the Administration's actions, expresses the House's support for our ally Israel, and sends a clear message to the world that the overwhelming majority of American legislators stand with her.","link","http://curbelo.house.gov/news/documentsingle.aspx?DocumentID=1245","curbelo.house.gov",109,10,12,5,0,1,0,0
"repcurbelo","110569152353952_1224166834327506","Rep. Carlos Curbelo","2017-01-09","2017-01-09 22:58:19","Leaving a blue candle lit in my office window tonight for #LawEnforcementAppreciationDay. Thankful to all our men and women in law enforcement, especially Miami-Dade Police Department, Homestead Police Department and MCSO - Florida Keys  in #FL26, who sacrifice to protect and serve our community.","photo","https://www.facebook.com/RepCurbelo/photos/a.129333937144140.30687.110569152353952/1224166834327506/?type=3",NA,80,1,2,5,0,0,0,0
"repcurbelo","110569152353952_1225581260852730","Rep. Carlos Curbelo","2017-01-11","2017-01-11 16:20:37","Did you read today’s Miami Herald editorial? American generosity has been abused for far too long. Grateful to have Senator Marco Rubio as a partner on this issue, and looking forward to reintroducing and continuing to build support for our legislation in this Congress.","link","http://www.miamiherald.com/opinion/editorials/article125802314.html","miamiherald.com",124,8,14,7,0,0,0,3
"repcurbelo","110569152353952_1225618674182322","Rep. Carlos Curbelo","2017-01-11","2017-01-11 19:07:00","South Florida families deserve the confidence of knowing that there are measures in place to protect them when they walk around Miami. This is exactly why I introduced my Safe Streets initiative, which was signed into law in 2015, to encourages states and transportation planning commissions to adopt construction plans to protect the safety of both motorized and non-motorized users.   Learn more here: http://bit.ly/2iGqYLq","link","http://www.miamiherald.com/news/local/article125588259.html","miamiherald.com",25,4,9,0,0,1,1,0
"repcurbelo","110569152353952_1225620637515459","Rep. Carlos Curbelo","2017-01-12","2017-01-12 20:32:00","Many people’s respect for our environment has started with a love of our National Parks. Excited for all the new Biscayne National Park visitors who will learn about the importance of Biscayne Bay and our South Florida ecosystem during their visit.","link","http://www.southdadenewsleader.com/news/biscayne-national-park-announces-new-educational-institute/article_73d204c0-d442-11e6-b82e-976cded28e1f.html","southdadenewsleader.com",19,2,1,4,0,0,0,0
"repcurbelo","110569152353952_1225735577503965","Rep. Carlos Curbelo","2017-01-11","2017-01-11 22:56:00","Today, I joined with 101 of my colleagues to urge President-Elect Donald J. Trump to move the American embassy in Israel from Tel Aviv to Jerusalem immediately upon assuming office. A step that is all the more urgent given the Obama Administration's anti-Israel actions on the United Nations Security Council last month.","link","http://curbelo.house.gov/news/documentsingle.aspx?DocumentID=1254","curbelo.house.gov",88,8,8,0,0,0,0,0
