"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repdanlipinski","103286879730089_1332131903512241","Congressman Dan Lipinski","2017-01-09","2017-01-09 17:21:00","I would like to thank everyone who took time out of their busy schedules on Saturday to attend my Town Hall Meeting.  As your representative, I always want to hear from you.  Please contact me through mail, email, phone, social media, or by visiting any of my offices, located in Chicago, Oak Lawn, Orland Park, and Lockport.  And if you have issues with Social Security, Medicare, Veterans benefits, or any other federal matters, my expert staff is available to help.","photo","https://www.facebook.com/repdanlipinski/photos/a.126075024117941.20635.103286879730089/1332131903512241/?type=3",NA,27,10,2,0,0,0,0,0
"repdanlipinski","103286879730089_1333958819996216","Congressman Dan Lipinski","2017-01-11","2017-01-11 22:57:36","Congressman Dan Lipinski (IL-3) is leading a bipartisan group of lawmakers in urging President-elect Trump to prevent China from being granted “market economy status” (MES); this status would make it easier for China to cheat American companies and steal American jobs.  When China joined the World Trade Organization (WTO) in 2001, a provision was put in place labeling China as a non-market economy (NME) which allows the United States to implement significant anti-dumping duties to protect American companies and workers from unfair Chinese trading practices.  China believes this provision should expire.  “Given continued mercantilist activities, including subsidization, industrial planning, currency misalignment policies, overcapacity, and state-owned enterprises, we believe that the United States must continue the longstanding policy of treating China as a NME, as WTO rules allow,” said Rep. Lipinski and several of his colleagues in a letter to the President-elect.  “Granting China MES would undermine the effectiveness of our trade enforcement policies used to combat unfairly priced Chinese imports.  It is vital that these policies continue to prevent domestic producers from being driven out of business and workers from being laid off due to continued Chinese central planning and non-market policies.”","link","https://lipinski.house.gov/press-releases/lipinski-fights-change-to-chinas-economic-status-that-would-lead-to-american-job-losses/","lipinski.house.gov",19,2,2,2,0,0,0,0
"repdanlipinski","103286879730089_1334747779917320","Congressman Dan Lipinski","2017-01-12","2017-01-12 20:30:53","Congressman Dan Lipinski (IL-3) is praising the announcement that the United States Department of Transportation (USDOT) has taken an important step toward approving the use of federal Railroad Rehabilitation and Improvement Financing (RRIF) or Transportation Infrastructure Finance and Innovation Act (TIFIA) funds to help facilitate the revitalization of Union Station in Chicago.  Lipinski led the successful effort to include language in the FAST Act – the five-year transportation funding bill passed last Congress – that made Union Station eligible for these programs.    “Tens of thousands of Metra and Amtrak passengers utilize Union Station every weekday, many of them my constituents,” said Rep. Lipinski.  “The station is in need of revitalization when it comes to the rail infrastructure, environmental conditions, and amenities available to passengers.  That is why I worked hard to get language included in the FAST Act to make Union Station and other similar facilities eligible for federal assistance.  I am very happy that the USDOT has decided to take a critical step toward facilitating work that will transform Union Station into the 21st century transportation hub that people in our region deserve.”    Today’s announcement of an Emerging Projects Agreement on Union Station is a step toward the USDOT awarding a RRIF or TIFIA loan.  The agreement also enables the USDOT to provide planning assistance as the project moves ahead.","photo","https://www.facebook.com/repdanlipinski/photos/a.126075024117941.20635.103286879730089/1334747779917320/?type=3",NA,28,3,3,0,0,0,0,0
"repdanlipinski","103286879730089_1335634666495298","Congressman Dan Lipinski","2017-01-16","2017-01-16 13:30:44",NA,"photo","https://www.facebook.com/repdanlipinski/photos/a.126075024117941.20635.103286879730089/1335634666495298/?type=3",NA,35,11,3,4,0,0,0,0
"repdanlipinski","103286879730089_1335718696486895","Congressman Dan Lipinski","2017-01-13","2017-01-13 19:53:05","Congressman Dan Lipinski (IL-3) released the following statement ahead of today’s House vote on a budget resolution that is the first step in repealing Obamacare without a replacement:  “I voted against the Affordable Care Act (ACA) – also known as Obamacare – because I believed that, among other problems, it would not provide the help needed by many middle-class Americans who were struggling to afford good healthcare and it would drive our nation further into debt.  But as I noted at the time, the ACA did make some important improvements to health insurance access.  More people were given access to health insurance, individuals with pre-existing conditions were no longer charged more for coverage, and children could stay on their parents’ insurance until they were 26.   “It is important to remember that the House was forced to vote up or down on a bill written in the Senate, so the ACA never went through refinement that could have made it better.  But after the bill was passed, the two parties dug their trenches.  Republicans only sought to repeal the whole ACA while claiming to want to replace it.  To date, they have never offered a replacement.  Meanwhile, Democrats who supported the bill did not want to offer changes for fear they would be seen as admitting that the ACA wasn’t perfect.  But I’ve known all along that changes were needed to make the ACA work, so I sponsored, co-sponsored, and voted for fixes more than 40 times.  A few of these passed and became law, but most never did because Washington simply played politics with Americans’ healthcare.    “Now for the first time since 2010 one party has control of the White House, House, and Senate. Republicans are now ready to repeal large parts of Obamacare without proposing a comprehensive, detailed replacement.  I have said all along that I would consider supporting ‘repeal and replace,’ as long as the replacement is better.  I will not support a replacement that takes away access, hurts those with pre-existing conditions, is a give-away to insurers and providers, or makes the middle class worse off than they are now. And I certainly do not support ‘repeal and wait.’  I have voted against full repeal of the ACA a half-dozen times over the past six years and will do so again when the House votes today on the Republican Budget Resolution.  The resolution’s sole purpose is to make it possible for the Senate to avoid a filibuster as they work to pass a repeal of key segments of the ACA while there is still no replacement.  “After six and a half years of posturing and politics, Washington finally needs to get to work on a bipartisan plan to make sure that Americans have better access to quality, affordable healthcare.”","status",NA,NA,112,44,15,9,0,0,0,0
"repdanlipinski","103286879730089_1335800799812018","Congressman Dan Lipinski","2017-01-13","2017-01-13 22:07:36","Congressman Dan Lipinski (IL-3) released the following statement today after voting “present” on the bill to grant a waiver to General James Mattis so that he would be allowed to serve now as Secretary of Defense, instead of needing to wait seven years after retirement as is required under current law:   “This was a difficult vote because of the great respect I have for General Mattis, not only because of his service as a Marine General, but also because he has great potential as a Defense Secretary during these perilous times.  Before he testified yesterday in front of the Senate Armed Services Committee, he already had shown his ability to change President-elect Trump’s thinking on issues such as torture.  During the Senate hearing, I was impressed by General Mattis' comments regarding the great threat that Russia poses and the need to protect Poland and the Baltic nations, stand up to Iran, work with NATO and other alliances, and strengthen our defenses.    “However, the issue we were faced with in the House was whether to grant a waiver to General Mattis so he could serve as Secretary of Defense.  In order to hear General Mattis’ views on the importance of civilian control of the military and to assuage any concerns about waiving the seven year waiting period for him, he was scheduled to testify before the House Armed Services Committee yesterday.  Mattis agreed to testify, only to be undercut by the Trump transition team which told him not to testify.  This development is very troubling.  In recent history, Congress has failed to exercise its authority on too many occasions, thereby granting more power to the Executive Branch.  It is a bad sign that President-elect Trump’s transition team decided to cancel General Mattis’ testimony and that the House still went ahead with the vote on the waiver.  This is not a good way for Congress to begin with the new Administration.    “I believe General James Mattis has the potential to be a very good Secretary of Defense, but my ‘present’ vote on the waiver is intended to send a signal that Congress must stand up for its own authority, or else we will continue to cede more power to the Executive Branch.”","photo","https://www.facebook.com/repdanlipinski/photos/a.126075024117941.20635.103286879730089/1335800799812018/?type=3",NA,30,16,1,0,0,0,0,4
"repdanlipinski","103286879730089_1339444462780985","Congressman Dan Lipinski","2017-01-17","2017-01-17 20:12:41",NA,"link","http://www.chicagotribune.com/news/ct-trump-inaugural-no-shows-illinois-20170117-story.html","chicagotribune.com",86,97,16,14,0,0,4,4
"repdanlipinski","103286879730089_1340348096023955","Congressman Dan Lipinski","2017-01-18","2017-01-18 19:12:43","I was honored to speak at the ribbon cutting this morning for the new stand-alone office building for Lockport Township.  While many government agencies and organizations are having to cut back on the essential services they provide, Lockport Township’s new building will responsibly build on the opportunities available to area residents.","photo","https://www.facebook.com/repdanlipinski/photos/a.126075024117941.20635.103286879730089/1340346799357418/?type=3",NA,19,17,0,0,0,0,0,0
"repdanlipinski","103286879730089_1345128755545889","Congressman Dan Lipinski","2017-01-23","2017-01-23 14:56:45","The U.S. Department of Energy has recognized an important breakthrough in clean energy technology by awarding SimpleFuel with $1 million in the H2 Refuel H-Prize Competition.  The H-Prize was created by Congressman Dan Lipinski’s (IL-3) H-Prize Act, which was passed into law in 2007.  The purpose of the competition is to reduce America's dependence on foreign oil and protect the environment by inspiring researchers to capitalize on hydrogen's tremendous promise as a clean fuel source.      “I introduced the H-Prize Act and fought to get it enacted into law because we need to tap into America’s great entrepreneurial talent to develop clean alternative energy,” Rep. Lipinski said.  “The H-Prize is a win for the environment, the economy, and national security.”   SimpleFuel’s small-scale home refueler can provide a 1-kilogram fill to vehicles in 15 minutes using hydrogen produced via electrolysis.","photo","https://www.facebook.com/repdanlipinski/photos/a.126075024117941.20635.103286879730089/1345128755545889/?type=3",NA,27,5,0,0,0,0,0,0
"repdanlipinski","103286879730089_1345268825531882","Congressman Dan Lipinski","2017-01-23","2017-01-23 17:41:41","The TPP is dead!  Having spent years fighting strongly against the Trans-Pacific Partnership - a middle class-job-destroying trade agreement - I am happy that the U.S. is formally withdrawing from the agreement.  Thanks to the work of grassroots opponents, manufacturing workers, manufacturers, and those of us in Congress who stood up for American workers, the TPP was never approved by Congress.","status",NA,NA,97,28,9,13,1,0,1,0
