"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repdavereichert","91504302598_10154549777347599","Congressman Dave Reichert","2017-01-01","2017-01-01 03:04:29","My heart breaks for the family of 23 year old PA Trooper Landon Weaver who was senselessly killed yesterday in the line of duty. Sending my prayers to his loved ones and Pennsylvania state trooper colleagues as they mourn his loss this holiday season.","link","https://www.google.com/amp/myfox8.com/2016/12/31/pennsylvania-state-police-fatally-shoot-suspect-in-troopers-death/amp/","google.com",58,5,6,4,0,0,65,2
"repdavereichert","91504302598_10154557111212599","Congressman Dave Reichert","2017-01-03","2017-01-03 21:33:23","I was disturbed and disheartened to learn that only steps away from where the U.S. Capitol Police screen visitors to ensure our safety, hangs an offensive and incredibly distasteful painting of law enforcement officers depicted as pigs. Sadly, many people of influence have helped propagate false narratives about those who do the most to protect us. We cannot stand for this. With National Law Enforcement Appreciation Day less than one week away, we must focus on dispelling the myths surrounding law enforcement and work on rebuilding the police-community relationships that are so critical to civility in society and the safety of our families.","link","http://www.foxnews.com/politics/2016/12/30/painting-depicting-cops-as-animals-displayed-on-capitol-hill.html","foxnews.com",39,25,7,0,1,0,13,36
"repdavereichert","91504302598_10154559388607599","Congressman Dave Reichert","2017-01-04","2017-01-04 20:43:35","As always, it is an honor and a privilege to serve. Looking forward to implementing a strong agenda in the 115th Congress that will work to create a brighter future for all families across the country, protect our national security, and strengthen America’s economy.","link","http://reichert.house.gov/press-release/reichert-statement-start-115th-congress","reichert.house.gov",99,31,2,4,1,0,0,1
"repdavereichert","91504302598_10154561980887599","Congressman Dave Reichert","2017-01-05","2017-01-05 22:42:45","Please join me in calling on President Obama, President-elect Donald Trump, and our nation’s governors to honor law enforcement by lighting the White House, Trump buildings, and state capitals blue on National Law Enforcement Appreciation Day next Monday, January 9th. A small request for those who are willing to give their life on our behalf.","link","http://reichert.house.gov/press-release/reichert-calls-obama-trump-and-governors-light-white-house-and-buildings-blue","reichert.house.gov",258,22,140,23,1,1,0,0
"repdavereichert","91504302598_10154562451492599","Congressman Dave Reichert","2017-01-06","2017-01-06 03:15:07","Israel is one of our nation’s strongest allies and a shining example of democracy and ingenuity in a region riddled with violence and corruption. Today, I stood by our Israeli friends and supported a resolution condemning the Obama Administration’s failure to defend our ally at the UN last week.","status",NA,NA,162,39,9,11,1,1,1,5
"repdavereichert","91504302598_10154571570742599","Congressman Dave Reichert","2017-01-09","2017-01-09 16:57:39","On National Law Enforcement Appreciation Day, a day dedicated to recognizing law enforcement, we are once again reminded of the grave dangers and sacrifices of the job. This morning we learned Master Sgt. Debra Clayton was killed in a targeted attack in Orlando, Fl. Soon afterward, an Orange County Sheriff’s deputy was killed in a motorcycle crash while trying to pursue her attacker. My heart breaks for their families, the Orange County Sheriff’s, and the Orlando Police Department.   Please join me in sending them your prayers and take a few minutes to join me in thanking the men and women across the law enforcement community who have and continue to put their lives on the line to keep our families safe. #lawenforcementappreciationday","link","http://www.speaker.gov/general/guest-post-our-law-enforcement-thank-you","speaker.gov",42,6,19,8,0,0,4,0
"repdavereichert","91504302598_10154572368457599","Congressman Dave Reichert","2017-01-09","2017-01-09 23:19:45","I am a big James Brown fan and one of his songs from the 1960’s about America is especially relevant today. The lyrics go, “America is the greatest country in the world…Now black and white they may fight, but when the enemy comes we get together and run ‘em out of sight.”  As we have seen with the growing tensions between law enforcement and the communities they serve, the enemy is here and its name is Hate.  Today, in honor of National Law Enforcement Appreciation Day, I spoke on the House floor and advised we take James Brown’s advice: Let’s get together and run hate out of sight.","link","http://reichert.house.gov/press-release/reichert-recognizes-law-enforcement-appreciation-day-house-floor","reichert.house.gov",94,12,5,7,0,0,0,0
"repdavereichert","91504302598_10154577503252599","Congressman Dave Reichert","2017-01-11","2017-01-11 22:12:08","It was heartwarming to see the overwhelming support from my colleagues in Congress and people across the country, who displayed a blue light in their window, wore blue, or simply thanked a cop in honor of National Law Enforcement Appreciation Day this past Monday. Thank you to KOMO 4 News for covering some of my office’s efforts to encourage Members to participate and for recognizing the importance of honoring those who do the most to keep our families safe.","link","http://komonews.com/news/connect-to-congress/congress-to-observe-law-enforcement-officers-appreciation-day","komonews.com",57,5,1,4,0,0,0,0
"repdavereichert","91504302598_10154581666427599","Congressman Dave Reichert","2017-01-12","2017-01-12 22:18:56","Today, the Ways and Means Committee kicked off our first meeting of the 115th Congress. As a committee that has influence over issues that touch every American, including trade, tax policy, and healthcare, we have a tremendous opportunity to better the lives of families across the country. As a senior member of the Committee, Chairman of the Subcommittee on Trade, and the second most senior member of the Subcommittee on Tax Policy, I am ready to roll up my sleeves and implement a trade agenda that will expand opportunities for our workers, farmers, and businesses, reform our tax code to allow families to keep more of their hard-earned dollars, and offer healthcare solutions that give patients access to individualized and affordable care. I look forward to working with my colleagues on both sides of the aisle and my constituents across the 8th District on these priorities. Here’s to a busy year ahead!","photo","https://www.facebook.com/repdavereichert/photos/a.485060322598.271884.91504302598/10154581666427599/?type=3",NA,36,41,5,1,1,0,0,0
"repdavereichert","91504302598_10154583753982599","Congressman Dave Reichert","2017-01-13","2017-01-13 15:08:51","I was proud to join my colleagues this week in introducing legislation to permanently reauthorize the Land and Water Conservation Fund (LWCF). The LWCF has played a pivotal role in preserving America’s national treasures for future generations. In Washington alone, it has helped to conserve the natural beauty of the Pacific Crest Trail, Mt. Rainier National Park, Alpine Lakes Wilderness Area, and the Columbia River Gorge. These are places that attract visitors from across the country, and even from other parts of the globe. Over the years, I have personally enjoyed visiting these scenic areas as a boy, as a father with my children, and now as a grandfather with my grandchildren. I will continue to fight to protect these lands and programs like LWCF that support them.","photo","https://www.facebook.com/repdavereichert/photos/a.485060322598.271884.91504302598/10154583753982599/?type=3",NA,58,19,19,3,0,0,0,0
