"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repdonbeyer","1556349414611517_1848882905358165","Congressman Don Beyer","2017-01-01","2017-01-01 14:00:00","Happy New Year!","status",NA,NA,130,13,0,3,0,0,0,0
"repdonbeyer","1556349414611517_1851860788393710","Congressman Don Beyer","2017-01-04","2017-01-04 12:30:00","Over 20 million more Americans are covered, and our healthcare system - though still flawed - has seen vast improvement under the Affordable Care Act. Fighting to defend that progress will be one of our most important tasks.","link","http://www.nytimes.com/2017/01/02/us/politics/obama-health-care-affordable-care-act.html","nytimes.com",154,17,12,7,0,1,0,0
"repdonbeyer","1556349414611517_1852244458355343","Congressman Don Beyer","2017-01-04","2017-01-04 20:30:02","I won't vote for GOP proposals that #MakeAmericaSickAgain. House Democrats have different priorities.","photo","https://www.facebook.com/RepDonBeyer/photos/a.1557174984528960.1073741828.1556349414611517/1852244458355343/?type=3",NA,336,29,74,18,15,3,8,28
"repdonbeyer","1556349414611517_1852650318314757","Congressman Don Beyer","2017-01-05","2017-01-05 18:44:05","I stood with women across the country as House Democratic Leader Nancy Pelosi held a press conference with leaders of Planned Parenthood Action and NARAL Pro-Choice America to send the message that House Democrats will fight to protect women's health. The ACA works for women, and we won't go back to the days of discriminatory coverage.","photo","https://www.facebook.com/RepDonBeyer/photos/a.1557174984528960.1073741828.1556349414611517/1852650318314757/?type=3",NA,358,36,6,37,0,0,0,0
"repdonbeyer","1556349414611517_1853138214932634","Congressman Don Beyer","2017-01-06","2017-01-06 19:17:07","The cost to Virginia of repealing the #AffordableCareAct would include tens of thousands of jobs and billions of dollars lost. I will fight any attempt to inflict such massive damage on our communities: http://beyer.house.gov/news/documentsingle.aspx?DocumentID=476","photo","https://www.facebook.com/RepDonBeyer/photos/a.1557174984528960.1073741828.1556349414611517/1853138214932634/?type=3",NA,290,64,88,7,2,2,24,33
"repdonbeyer","1556349414611517_1853162678263521","Congressman Don Beyer","2017-01-06","2017-01-06 20:53:54","Thank you President Obama for protecting marine life, including the critically endangered North Atlantic right whale, from seismic blasting. I had previously introduced bipartisan legislation to take this important step.","link","http://beyer.house.gov/news/documentsingle.aspx?DocumentID=477","beyer.house.gov",206,7,6,18,0,0,0,0
"repdonbeyer","1556349414611517_1853189451594177","Congressman Don Beyer","2017-01-08","2017-01-08 16:30:03","To the surprise of very few people. We need a bipartisan commission to get to the bottom of exactly what happened in this election, and to make recommendations so we can prevent it from ever happening again.","link","https://www.washingtonpost.com/world/national-security/us-intercepts-capture-senior-russian-officials-celebrating-trump-win/2017/01/05/d7099406-d355-11e6-9cb0-54ab630851e8_story.html?utm_term=.625cffd81ac4","washingtonpost.com",81,11,19,4,0,0,1,23
"repdonbeyer","1556349414611517_1853193208260468","Congressman Don Beyer","2017-01-07","2017-01-07 21:30:00","In this week's Just the Facts on climate change, a look back at stories we talked about last year, and a look ahead at innovative outlets that cover climate, including The Huffington Post, Climate Progress, Phil Plait's Bad Astronomer, VICE, and BuzzFeed.","link","https://beyer.house.gov/news/email/show.aspx?ID=3FEFQAWSPXXE6","beyer.house.gov",44,4,2,1,0,0,0,0
"repdonbeyer","1556349414611517_1854470284799427","Congressman Don Beyer","2017-01-09","2017-01-09 18:26:38","With Alexandria Fire Department firefighters delivering Meals on Wheels to Alexandria seniors this morning. It is vital that we continue to look out for the most vulnerable among us, and I will continue to be a voice in Congress for our social services. Each of us is our brother's keeper.","photo","https://www.facebook.com/RepDonBeyer/photos/a.1557174984528960.1073741828.1556349414611517/1854470284799427/?type=3",NA,357,19,8,31,0,0,0,0
"repdonbeyer","1556349414611517_1855052481407874","Congressman Don Beyer","2017-01-10","2017-01-10 22:23:05","An Arlington constituent wrote me recently, she was deeply upset about vandalism (swastikas, ""KKK,"" ""heil Trump,"") near her house on Saturday night. I will be reintroducing my bill the No Hate Act this Congress (which was supported by Southern Poverty Law Center) to improve tracking of such incidents, but, for now, an unexpected twist in that story:","link","https://www.arlnow.com/2017/01/09/neighbors-turn-hate-graffiti-into-hearts-and-peace-signs/","arlnow.com",278,18,21,22,0,0,7,2
"repdonbeyer","1556349414611517_1855061771406945","Congressman Don Beyer","2017-01-11","2017-01-11 02:25:01","Truly a transformational President. #ThanksObama","link","http://washingtonmonthly.com/magazine/marchapril-2012/obamas-top-50-accomplishments/","ashingtonmonthly.com",398,8,42,80,2,0,1,0
"repdonbeyer","1556349414611517_1855397004706755","Congressman Don Beyer","2017-01-11","2017-01-11 15:33:27","Hundreds of you have written me in the last week urging a strong defense of the Affordable Care Act. Many of you have shared stories, and I went to the House Floor to read one of those letters. This is how the #ACAWorks for one Alexandria family:","video","https://www.facebook.com/RepDonBeyer/videos/1855397004706755/",NA,431,33,27,49,0,0,0,0
"repdonbeyer","1556349414611517_1855424541370668","Congressman Don Beyer","2017-01-11","2017-01-11 16:52:04","Trump just said ""only reporters"" care about his tax returns. I care. The first two bills I backed this Congress were Congressman David Cicilline and Congresswoman Anna Eshoo's bills to require the current President and future major party presidential candidates to release their taxes. Who else thinks we should get to see his taxes?","link","https://www.bloomberg.com/view/articles/2017-01-11/trump-should-resolve-financial-conflicts-and-release-his-taxes","bloomberg.com",1828,377,112,55,1,2,2,58
"repdonbeyer","1556349414611517_1855555374690918","Congressman Don Beyer","2017-01-11","2017-01-11 21:45:42","According to OMB, the cost of repealing ACA to US taxpayers is massive. The GOP budget would add trillions to the deficit, and much of that cost comes from ACA repeal, which would give big tax cuts to the wealthy while causing premiums to rise for many in the middle class.","photo","https://www.facebook.com/RepDonBeyer/photos/a.1557174984528960.1073741828.1556349414611517/1855555374690918/?type=3",NA,60,16,41,0,0,18,2,57
"repdonbeyer","1556349414611517_1856038461309276","Congressman Don Beyer","2017-01-12","2017-01-12 15:07:40","#TBT to the hearing in September when I pointed out the hypocrisy of the House GOP's refusal to investigate an illegal Trump Foundation donation to Florida Attorney General Pam Bondi. Bondi is now reportedly being given a new position in the Trump White House.","video","https://www.facebook.com/RepDonBeyer/videos/1856038461309276/",NA,176,26,21,1,1,13,4,97
