"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repgosar","104329699641957_1347198502021731","Rep. Paul Gosar","2017-01-02","2017-01-02 19:30:46","As a fellow medical professional, I'm confident that Rep. Tom Price has the experience and talents to be an outstanding Department of Health & Human Services Secretary. He has demonstrated strong leadership skills and knowledge of healthcare policy as the Republican Study Committee chairman and will do the same at HHS.","link","http://www.washingtontimes.com/news/2016/dec/13/tom-price-is-right/","washingtontimes.com",81,17,6,3,0,0,2,2
"repgosar","104329699641957_1347933948614853","Rep. Paul Gosar","2017-01-03","2017-01-03 15:58:24","My first read of the day from National Review: Reversing Obama’s Last-Minute Land Grab  ""The GOP plans to restore control of more than a million acres to the people of Utah and Nevada.""","link","http://www.nationalreview.com/article/443462/trump-gop-aim-reverse-obamas-land-grab-utah-nevada-million-acres","nationalreview.com",209,31,47,13,0,1,4,5
"repgosar","104329699641957_1348359811905600","Rep. Paul Gosar","2017-01-03","2017-01-03 23:45:49","I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.","video","https://www.facebook.com/repgosar/videos/1348359811905600/",NA,250,36,23,18,0,0,0,1
"repgosar","104329699641957_1349008795174035","Rep. Paul Gosar","2017-01-04","2017-01-04 16:01:18","My first read of the day, from The Washington Times:  Sanctuary Cities Free More than 2,000 Illegals   ""...279 municipalities are still holding out, refusing to cooperate with federal authorities on at least some cases involving illegal immigrants, Homeland Security officials said as they detailed year-end enforcement numbers last week. Those sanctuary communities released more than 2,000 illegal immigrants back onto the streets rather than turn them over to federal authorities in fiscal year 2016, and were on pace for even more in the first two months of fiscal year 2017.""","link","http://www.washingtontimes.com/news/2017/jan/1/sanctuary-cities-free-more-than-2000-illegal-immig/","washingtontimes.com",34,14,24,0,0,0,4,34
"repgosar","104329699641957_1349320178476230","Rep. Paul Gosar","2017-01-04","2017-01-04 23:13:29","It's only day 2 of the new Congress and we are already hitting the ground running. I was proud to join my Republican Study Committee colleagues today in introducing our plan to repeal and replace Obamacare. Our bill, the American Health Care Reform Act, will fully repeal Obamacare, increase access to affordable, portable health insurance and increase competition between insurers. Instead of more government control, we believe in more patient control. Click the link below to learn more about our plan released today.","link","http://rsc.walker.house.gov/files/Initiatives/AHCRA%20-%20Two%20Pager%20115th%20Congress.pdf","rsc.walker.house.gov",214,34,56,27,1,3,0,1
"repgosar","104329699641957_1349959511745630","Rep. Paul Gosar","2017-01-05","2017-01-05 15:44:55","My first read of the day, from the Helena Independent Record: House Votes to Make it Easier to Give Fed Lands to States  “Allowing communities to actually manage and use these lands will generate not only state and local income tax, but also federal income tax revenues, as well as reduce the need for other taxpayer-funded federal support, either through Payments in Lieu of Taxes or other programs like Secure Rural Schools...Unfortunately, current budget practices do not fully recognize these benefits, making it very difficult for non-controversial land transfers between governmental entities for public use and other reasons to happen.""","link","http://helenair.com/news/natural-resources/u-s-house-vote-draws-ire-of-federal-land-transfer/article_e6af3fea-bba9-58f7-ae37-447538f57a53.html","helenair.com",133,21,39,5,0,3,1,5
"repgosar","104329699641957_1350316585043256","Rep. Paul Gosar","2017-01-05","2017-01-05 23:55:48","Tonight, Republicans and Democrats in the House of Representatives are sending a clear signal to the entire world that America stands with Israel. In just 15 days, we will have a new president who will join Congress in reversing President Obama's shameful legacy of abandoning one of our closest friends and allies. Tonight's House vote should put the entire UN Security Council on notice: In the Trump Administration...America will ALWAYS stand with Israel. LIKE and SHARE if you agree.","photo","https://www.facebook.com/repgosar/photos/a.112866018788325.18743.104329699641957/1350316585043256/?type=3",NA,146,13,27,14,0,0,0,0
"repgosar","104329699641957_1351000718308176","Rep. Paul Gosar","2017-01-06","2017-01-06 15:50:46","My first read of the day, from Arizona's Katie Pavlich: Oversight Chairman Reissues Fast and Furious Subpoena to Loretta Lynch  ""Oversight Committee Chairman Jason Chaffetz has reissued a subpoena to Attorney General Loretta Lynch regarding the Obama Justice Department's deadly Fast and Furious scandal. The subpoena, originally issued to former Attorney General Eric Holder and ignored, seeks documents and information surrounding the December 2010 murder of Border Patrol Agent Brian Terry. Terry was murdered by Mexican bandits in Arizona's Rico Valley. Guns from Operation Fast and Furious were left at the scene.""","link","http://townhall.com/tipsheet/katiepavlich/2017/01/05/oversight-chairman-reissues-fast-and-furious-subpoena-to-loretta-lynh-n2267514","townhall.com",154,17,56,15,0,1,2,0
"repgosar","104329699641957_1353983484676566","Rep. Paul Gosar","2017-01-09","2017-01-09 15:44:41","My first read of the day, from National Review: The Hunt for Waste, Fraud, and Abuse Should Start in the Executive Branch  ""Watchdog groups such as Open the Books have also uncovered waste. For example, Open the Books found that the Environmental Protection Agency under both President George W. Bush and President Obama (the study covered the years 2000 to 2014) spent over $15.1 million on outside public-relations consultants, despite having nearly 200 public-affairs employees in-house. Between 2007 and 2014, the EPA spent $141.496 million on salaries for its dedicated public-affairs officers. It surely didn’t need to spend millions more on hired guns to do the same job.""","link","http://www.nationalreview.com/article/443517/donald-trump-executive-branch-waste-spending-cuts","nationalreview.com",101,22,22,3,1,3,0,11
"repgosar","104329699641957_1354290517979196","Rep. Paul Gosar","2017-01-09","2017-01-09 22:25:57","Do you ever get frustrated trying to explain western land management issues to your East Coast friends? It's probably because the vast majority of federal land is located in the West. Our Eastern neighbors typically don't feel the consequences of President Obama's harmful land grabs. When you compare the total amount of acres unilaterally designated as National Monuments by each president, the results are shocking. The graphic below clearly demonstrates that Obama has blatantly abused his executive authority in order to keep as much land and water as possible in federal control...and Western states are the ones who suffer most. Make no mistake, Obama's primary concern here is trying to ban mining, grazing, timber harvesting, OHV use, and energy development throughout states like Arizona. That all changes in 11 days...","photo","https://www.facebook.com/repgosar/photos/a.112866018788325.18743.104329699641957/1354290517979196/?type=3",NA,131,55,754,2,0,13,4,82
