"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repgregwalden","313301365382225_1267517389960613","Greg Walden","2017-01-03","2017-01-03 23:08:27","I’m excited to kick off the new session of Congress today and get to work as Chairman of the Energy and Commerce Committee. We will address the real issues holding back job growth and wage growth in America, reform the way our health care is delivered, and take on excessive and unnecessary rules and regulations. This is a new chapter in American history, and I look forward to a lot of work getting done this year for Oregonians and all Americans.","video","https://www.facebook.com/repgregwalden/videos/1267517389960613/",NA,150,72,9,4,0,0,0,1
"repgregwalden","313301365382225_1268310373214648","Greg Walden","2017-01-04","2017-01-04 22:57:27","I’m proud to report that the Midnight Rules Relief Act passed the House today. All too often, we see last-minute, burdensome and unnecessary regulations implemented in the final days of a presidential administration on their way out the door. This legislation will block these “midnight rules”, and help protect hardworking Oregonians from even more onerous regulations that haven’t been properly vetted.","photo","https://www.facebook.com/repgregwalden/photos/a.344279145617780.77317.313301365382225/1268310373214648/?type=3",NA,158,58,19,11,3,1,2,14
"repgregwalden","313301365382225_1269815259730826","Greg Walden","2017-01-06","2017-01-06 19:35:02","GOOD NEWS: Just one week into the new session of Congress, we took swift action in the House to rein in costly, burdensome, and overreaching federal regulations. On Wednesday, we passed legislation to make sure departing presidents of either party can’t hand down unnecessary, midnight rules on their way out the door. And yesterday, we passed the REINS Act that requires major regulations be approved by Congress, not just implemented by unelected bureaucrats in D.C. These plans will rein in out of control regulators like the EPA, and help grow the economy and protect small businesses in Oregon.","video","https://www.facebook.com/repgregwalden/videos/1269815259730826/",NA,235,101,25,16,1,0,4,34
"repgregwalden","313301365382225_1273690846009934","Greg Walden","2017-01-11","2017-01-11 20:11:45","Good news: the House unanimously passed legislation I introduced to reduce government red tape holding back small businesses across the country. The Small Business Broadband Deployment Act lifts unnecessary regulatory burdens on small internet service providers – who so often serve customers in rural areas like Eastern Oregon. This bill allows these small businesses to focus on the core mission of serving their customers, not complying with onerous reporting requirements. Read more about this legislation here: https://energycommerce.house.gov/news-center/press-releases/house-advances-two-energy-and-commerce-committee-bills","video","https://www.facebook.com/repgregwalden/videos/1273690846009934/",NA,197,31,9,12,0,0,1,2
"repgregwalden","313301365382225_1275367979175554","Greg Walden","2017-01-13","2017-01-13 16:36:51","With this designation, the outgoing administration is locking up more of our public lands through a process that cut out many in the surrounding communities. It appears like it was rigged from the beginning. I’ve heard from landowners and county commissioners who were not even consulted in the crafting of the proposal. The Clinton Administration similarly rushed to declare the original Cascade-Siskiyou National Monument at the last minute without the necessary work upfront. As a result, I had to come back and legislate a solution around Soda Mountain. It is unfortunate that the current administration has followed the same failed pattern. I will work with the Trump Administration to do what we can to roll back this midnight expansion.","link","http://www.capitalpress.com/Oregon/20170112/obama-expands-cascade-siskiyou-national-monument","capitalpress.com",222,105,148,4,2,16,7,74
"repgregwalden","313301365382225_1276558075723211","Greg Walden","2017-01-14","2017-01-14 23:30:12","Beautiful winter's day on the way from Medford to Klamath Falls!","photo","https://www.facebook.com/repgregwalden/photos/a.344279145617780.77317.313301365382225/1276558075723211/?type=3",NA,220,21,19,7,0,3,1,0
"repgregwalden","313301365382225_1277218685657150","Greg Walden","2017-01-15","2017-01-15 17:10:21","‪Great to meet with this inspiring group of Southern Oregon students and young leaders nominated to our nation's service academies.","photo","https://www.facebook.com/repgregwalden/photos/a.344279145617780.77317.313301365382225/1277218685657150/?type=3",NA,103,13,3,2,0,0,0,0
"repgregwalden","313301365382225_1277388025640216","Greg Walden","2017-01-15","2017-01-15 21:48:39","Great town hall meeting in Lakeview today.","photo","https://www.facebook.com/repgregwalden/photos/a.344279145617780.77317.313301365382225/1277388025640216/?type=3",NA,68,27,4,1,0,0,0,2
"repgregwalden","313301365382225_1277389985640020","Greg Walden","2017-01-15","2017-01-15 21:54:00",NA,"video","https://www.facebook.com/repgregwalden/videos/1277389985640020/",NA,83,44,7,2,0,0,1,4
"repgregwalden","313301365382225_1278296608882691","Greg Walden","2017-01-17","2017-01-17 00:30:35","View of Mt. Jefferson on the way from Prineville to meeting in Madras.","photo","https://www.facebook.com/repgregwalden/photos/a.344279145617780.77317.313301365382225/1278296608882691/?type=3",NA,189,27,7,8,0,1,0,0
