"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repkenbuck","1036040879754716_117079592265887","Congressman Ken Buck","2017-07-25","2017-07-25 13:33:07","Join Congressman Ken Buck for a town hall in Burlington! If you have questions or comments for the Congressman this is a great chance to engage with him directly. The event will be held in the Carousel Park.","event","https://www.facebook.com/events/117079592265887/",NA,27,13,0,0,0,0,1,0
"repkenbuck","1036040879754716_1705786539446810","Congressman Ken Buck","2017-01-03","2017-01-03 20:58:36","Yesterday, I voted against the proposed changes to the Office of Congressional Ethics. For more information on what's going on in Washington, don't hesitate to call my office at (202)-225-4676.","link","http://www.denverpost.com/2017/01/03/colorado-republicans-objected-gutting-congressional-ethics-office/","denverpost.com",178,29,9,3,0,0,0,1
"repkenbuck","1036040879754716_1707561152602682","Congressman Ken Buck","2017-01-04","2017-01-04 16:10:31","The House Rules Committee is holding its first meeting of the 115th Congress today. I'm honored to be a part of this important committee as we fight for America's future.  Watch the meeting live here: https://rules.house.gov/video/organizational-meeting-115th-congress-hr-26-hres-11","photo","https://www.facebook.com/repkenbuck/photos/a.1057821127576691.1073741828.1036040879754716/1707561152602682/?type=3",NA,50,9,2,0,0,0,0,0
"repkenbuck","1036040879754716_1708152235876907","Congressman Ken Buck","2017-01-04","2017-01-04 23:16:03","Talking about the future of our country right now on 710 KNUS with Steve and Krista.","photo","https://www.facebook.com/repkenbuck/photos/a.1057821127576691.1073741828.1036040879754716/1708152235876907/?type=3",NA,46,13,3,0,1,0,0,0
"repkenbuck","1036040879754716_1708300245862106","Congressman Ken Buck","2017-01-05","2017-01-05 00:40:48","With his term coming to a close, President Obama has been issuing dozens of new administrative rules that mean more red tape for citizens and small businesses. That's why the House passed the Midnight Rules Relief Act today, a bill that enables us to roll back several of his last minute regulations at once.","link","http://www.wsj.com/articles/midnight-rules-need-morning-repeal-1483574498","wsj.com",202,45,31,10,4,3,0,14
"repkenbuck","1036040879754716_1709356432423154","Congressman Ken Buck","2017-01-05","2017-01-05 13:54:40","With just about two weeks left in President Obama's presidency, I wrote an op-ed urging him not to place bureaucrats in control of millions of acres of America's heartland.   What are your thoughts?","link","http://www.washingtonexaminer.com/obama-must-keep-his-hands-off-western-lands-in-his-final-days/article/2610924#","washingtonexaminer.com",152,47,19,4,0,1,0,3
"repkenbuck","1036040879754716_1710078649017599","Congressman Ken Buck","2017-01-06","2017-01-06 00:49:00","If the federal government is going to implement a regulation that costs America millions of dollars, then the people's representatives in Congress should have a say. That's why I voted for the REINS Act tonight. This bill allows Congress to weigh in on any new executive branch rule that costs the economy more than $100 million annually. #REINSAct","link","http://dailysignal.com/2017/01/04/reins-act-will-make-government-agencies-accountable-to-the-people/","dailysignal.com",67,27,3,2,0,0,0,6
"repkenbuck","1036040879754716_1711431618882302","Congressman Ken Buck","2017-01-06","2017-01-06 15:23:31","I voted yesterday for a resolution that rebukes the United Nation’s unwarranted condemnation of Israel. While I strongly believe Congress did the right thing by standing up for our strongest Middle East ally, I am opposed to the language that recognizes a two-state solution. Only the countries directly affected by the agreement should dictate the terms of peace. The United States, United Nations, and other world powers should not interfere.","status",NA,NA,161,22,8,8,0,0,0,0
"repkenbuck","1036040879754716_1712021098823354","Congressman Ken Buck","2017-01-06","2017-01-06 21:35:58","Monday is Law Enforcement Appreciation Day, our chance to honor the men and women who serve in uniform every day.   Today, I sent a letter to Governor Hickenlooper asking him to illuminate the State Capitol in blue light on Monday night to honor Colorado law enforcement.","photo","https://www.facebook.com/repkenbuck/photos/a.1057821127576691.1073741828.1036040879754716/1712021098823354/?type=3",NA,66,2,6,8,0,0,0,0
"repkenbuck","1036040879754716_1717650091593788","Congressman Ken Buck","2017-01-09","2017-01-09 22:46:29","It's National Law Enforcement Appreciation Day. I have candles in my office windowsill tonight to send a message to our Law Enforcement: ""We stand with you. We will always stand with you."" #SupportBlue","photo","https://www.facebook.com/repkenbuck/photos/a.1057821127576691.1073741828.1036040879754716/1717650091593788/?type=3",NA,57,0,2,3,0,0,0,0
"repkenbuck","1036040879754716_1719950864697044","Congressman Ken Buck","2017-01-10","2017-01-10 16:25:00","The Iran Deal has always been a mess, but now Iran is actually being rewarded for breaking the terms of the agreement!  https://www.washingtonpost.com/blogs/right-turn/wp/2017/01/10/one-final-iran-blunder-by-obama/?utm_term=.f2f06657cfc1","link","https://www.washingtonpost.com/blogs/right-turn/wp/2017/01/10/one-final-iran-blunder-by-obama/?utm_term=.f2f06657cfc1","washingtonpost.com",20,14,6,0,0,1,0,18
"repkenbuck","1036040879754716_1723318611026936","Congressman Ken Buck","2017-01-11","2017-01-11 17:14:57","Yesterday, I joined 343 of my colleagues in the House to pass legislation making it easier for angel investors to fund startups.","photo","https://www.facebook.com/repkenbuck/photos/a.1057821127576691.1073741828.1036040879754716/1723318611026936/?type=3",NA,17,4,1,0,0,0,0,0
