"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"replahood","1499570210366431_10155346208053891","Rep. Darin LaHood","2017-09-25","2017-09-25 22:38:28","There's nothing good about a ""vintage"" tax code. It's time for real reforms that simplify our tax code and help hard-working taxpayers.","video","https://www.facebook.com/replahood/videos/10155346208053891/",NA,39,30,5,0,4,0,0,6
"replahood","1499570210366431_10155350849973891","Rep. Darin LaHood","2017-09-28","2017-09-28 20:44:05","Our framework for tax reform will help the middle-class keep more of their hard-earned paychecks. You can read about our proposal here: https://goo.gl/uhwKKv","video","https://www.facebook.com/replahood/videos/10155350849973891/",NA,41,66,3,1,12,2,0,18
"replahood","1499570210366431_1773792432944206","Rep. Darin LaHood","2017-01-01","2017-01-01 06:01:00","Happy New Year! 2017 is officially upon us! Here's wishing you peace and happiness in through this upcoming year!  With a blank slate for 2017, what New Year's resolution have you set in place for yourself?","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1773792432944206/?type=3",NA,39,7,0,0,0,0,0,0
"replahood","1499570210366431_1781271908862925","Rep. Darin LaHood","2017-01-03","2017-01-03 18:45:00","Happening NOW → Today is a big day! It's Opening Day of the 115th Congress. If you are interested in tuning in to watch LIVE as members of Congress are sworn in, click below.","link","https://www.c-span.org/video/?420804-1%2Fus-house-meets-elect-speaker-swear-members","c-span.org",26,6,0,1,0,0,0,0
"replahood","1499570210366431_1781297752193674","Rep. Darin LaHood","2017-01-03","2017-01-03 17:41:21","Today marks the start of a new Congress and I have moved into a new Capitol Office. If you're from #IL18, swing by room 1424 in Longworth House Office Building to say hi!","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1781297752193674/?type=3",NA,128,9,4,0,0,0,0,0
"replahood","1499570210366431_1781358722187577","Rep. Darin LaHood","2017-01-03","2017-01-03 20:01:11","I am humbled and honored by the responsibility of representing the 18th District of Illinois and being your voice in Congress. The 115th Congress holds a historic opportunity for us to chart the direction of this great nation, and I take that seriously.  It’s time to reform our tax code, our broken health care system, our burdensome regulatory system, and our out of control federal spending. We must strengthen our economy, improve our infrastructure, facilitate good job creation, and bolster our national security. I will work with President-elect Trump to advance these priorities. Above all, I will champion Midwestern values: those who work hard and play by the rules should be able to achieve the American dream.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1781358722187577/?type=3",NA,87,21,2,2,0,0,0,0
"replahood","1499570210366431_1781362875520495","Rep. Darin LaHood","2017-01-04","2017-01-04 02:00:00","I was humbled and honored to be sworn in today to represent #IL18 in the 115th Congress. It's time to get to work.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1781362875520495/?type=3",NA,115,8,3,2,0,0,0,0
"replahood","1499570210366431_1782018668788249","Rep. Darin LaHood","2017-01-04","2017-01-04 15:54:06","I'll be joining my colleagues tomorrow to read the entirety of the Constitution on the House Floor, beginning at 11am CST. We will kick off the 115th Congress uniting behind our revered founding document. Tune in to watch LIVE!","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1782018668788249/?type=3",NA,20,2,4,3,0,0,0,0
"replahood","1499570210366431_1782048062118643","Rep. Darin LaHood","2017-01-04","2017-01-04 17:02:00","On Monday I voted in conference against proposed changes to the House Office of Congressional Ethics (OCE) and I am very pleased that my colleagues were responsive and removed this amendment from the rules package yesterday. Changing the oversight of the OCE is not in line with the mandate from the American voters: they want transparent, accountable, and ethical representation. The message that rang clear from the November election results was to ‘drain the swamp.’ We should not weaken the House committee designed to hold members of Congress to the highest ethical standards.","status",NA,NA,146,29,7,4,0,0,0,0
"replahood","1499570210366431_1782199578770158","Rep. Darin LaHood","2017-01-04","2017-01-04 22:39:11","I take pride in representing a district that has such rich ties to some of our nation's most prominent leaders. Today, I want to recognize what would have been the 121st birthday of a central Illinois native and former Senate Minority Leader who was instrumental in the passage of the Civil Rights Act of 1964--Mr. Everett McKinley Dirksen.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1782199578770158/?type=3",NA,28,6,0,0,0,0,0,0
"replahood","1499570210366431_1782640608726055","Rep. Darin LaHood","2017-01-05","2017-01-05 16:12:30","It was an honor to join my colleagues in beginning the 115th Congress by reading the Constitution on the House Floor this morning. I had the privilege of reading the 8th and 9th Amendment.   Amendment VIII: Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted. Amendment IX: The enumeration in the Constitution of certain rights shall not be construed to deny or disparage others retained by the people.","video","https://www.facebook.com/replahood/videos/1782640608726055/",NA,44,11,4,0,0,0,0,0
"replahood","1499570210366431_1782784902044959","Rep. Darin LaHood","2017-01-06","2017-01-06 02:12:00","This week the House passed two bills targeted at preventing burdensome regulations that shackle economic growth and prevent job creation:   • The Midnight Rules Relief Act of 2017 allows Congress to use one of its tools – the Congressional Review Act —to disapprove of multiple regulations at once. Having a rapid-response method will help Congress combat regulations passed in lame duck sessions. • Regulations from the Executive in Need of Scrutiny (REINS) Act of 2017 amends the Congressional Review Act to require congressional approval of major agency regulations before those regulations can go into effect.  Only Congress has the power to create laws, not unelected bureaucrats. Regulations with the force of law should happen in a transparent process with Congressional oversight.","link","http://www.reuters.com/article/us-usa-congress-regulations-idUSKBN14O29X?feedType=RSS&feedName=topNews&utm_source=twitter&utm_medium=Social","reuters.com",56,23,9,4,0,0,0,8
"replahood","1499570210366431_1783252938664822","Rep. Darin LaHood","2017-01-06","2017-01-06 18:36:15","President Obama met with Democrats on Capitol Hill this week to try to drum up support for the Affordable Care Act. I spoke with KHQA about my thoughts on Obamacare, as well as the House Office of Congressional Ethics, what I hope to hear from President-elect Trump during in Inauguration speech, and #IL18 priorities in the 115th Congress.","link","http://khqa.com/news/connect-to-congress/connect-to-congress-darin-lahood-1417","khqa.com",15,23,3,0,0,0,0,1
"replahood","1499570210366431_1785069718483144","Rep. Darin LaHood","2017-01-09","2017-01-09 23:23:16","Today is #LawEnforcementAppreciationDay, a day our nation thanks the 900,000 officers who put on a badge and risk their lives to protect our communities nationwide. These men and women are the hidden heroes of our country, and they deserve our respect and gratitude. When they button up their blue uniform and kiss their family goodbye each morning, they have no certainty that they will return home safely. Yet, they willingly face that risk and put themselves in danger to keep our communities safe.   This year, 135 law enforcement officers never made it back home. 2016 marked the highest number of line-of-duty deaths in five years. Tragically, four of those selfless and courageous individuals were residents of Illinois. We are still grieving the loss of our own Police Officer Scot Fitzgerald of South Jacksonville Police Department.  Thank you to Chicago Patrolmen's Federal Credit Union for capturing this moving image of fallen Officer Scot Fitzgerald’s funeral in March. #bluelivesmatter","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1785069718483144/?type=3",NA,82,4,9,2,0,0,0,0
"replahood","1499570210366431_1785544605102322","Rep. Darin LaHood","2017-01-10","2017-01-10 18:08:35","Today I spoke on the House Floor to commemorate #LawEnforcementAppreciationDay in admiration and appreciation of the 900,000 sworn law enforcement officers who serve the United States, and in remembrance of the 135 law enforcement officers who made the ultimate sacrifice this past year. Among them was our own fallen Officer Scot Fitzgerald who lost his life serving on duty with South Jacksonville Police Department, located in my district. We are deeply grateful for your sacrifice and courage—not just one day a year but throughout the year. #backtheblue #ThankACop #taketheLEAD2017","video","https://www.facebook.com/replahood/videos/1785544605102322/",NA,70,7,9,0,0,0,0,0
"replahood","1499570210366431_1786113935045389","Rep. Darin LaHood","2017-01-11","2017-01-11 18:42:12","I am delighted that the President signed my bill to modernize and improve federal research and development initiatives. This bill will directly benefit Central and West-Central Illinois. The NITRD Program supports computing and technology at Western Illinois University  and University of Illinois at Urbana-Champaign, home of the Blue Waters Supercomputer, which has a standing partnership with Caterpillar Inc.. Ultimately, this will strengthen our national security and global competitiveness.","link","http://www.mcdonoughvoice.com/news/20170111/obama-signs-lahood-technology-bill","mcdonoughvoice.com",129,15,8,0,0,0,0,0
"replahood","1499570210366431_1786193575037425","Rep. Darin LaHood","2017-01-16","2017-01-16 14:00:00","Martin Luther King, Jr.'s dream, his principles, and his voice are all just as necessary now as they were during his lifetime. #MLKDay","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1786193575037425/?type=3",NA,30,8,1,0,0,0,0,0
"replahood","1499570210366431_1786779841645465","Rep. Darin LaHood","2017-01-12","2017-01-12 20:05:20","Today, I was pleased to welcome my friend and fellow Spalding High School classmate, Colonel Glenn Kiesewetter, to my D.C office. Colonel Kiesewetter attended and graduated from West Point and has a tremendous career in the U.S. Army. Our Peoria community and our country are both very proud of Glenn’s service and his accomplishments.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1786779841645465/?type=3",NA,160,7,8,5,0,0,0,0
"replahood","1499570210366431_1787394028250713","Rep. Darin LaHood","2017-01-13","2017-01-13 19:42:00","Today, the House is voting on the first step towards repealing and replacing Obamacare. It is undeniable that Obamacare has failed. Constituents across the nation and in Illinois are watching their premiums and deductibles skyrocket. We have a mandate from the American people to fix this broken system and to rescue citizens from escalating healthcare costs. We are not pulling the rug out from underneath anyone. In fact, we are working on a stable transition to a market-driven, consumer-centered health care system that provides Americans with more choices, lower costs, and greater flexibility. Passing this legislation moves us closer to fulfilling our promise to America.","video","https://www.facebook.com/replahood/videos/1787394028250713/",NA,223,183,37,18,2,2,6,52
"replahood","1499570210366431_1787564118233704","Rep. Darin LaHood","2017-01-14","2017-01-14 16:15:01","Did you know that since 2008 the Obama administration has finalized 4,432 regulations, costing taxpayers $1,000,000,000,000? This hurts manufacturing companies, and 90% of small businesses-- the top generators of new jobs-- support regulatory reform. This week the House passed the Regulatory Accountability Act to require regulation-creating agencies to let the American people have greater transparency, and a greater say, in the regulations that impact us.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1787564118233704/?type=3",NA,32,39,12,0,1,1,0,6
"replahood","1499570210366431_1788136061509843","Rep. Darin LaHood","2017-01-14","2017-01-14 20:46:39","I had the pleasure of stopping by to see some fantastic artwork from local veterans at the 5th annual 22 VA art exhibit this morning. The 22 VA stands for 22 Veteran Artists who have come together to showcase their art to raise awareness to the 22 deaths our veteran community faces each day due to suicide.","photo","https://www.facebook.com/replahood/photos/a.1503543046635814.1073741829.1499570210366431/1788134088176707/?type=3",NA,37,7,1,0,0,0,0,0
"replahood","1499570210366431_1789514911371958","Rep. Darin LaHood","2017-01-17","2017-01-17 00:00:23","The MLK luncheon at the Peoria Civic Center is always a wonderful event to witness as we reflect on the inspiring life of Martin Luther King Jr. It was a pleasure to be with more than 2,000 members of the Peoria area community to highlight and remember the great works of one of the greatest civil rights leaders in our nation's history.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1789513404705442/?type=3",NA,63,3,0,1,0,0,0,0
"replahood","1499570210366431_1789938387996277","Rep. Darin LaHood","2017-01-17","2017-01-17 18:38:40","My first stop in Springfield today took me to Sacred Heart-Griffin High School to visit with Mr. Klemm and Mr. Lavin's US History classes. I was able to field some great Q&A from some well-informed students interested in the political and governmental processes. Thank you for having me today...and go Cyclones!","photo","https://www.facebook.com/replahood/photos/a.1503543046635814.1073741829.1499570210366431/1789937171329732/?type=3",NA,50,6,0,0,0,0,0,0
"replahood","1499570210366431_1790006324656150","Rep. Darin LaHood","2017-01-17","2017-01-17 21:59:09","The tickets have arrived! I'm looking forward to greeting the hundreds from #Illinois18 who are traveling to DC to witness the 58th Presidential Inauguration in U.S. history. #inauguration2017","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1790006324656150/?type=3",NA,173,32,5,12,0,1,2,2
"replahood","1499570210366431_1790045737985542","Rep. Darin LaHood","2017-01-17","2017-01-17 23:35:02","Amid a great tour of Selvaggio Steel, Inc. today, the top issue discussed centered around a lagging economy and the need for a better business environment. More jobs and more opportunities await for businesses like Selvaggio Steel if we can reform our burdensome tax code and get government out of the way to allow the private sector to flourish. Special thanks to Mark and Tony for the chance to witness their passionate staff and great operation.","photo","https://www.facebook.com/replahood/photos/a.1503543046635814.1073741829.1499570210366431/1790043914652391/?type=3",NA,43,6,2,1,0,0,0,0
"replahood","1499570210366431_1790391604617622","Rep. Darin LaHood","2017-01-18","2017-01-18 14:53:33","Are you traveling to DC for the Inauguration on Friday? Below is the link to the program and official details! If you have any questions, my office is here to help! Give us a call.","link","http://www.inaugural.senate.gov/58th-inauguration?utm_content=buffer6bbf1&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer","inaugural.senate.gov",43,11,7,1,0,0,0,1
"replahood","1499570210366431_1790591714597611","Rep. Darin LaHood","2017-01-18","2017-01-18 22:46:39","I am saddened by this news, and praying for a speedy recovery for George H.W. Bush and his wife.","link","https://www.washingtonpost.com/news/morning-mix/wp/2017/01/18/former-president-george-h-w-bush-hospitalized-in-houston/?utm_term=.73975a5cba34","washingtonpost.com",84,7,1,7,0,0,9,0
"replahood","1499570210366431_1790992697890846","Rep. Darin LaHood","2017-01-19","2017-01-19 15:32:52","Tomorrow.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1790992697890846/?type=3",NA,54,10,1,9,0,0,4,0
"replahood","1499570210366431_1791561814500601","Rep. Darin LaHood","2017-01-20","2017-01-20 17:36:05","Congratulations, Mr. President! It was truly a privilege to witness the inauguration of President Donald Trump today. I am excited and optimistic for this new chapter in American history!","photo","https://www.facebook.com/replahood/photos/a.1503543046635814.1073741829.1499570210366431/1791559141167535/?type=3",NA,474,48,13,19,0,2,2,12
"replahood","1499570210366431_1793923450931104","Rep. Darin LaHood","2017-01-23","2017-01-23 23:36:30","Before I departed for Washington D.C. this morning, I had the pleasure of welcoming 7th graders from Saint Patrick School who had collected food and supplies to help mothers and their newborn children. Before beginning their tour to local charities and non-profits throughout Peoria, they stopped in to my office to highlight their right-to-life efforts. I am incredibly proud of these young students for their passion and dedication to help those less fortunate and provide a voice for the unborn. These students and the Tazewell County Right to Life group delivered more than $8,000 worth of baby food to local non-profits that assist young mothers!","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1793923290931120/?type=3",NA,151,12,11,11,0,0,0,0
"replahood","1499570210366431_1794490237541092","Rep. Darin LaHood","2017-01-24","2017-01-24 22:35:05","57 million innocent lives have been lost to abortion since 1973. Even more disheartening, taxpayer dollars are currently funding them, despite the fact that polls show that 60% of Americans believe that abortions should not be paid for with these dollars. Today the House passed H.R. 7, a measure I proudly cosponsored to permanently prevent taxpayer dollars from being spent on aborting unborn children. It’s time to make the life-saving Hyde Amendment permanent and government-wide. If signed by our new President, this measure would do just that. #HydeSavesLives #WhyWeMarch","video","https://www.facebook.com/replahood/videos/1794490237541092/",NA,434,170,92,53,0,1,4,44
"replahood","1499570210366431_1795058837484232","Rep. Darin LaHood","2017-01-25","2017-01-25 16:35:30","Constituents of Schuyler County and surrounding areas: My Jacksonville Constituent Service Representative, Barb Baker, will be hosting Mobile Office Hours at Rushville's City Hall tomorrow from 9:00 - 11:00 a.m.  She will be on-hand to help constituents with veteran’s benefits, Social Security, immigration and other federal programs. Constituents are welcome to stop by anytime between the hours listed above to meet personally with her.","status",NA,NA,18,7,4,1,0,0,0,0
"replahood","1499570210366431_1795898844066898","Rep. Darin LaHood","2017-01-26","2017-01-26 21:36:00","Constituents of Mason County and surrounding areas: My Military Affairs Advisor will be hosting Mobile Office Hours in Havana tomorrow (Friday, January 27) from 10:00 a.m. - 1:00 p.m.  He will be on-site at the Riverside Club to help constituents with any questions pertaining to military affairs, veterans health and education benefits, military service medals and other federal programs. Constituents are welcome to stop by anytime between the hours listed above to meet personally with him.","status",NA,NA,13,7,2,0,0,0,0,0
"replahood","1499570210366431_1796340497356066","Rep. Darin LaHood","2017-01-27","2017-01-27 14:57:30","I want to take a moment and welcome everyone descending upon Washington D.C. today to March for Life. As a proud father of three wonderful boys and a practicing Catholic, my family and faith have served as a regular reminder that every life is worth living and I applaud those who fight for the rights of the unborn.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1796340497356066/?type=3",NA,637,105,21,56,1,0,0,8
"replahood","1499570210366431_1796366080686841","Rep. Darin LaHood","2017-01-31","2017-01-31 14:02:25","If you're traveling along Airport Road and G.E. Road in Bloomington, you'll most likely come across this new addition to my Bloomington District office. For any constituents in or around McLean County, feel free to stop in Tuesday's or Thursday's from 8:30 a.m. - 4:00 p.m. and meet with one of my staffers. We'll be happy to sit down and discuss any federal issue you feel we can open casework for and help navigate you through the federal bureaucracies.","photo","https://www.facebook.com/replahood/photos/a.1502181526771966.1073741828.1499570210366431/1796366080686841/?type=3",NA,32,12,5,0,0,0,0,0
