"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"replizcheney","1800759923583199_1800769453582246","Rep. Liz Cheney","2017-01-04","2017-01-04 17:03:54",NA,"photo","https://www.facebook.com/replizcheney/photos/a.1800769443582247.1073741827.1800759923583199/1800769096915615/?type=3",NA,10,4,0,1,0,0,0,0
"replizcheney","1800759923583199_1800825473576644","Rep. Liz Cheney","2017-01-04","2017-01-04 18:27:48",NA,"photo","https://www.facebook.com/replizcheney/photos/a.1800762520249606.1073741825.1800759923583199/1800825473576644/?type=3",NA,26,7,1,3,0,0,0,1
"replizcheney","1800759923583199_1800828330243025","Rep. Liz Cheney","2017-01-04","2017-01-04 18:30:08","I was honored to be sworn in to the 115th Congress yesterday. I am excited and ready to get to work on behalf of the people of Wyoming!","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1800828330243025/?type=3",NA,44,12,1,4,1,0,0,1
"replizcheney","1800759923583199_1800975603561631","Rep. Liz Cheney","2017-01-05","2017-01-05 00:45:11","Pleased to announce staff assignments, office locations and first committee appointment.  https://cheney.house.gov/media/press-releases/liz-cheney-sworn-wyoming-s-representative","link","https://cheney.house.gov/media/press-releases/liz-cheney-sworn-wyoming-s-representative","cheney.house.gov",12,3,1,0,0,0,0,2
"replizcheney","1800759923583199_1801906076801917","Rep. Liz Cheney","2017-01-06","2017-01-06 15:07:37","https://cheney.house.gov/media/press-releases/congressman-cheney-speaks-importance-ending-out-control-federal-regulation","link","https://cheney.house.gov/media/press-releases/congressman-cheney-speaks-importance-ending-out-control-federal-regulation","cheney.house.gov",19,20,2,2,0,0,0,2
"replizcheney","1800759923583199_1803683819957476","Rep. Liz Cheney","2017-01-09","2017-01-09 12:54:49","On National Law Enforcement Day -- and every day -- we should respect and honor the brave men and women who put their lives on the line every day to keep us safe. Our local law enforcement and first responders deserve our gratitude and respect for always moving swiftly toward danger, and for taking action to protect life.  For years, President Obama has ignored calls by law enforcement officials to light the White House in blue in honor of first responders who have made the ultimate sacrifice. Today is a great day for our outgoing president to honor these requests as a show of thanks for our detectives, troopers and sheriffs for their courage.","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1803683819957476/?type=3",NA,27,2,3,0,0,0,0,0
"replizcheney","1800759923583199_1804680129857845","Rep. Liz Cheney","2017-01-11","2017-01-11 02:05:51","Wyoming should be able to manage the gray wolf without outside interference. This bill will stop the ""management by litigation"" culture that has done so much damage to our state.  https://cheney.house.gov/media/press-releases/congressman-cheney-introduces-legislation-delist-gray-wolf-believes-most","link","https://cheney.house.gov/media/press-releases/congressman-cheney-introduces-legislation-delist-gray-wolf-believes-most","cheney.house.gov",134,31,45,7,0,0,1,7
"replizcheney","1800759923583199_1805209536471571","Rep. Liz Cheney","2017-01-11","2017-01-11 18:55:56","It was great to visit with new Gillette City Council Member Shay Lundvall and Tyler Miller & E.O. Sowerwin from Eathwork Solutions in Gillette. Earthworks is a terrific WYO company helping to make our roads safer and creating jobs.","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1805209536471571/?type=3",NA,69,5,5,1,0,0,0,2
"replizcheney","1800759923583199_1805348743124317","Rep. Liz Cheney","2017-01-11","2017-01-11 22:51:58","The Cheyenne Regional Medical Center began as a tent hospital erected by the Union Pacific Railroad in 1867 to treat workers who built the transcontinental railroad. Today, CRMC Center celebrates 150 years of service to the community of Laramie County.  I congratulate CRMC for their hard work and dedication in providing health care to the people of Wyoming.","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1805348743124317/?type=3",NA,22,5,0,0,0,0,0,0
"replizcheney","1800759923583199_1805784726414052","Rep. Liz Cheney","2017-01-12","2017-01-12 13:14:21","For eight years, the Obama Administration has targeted and attempted to undermine the constitutional rights of gun owners. This legislation will help protect our individual constitutional right to keep and bear arms by ensuring that law-abiding citizens with concealed carry permits will enjoy reciprocity in other states.  https://cheney.house.gov/media/press-releases/congressman-cheney-cosponsors-concealed-carry-reciprocity-act","link","https://cheney.house.gov/media/press-releases/congressman-cheney-cosponsors-concealed-carry-reciprocity-act","cheney.house.gov",65,21,8,2,1,0,0,1
"replizcheney","1800759923583199_1806669506325574","Rep. Liz Cheney","2017-01-13","2017-01-13 19:46:36","I'm honored to be able to serve the people of Wyoming on these important committees where we can begin to undo the damage of the last eight years, bring economic growth and jobs back to Wyoming, and ensure we do everything necessary to keep America safe.  https://cheney.house.gov/media/press-releases/congressman-liz-cheney-announces-committee-assignments-115th-congress","link","https://cheney.house.gov/media/press-releases/congressman-liz-cheney-announces-committee-assignments-115th-congress","cheney.house.gov",97,34,5,4,2,0,2,3
"replizcheney","1800759923583199_1806806492978542","Rep. Liz Cheney","2017-01-14","2017-01-14 00:17:17","Today, I voted for beginning the process of repealing and replacing Obamacare.   Obamacare has resulted in increased costs for patients, skyrocketing premiums, less consumer choice in healthcare, lower quality of care and lost jobs. In Wyoming and all across the country, people need relief from the trainwreck of Obamacare. I am proud that one of my first votes in Congress was to start the process to repeal and replace this failed system. The people of Wyoming deserve healthcare that puts patients and their families in the driver's seat. Individuals, not government bureaucrats, should be in charge of their own healthcare decisions. Today, we took the first important step in that direction.","status",NA,NA,75,45,6,5,0,0,2,12
"replizcheney","1800759923583199_1809465656045959","Rep. Liz Cheney","2017-01-17","2017-01-17 22:05:48","Working hard with my team in Cheyenne. Our offices are open and ready to help.  For more information on the location of my offices, go to my webpage: cheney.house.gov","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1809465656045959/?type=3",NA,85,11,2,4,0,0,0,0
"replizcheney","1800759923583199_1809524032706788","Rep. Liz Cheney","2017-01-18","2017-01-18 01:05:18","Barack Obama has chosen to end his presidency the same way he began it-- aiding America's enemies.  My full statement here: https://cheney.house.gov/media/press-releases/congressman-cheney-statement-manning-commutation-and-obama-guantanamo-releases","link","https://cheney.house.gov/media/press-releases/congressman-cheney-statement-manning-commutation-and-obama-guantanamo-releases","cheney.house.gov",21,6,4,0,1,1,0,3
"replizcheney","1800759923583199_1810561139269744","Rep. Liz Cheney","2017-01-19","2017-01-19 15:51:08","It was terrific to have the chance to hear from so many people at our open house in Casper yesterday.","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1810561139269744/?type=3",NA,32,5,0,0,1,0,0,0
"replizcheney","1800759923583199_1811311762528015","Rep. Liz Cheney","2017-01-20","2017-01-20 20:56:16","Congratulations to President Trump. It was an honor to celebrate the Inauguration of President Donald Trump alongside Brian Mast (FL-18) and Scott Taylor (VA-02). Congressman Mast and Congressman Taylor have both served in our Armed Forces.  Today, more than ever, is a reminder of how lucky we are to live in this great country and honor those who serve.","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1811311762528015/?type=3",NA,55,4,1,1,0,0,0,1
"replizcheney","1800759923583199_1811373895855135","Rep. Liz Cheney","2017-01-20","2017-01-20 23:31:57","“but many seemed to agree that Cheney was the real fashion icon of the day.”  Totally agree.  Like if you agree!    http://heatst.com/politics/dick-cheney-cowboy-hat/","link","http://heatst.com/politics/dick-cheney-cowboy-hat/","heatst.com",249,30,55,23,2,0,0,1
"replizcheney","1800759923583199_1812778015714723","Rep. Liz Cheney","2017-01-22","2017-01-22 18:25:57","It was great to be in Casper last week. I had the chance to sit down with Aaron Groff at KTWO to discuss getting to work on behalf of the people of Wyoming. We talked repealing and replacing Obamacare, rolling back regulation, and bringing jobs back to Wyoming.  http://k2tv.com/news.php?id=7366","link","http://k2tv.com/news.php?id=7366","k2tv.com",23,16,1,1,0,0,0,0
"replizcheney","1800759923583199_1814330088892849","Rep. Liz Cheney","2017-01-24","2017-01-24 23:30:23","I am proud to introduce legislation with Senator Enzi and Senator Barrasso that will ensure more of the precious water coming from the Fontenelle Reservoir can be stored and used by our farmers, ranchers and local communities.","link","https://cheney.house.gov/media/press-releases/wyoming-delegation-reintroduces-bill-increase-water-storage-southwestern","cheney.house.gov",60,10,1,1,0,0,0,0
"replizcheney","1800759923583199_1818397121819479","Rep. Liz Cheney","2017-01-30","2017-01-30 22:42:44","Today, I introduced legislation in the House of Representatives, under the Congressional Review Act (CRA), to block implementation of the BLM’s Planning 2.0 rule.  Planning 2.0, implemented in the waning days of the Obama Administration, undermines local land management, dilutes the authority of our county commissioners, and opens up the possibility that foreign non-governmental organizations would have input in Wyoming’s land use management planning process.","link","https://cheney.house.gov/media/press-releases/congressman-cheney-leads-effort-repeal-blm-planning-20","cheney.house.gov",91,12,11,3,0,0,0,4
"replizcheney","1800759923583199_1819789598346898","Rep. Liz Cheney","2017-02-01","2017-02-01 22:30:41","It was great to join John Birbari, where we discussed legislation I have introduced in the House to rein-in BLM by repealing Planning 2.0.","music","http://rivertonradio.com/audio/Liz%20Cheney%20Interview%20Edited%201-31-17%20BLM%202.0%20Repeal.mp3",NA,18,8,4,0,0,0,0,1
"replizcheney","1800759923583199_1822846861374505","Rep. Liz Cheney","2017-02-06","2017-02-06 17:11:56","In Case You Missed It http://www.gillettenewsrecord.com/news/wyoming/article_afee2bfe-6c69-5467-938b-837edfe0f8ab.html","status",NA,NA,24,11,3,0,0,0,0,0
"replizcheney","1800759923583199_1823663697959488","Rep. Liz Cheney","2017-02-08","2017-02-08 03:36:58","I was proud to introduce this legislation and work with my colleagues to secure its passage in the House today. Repealing BLM 2.0 will help ensure the voices of Wyoming citizens and our local elected leaders are heard. I look forward to continuing to work to repeal regulations that stand in the way of economic growth and job creation. In Wyoming, we know that citizens in our local communities and our elected officials are the best stewards of our land and resources. Repeal of BLM 2.0 will help restore authority where it belongs - to our states and local communities.  https://cheney.house.gov/media/press-releases/us-house-passes-resolution-introduced-congressman-cheney-blocking","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1823663697959488/?type=3",NA,44,8,13,0,0,0,0,0
"replizcheney","1800759923583199_1824139444578580","Rep. Liz Cheney","2017-02-08","2017-02-08 22:13:37","“Congressman Liz Cheney of Wyoming deserves a great deal of credit for her leadership on this issue, and we call on the Senate to follow suit and approve Sen. Lisa Murkowski’s (R-Alaska) companion resolution as soon as possible,” Lane said  I was honored to work with groups like the National Cattlemen’s Beef Association, the Public Lands Council and especially groups from my home state including the Wyoming Association of Conservation Districts, Wyoming County Commissioners Association, Wyoming Farm Bureau Federation and Wyoming Stock Growers Association, the Wyoming Wool Growers Association, Petroleum Association of Wyoming,  Governor Matt Mead to ensure the House passage of a resolution that will repeal the Bureau of Land Management’s (BLM’s) Planning 2.0 Rule.  #teameffort  http://kticradio.com/agricultural/a-huge-victory-cattlemen-hail-u-s-house-passage-of-resolution-to-repeal-blms-planning-2-0-rule/","link","http://kticradio.com/agricultural/a-huge-victory-cattlemen-hail-u-s-house-passage-of-resolution-to-repeal-blms-planning-2-0-rule/","kticradio.com",44,21,5,1,0,0,1,6
"replizcheney","1800759923583199_1827758127550045","Rep. Liz Cheney","2017-02-14","2017-02-14 17:24:49","Congratulations to Sierra White for winning the Wyoming Boys and Girls Club Youth of the Year Award.","link","http://www.wyomingnews.com/news/tragedy-gives-rise-to-courage-for-wyoming-youth-of-the/article_44d89b98-f283-11e6-a819-5b8dfa5bd725.html","wyomingnews.com",30,1,2,3,0,0,0,0
"replizcheney","1800759923583199_1828319704160554","Rep. Liz Cheney","2017-02-15","2017-02-15 15:02:57","We will be hosting office hours in Buffalo today with members of Senator Enzi and Senator Barrasso’s staff.  Office Hours will start 11:00 am at the Buffalo Library.  We are here to help so please stop by!","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1828319704160554/?type=3",NA,14,3,1,0,0,0,0,0
"replizcheney","1800759923583199_1828437417482116","Rep. Liz Cheney","2017-02-15","2017-02-15 18:15:19","It was great to spend some time last week with the tremendous Americans serving our nation at F.E. Warren in Cheyenne.  The 90th Missile Wing plays a critical role in defending our nation.  I am proud of the work these fine men and women are doing here in Wyoming to protect and defend us all.","photo","https://www.facebook.com/replizcheney/photos/a.1800828526909672.1073741828.1800759923583199/1828436967482161/?type=3",NA,52,6,2,0,0,0,0,0
