"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repmacthornberry","7760165627_10155177910435628","Mac Thornberry","2017-01-03","2017-01-03 21:18:45","Today the new Congress was sworn into office and is ready to “hit the ground running.”  I am excited about the opportunities that it and the new Administration will have to do good things for the country once the new President is inaugurated on January 20.   First on the agenda will be regulations.  The last years of the Obama Administration saw a blizzard of regulations that killed jobs and added burdens to every sized business.  Congress will act to repeal or correct some of the most burdensome regulations, and we will push legislation that requires all major regulations, defined as having more than a $100 million effect on the economy, to be approved by Congress before they can be implemented.   Second is Obamacare.  Portions of Obamacare can be repealed with a majority vote in the Senate rather than the 60 votes often required.  House Republicans issued specific health care reform proposals last spring as part of our “A Better Way” plan.  These proposals will serve as the starting point for the new approach to health care.  Working with the new Administration, which has a lot of discretion on the details of Obamacare, we will repeal the failing scheme and transition to a commonsense health care plan that will serve patients, providers, and the country as a whole much better.     You can read more of this newsletter at my website here: http://thornberry.house.gov/news/email/show.aspx?ID=HTCIKS5UUYOF7OYEYJFDSF2Q5U","link","http://thornberry.house.gov/news/email/show.aspx?ID=HTCIKS5UUYOF7OYEYJFDSF2Q5U","thornberry.house.gov",106,22,12,4,0,0,0,3
"repmacthornberry","7760165627_10155182678745628","Mac Thornberry","2017-01-04","2017-01-04 21:45:51","Today, I introduced my first bill of the 115th Congress - the “Death Tax Repeal Act.” This simple, two-page bill would permanently and fully eliminate the death tax, which undermines one of America’s most important means of capital formation: building a family enterprise. Death should never be a taxable event. All Americans should be able to work hard, build, and save knowing that they can pass on what they have earned to their children and grandchildren.","video","https://youtu.be/r5DS_4mSTYs",NA,1033,108,209,89,0,0,1,2
"repmacthornberry","7760165627_10155186875810628","Mac Thornberry","2017-01-06","2017-01-06 01:00:00","Tonight, I voted for and the House passed H.Res 11, which expresses the House’s disapproval of the U.N.’s latest action against Israel.   For the first time in 36 years, the United States failed to veto a U.N. Resolution condemning Israeli settlements as illegal. It was a final jab against Israel, and the result will be to undermine the Israeli and Palestinian peace process and contribute to politically motivated attacks against Israel. The new Administration will have to repair this important relationship.","status",NA,NA,125,27,12,11,0,0,0,1
"repmacthornberry","7760165627_10155188380890628","Mac Thornberry","2017-01-06","2017-01-06 13:37:32","Last night, I voted for and the House passed the REINS Act of 2017, which will require any executive branch rule or regulation with an annual economic impact of $100 million or more — designated by the Office of Management and Budget as a “major rule”— to come before Congress for an up-or-down vote before being enacted.  Congressional Republicans will have a good opportunity to work with the incoming Administration to roll back the blizzard of regulations that has come out of Washington over the past eight years. The REINS Act is the first of several planned bills that will make the regulatory process more transparent and accountable and repeal or correct some of the most harmful regulations.","video","https://youtu.be/7_i7lNu4gCA",NA,40,10,4,1,0,0,0,2
"repmacthornberry","7760165627_10155189374175628","Mac Thornberry","2017-01-08","2017-01-08 19:00:00","The 115th Congress was sworn in last week, and we have “hit the ground running.” There are several key issues Congressional Republicans will be working with the new Administration to address. I invite you to learn more by watching my brief video message about our agenda.    Please let me know what you think in the comments section below.","video","https://youtu.be/wJ2Y8LpwwMM",NA,58,22,8,0,0,0,0,0
"repmacthornberry","7760165627_10155204205775628","Mac Thornberry","2017-01-10","2017-01-10 22:11:04","Today, Senator Cornyn and I introduced legislation in the U.S. House and Senate to protect landowners' rights along the Red River from federal ownership claims. Private property owners should never have to worry about the federal government coming in and taking away their land, especially land that has never been properly surveyed. Our bills will help provide these property owners the certainty that they deserve to know where public lands end and private lands begin.  The legislation will provide legal certainty to property owners along the Red River by:  • Commissioning a survey of the majority of the 116-mile stretch of contested area along the Red River using the gradient boundary survey method developed and backed by the Supreme Court to find the proper ownership boundary between public and private land.    • Ordering that the survey be conducted by licensed and qualified surveyors chosen by Texas and Oklahoma.  • Providing states the authority to oversee the surveyors and approve the final survey to ensure the Supreme Court instructions are properly followed.  • Requiring that a notice of survey approval, a copy of the survey, and any related field notes be provided to each individual land owner after the survey is completed.  • Ensuring that nothing in the bill alters the Red River Boundary Compact, modifies the interests of the states, or harms the rights of the impacted federally recognized Indian Tribes.","video","https://youtu.be/Ux_6kZkQSCU",NA,79,9,9,4,0,0,0,0
"repmacthornberry","7760165627_10155222896710628","Mac Thornberry","2017-01-14","2017-01-14 13:48:59","This week, the House and Senate passed budget resolutions that are the critical first steps to repealing and replacing Obamacare. This effort is at the top of our agenda, and we intend to make sure that it is done right. Americans deserve health care that is affordable, patient focused, and that saves the benefits that they have paid into.","status",NA,NA,100,30,11,2,0,0,1,3
"repmacthornberry","7760165627_10155231951795628","Mac Thornberry","2017-01-16","2017-01-16 22:42:45","""Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that."" - Martin Luther King, Jr.","status",NA,NA,106,8,5,8,0,0,0,0
"repmacthornberry","7760165627_10155235407240628","Mac Thornberry","2017-01-17","2017-01-17 23:05:38","Inmate Manning was convicted of multiple acts of espionage against the United States and other serious military misconduct. These actions potentially put our country and fellow soldiers at serious risk. The President’s commutation of Manning's sentence sends a terrible message to the world that the penalties for damaging our security can be swayed by politics.","status",NA,NA,157,29,54,4,0,1,2,43
"repmacthornberry","7760165627_10155243790180628","Mac Thornberry","2017-01-20","2017-01-20 17:41:13","The peaceful transition of power is one of the hallmarks of American democracy. It may seem normal to us today, but as President Reagan said in 1981, it is ""nothing short of a miracle."" I always consider it an honor to witness it in person.   I am looking forward to all of the good things Congress can accomplish by working with our new President and his team.","photo","https://www.facebook.com/repmacthornberry/photos/a.10150269759330628.372230.7760165627/10155243790180628/?type=3",NA,121,10,9,4,0,0,0,0
