"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repmikequigley","158963645688_10154021909985689","Mike Quigley","2017-01-01","2017-01-01 21:06:48","Wishing everyone in the Fifth District a very happy New Year. In 2017, I look forward to serving and representing you in the 115th Congress so that we can continue to expand access to opportunities that help all hardworking Chicagoans and Americans get ahead.","photo","https://www.facebook.com/repmikequigley/photos/a.283644820688.154282.158963645688/10154021909985689/?type=3",NA,52,5,0,3,0,0,0,0
"repmikequigley","158963645688_10154026283370689","Mike Quigley","2017-01-03","2017-01-03 17:01:53","Good government is rooted in openness, honesty and integrity, and the independent Office of Congressional Ethics plays a critical role in upholding these fundamental values. It is shameful that House Republicans are seeking to enhance one-party rule by undermining this non-partisan panel through a secret Caucus vote held behind closed doors. This move sends a dangerous and distressing message to the American people at the start of a new Congress, especially following empty promises to “drain the swamp.” We must continue to shine a light on the halls of our government so that we do not return to darker days plagued by unreported scandals and overlooked ethics violations that weaken our democratic institutions.","link","http://nyti.ms/2iLAH3k","nyti.ms",64,14,19,0,0,1,0,10
"repmikequigley","158963645688_10154028783555689","Mike Quigley","2017-01-04","2017-01-04 19:03:56","Today, I shared a letter from Mary, a constituent in the Fifth District who is fearful about what repealing the Affordable Care Act would mean for her son who has Addison’s Disease and relies on ACA for quality, affordable care. Republicans talk about “repeal and replace,” but what that really means is “repeal and go back to before,” back to a time when 47 million Americans—nearly 18% of the population—were uninsured. On behalf of Mary’s son and other Americans in districts across the country, I urge my colleagues on the other side of the aisle to abandon their efforts to strip health care from those who need it, and instead work with us to make our country a healthier place for all.","video","https://www.facebook.com/repmikequigley/videos/10154028783555689/",NA,193,16,35,8,0,0,5,1
"repmikequigley","158963645688_10154031368865689","Mike Quigley","2017-01-05","2017-01-05 22:56:54","A New Year, a new Congress, but the same ideological attacks against women’s health care by House Republicans. We cannot and should not start the 115th Congress with renewed partisan promises to gut comprehensive, preventative and affordable care for women. From birth control and STD testing to cervical screenings, mammograms, and counseling, Planned Parenthood is a critical resource for Chicagoans and others in communities across the country. View my thoughts on Speaker Ryan's comments about defunding Planned Parenthood:","link","https://quigley.house.gov/media-center/press-releases/quigley-statement-speaker-ryan-s-comments-defunding-planned-parenthood","quigley.house.gov",238,38,24,26,0,0,0,2
"repmikequigley","158963645688_10154032985725689","Mike Quigley","2017-01-06","2017-01-06 16:59:42","Please read my op-ed in The Hill on how Republicans’ scuttled vote to weaken our ethics watchdog hurts efforts to win back public trust. As co-founder and co-chair of the Transparency Caucus, I understand that an individual cannot be an effective leader without trust. I hope this week’s vote is not a sign of things to come – We should be increasing transparency and accountability, not further chipping away at good governance or eroding the foundations of our democratic institutions. http://bit.ly/2hY6UHP","link","http://bit.ly/2hY6UHP","bit.ly",72,3,4,1,0,0,0,0
"repmikequigley","158963645688_10154033403565689","Mike Quigley","2017-01-06","2017-01-06 20:19:57","In addition to stripping quality, affordable care from up to 20 million Americans, repealing the Affordable Care Act without a replacement would also harm our economy, triggering major reductions in employment to the tune of nearly three million jobs by 2021. This number includes 114,000 jobs that would be lost right here in Illinois. View the full report here: http://bit.ly/2iQz9bk","photo","https://www.facebook.com/repmikequigley/photos/a.283644820688.154282.158963645688/10154033403565689/?type=3",NA,42,7,9,0,0,0,4,10
"repmikequigley","158963645688_10154039788870689","Mike Quigley","2017-01-09","2017-01-09 16:43:36","Public transit like Chicago Transit Authority is good for our city, our citizens, and our environment, which is why I was pleased to join in announcing a $1 billion funding agreement today that will allow the CTA to move forward with the first phase of the Red and Purple Modernization Program (RPM) to improve service. I look forward to supporting RPM and other important infrastructure improvements in Congress to enhance quality of life for Chicagoans and spur economic development in the region.","photo","https://www.facebook.com/repmikequigley/photos/a.283644820688.154282.158963645688/10154039788870689/?type=3",NA,60,0,1,2,0,0,0,0
"repmikequigley","158963645688_10154040283415689","Mike Quigley","2017-01-09","2017-01-09 20:22:04","This morning I spoke with over 200 students at Alcott College Prep Elementary School, including several students who will be traveling to Washington, D.C. for the presidential inauguration with tickets from my office. It’s never too early to teach young people the importance of participating in our democracy through political engagement, and I am honored to have the opportunity to offer Fifth District students a front-row seat to this historic civics lesson in our nation’s capital.","link","https://quigley.house.gov/media-center/press-releases/quigley-meets-alcott-college-prep-students-receiving-inauguration","quigley.house.gov",35,8,0,0,0,0,0,0
"repmikequigley","158963645688_10154044216710689","Mike Quigley","2017-01-11","2017-01-11 14:38:36","I am honored to be chosen by my colleagues as a new Vice-Chair of the House Sustainable Energy and Environment Coalition As Vice-Chair, I remain committed to working with my colleagues in SEEC to preserve clean air, clean water, and healthy ecosystems, which are vital to ensuring robust and sustained economic growth and protecting a world we are proud to hand to our children and grandchildren. This life-saving work is more important than ever. http://bit.ly/2j51D16","photo","https://www.facebook.com/repmikequigley/photos/a.283644820688.154282.158963645688/10154044216710689/?type=3",NA,139,11,2,13,0,0,0,0
"repmikequigley","158963645688_10154044492290689","Mike Quigley","2017-01-11","2017-01-11 17:52:26","Today, I spoke on the House Floor about the need for robust, long-term investment in our infrastructure to improve quality of life and spur economic growth. I urge the 115th Congress to prioritize infrastructure spending that addresses America’s roadways but also goes beyond roads and bridges to include all aspects of our connected infrastructure system that makes America the best place to live on earth.","video","https://www.facebook.com/repmikequigley/videos/10154044492290689/",NA,43,8,2,2,0,0,0,0
