"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repohalleran","1342596452479696_1342599922479349","Rep. Tom O'Halleran","2017-01-03","2017-01-03 16:29:21",NA,"photo","https://www.facebook.com/repohalleran/photos/a.1342599915812683.1073741825.1342596452479696/1342599922479349/?type=3",NA,6,0,0,0,0,0,0,0
"repohalleran","1342596452479696_1342849915787683","Rep. Tom O'Halleran","2017-01-03","2017-01-03 18:38:08",NA,"photo","https://www.facebook.com/repohalleran/photos/a.1342607345811940.1073741827.1342596452479696/1342849915787683/?type=3",NA,3,0,2,0,0,0,0,0
"repohalleran","1342596452479696_1343177969088211","Rep. Tom O'Halleran","2017-01-03","2017-01-03 22:23:26","It is an honor to represent the 1st Congressional District. Thank you my family, friends, and fellow Arizonans who joined me today for the swearing-in ceremony.","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1343176212421720/?type=3",NA,16,0,0,0,0,0,0,0
"repohalleran","1342596452479696_1344979948908013","Rep. Tom O'Halleran","2017-01-04","2017-01-04 16:58:59",NA,"photo","https://www.facebook.com/repohalleran/photos/a.1342599915812683.1073741825.1342596452479696/1344979948908013/?type=3",NA,7,3,1,0,0,0,0,0
"repohalleran","1342596452479696_1347233612015980","Rep. Tom O'Halleran","2017-01-05","2017-01-05 19:49:08","Stay connected by following me on social media and signing up to receive my newsletter at www.ohalleran.house.gov/contact/newsletter","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1347233612015980/?type=3",NA,7,0,4,0,0,0,0,0
"repohalleran","1342596452479696_1348650171874324","Rep. Tom O'Halleran","2017-01-09","2017-01-09 16:30:00","I am proud to cosponsor legislation that cuts government waste responsibly and efficiently by identifying and eliminating duplicate government programs. Learn more about the Taxpayers Right-To-Know Act: https://www.congress.gov/bill/115th-congress/house-bill/71","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1348650171874324/?type=3",NA,16,0,3,0,0,0,0,0
"repohalleran","1342596452479696_1348819225190752","Rep. Tom O'Halleran","2017-01-06","2017-01-06 20:00:01","My colleague, Congresswoman McSally, introduced an important bill that will designate the January 8th Memorial in Tucson a national memorial. This new memorial will be a touching tribute to those killed in the 2011 attack. Read more:","link","http://www.usatoday.com/story/news/politics/onpolitics/2017/01/06/mcsally-wants-giffords-shooting-memorial-natl-monument/96245908/","usatoday.com",11,1,2,0,0,0,0,0
"repohalleran","1342596452479696_1352907141448627","Rep. Tom O'Halleran","2017-01-09","2017-01-09 20:00:00","ICYMI: Last week I announced my plans to introduce legislation that strengthens the Office of Congressional Ethics. The American people deserve a Congress that is held accountable; now is not the time to weaken this important watchdog group. Read more from Tucson Weekly:","link","https://ohalleran.house.gov/media/in-the-news/looks-office-congressional-ethics-still-business-now","ohalleran.house.gov",15,0,0,0,0,0,0,0
"repohalleran","1342596452479696_1353240778081930","Rep. Tom O'Halleran","2017-01-09","2017-01-09 23:30:00","It was great to meet a group of dedicated ASU student journalists in Washington, D.C. this semester for the Cronkite News program. They will be covering the Arizona delegation and reporting for outlets around the state.","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1353240778081930/?type=3",NA,18,2,2,0,0,0,0,0
"repohalleran","1342596452479696_1353612391378102","Rep. Tom O'Halleran","2017-01-10","2017-01-10 02:32:33","Tonight I join Americans across the county to honor the service of our law enforcement officers on National Law Enforcement Appreciation Day. We shine a blue light in our windows to remember those who have paid the ultimate sacrifice to protect our communities and those who serve every day. From my family and the entire First District, we thank you.","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1353612391378102/?type=3",NA,17,1,3,0,0,0,0,0
"repohalleran","1342596452479696_1356242774448397","Rep. Tom O'Halleran","2017-01-11","2017-01-11 16:01:47","Rep. O’Halleran Joins Congressional Native American Caucus","status",NA,NA,12,1,6,0,0,0,0,0
"repohalleran","1342596452479696_1356280081111333","Rep. Tom O'Halleran","2017-01-11","2017-01-11 22:00:00","I voted for the bipartisan HALOS Act so our small business owners have greater access to capital from investors. We must work to remove burdens on our small businesses so they can succeed. Read more about the HALOS Act: https://www.congress.gov/bill/115th-congress/house-bill/79","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1356280081111333/?type=3",NA,7,0,0,0,0,0,0,0
"repohalleran","1342596452479696_1358864834186191","Rep. Tom O'Halleran","2017-01-12","2017-01-12 20:23:04","Today I spoke against a bill that was sent to the floor for a vote without completing the typical committee process. As a member of the House Agriculture Committee, I believe it is important to include the voices of my constituents in the discussion of this legislation before it is voted on by the enitre House of Representatives. Learn more about H.R. 238: http://bit.ly/2j5Atob","video","https://www.facebook.com/repohalleran/videos/1358864834186191/",NA,29,6,2,1,0,0,0,0
"repohalleran","1342596452479696_1358934540845887","Rep. Tom O'Halleran","2017-01-13","2017-01-13 00:00:01","Interested in an internship in one of my district offices? Visit this page to learn more:","link","https://ohalleran.house.gov/helping-you/internships","ohalleran.house.gov",6,2,11,1,0,0,0,0
"repohalleran","1342596452479696_1360461447359863","Rep. Tom O'Halleran","2017-01-13","2017-01-13 15:49:59","Yesterday I introduced an amendment to prevent an increase in out-of-pocket costs or premiums for prescription drugs in Medicare Part D. I am committed to protecting Social Security and Medicare so our seniors are not burdened with limited options and rising prices for care.","video","https://www.facebook.com/repohalleran/videos/1360461447359863/",NA,42,2,11,3,0,0,0,0
"repohalleran","1342596452479696_1360884197317588","Rep. Tom O'Halleran","2017-01-13","2017-01-13 20:58:25","Arizonans like Jeff show us the impact the ACA has had on millions of Americans. I urge my colleagues to engage in meaningful conversations about reforms to our healthcare laws.","link","http://www.cnn.com/2017/01/12/politics/audience-member-paul-ryan-town-hall-obamacare/index.html?sr=twCNN011317audience-member-paul-ryan-town-hall-obamacare1249PMVODtopVideo&linkId=33352925","cnn.com",26,2,3,0,0,0,0,0
"repohalleran","1342596452479696_1366188913453783","Rep. Tom O'Halleran","2017-01-16","2017-01-16 22:55:55","As we celebrate Martin Luther King Jr. Day, it is important to reflect on how far we've come as a nation. We must work together, regardless of political party, to move our county forward.","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1366188913453783/?type=3",NA,21,2,5,2,0,0,0,0
"repohalleran","1342596452479696_1368092406596767","Rep. Tom O'Halleran","2017-01-18","2017-01-18 20:16:29","I had the chance to talk to the folks at the Verde Valley Senior Center about access to affordable prescription drugs and health care in our communities. Thank you to all who joined for the conversation!","photo","https://www.facebook.com/repohalleran/photos/a.1343177952421546.1073741828.1342596452479696/1368072656598742/?type=3",NA,25,4,0,0,0,0,0,0
"repohalleran","1342596452479696_1368294096576598","Rep. Tom O'Halleran","2017-01-18","2017-01-18 23:59:54","I will be attending the inauguration ceremony this Friday. I believe the transfer of power from one president to the next is critical to our democracy. Read more:","link","https://ohalleran.house.gov/newsroom/press-releases/rep-o-halleran-attend-presidential-inauguration","ohalleran.house.gov",106,39,5,5,0,0,6,3
