"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"reppaulmitchell","110852796079356_10155331755023891","Rep. Paul Mitchell","2017-09-21","2017-09-21 19:17:00","We can do better than 2% economic growth, and tax reform can help. https://fairandsimple.gop/?utm_source=reppaulmitchell","video","https://www.facebook.com/reppaulmitchell/videos/10155331755023891/",NA,13,32,1,0,0,0,0,12
"reppaulmitchell","110852796079356_10155356053538891","Rep. Paul Mitchell","2017-09-29","2017-09-29 18:52:39","Our outline for tax reform is both fair and simple. No longer will you sift through thousands of pages and spend hundred of dollars just to file taxes. https://fairandsimple.gop/?utm_source=reppaulmitchell","video","https://www.facebook.com/reppaulmitchell/videos/10155356053538891/",NA,28,73,11,4,1,0,0,16
"reppaulmitchell","110852796079356_10155368024988891","Rep. Paul Mitchell","2017-10-04","2017-10-04 14:59:12","Our tax reform framework is about putting more money back in your pocket.  Learn more at https://fairandsimple.gop/?utm_source=reppaulmitchell","video","https://www.facebook.com/reppaulmitchell/videos/10155368024988891/",NA,23,73,8,1,9,1,1,20
"reppaulmitchell","110852796079356_10155479464258891","Rep. Paul Mitchell","2017-11-17","2017-11-17 16:19:42","Yesterday, the House voted to turn the page on our current stagnant economy with the passage of the Tax Cuts & Jobs Act. We are one step closer to delivering REAL tax relief to you!","video","https://www.facebook.com/reppaulmitchell/videos/10155479464258891/",NA,48,162,6,4,5,0,3,85
"reppaulmitchell","110852796079356_134835190347783","Rep. Paul Mitchell","2017-01-03","2017-01-03 19:16:11","To the over 700,000 residents of Michigan's 10th District: I am eager and honored to begin working for you.    This is your office. Please feel free to contact me and my staff at any time. We are happy to serve you.","link","https://mitchell.house.gov/contact","mitchell.house.gov",10,1,1,1,0,0,0,0
"reppaulmitchell","110852796079356_135938480237454","Rep. Paul Mitchell","2017-01-04","2017-01-04 21:02:46","It was an exciting and humbling experience being sworn into Congress by Speaker Ryan yesterday.   I began my day with a bipartisan prayer service to reflect on the responsibility entrusted to me by my neighbors in Michigan’s Thumb.   The voters spoke loud and clear this November.  It is time for change in Washington.    There is much work to be done, but I stand ready to work with my colleagues to accomplish what the people of Michigan’s 10th sent me here to do.   https://t.co/wuOBykGFRW","photo","https://www.facebook.com/reppaulmitchell/photos/a.135929056905063.1073741828.110852796079356/135938270237475/?type=3",NA,35,1,3,0,0,0,0,0
"reppaulmitchell","110852796079356_137082210123081","Rep. Paul Mitchell","2017-01-06","2017-01-06 00:11:01","I stand with Israel.  I am proud to join my colleagues in the House to condemn the anti-Israel UN Resolution.  The UN’s attempt to dictate the terms of the peace process is misguided. It sets a dangerous precedent that allows for further attempts to demonize Israel.","photo","https://www.facebook.com/reppaulmitchell/photos/a.135929056905063.1073741828.110852796079356/137082210123081/?type=3",NA,18,7,2,3,0,0,0,0
"reppaulmitchell","110852796079356_137764080054894","Rep. Paul Mitchell","2017-01-06","2017-01-06 15:50:13","Last night the House passed the REINS Act, which I proudly cosponsored. This was a major step toward reigning in federal overreach and preventing unelected bureaucrats from making decisions that impact families and businesses.","video","https://www.facebook.com/reppaulmitchell/videos/137764080054894/",NA,67,13,24,4,0,0,0,2
"reppaulmitchell","110852796079356_138864516611517","Rep. Paul Mitchell","2017-01-07","2017-01-07 17:07:57","Deeply saddened by the tragedy in Ft. Lauderdale yesterday. Praying for the victims and their loved ones.","status",NA,NA,12,0,0,0,0,0,3,0
"reppaulmitchell","110852796079356_140967346401234","Rep. Paul Mitchell","2017-01-09","2017-01-09 20:23:16","As the father of a local police officer, I am acutely aware of the sacrifice our men and women in blue make.  They assume risk every day in order to make our communities safer, and I am proud to display a blue light in my office in gratitude for the men and women of law enforcement, including those who have paid the ultimate price in the line of duty.  Join me today in thanking a police officer for their sacrifice to keep us safe.","photo","https://www.facebook.com/reppaulmitchell/photos/a.135929056905063.1073741828.110852796079356/140967346401234/?type=3",NA,29,4,6,4,0,0,0,0
