"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"reppaultonko","164036221404_10154814765326405","Paul D. Tonko","2017-02-01","2017-02-01 18:18:52","#BetsyDeVos appears to have plagiarized several of her answers to Senators’ questions. Very troubling. What message does this send to America’s students?","link","http://www.cnn.com/2017/01/31/politics/betsy-devos-plagiarism-obama-official/","cnn.com",86,41,39,1,1,18,7,60
"reppaultonko","164036221404_10154814791026405","Paul D. Tonko","2017-02-01","2017-02-01 21:22:53","#BetsyDevos called U.S. public education a “dead end.”   Share/copy/paste this post and let her (and your Senators) know you disagree!","link","https://www.washingtonpost.com/news/answer-sheet/wp/2017/01/31/why-betsy-devos-is-the-most-polarizing-education-secretary-nominee-ever","washingtonpost.com",87,11,41,0,0,4,2,30
"reppaultonko","164036221404_10154814934156405","Paul D. Tonko","2017-02-01","2017-02-01 19:48:24","On this day in 1960, a group of four brave African-American college students sat down at a Woolworth’s lunch counter in Greensboro, NC and politely refused to leave. Their names were Ezell A. Blair, Jr. (now Jibreel Khazan), Franklin E. McCain, Joseph A. McNeil, and David L. Richmond.   We continue to learn from their example.   #BlackHistoryMonth","link","http://americanhistory.si.edu/brown/history/6-legacy/freedom-struggle-2.html","americanhistory.si.edu",199,4,29,13,0,0,1,0
"reppaultonko","164036221404_10154814984631405","Paul D. Tonko","2017-02-01","2017-02-01 20:17:47","Today's Google​ doodle depicts Edmonia Lewis, the great African-American & Native American sculptor from Greenbush, NY, which later became Rensselaer, NY!","link","https://en.wikipedia.org/wiki/Edmonia_Lewis","en.wikipedia.org",197,8,36,11,0,1,0,0
"reppaultonko","164036221404_10154817183301405","Paul D. Tonko","2017-02-02","2017-02-02 15:29:45","If you have one of these pre-existing conditions, Republicans want to let insurers charge you more for healthcare. #ProtectOurCare","photo","https://www.facebook.com/reppaultonko/photos/a.165435801404.161336.164036221404/10154817183301405/?type=3",NA,41,37,143,1,1,4,24,52
"reppaultonko","164036221404_10154817465271405","Paul D. Tonko","2017-02-02","2017-02-02 17:02:25","As #BetsyDevos throws the future of U.S. public education into doubt, #TBT to happier times when I shared a stage with Arthur.","photo","https://www.facebook.com/reppaultonko/photos/a.165435801404.161336.164036221404/10154817465271405/?type=3",NA,132,9,5,13,4,0,0,1
"reppaultonko","164036221404_10154818124986405","Paul D. Tonko","2017-02-02","2017-02-02 21:20:04","Proud to be an original cosponsor of U.S. Congresswoman Stephanie Murphy's bill to keep Steve #Bannon & politics off the National Security Council.","link","https://www.congress.gov/bill/115th-congress/house-bill/804/cosponsors?q=%7B%22search%22%3A%5B%22congressId%3A115+AND+billStatus%3A%5C%22Introduced%5C%22%22%5D%7D&r=12","congress.gov",701,113,78,93,0,0,0,2
"reppaultonko","164036221404_10154818345926405","Paul D. Tonko","2017-02-02","2017-02-02 22:41:24","Inspired to see this photo of tonight's Interfaith Vigil at the Albany JCC. Thanks to all who came out to stand against hatred and fear. #YesWeCan","photo","https://www.facebook.com/reppaultonko/photos/a.165435801404.161336.164036221404/10154818345926405/?type=3",NA,374,10,21,52,1,1,0,0
"reppaultonko","164036221404_10154819887446405","Paul D. Tonko","2017-02-03","2017-02-03 14:08:38","Thanks Liz Benjamin & Capital Tonight for having me on last night to talk #ACA, #TrumpCabinet, #PollutingPruitt via YNN-Albany","link","http://www.twcnews.com/nys/capital-region/capital-tonight-interviews/2017/02/2/paul-tonko-020217.html","twcnews.com",38,2,4,2,0,0,0,0
"reppaultonko","164036221404_10154820015081405","Paul D. Tonko","2017-02-03","2017-02-03 14:59:25","READ: ""Kellyanne Conway made up a fake terrorist attack to justify Trump’s 'Muslim ban'” via Vox.   #FactsMatter","link","http://www.vox.com/world/2017/2/2/14494478/bowling-green-massacre","vox.com",111,61,71,3,7,4,10,98
