"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"reppeteaguilar","1088826094464593_1688856741128189","Rep. Pete Aguilar","2017-01-04","2017-01-04 15:45:29","I’m grateful to Whip Hoyer for this responsibility and I look forward to working with my colleagues in Congress to advance priorities that will help raise the middle class. http://bit.ly/2hQzvdj","link","http://bit.ly/2hQzvdj","bit.ly",228,35,13,8,0,2,0,0
"reppeteaguilar","1088826094464593_1692044160809447","Rep. Pete Aguilar","2017-01-05","2017-01-05 23:20:31","I look forward to joining my colleagues on the House Appropriations Committee and getting to work. http://bit.ly/2igVn2k","link","http://bit.ly/2igVn2k","bit.ly",108,8,4,0,0,1,0,0
"reppeteaguilar","1088826094464593_1693584243988772","Rep. Pete Aguilar","2017-01-06","2017-01-06 16:05:41","Empowering our kids with the resources they need to succeed starts at the very beginning, so I’m glad to see these federal funds returned to our community.  http://bit.ly/2jjuC1N","link","http://bit.ly/2jjuC1N","bit.ly",73,3,9,4,0,1,0,0
"reppeteaguilar","1088826094464593_1700437763303420","Rep. Pete Aguilar","2017-01-09","2017-01-09 21:40:53","I'm grateful for my new responsibilities in Congress. Looking forward to being the best advocate I can be for Inland Empire families.  http://www.pe.com/articles/aguilar-822581-committee-health.html?page=1","link","http://www.pe.com/articles/aguilar-822581-committee-health.html?page=1","pe.com",70,6,2,9,0,0,0,0
"reppeteaguilar","1088826094464593_1705007706179759","Rep. Pete Aguilar","2017-01-11","2017-01-11 21:35:47","Today I joined my Congressional Hispanic Caucus colleagues to warn House Republicans of the consequences of repealing the Affordable Care Act. We cannot go back to the days when people were denied coverage for having pre-existing conditions, where preventative screenings weren't covered and when simply being a woman was a pre-existing condition.  http://bit.ly/2ikTmF2","link","http://bit.ly/2ikTmF2","bit.ly",105,12,15,11,0,0,0,0
"reppeteaguilar","1088826094464593_1707336399280223","Rep. Pete Aguilar","2017-01-13","2017-01-13 16:10:20","My role on these subcommittees will allow me to be a stronger advocate for San Bernardino County to invest in projects affecting our roads, rails and bridges, to better deal with California’s historic drought and to address the need for affordable housing. We have a lot of work ahead and I’m ready to get started. http://bit.ly/2jft48p","link","http://bit.ly/2jft48p","bit.ly",78,7,4,4,0,0,0,0
"reppeteaguilar","1088826094464593_1711282332218963","Rep. Pete Aguilar","2017-01-16","2017-01-16 17:13:14","As we remember and honor Dr. King, we recommit ourselves to standing together in the fight for justice and equality. #MLKDay2017","photo","https://www.facebook.com/reppeteaguilar/photos/a.1093659380647931.1073741832.1088826094464593/1711282332218963/?type=3",NA,39,9,7,1,0,0,0,0
"reppeteaguilar","1088826094464593_1711719845508545","Rep. Pete Aguilar","2017-01-16","2017-01-16 21:43:08","Glad to have spent my morning beside volunteers at the Sahaba Initiative for an important day of service and giving back to the San Bernardino Community. #MLKDay","photo","https://www.facebook.com/reppeteaguilar/photos/a.1093659380647931.1073741832.1088826094464593/1711719645508565/?type=3",NA,49,5,0,6,0,0,0,0
"reppeteaguilar","1088826094464593_1716155295065000","Rep. Pete Aguilar","2017-01-20","2017-01-20 18:04:32","Today, I bore witness to the peaceful transfer of power—a central component to our nation’s democratic process. While I respect the office of the presidency, I harbor deep concerns about the man who has assumed the position. Donald Trump spent eighteen months normalizing racism and sexism. He called Mexicans rapists and criminals, proposed unconstitutional bans and registries for Muslim Americans, bragged about sexually assaulting women, mocked Americans with disabilities, and the list goes on.  Attending today’s inauguration was my duty as a voice for San Bernardino County residents. My attendance was a reminder to President Trump of who will hold him accountable during his term to ensure that Inland Empire families are not made to pay the price for his flawed and dangerous policies.","status",NA,NA,295,41,26,27,0,0,7,3
"reppeteaguilar","1088826094464593_1716158951731301","Rep. Pete Aguilar","2017-01-20","2017-01-20 18:09:53",NA,"photo","https://www.facebook.com/congressional.hispanic.caucus/photos/a.101854408260.91196.67490733260/10154371941648261/?type=3",NA,20,1,0,0,0,0,0,0
"reppeteaguilar","1088826094464593_1717569514923578","Rep. Pete Aguilar","2017-01-21","2017-01-21 20:02:25","What a powerful and inspiring morning. Proud to participate in the #WomensMarch and thrilled to see Redlands residents Kathy and Roy in the crowd!","photo","https://www.facebook.com/reppeteaguilar/photos/a.1221259897887878.1073741833.1088826094464593/1717568988256964/?type=3",NA,243,19,9,25,0,0,0,2
"reppeteaguilar","1088826094464593_1720376744642855","Rep. Pete Aguilar","2017-01-23","2017-01-23 21:31:18","I always have and always will be an unwavering defender of women’s reproductive freedom. http://bit.ly/2j6SNvE","link","http://bit.ly/2j6SNvE","bit.ly",187,24,6,34,0,1,0,0
"reppeteaguilar","1088826094464593_1723661460981050","Rep. Pete Aguilar","2017-01-25","2017-01-25 20:24:15","The attack in San Bernardino was one of the deadliest terrorist attacks on American soil since 9/11. As we’ve seen in recent history, no two acts of terror are the same, so it’s important that we have a full understanding of each attack so we can help prevent this type of horror from happening in other communities. Commissioning this report is critical to helping lawmakers and agencies identify ways to strengthen our national security and keep Americans safe.  http://bit.ly/2jqwhkY","link","http://bit.ly/2jqwhkY","bit.ly",54,7,0,2,0,0,1,0
"reppeteaguilar","1088826094464593_1728591643821365","Rep. Pete Aguilar","2017-01-29","2017-01-29 20:56:03","On Friday, President Trump issued an executive order that targets refugees and immigrants based on their religion. His xenophobic rhetoric and actions are not consistent with the values of our nation. This executive order will do nothing to make our country safer and only sends a message of hate and bigotry to the rest of the world. This order would not have prevented the attack in San Bernardino and the use of San Bernardino as justification for this anti-Muslim policy is a revolting way to exploit our community.   Federal judges around the country have issued orders to halt detentions and deportations. Despite these orders, the Department of Homeland Security, under the president's direction, is continuing to enforce the executive order and proceeding with detentions, removals and denial of access to attorneys. This is abhorrent. This is inhumane. This is unconstitutional. President Trump's actions are in violation of the United States Constitution and he must be held accountable immediately.","status",NA,NA,241,49,47,27,0,0,0,9
"reppeteaguilar","1088826094464593_1729863963694133","Rep. Pete Aguilar","2017-01-30","2017-01-30 23:48:12","Last night, I traveled to Los Angeles International Airport (LAX) as an advocate for the detainees and to be helpful in any way I could.  I’m glad to see that those who were wrongfully detained have been released. While this is good news, we cannot ignore the deeply disturbing actions that brought us here.   President Trump’s refusal to comply with multiple federal orders that halted detentions and deportations is a stain on our democracy. His actions are reprehensible and illegal. Not only is the president’s Muslim ban a poorly masked act of bigotry – his repudiation of our system of checks and balances violates the United States Constitution. The severity of this offense cannot be ignored and he must be held accountable.","status",NA,NA,257,52,31,23,0,0,1,7
"reppeteaguilar","1088826094464593_1734502856563577","Rep. Pete Aguilar","2017-02-03","2017-02-03 19:32:19","I'm hosting a FAFSA and College Affordability Workshop on Saturday, February 18th from 9:00AM to 11:00AM. If you or someone you know needs assistance with the FAFSA process or has student loan questions, please join us. And remember to bring your FSA ID!","event","https://www.facebook.com/events/1348233388555247/",NA,22,8,0,1,0,0,0,0
"reppeteaguilar","1088826094464593_1737957149551481","Rep. Pete Aguilar","2017-02-06","2017-02-06 17:45:59","As you may know, the Affordable Care Act, also known as Obamacare, has made health coverage affordable for millions of Americans. A repeal and delayed replacement of the law will cause millions of people to lose their health coverage, while others will be forced to pay more for their insurance.  I'm committed to supporting policies that protect and help San Bernardino County families and those throughout our country. As we go through this process, it's important that I get feedback from constituents like you.  Share your story with me and I'll fight to keep health care coverage accessible and affordable for all Americans. http://bit.ly/2l5429W","link","http://bit.ly/2l5429W","bit.ly",35,8,2,5,0,0,0,0
"reppeteaguilar","1088826094464593_1738297112850818","Rep. Pete Aguilar","2017-02-06","2017-02-06 23:48:26","Remember, to stay up to date with the work I'm doing on behalf of Inland Empire families, visit my website at aguilar.house.gov. You can also stay engaged with me on Twitter at @RepPeteAguilar and on Instagram at @rep.peteaguilar.","status",NA,NA,40,1,1,3,0,0,0,0
"reppeteaguilar","1088826094464593_1739217546092108","Rep. Pete Aguilar","2017-02-07","2017-02-07 15:24:19","President Trump can't even spell San Bernardino, yet he exploits our community to justify his Muslim ban.  http://thehill.com/homenews/administration/318197-wh-list-misspells-san-bernardino-terror-attack","link","http://thehill.com/homenews/administration/318197-wh-list-misspells-san-bernardino-terror-attack","thehill.com",110,36,109,1,10,9,22,87
"reppeteaguilar","1088826094464593_1739551592725370","Rep. Pete Aguilar","2017-02-07","2017-02-07 20:49:29","Today I spoke with Kelly McEvers on ""All Things Considered"" about the need for the Trump Administration to stop using San Bernardino as a political talking point. Our community needs support and federal assistance to recover, not to be made into political fodder.  Listen in at 3:35PM and 5:35PM on KVCR 91.9FM.","photo","https://www.facebook.com/reppeteaguilar/photos/a.1093659380647931.1073741832.1088826094464593/1739551592725370/?type=3",NA,160,21,14,20,0,0,2,0
"reppeteaguilar","1088826094464593_1743356592344870","Rep. Pete Aguilar","2017-02-10","2017-02-10 20:46:48","Join me on Wednesday, February 15th at 6:00PM for a Telephone Town Hall.   This is a great way to connect with you while I’m in Washington advocating on your behalf. There are a lot of issues we’re discussing at the federal level that affect our region, so it’s important that I’m able to communicate with you and answer any questions and concerns.  Spread the word!","photo","https://www.facebook.com/reppeteaguilar/photos/a.1093659380647931.1073741832.1088826094464593/1743356592344870/?type=3",NA,41,2,41,2,0,1,0,0
"reppeteaguilar","1088826094464593_1743523635661499","Rep. Pete Aguilar","2017-02-10","2017-02-10 22:43:35","Today I spoke with CNN's Chris Cuomo about President Trump's continued inaccurate use of the San Bernardino terror attack to justify his Muslim ban. It is both factually incorrect and inappropriate. If the president wants to talk about the attack in San Bernardino, he should focus on helping us get federal funds so survivors can get the care that they need.  https://www.youtube.com/watch?v=RlHTvc5FC-c","video","https://www.youtube.com/watch?v=RlHTvc5FC-c",NA,162,17,23,11,0,0,0,0
"reppeteaguilar","1088826094464593_1747055735308289","Rep. Pete Aguilar","2017-02-13","2017-02-13 22:19:26","On Wednesday, I'll join Jeff Horseman for a Facebook Live Town Hall. Tune in at 10:15AM on the San Bernardino Sun's Facebook page. And if you can't join us in the morning, be sure to join me for my Telephone Town Hall on Wednesday night at 6PM! http://bit.ly/2l914UZ","link","http://bit.ly/2l914UZ","bit.ly",26,9,7,1,0,0,0,0
"reppeteaguilar","1088826094464593_1749121555101707","Rep. Pete Aguilar","2017-02-15","2017-02-15 17:11:57","Quick update! We'll be starting our Facebook Live Town Hall at 10:00AM instead of 10:15AM. Be sure to visit the San Bernardino Sun's Facebook page at 10:00AM to participate.","status",NA,NA,2,2,0,0,0,0,0,0
"reppeteaguilar","1088826094464593_1749206585093204","Rep. Pete Aguilar","2017-02-15","2017-02-15 18:09:56",NA,"link","http://www.sbsun.com/general-news/20170210/join-us-live-for-a-facebook-chat-with-rep-pete-aguilar-on-donald-trumps-travel-ban-san-bernardino-terror-attack","sbsun.com",9,3,0,0,0,0,0,0
