"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"reprichardneal","325642654132598_1522278861135632","Congressman Richard Neal","2017-01-04","2017-01-04 20:23:32","It has been a busy first week as we begin the 115th Congress. I will be on MSNBC's Morning Joe tomorrow at 7:30am to give you the latest update from Washington.","status",NA,NA,69,15,4,3,0,0,0,0
"reprichardneal","325642654132598_1523009571062561","Congressman Richard Neal","2017-01-05","2017-01-05 15:17:42","Missed my comments this morning on Morning Joe? Here's a recap:","video","http://www.msnbc.com/morning-joe/watch/neal-on-obamacare-gop-rhetoric-hasn-t-caught-up-with-plan-848174147847",NA,72,13,7,7,0,0,0,0
"reprichardneal","325642654132598_1524237060939812","Congressman Richard Neal","2017-01-06","2017-01-06 19:57:57","Worcester County and surrounding areas should be aware of the great event Joseph D. Early Jr., Worcester County District Attorney's Office is putting on this Monday, January 9 with the Central Mass Opioid Task Force. Information is below.","photo","https://www.facebook.com/reprichardneal/photos/a.325829677447229.94581.325642654132598/1524237060939812/?type=3",NA,6,0,1,0,0,0,0,0
"reprichardneal","325642654132598_1525262044170647","Congressman Richard Neal","2017-01-07","2017-01-07 21:32:49","The report released by our nation’s top intelligence agencies this week about Russia’s attempt to influence the 2016 presidential campaign is blunt, unprecedented and should be deeply troubling to every American. The unanimous assessment of the CIA, the FBI, and the National Security Agency is that Vladimir Putin personally hoped to undermine public faith in the democratic process through a highly sophisticated campaign of cyber-attacks and espionage. And in the process, help discredit and denigrate Hillary Clinton and significantly improve the chances of Donald Trump.   I strongly agree with Director of National Intelligence, James Clapper, that public trust in the professionalism of America’s intelligence agencies is essential. Disparaging their credibility is something Democrats and Republicans take very seriously. But in numerous tweets, President-elect Trump continues to be skeptical of their findings, and has recently expressed more support for the national security views of  controversial WikiLeaks founder Julian Assange. With the publication of yesterday’s U.S. intelligence report, however, any doubts about the Kremlin’s involvement in the 2016 election should be put to rest.   This week, I joined more than 170 of my colleagues in the House of Representatives calling for an independent, bipartisan commission to investigate foreign interference in the 2016 election. In my opinion, it is time to put politics aside, find out how this extraordinary security breach with Russia occurred, and hold those responsible accountable. We simply cannot let our democratic institutions to be compromised again.","status",NA,NA,269,69,44,9,0,1,1,12
"reprichardneal","325642654132598_1530251073671744","Congressman Richard Neal","2017-01-12","2017-01-12 21:03:45","I spoke in front of the National Press Club today to discuss the priorities in the 115th Congress. These included promising to protect the future of the Affordable Care Act against efforts to repeal it without a replacement plan, and the prospects of tax reform in the incoming administration.  To listen to the full speech, please click on the link below.  goo.gl/w3UUCT","photo","https://www.facebook.com/reprichardneal/photos/a.325829677447229.94581.325642654132598/1530251073671744/?type=3",NA,103,14,10,4,0,0,0,0
"reprichardneal","325642654132598_1531361163560735","Congressman Richard Neal","2017-01-13","2017-01-13 22:09:42","Today’s vote shows just how out of touch Republicans really are with middle-class families. For seven years, Republicans have railed against the Affordable Care Act but have failed to even agree on a single plan to adequately replace this landmark law. Despite Republican rhetoric, the facts are clear: this repeal plan would take away health insurance from nearly 30 million men, women, and children in this country. This job-killing proposal would hurt local hospitals and have a devastating economic impact on communities across the country. It would put insurance companies back in control of Americans’ health care by cutting consumer protections. And it would enable insurers to deny people coverage simply because they have pre-existing conditions like asthma or diabetes. This couldn’t get any farther from the ‘Better Way’ that Republicans promised for the American people. Democrats are united in our efforts to protect the progress we have achieved under the ACA.","status",NA,NA,164,45,33,1,1,1,10,19
"reprichardneal","325642654132598_1532467893450062","Congressman Richard Neal","2017-01-14","2017-01-14 21:53:10","John Lewis has been my good friend and colleague for nearly 30 years. He is a Civil Rights icon and an American hero. His extraordinary courage has made our country a better and more inclusive place. And his quiet dignity has been a source of inspiration for countless people across the globe. I am always proud to stand with John Lewis.","status",NA,NA,598,65,37,57,0,0,0,6
"reprichardneal","325642654132598_1535553303141521","Congressman Richard Neal","2017-01-17","2017-01-17 21:09:43","Today I visited with staff, students, and teachers at Hoosac Valley Middle & High School, Williams College, and MCLA. As a former high school teacher and current professor at UMass Amherst, I always enjoy getting into the classroom and taking questions from students of any age.","photo","https://www.facebook.com/reprichardneal/photos/a.838689092827949.1073741866.325642654132598/1535552476474937/?type=3",NA,44,1,1,4,0,0,0,0
"reprichardneal","325642654132598_1537899949573523","Congressman Richard Neal","2017-01-19","2017-01-19 21:00:34","On his last day in office, I want to thank President Obama for his remarkable leadership. It was an honor to work with him to help improve the lives of so many Americans. I wish him and Michelle the very best.","photo","https://www.facebook.com/reprichardneal/photos/a.325829677447229.94581.325642654132598/1537899949573523/?type=3",NA,612,15,20,63,1,0,1,0
"reprichardneal","325642654132598_1537967469566771","Congressman Richard Neal","2017-01-20","2017-01-20 02:55:43","I have known Martin McGuinness for nearly 25 years and regard him as a close and dear friend. During that period of time, he has taken extraordinary risks for peace on the island of Ireland. Due to his leadership, a long conflict has come to an end, a society has been transformed, and a younger generation can now look forward to a shared and more prosperous future. Like many in America, I believe the Irish peace process was a model of successful conflict resolution, and Martin’s indispensable role in that effort can never be overstated. And as the co-equal leader of the power-sharing government in Belfast, his tenure will be remembered for its inclusivity, courage and mutual respect. He may be stepping aside from politics, but his remarkable work in Ireland and across the globe will be remembered for years to come. I wish him and his family nothing but the very best.","status",NA,NA,47,0,4,3,0,0,0,0
"reprichardneal","325642654132598_1546684402028411","Congressman Richard Neal","2017-01-26","2017-01-26 18:07:25","I was delighted to welcome individuals from the Soldiers' Home in Holyoke to Springfield Union Station this morning with Mayor Domenic Sarno and Superintendent Bennett Walsh. Since Union Station opened in 1926, it served as a hub for travel in every direction as it sits at the crossroads of New England. The soldiers who came to tour the station today left for war right through this station - some before they were even twenty years old. It was my pleasure to welcome them back today to thank them for their service and show our appreciation for their sacrifices.","photo","https://www.facebook.com/reprichardneal/photos/a.325829677447229.94581.325642654132598/1546683515361833/?type=3",NA,77,3,5,5,0,0,0,0
"reprichardneal","325642654132598_1551011154929069","Congressman Richard Neal","2017-01-29","2017-01-29 20:44:16","President Trump’s travel ban is wrong, divisive and contrary to America’s core values. Turning our back on refugees fleeing conflict and persecution will only damage our reputation around the globe. It will energize those bad actors who seek to do us harm. And judging by the chaos and confusion at our nation’s airports, the controversial executive order was not thoroughly vetted with the appropriate federal authorities.   For more than 200 years, the Great Seal of the United States has been inscribed with the motto “E Pluribus Unum.” It means from many, we are one. President Trump’s ill-advised executive order, issued in his first week in office, contradicts that historical belief. As a result, I will support legislation in Congress this week to immediately overturn this misguided policy.","status",NA,NA,765,132,104,62,0,7,0,2
