"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repscottperry","376801102416184_1205228089573477","Rep. Scott Perry","2017-01-01","2017-01-01 16:20:36","Happy New Year from my family to yours.","video","https://www.facebook.com/repscottperry/videos/1205228089573477/",NA,171,20,5,4,0,0,0,0
"repscottperry","376801102416184_1215576185205334","Rep. Scott Perry","2017-01-02","2017-01-02 16:30:04","Good luck to the Big Ten Conference Champion Penn State Football team in the #RoseBowl today! #WeAre","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1215576185205334/?type=3",NA,20,3,3,2,0,0,0,0
"repscottperry","376801102416184_1219117748184511","Rep. Scott Perry","2017-01-10","2017-01-10 18:21:31","Dogs are commonly known as ""man's best friend."" I couldn't agree more.  I’m happy to be an original cosponsor of H. Res. 30,  which condemns China’s Yulin Dog Meat Festival and calls on the Chinese Government to end the dog meat trade.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1219117748184511/?type=3",NA,86,11,7,7,1,0,0,2
"repscottperry","376801102416184_1219177331511886","Rep. Scott Perry","2017-01-04","2017-01-04 19:28:16","This week, the House will vote on the #REINSAct to curb unnecessary and burdensome regulations from unelected bureaucrats.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1219177331511886/?type=3",NA,18,14,0,0,1,1,0,1
"repscottperry","376801102416184_1219178214845131","Rep. Scott Perry","2017-01-03","2017-01-03 22:58:19","A year ago, House Republicans set out to create a bold, specific agenda by listening to people in every corner of America.  A #BetterWay addresses some of the biggest challenges we face, like restoring the people’s voice in government, repealing and replacing Obamacare, and implementing pro-growth tax reform. #OpeningDay","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1219178214845131/?type=3",NA,32,17,1,0,0,0,0,0
"repscottperry","376801102416184_1219840058112280","Rep. Scott Perry","2017-01-04","2017-01-04 17:03:41","I’m proud that the very first bills considered in the new Congress help the brave men and women who have served our country in uniform. These bipartisan initiatives will make the VA more accountable and ensure Veterans receive the best quality health care available. Learn more here: http://bit.ly/2iPj9Dh","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1219840058112280/?type=3",NA,41,5,9,0,0,0,0,0
"repscottperry","376801102416184_1219905568105729","Rep. Scott Perry","2017-01-05","2017-01-05 21:52:26","Here’s a write-up from FreedomWorks on my bill to prevent attempts by any President to enable the EPA to bypass Congress and give itself jurisdiction over every state’s energy sector. http://bit.ly/2iDq3w3","link","http://bit.ly/2iDq3w3","bit.ly",42,14,6,5,0,0,0,0
"repscottperry","376801102416184_1220659164697036","Rep. Scott Perry","2017-01-05","2017-01-05 14:39:16","Our constitutional principles remain timeless and it’s fitting that we start the 115th Congress by reading the Constitution aloud on the floor of the House of Representatives. #Constitution115","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1220659164697036/?type=3",NA,28,6,1,0,1,0,0,0
"repscottperry","376801102416184_1220864951343124","Rep. Scott Perry","2017-01-05","2017-01-05 19:54:01","As those employees who called attention to the mistreatment of our Nation’s Veterans at the Veterans Affairs hospitals know firsthand, “whistleblowers” are critical in exposing abuse and mismanagement in our government. I’m proud the House passed H.R. 69 to protect these employees from retaliation. Learn more here: http://bit.ly/2hVYJff","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1220864951343124/?type=3",NA,12,1,0,0,0,0,0,0
"repscottperry","376801102416184_1220871901342429","Rep. Scott Perry","2017-01-08","2017-01-08 17:24:17","Here's a story on my bill to get America's fiscal house in order: http://bit.ly/2igeLNb","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1220871901342429/?type=3",NA,93,16,4,3,3,1,0,0
"repscottperry","376801102416184_1221004807995805","Rep. Scott Perry","2017-01-06","2017-01-06 00:19:05","Here's my statement on the House-passed bipartisan resolution to reject recent anti-Israel actions by the United Nations: http://bit.ly/2iGY1li","link","http://bit.ly/2iGY1li","bit.ly",70,13,5,0,0,0,0,0
"repscottperry","376801102416184_1221900071239612","Rep. Scott Perry","2017-01-06","2017-01-06 18:15:44","This week, I introduced the DHS SAVE Act, which increases accountability in the Department of Homeland Security. Read more about it here: http://bit.ly/2hXWyIg","link","http://bit.ly/2hXWyIg","bit.ly",54,11,2,1,0,0,0,0
"repscottperry","376801102416184_1221985514564401","Rep. Scott Perry","2017-01-06","2017-01-06 20:49:10","Here's a quick rundown of a busy week in Congress.","video","https://www.facebook.com/repscottperry/videos/1221985514564401/",NA,82,23,61,2,0,0,0,0
"repscottperry","376801102416184_1222785621151057","Rep. Scott Perry","2017-01-07","2017-01-07 21:11:15","Happy to vote for H.R. 21 this week, which allows congressional resolutions that disapprove of multiple “midnight rules” - politically-driven regulations made during an Administration’s final months in office. http://bit.ly/2j7r12n","link","http://bit.ly/2j7r12n","bit.ly",96,22,5,8,0,2,0,4
"repscottperry","376801102416184_1224170367679249","Rep. Scott Perry","2017-01-09","2017-01-09 18:53:46","Thank you to the Men and Women in Blue willing to give up their own lives to protect total strangers every day. #ThankACop","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1224170367679249/?type=3",NA,95,1,32,2,0,0,0,0
"repscottperry","376801102416184_1224378980991721","Rep. Scott Perry","2017-01-09","2017-01-09 22:14:17","I have a blue light in my office window for #LawEnforcementAppreciationDay.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1224378980991721/?type=3",NA,111,4,0,2,0,0,0,0
"repscottperry","376801102416184_1225129410916678","Rep. Scott Perry","2017-01-12","2017-01-12 19:05:13","#PSA: The Social Security Administration is suspending mailings of paper Social Security Statements to workers under the age of 60. SSA will continue mailing Statements to those 60 and over who do not have a “my Social Security” online account and are not receiving Social Security benefits. More here: http://bit.ly/2jA1tPS","link","http://bit.ly/2jA1tPS","bit.ly",6,1,1,0,0,1,0,0
"repscottperry","376801102416184_1225153460914273","Rep. Scott Perry","2017-01-11","2017-01-11 15:02:58","I voted for the #HALOSAct to increase opportunities for investment in America’s job-creating startups.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1225153460914273/?type=3",NA,7,0,0,0,0,0,0,0
"repscottperry","376801102416184_1227005487395737","Rep. Scott Perry","2017-01-13","2017-01-13 19:10:20","Emergency responders from the Franklintown & Community Fire Company, Citizens Hose Company No.1 and Holy Spirit EMS were recognized this week for their life-saving efforts during a cardiac arrest call that took place in Franklintown Borough in March of last year. I was proud to help recognize their teamwork, professionalism and dedication to duty. They exemplify the highest ideals of public service.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1227005487395737/?type=3",NA,31,1,2,0,0,0,0,0
"repscottperry","376801102416184_1227006007395685","Rep. Scott Perry","2017-01-15","2017-01-15 14:26:07","AgChoice Farm Credit has been providing financial services to local farmers and rural communities across the 4th Congressional District for about 50 years. They recently held a ribbon cutting for a new York office at 1434 Seven Valleys Road. The Farm Credit System was chartered by Congress more than 100 years ago and is the nation's largest source of agricultural financing.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1227006007395685/?type=3",NA,12,4,0,0,0,0,0,0
"repscottperry","376801102416184_1227007224062230","Rep. Scott Perry","2017-01-16","2017-01-16 13:57:52","Today we celebrate the life and legacy of Dr. Martin Luther King. #MLKDAY","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1227007224062230/?type=3",NA,23,7,0,1,0,0,0,0
"repscottperry","376801102416184_1227008670728752","Rep. Scott Perry","2017-01-24","2017-01-24 14:00:05","I strongly believe that oversight of K-12 education should belong to parents, school districts and state governments, not Washington. National School School Choice Week raises awareness of all types of education options for children, including traditional public schools, public charter schools, online learning, private schools, and homeschooling.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1227008670728752/?type=3",NA,52,16,5,6,0,0,1,1
"repscottperry","376801102416184_1227009000728719","Rep. Scott Perry","2017-01-28","2017-01-28 14:00:06","January is National Blood Donation Month.  Blood donors make lifesaving contributions to modern healthcare and their fellow citizens every day. I thank all who've donated in the past and encourage everyone who is able to roll up a sleeve and help save lives.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1227009000728719/?type=3",NA,7,3,0,0,0,0,0,0
"repscottperry","376801102416184_1227036864059266","Rep. Scott Perry","2017-01-13","2017-01-13 21:09:20","I voted today on a resolution to take the first step towards repealing #Obamacare.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1227036864059266/?type=3",NA,344,131,40,39,0,1,2,22
"repscottperry","376801102416184_1228545083908444","Rep. Scott Perry","2017-01-14","2017-01-14 15:46:02","Here's a column I wrote on why #Obamacare needs to be repealed and replaced: http://bit.ly/2jt1rWN","link","http://bit.ly/2jt1rWN","bit.ly",155,63,21,6,1,1,2,14
"repscottperry","376801102416184_1231378503625102","Rep. Scott Perry","2017-01-16","2017-01-16 21:00:46","Honored to volunteer at the Central Pennsylvania Food Bank in Harrisburg to pack boxes for the MilitaryShare program as part of #MLKDayofService","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1231378503625102/?type=3",NA,178,6,10,7,0,0,0,0
"repscottperry","376801102416184_1231381996958086","Rep. Scott Perry","2017-01-21","2017-01-21 17:00:13","Privileged to attend the Crispus Attucks 35th Annual Day of Service in the City of York this past Monday. #MLKDayofService.","photo","https://www.facebook.com/repscottperry/photos/a.379514205478207.86070.376801102416184/1231381996958086/?type=3",NA,19,2,0,0,0,0,0,0
"repscottperry","376801102416184_1232369846859301","Rep. Scott Perry","2017-01-17","2017-01-17 20:47:38","Today I unveiled bipartisan legislation to ensure the Crime Victims Fund is used only to assist crime victims, rather than paying for unrelated federal projects.  http://bit.ly/2jtI6HW","link","http://bit.ly/2jtI6HW","bit.ly",67,4,0,1,0,0,0,0
"repscottperry","376801102416184_1232486833514269","Rep. Scott Perry","2017-01-18","2017-01-18 00:11:31","I am disgusted by the President's decision to free a person who egregiously betrayed our Nation and endangered innocent lives. http://bit.ly/2jlsUdc","link","http://bit.ly/2jlsUdc","bit.ly",176,86,55,2,0,3,9,129
