"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repshimkus","123916254317516_1368422393200223","Congressman John Shimkus","2017-01-02","2017-01-02 20:57:07","On my way to Washington to be sworn into the new Congress. If we ever had a chance to streamline government and ease the burden on average Americans, now is the time and I'm excited to be part of it!","link","https://www.majorityleader.gov/weekly-schedule/","majorityleader.gov",162,19,7,4,1,0,0,0
"repshimkus","123916254317516_1370314763010986","Congressman John Shimkus","2017-01-03","2017-01-03 16:25:39","Contrary to sensationalized media coverage, the reality is that these reforms preserve the primary function and independence of the Office of Congressional Ethics, and seek to improve its effectiveness by preventing frivolous complaints and protecting the integrity of its investigations.","link","http://thehill.com/blogs/congress-blog/judicial/312439-rules-amendment-strengthens-mission-of-oce","thehill.com",22,41,6,0,1,2,0,5
"repshimkus","123916254317516_1370957539613375","Congressman John Shimkus","2017-01-03","2017-01-03 22:39:04","I, John Shimkus, do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter. So help me God.","photo","https://www.facebook.com/repshimkus/photos/a.164266236949184.28830.123916254317516/1370957539613375/?type=3",NA,423,41,15,23,2,0,0,1
"repshimkus","123916254317516_1372588676116928","Congressman John Shimkus","2017-01-04","2017-01-04 15:33:14","On the first day of the 115th Congress, the House passed two bills to make the U.S. Department of Veterans Affairs more accountable.","link","http://www.foxnews.com/politics/2017/01/04/new-congress-hears-trumps-campaign-call-passes-pair-pro-vet-bills.html","foxnews.com",52,2,12,2,0,0,0,0
"repshimkus","123916254317516_1374789192563543","Congressman John Shimkus","2017-01-05","2017-01-05 15:08:10","It's that time of year again!","link","http://44news.wevv.com/shimkus-asks-residents-participate-valentines-heroes-program/","44news.wevv.com",56,0,17,2,0,0,0,0
"repshimkus","123916254317516_1376649062377556","Congressman John Shimkus","2017-01-06","2017-01-06 18:24:18","Today we're making it official. Congratulations to President-elect Donald Trump and Vice President-elect Mike Pence. Excited to work with both of them to #MAGA!","link","https://www.c-span.org/video/?421237-1%2Fjoint-session-congress-meets-certify-electoral-college-results","c-span.org",65,18,2,4,0,0,1,7
"repshimkus","123916254317516_1381290715246724","Congressman John Shimkus","2017-01-09","2017-01-09 19:21:08","Have you thanked a police officer today?","photo","https://www.facebook.com/repshimkus/photos/a.164266236949184.28830.123916254317516/1381290715246724/?type=3",NA,44,3,9,3,0,0,0,0
"repshimkus","123916254317516_1382977305078065","Congressman John Shimkus","2017-01-10","2017-01-10 15:27:07","I’m honored and excited to continue working on issues that directly affect central and southern Illinois.","link","http://illinoisreview.typepad.com/illinoisreview/2017/01/shimkus-to-chair-committee-set-to-rein-in-epa-and-anti-coal-regs.html","illinoisreview.typepad.com",257,30,16,15,0,0,2,1
"repshimkus","123916254317516_1385429201499542","Congressman John Shimkus","2017-01-11","2017-01-11 19:41:07","Met with Christians United for Israel (CUFI) today. Israel is a loyal ally and longtime friend of the United States. ������������������������","photo","https://www.facebook.com/repshimkus/photos/a.164266236949184.28830.123916254317516/1385429201499542/?type=3",NA,53,1,3,3,0,0,0,0
"repshimkus","123916254317516_1386393754736420","Congressman John Shimkus","2017-01-12","2017-01-12 15:51:26","I've heard similar stories from all across my district...   - David in Highland wrote to tell me his family's costs went from $500/mo with a $1,500 deductible to $990/mo with a $12,600 deductible.   - Bradley in Mahomet emailed that his premiums went from $78 to $167/mo for ""a much worse plan with a high out of pocket cost!""   - And Lisa in Bismark told me her monthly premiums jumped from ""a little over $200 to currently $450."" She learned that, this year, her premiums will top $678/mo.","link","https://waysandmeans.house.gov/words-obamacare-hurts-americans-walks-life/","aysandmeans.house.gov",50,62,34,0,0,5,3,15
"repshimkus","123916254317516_1387891021253360","Congressman John Shimkus","2017-01-13","2017-01-13 21:31:46","This is going to happen. And there's going to be a replacement that is better than #Obamacare.","video","https://www.facebook.com/repshimkus/videos/1387891021253360/",NA,126,42,32,8,5,0,1,2
"repshimkus","123916254317516_1388579801184482","Congressman John Shimkus","2017-01-14","2017-01-14 14:09:42","It is pretty, but I don't like it.","photo","https://www.facebook.com/repshimkus/photos/a.164266236949184.28830.123916254317516/1388579801184482/?type=3",NA,81,7,2,0,3,0,1,0
"repshimkus","123916254317516_1389913547717774","Congressman John Shimkus","2017-01-15","2017-01-15 18:51:42","Illinoisans are paying more and getting less under #Obamacare.   Relief is on the way!","photo","https://www.facebook.com/repshimkus/photos/a.164266236949184.28830.123916254317516/1389913547717774/?type=3",NA,69,40,56,2,1,3,1,11
"repshimkus","123916254317516_1392871660755296","Congressman John Shimkus","2017-01-18","2017-01-18 15:20:18","This project, many years in the making, is an example of how congressionally directed spending can help state and local leaders make necessary and important infrastructure improvements.","link","https://www.riverbender.com/articles/details/governer-rauner-announces-completion-of-new-illinois-route-29-expansion-17758.cfm#.WH-BglMrKM8","riverbender.com",48,4,3,0,0,0,0,0
"repshimkus","123916254317516_1393943530648109","Congressman John Shimkus","2017-01-19","2017-01-19 14:49:12","My friend Tom Price is exactly right → ""There has been a lot of talk about individuals losing health coverage. That is not our goal, nor is it our desire nor is it our plan.”","link","http://dailysignal.com/2017/01/18/hhs-pick-tom-price-pledges-to-meet-needs-of-all-after-obamacare-repeal/","dailysignal.com",36,27,13,2,1,0,0,2
"repshimkus","123916254317516_1395072003868595","Congressman John Shimkus","2017-01-20","2017-01-20 18:54:21","An exciting and historic day. Congratulations, President Donald J. Trump!   Together we will make America strong again. We will make America wealthy again. We will make America proud again. We will make America safe again - and yes, together, WE WILL MAKE AMERICA GREAT AGAIN!","status",NA,NA,156,33,4,11,3,0,0,10
"repshimkus","123916254317516_1396072050435257","Congressman John Shimkus","2017-01-21","2017-01-21 18:09:48","Thank you to the Capitol Police, Secret Service, and all the law enforcement, military, staff and volunteers who made our nation's 58th Inaugural Ceremonies a great success.","link","http://www.effinghamdailynews.com/news/local_news/trump-s-speech-was-awesome-says-effingham-man-who-attended/article_f646454c-76de-5fe9-92fb-3a1152bad5f6.html","effinghamdailynews.com",121,12,1,5,0,0,0,2
"repshimkus","123916254317516_1398198933555902","Congressman John Shimkus","2017-01-23","2017-01-23 15:38:24","What we're trying to do is keep the plants and the coal mines that are operating today operating.","link","http://altondailynews.com/news/details.cfm?clientid=17&id=234784#.WIYiyFMrKM9","altondailynews.com",97,25,20,4,0,0,0,4
"repshimkus","123916254317516_1399555200086942","Congressman John Shimkus","2017-01-24","2017-01-24 18:19:16","Important #ProLife vote in Washington today. Here's what #HR7 it does:","video","https://www.facebook.com/repshimkus/videos/1399555200086942/",NA,70,20,12,9,0,0,0,6
"repshimkus","123916254317516_1399964410046021","Congressman John Shimkus","2017-01-25","2017-01-25 01:51:57","Great news! I was proud to support #HR7 so your tax dollars won't be used to pay for abortions.","link","http://www.lifenews.com/2017/01/24/president-donald-trump-will-sign-bill-permanently-banning-taxpayer-funding-of-abortions/","lifenews.com",472,77,41,51,0,0,0,30
"repshimkus","123916254317516_1400637673312028","Congressman John Shimkus","2017-01-25","2017-01-25 15:04:40","Welcome news on #KXL and #DAPL. I look forward to working with a president who values American energy affordability, jobs, security, and new infrastructure development.","link","http://www.stltoday.com/news/local/govt-and-politics/trump-s-out-of-the-gate-pushes-on-energy-other/article_301d2faf-1afb-545b-a3dd-2123064015ab.html","stltoday.com",104,16,13,3,0,0,1,9
"repshimkus","123916254317516_1401873486521780","Congressman John Shimkus","2017-01-26","2017-01-26 17:18:30","The Marion VA Medical Center is hopping today. Thank you Director Ginsburg for the update.","photo","https://www.facebook.com/repshimkus/photos/a.164266236949184.28830.123916254317516/1401873486521780/?type=3",NA,12,4,1,0,0,0,0,0
"repshimkus","123916254317516_1402041223171673","Congressman John Shimkus","2017-01-26","2017-01-26 20:21:47","Checked out the new Massac County fire truck, which was purchased with assistance from a federal grant. Also took some questions from The Metropolis Planet about 2 minutes into the video below.","video","https://youtu.be/abLQyChDZYQ",NA,27,8,3,1,0,0,0,0
"repshimkus","123916254317516_1403145619727900","Congressman John Shimkus","2017-01-27","2017-01-27 15:32:53","I would like to have at least some physical structure that you have to climb over or scale to come into our country. And then I'd also like to have a nice entry way for people who want to enter legally.","link","http://www.wsiltv.com/story/34358338/rep-shimkus-will-support-trumps-border-wall-but-thinks-us-taxpayers-will-pay","wsiltv.com",200,78,13,12,2,0,2,19
"repshimkus","123916254317516_1403427586366370","Congressman John Shimkus","2017-01-27","2017-01-27 20:11:45","“I’ve noticed that everyone who is for abortion has already been born.” – President Ronald Reagan","link","http://www.effinghamdailynews.com/news/local_news/local-residents-head-to-march-for-life-in-washington/article_0694a110-f3d1-565b-a7f1-b00be061a75f.html","effinghamdailynews.com",278,30,20,20,4,0,0,3
"repshimkus","123916254317516_1404611486247980","Congressman John Shimkus","2017-01-28","2017-01-28 22:20:30","Just one week left to get your valentines to any of my district offices. Let's make this the biggest year yet!","link","http://www.stltoday.com/suburban-journals/illinois/shimkus-kicks-off-annual-valentines-for-heroes-program/article_1744a508-4a44-5cc9-b93f-1bd038704ebf.html","stltoday.com",53,17,12,1,0,0,0,0
"repshimkus","123916254317516_1406476252728170","Congressman John Shimkus","2017-01-30","2017-01-30 14:17:44","My record on this issue is clear, and has not changed: I support a vetting process that ensures every refugee, migrant or foreign national is not a security threat prior to his or her admission to the United States. That’s why I supported bipartisan legislation to stop the resettlement of Syrian and Iraqi refugees until our nation’s top security officials can be certain that each individual poses no threat to our homeland.","link","http://www.nationalreview.com/article/444370/donald-trump-refugee-executive-order-no-muslim-ban-separating-fact-hysteria","nationalreview.com",95,51,8,12,0,0,0,14
"repshimkus","123916254317516_1406737236035405","Congressman John Shimkus","2017-01-30","2017-01-30 19:04:42","The most immediate way the U.S. can help refugees fleeing Iraq and Syria is to establish and guarantee safe havens within the region where they can access vital humanitarian assistance.","link","http://illinoisreview.typepad.com/illinoisreview/2017/01/shimkus-supports-stepped-up-vetting-process-for-those-seeking-entry-to-us.html","illinoisreview.typepad.com",163,29,11,12,1,0,3,7
"repshimkus","123916254317516_1407561762619619","Congressman John Shimkus","2017-01-31","2017-01-31 15:18:52","These are exciting times. We finally have an administration that understands the importance of achieving energy independence and security.","link","http://thehill.com/opinion/op-ed/316960-the-time-is-now-for-real-energy-reform","thehill.com",51,12,7,2,1,0,0,7
