"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repstaceyplaskett","665951613514437_1065761770200084","Congresswoman Stacey Plaskett","2017-01-03","2017-01-03 16:59:18","Today begins the 115th Congress. Watch the opening live on C-SPAN.","link","https://www.c-span.org/video/?420049-2%2Fwashington-journal-preview-115th-congress","c-span.org",13,2,6,0,0,0,0,0
"repstaceyplaskett","665951613514437_1065933990182862","Congresswoman Stacey Plaskett","2017-01-03","2017-01-03 23:02:19","Today allows us to continue our efforts on behalf of the people of the Virgin Islands. It also marks a time of uncertainty, as we begin the 115th Congress amid a high level of uncertainty and hostility, nationally, as well as an incoming Trump Administration that has raised questions and concerns for many of our residents back at home. My office will continue to remain vigilant and pro-active in our efforts to advance the interest of the Virgin Islands and its people.","link","https://plaskett.house.gov/media-center/press-releases/plaskett-begins-second-term-congress","plaskett.house.gov",39,4,2,4,0,0,0,0
"repstaceyplaskett","665951613514437_1066571006785827","Congresswoman Stacey Plaskett","2017-01-04","2017-01-04 18:55:30",NA,"link","https://www.c-span.org/video/?c4641097%2Fplaskett-territorial-delegates-allowed-vote-speaker-house","c-span.org",18,0,33,1,0,0,0,0
"repstaceyplaskett","665951613514437_1066575296785398","Congresswoman Stacey Plaskett","2017-01-04","2017-01-04 19:00:54","The fact that the five Delegates from the Territories, who represent more than 4 million Americans, can't even cast a vote for the Speaker of the House, at this juncture in the United States, is disheartening and why I will continue to beat the drum for equal treatment and full inclusion. #USVIdelegate","link","https://plaskett.house.gov/media-center/press-releases/plaskett-addresses-voting-rights-new-congress","plaskett.house.gov",49,7,15,2,0,0,0,0
"repstaceyplaskett","665951613514437_1071921839584077","Congresswoman Stacey Plaskett","2017-01-11","2017-01-11 17:51:42","Thank you to everyone who contributed to making this year's Crucian Christmas Festival the success that it was! A special thank you to the participants, onlookers and the Crucian Carnival Committee. #USVIdelegate","photo","https://www.facebook.com/repstaceyplaskett/photos/a.671853769590888.1073741828.665951613514437/1071914686251459/?type=3",NA,17,1,3,6,0,0,0,0
"repstaceyplaskett","665951613514437_1073617779414483","Congresswoman Stacey Plaskett","2017-01-13","2017-01-13 17:12:42",NA,"link","https://newdemocratcoalition-himes.house.gov/media-center/press-releases/new-democrat-coalition-opposes-speaker-ryan-s-plan-to-repeal-aca","newdemocratcoalition-himes.house.gov",8,0,0,0,0,0,0,0
"repstaceyplaskett","665951613514437_1076252692484325","Congresswoman Stacey Plaskett","2017-01-16","2017-01-16 15:20:28","While we honor his legacy, let us not lose sight of what he stood for. #justice #equality #enfranchisement","photo","https://www.facebook.com/repstaceyplaskett/photos/a.671853769590888.1073741828.665951613514437/1076252692484325/?type=3",NA,17,1,3,2,0,0,0,0
"repstaceyplaskett","665951613514437_1080563128719948","Congresswoman Stacey Plaskett","2017-01-21","2017-01-21 16:30:15","Given the rhetoric of this past election cycle, today, is as important a time to stand in solidarity and demonstrate our intolerance for hatred and acts of violence toward, not only women, but everyone—irrespective of race, sex, religion or socioeconomic status.   It is a time to be both vigilant and steadfast.   A time to band together to not only protect the core democratic values that make our communities—and this nation—stronger, safer and more productive, but also to hold those purveyors of hate and intolerance accountable for their words and their actions. #WomensMarch #USVIdelegate","photo","https://www.facebook.com/repstaceyplaskett/photos/a.671853769590888.1073741828.665951613514437/1080563128719948/?type=3",NA,35,2,10,4,0,0,0,0
"repstaceyplaskett","665951613514437_1082676981841896","Congresswoman Stacey Plaskett","2017-01-23","2017-01-23 22:25:55","I am scheduled to lead the Congressional Black Caucus' response to President Trump's New Deal for African Americans this evening in Congress. You can watch it live on C-Span at around 8:30 pm ET https://www.c-span.org/video/?422371-102/us-house-legislative-business&live #USVIdelegate","link","https://www.c-span.org/video/?422371-102%2Fus-house-legislative-business&live","c-span.org",28,1,14,1,0,0,0,0
"repstaceyplaskett","665951613514437_1083385451771049","Congresswoman Stacey Plaskett","2017-01-24","2017-01-24 15:28:35",NA,"link","https://www.c-span.org/video/?c4651536%2Frep-plaskett-cbc-respond-trumps-new-deal-black-america","c-span.org",18,0,6,0,0,0,0,0
"repstaceyplaskett","665951613514437_1084409088335352","Congresswoman Stacey Plaskett","2017-01-25","2017-01-25 15:14:04","Energy policy, fish and wildlife programs, and public lands—in our case National Parks—are all overseen by this Subcommittee. I want to use this position to highlight the delicate balance that must be struck to allow Virgin Islands industries to flourish, while protecting our natural resources. I also plan to highlight how the federal government has not fully considered the effects of regulations to private property rights and its impact on the livelihood and economic growth in the territory. #USVIdelegate","link","https://plaskett.house.gov/media-center/press-releases/plaskett-named-ranking-member-oversight-subcommittee","plaskett.house.gov",76,18,11,8,0,0,0,0
"repstaceyplaskett","665951613514437_1088821791227415","Congresswoman Stacey Plaskett","2017-01-30","2017-01-30 19:02:30","While I had planned to attend the originally scheduled Governor’s State of the Territory speech on January 23rd last week, I will be in Washington for the rescheduled January 30th event. Congress is in session and I have a commitment as the House floor manager during that time. I will also be attending a meeting Tuesday with Speaker of the House Paul Ryan and Congressional leadership to discuss the critical issues confronting our territory. #USVIdelegate","link","https://plaskett.house.gov/media-center/press-releases/plaskett-remain-washington-during-state-territory-address","plaskett.house.gov",28,3,3,3,0,0,0,0
