"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"reptomemmer","714180948636232_1237607646293557","Congressman Tom Emmer","2017-01-02","2017-01-02 16:56:43","I believe that town halls are one of the most important parts of my job because they allow me to speak to and hear from the wonderful constituents of Minnesota’s Sixth District. That is why during the 114th Congress, I hosted 24 town halls throughout the district in my first 24 months in office. Check out my latest blog post to learn all about my town halls and more about why I think they are crucial!","link","https://medium.com/@RepTomEmmer/24-town-halls-in-24-months-140ba8ab3cfc#.aszmm6ehs","medium.com",40,2,2,0,0,0,0,0
"reptomemmer","714180948636232_1241471355907186","Congressman Tom Emmer","2017-01-04","2017-01-04 18:55:21","In my first speech of the 115th Congress, I thanked the men and women who bravely serve our nation.","video","https://www.facebook.com/reptomemmer/videos/1241471355907186/",NA,95,13,9,4,0,0,0,0
"reptomemmer","714180948636232_1242295312491457","Congressman Tom Emmer","2017-01-05","2017-01-05 20:28:08","Today I took to the House Floor to discuss the problem of excessive government. For the past eight years, opportunity in America has been under attack by regulations and unelected regulators from Washington. If every American is to have the ability to pursue the American dream, this must end. To learn more, watch my speech below.","video","https://www.facebook.com/reptomemmer/videos/1242295312491457/",NA,105,19,26,3,0,1,0,0
"reptomemmer","714180948636232_1242489362472052","Congressman Tom Emmer","2017-01-06","2017-01-06 02:27:18","#TBT to when I was first sworn in as a Member of Congress. Glad none of mine dabbed.","photo","https://www.facebook.com/reptomemmer/photos/a.783160458404947.1073741829.714180948636232/1242489362472052/?type=3",NA,92,7,0,3,5,1,0,0
"reptomemmer","714180948636232_1243005132420475","Congressman Tom Emmer","2017-01-06","2017-01-06 15:58:42","The 115th Congress is officially underway, and the first week was a success. Be sure to sign up for my weekly newsletter to learn all about the start of the new Congress and to keep up to date with our activities this year!","link","https://emmer.house.gov/contact/newsletter","emmer.house.gov",11,0,0,0,0,0,0,0
"reptomemmer","714180948636232_1243151392405849","Congressman Tom Emmer","2017-01-06","2017-01-06 19:39:28","Like all of you, I myself have a lot of expectations for what needs be accomplished over the next few years. The American people spoke on Election Day and made it clear that they want things to change. So that is our mandate. To learn more about the top items on the legislative agenda, check out my Ask Tom video below.","video","https://www.facebook.com/reptomemmer/videos/1243151392405849/",NA,38,19,1,1,0,0,0,5
"reptomemmer","714180948636232_1245356615518660","Congressman Tom Emmer","2017-01-09","2017-01-09 17:17:02","Today, on National Law Enforcement Day, I ask that you all take a moment to appreciate the men and women, whose job it is to protect our communities each and every day. Minnesota is home to many phenomenal law enforcement officers, who at times put their lives on the line to ensure our safety and security. Their jobs are not easy, but they are incredibly important, so make sure to thank a law enforcement officer today!","photo","https://www.facebook.com/reptomemmer/photos/a.783160458404947.1073741829.714180948636232/1245356615518660/?type=3",NA,45,1,12,1,0,0,0,0
"reptomemmer","714180948636232_1245534012167587","Congressman Tom Emmer","2017-01-09","2017-01-09 22:39:08","On Sunday, I attended a deployment ceremony for the members of the Minnesota Air Force Reserves 934th Airlift Wing. While watching these brave men and women saying their final goodbyes to their families, I was again reminded of the great sacrifice made by those in our nation’s armed forces. This is a sacrifice that we must never take for granted, and I can’t thank these individuals enough for their brave service.","photo","https://www.facebook.com/reptomemmer/photos/a.783160458404947.1073741829.714180948636232/1245534012167587/?type=3",NA,69,4,3,4,0,0,0,0
"reptomemmer","714180948636232_1245544452166543","Congressman Tom Emmer","2017-01-09","2017-01-09 23:03:26","Are you having difficulty navigating a federal agency? If so, never fear! My staff will be holding mobile office hours once again to assist you with any troubles that you might be having. Be sure to stop by mobile office hours tomorrow at the Watertown City Hall from 9:30 to 11:30am! If you can’t make it, then visit https://emmer.house.gov/about/events to find an upcoming event that will be more convenient for you!","photo","https://www.facebook.com/reptomemmer/photos/a.783160458404947.1073741829.714180948636232/1245544452166543/?type=3",NA,7,1,3,0,0,0,0,0
"reptomemmer","714180948636232_1245554438832211","Congressman Tom Emmer","2017-01-09","2017-01-09 23:20:37","On Law Enforcement Appreciation Day, I am displaying this blue light to honor all the courageous individuals who protect us each and every day.","photo","https://www.facebook.com/reptomemmer/photos/a.783160458404947.1073741829.714180948636232/1245554438832211/?type=3",NA,43,0,2,0,0,0,0,0
