"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"reptomrice","403403083083104_1223527847737286","Congressman Tom Rice","2017-01-01","2017-01-01 15:00:00","As we enter 2017, Wrenzie and I want to wish everyone a Happy New Year! May this year bring joy and good fortune to you and your family!","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1223527847737286/?type=3",NA,44,15,2,4,0,0,0,0
"reptomrice","403403083083104_1235560073200730","Congressman Tom Rice","2017-01-03","2017-01-03 17:34:06","Today I will be sworn in for my third term as Congressman from the 7th District of South Carolina. My job is to represent you, so I want to know- what are your top priorities for this Congress?","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1235560073200730/?type=3",NA,125,89,9,7,0,2,0,0
"reptomrice","403403083083104_1236661613090576","Congressman Tom Rice","2017-01-04","2017-01-04 22:28:08","Just joined my House colleagues in voting to stop President Obama's last minute Midnight Rules– costly and politically motivated regulations that he's been implementing on his way out of office.","link","http://thehill.com/homenews/house/312730-house-passes-bill-to-overturn-midnight-regulations-en-masse","thehill.com",253,42,49,18,4,0,1,2
"reptomrice","403403083083104_1238246766265394","Congressman Tom Rice","2017-01-06","2017-01-06 19:09:55","You probably haven't seen this in the mainstream news, but it has been gaining some traction and I wanted to bring it to your attention. Each year, members of Congress choose a winning portrait from a student in their district to be displayed in the United States Capitol. The picture below was chosen by Rep. Lacy Clay of Missouri and has since been taken down because it depicts police officers as pigs in uniforms. Rep. Clay says it is a right of free speech, but many others (including police unions) are outraged at the depiction. What do you think?","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1238246766265394/?type=3",NA,9,62,3,0,0,6,0,6
"reptomrice","403403083083104_1240070509416353","Congressman Tom Rice","2017-01-08","2017-01-08 21:31:41","I’ve heard countless stories from constituents all across the Grand Strand and Pee Dee about how Obamacare is failing them. Premiums and deductibles are both soaring, small business owners can’t afford to cover their employees, and millennials have no options. Obamacare must be repealed and replaced.","link","http://www.speaker.gov/general/speaker-ryan-law-hurting-people-right-now","speaker.gov",86,57,0,2,0,0,2,5
"reptomrice","403403083083104_1240846686005402","Congressman Tom Rice","2017-01-09","2017-01-09 23:00:00","Good luck, Clemson Football! Hoping tonight's rematch against Alabama results in a National Title! Go Tigers!!!","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1240846686005402/?type=3",NA,106,5,7,3,0,0,0,0
"reptomrice","403403083083104_1241429035947167","Congressman Tom Rice","2017-01-10","2017-01-10 13:37:50","WOW, what a game! Great effort by the whole team and especially by Socastee native Hunter Renfrow who caught the championship-winning touchdown!! Go Tigers!!!","video","https://www.facebook.com/ClemsonFB/videos/1299389896749334/",NA,136,6,0,12,0,0,0,0
"reptomrice","403403083083104_1242773249146079","Congressman Tom Rice","2017-01-12","2017-01-12 02:28:40","During her six years as the head of our state, Governor Nikki Haley has been a credit to South Carolina and to our country. She has led us through natural disasters and devastation and helped to restore competitiveness in South Carolina through job creation and business-friendly policies that grow our economy.   I thank her for her service to South Carolina and look forward to her confirmation as U.S. Ambassador to the United Nations, where I know she will continue to serve faithfully and selflessly.","status",NA,NA,126,11,3,3,0,0,0,0
"reptomrice","403403083083104_1243589899064414","Congressman Tom Rice","2017-01-12","2017-01-12 22:14:22","In the midst of battle during the Vietnam War, a young African American man named Ralph Johnson threw himself on a grenade, sacrificing his life to save the lives of his compatriots. The blast killed him instantly but his selfless actions saved the lives of his fellow Marines and prevented the enemy from gaining ground.   The USS Ralph Johnson, a Navy warship, was named in his honor and now will be commissioned in Charleston, the city where Mr. Johnson was born and raised. I can think of no better way to honor such an American hero.","link","http://www.thestate.com/latest-news/article125975109.html","thestate.com",591,32,225,43,0,8,0,0
"reptomrice","403403083083104_1244319518991452","Congressman Tom Rice","2017-01-16","2017-01-16 14:00:01","Today we celebrate and remember the life of Dr. Martin Luther King Jr. His commitment to unifying our nation and uplifting all Americans made this a better nation and inspired the world. Today, I encourage everyone to take his words to heart: ""Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.""","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1244319518991452/?type=3",NA,58,7,9,1,0,0,0,0
"reptomrice","403403083083104_1244505568972847","Congressman Tom Rice","2017-01-13","2017-01-13 21:00:11","Today I voted to take the first steps toward giving Congress the power to repeal and replace Obamacare. Right now in our district and across the country, people are suffering under this law. It is a failure by nearly every measure and if nothing is done, it will only get worse. In the weeks ahead several more steps will be taken to fully repeal and replace this law so we can keep our promise to the American people. For those currently on Obamacare, we are not going to pull the rug out from underneath you. Our goal is a stable transition of reforms that empower patients with real choice and coverage that is truly affordable.","link","http://abetterway.speaker.gov/?page=health-care","abetterway.speaker.gov",153,107,30,2,1,1,3,26
"reptomrice","403403083083104_1248087825281288","Congressman Tom Rice","2017-01-17","2017-01-17 17:10:09","Need help with a federal agency? Visit my staff during Mobile Office Hours for help with the VA, Medicare/Medicaid, Social Security and more!","link","http://rice.house.gov/media-center/press-releases/congressman-rice-announces-mobile-office-hours-3","rice.house.gov",480,56,144,15,1,4,0,3
"reptomrice","403403083083104_1250143175075753","Congressman Tom Rice","2017-01-19","2017-01-19 15:13:17","We're one day away! If you're in D.C. for the weekend and need to pick up your inauguration tickets or have questions, stop by my office at 223 Cannon or call (202) 225-9895. My staff and I are here to help!","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1250143175075753/?type=3",NA,16,3,0,1,0,0,1,0
"reptomrice","403403083083104_1251319061624831","Congressman Tom Rice","2017-01-20","2017-01-20 23:29:46","A few moments from today's ceremony.  We have begun a new era in DC.  A new era of America First!    Our future is so bright!","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1251314721625265/?type=3",NA,395,36,13,20,0,2,1,1
"reptomrice","403403083083104_1254577757965628","Congressman Tom Rice","2017-01-23","2017-01-23 23:42:39","Obamacare expectation versus reality. Interesting graphic via American Action Forum.","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1254577757965628/?type=3",NA,44,11,19,1,0,0,0,0
"reptomrice","403403083083104_1254609904629080","Congressman Tom Rice","2017-01-24","2017-01-24 00:30:50","His first full day in office and President Trump is already getting things done. ☑️ Freeze on more government regulations ☑️ Freeze on federal agency hiring ☑️ Obamacare relief ☑️ Ban taxpayer dollars from being used to provide abortions in foreign countries","link","http://www.bbc.com/news/world-us-canada-38695593","bbc.com",72,16,3,3,0,0,0,6
"reptomrice","403403083083104_1255256991231038","Congressman Tom Rice","2017-01-24","2017-01-24 15:00:18","I'm hosting a Telephone Town Hall Monday, January 30 at 5:30 p.m. to talk about current events affecting our district and our country. Sign up to participate here: http://rice.house.gov/townhall","photo","https://www.facebook.com/reptomrice/photos/a.403408313082581.96379.403403083083104/1255256991231038/?type=3",NA,203,44,79,3,1,0,0,5
