"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"reptomrooney","117697790448_10154741666355449","Tom Rooney","2017-01-03","2017-01-03 22:57:40","It is an honor and a privilege to be elected to serve the people of Florida’s 17th District for the next two years. I am humbled by this opportunity and am reminded of the sacred trust the people have placed in me every time I put my hand on the bible and take the oath of office.","link","https://rooney.house.gov/media-center/press-releases/rooney-sworn-into-the-115th-congress","rooney.house.gov",312,40,8,17,0,2,0,1
"reptomrooney","117697790448_10154769473770449","Tom Rooney","2017-01-12","2017-01-12 22:29:37","Today I reintroduced the Preventing Crimes Against Veterans Act - to put a stop to financial predators defrauding veterans from their well-earned benefits.","link","https://rooney.house.gov/media-center/press-releases/rooney-deutch-team-up-to-protect-veterans","rooney.house.gov",82,4,5,3,0,0,0,0
"reptomrooney","117697790448_10154772075930449","Tom Rooney","2017-01-16","2017-01-16 00:32:01","#HereWeGo from the Capitol with my sons Sean and Seamus #Steelers #SteelerNation","photo","https://www.facebook.com/reptomrooney/photos/a.423912060448.204941.117697790448/10154772075930449/?type=3",NA,216,21,3,7,0,0,0,0
"reptomrooney","117697790448_10154772812735449","Tom Rooney","2017-01-13","2017-01-13 20:14:04","First week in review of 2017 - have a great weekend!","video","https://www.facebook.com/reptomrooney/videos/10154772812735449/",NA,43,12,1,2,0,0,0,0
"reptomrooney","117697790448_10154792806590449","Tom Rooney","2017-01-20","2017-01-20 19:33:45","Today, I am grateful to have witnessed my second transfer of presidential power since I was elected to the House of Representatives. I am praying Donald Trump is a successful president for our country because with his success comes our country’s success.","link","https://rooney.house.gov/media-center/press-releases/rooney-s-statement-on-president-trump-inauguration","rooney.house.gov",390,42,26,13,0,0,0,2
"reptomrooney","117697790448_10154834226475449","Tom Rooney","2017-02-01","2017-02-01 23:07:00","Judge Neil Gorsuch has proved himself to be a strong defender of the Constitution through his service on the U.S. Court of Appeals 10th Circuit. His defense of life demonstrates that he is a fitting candidate to replace Antonin Scalia. Also, he was confirmed unanimously by the Senate 10 years ago for the Circuit Court. As such, the Senate should confirm Judge Gorsuch without delay.","link","https://rooney.house.gov/media-center/press-releases/rooney-statement-on-supreme-court-nomination","rooney.house.gov",109,20,5,3,0,0,3,1
"reptomrooney","117697790448_10154836916480449","Tom Rooney","2017-02-02","2017-02-02 22:45:24","Florida's 17th district is one of the largest citrus producing districts in the nation. Thanks to my friends at Florida Citrus Mutual for all the work that you do to bring the voices of growers across the state of Florida to Washington, D.C. by advocating on their behalf.","photo","https://www.facebook.com/reptomrooney/photos/a.423912060448.204941.117697790448/10154836916480449/?type=3",NA,78,5,6,0,0,0,0,0
"reptomrooney","117697790448_10154839523145449","Tom Rooney","2017-02-03","2017-02-03 16:35:29","Another busy week here in Washington, D.C. Here's an update as to what we did","video","https://www.facebook.com/reptomrooney/videos/10154839523145449/",NA,28,18,5,2,1,0,1,0
"reptomrooney","117697790448_10154860752680449","Tom Rooney","2017-02-11","2017-02-11 00:49:36","Saw this of my good friend Marco and wanted to share. God bless this great country of ours.","video","https://www.facebook.com/SenatorMarcoRubio/videos/1562364530455572/",NA,83,22,0,5,0,0,0,1
"reptomrooney","117697790448_10154868798595449","Tom Rooney","2017-02-14","2017-02-14 00:31:05","Vice President Pence stopped by the House today - he made my son Sean a peanut butter and jelly sandwich while we were on our way to vote","photo","https://www.facebook.com/reptomrooney/photos/a.423912060448.204941.117697790448/10154868796580449/?type=3",NA,429,44,15,20,2,12,0,0
"reptomrooney","117697790448_10154874091885449","Tom Rooney","2017-02-15","2017-02-15 21:41:14","Got a surprise visit from my two Army buddies today, Former Captain Danny Lee and Former Captain Pavlovcak, who both served in the First Cavalry with me at Fort Hood.","photo","https://www.facebook.com/reptomrooney/photos/a.423912060448.204941.117697790448/10154874091885449/?type=3",NA,105,19,6,3,0,1,0,0
"reptomrooney","117697790448_10154882076095449","Tom Rooney","2017-02-17","2017-02-17 19:01:55","Here's an update as to what happened this week in Congress -","video","https://www.facebook.com/reptomrooney/videos/10154882076095449/",NA,39,28,11,4,0,0,0,0
"reptomrooney","117697790448_10154882860555449","Tom Rooney","2017-02-17","2017-02-17 23:11:05","Today America lost one of its best with the passing of my dear friend and former colleague Robert Michel. Bob was the definition of a public servant and the longest-serving minority leader in history. Although I never served with him, he was a mentor to me when I first got elected and I will always be grateful for his guidance. Rest easy Bob, you will be missed.","status",NA,NA,31,17,0,2,0,0,3,0
"reptomrooney","117697790448_10154890626590449","Tom Rooney","2017-02-20","2017-02-20 22:46:40","Last week my brother Brian, an Iraq  war veteran, was in town with his family so I gave them a tour of the Capitol Dome. The kids loved it and the views can't be beat.","photo","https://www.facebook.com/reptomrooney/photos/a.423912060448.204941.117697790448/10154890626545449/?type=3",NA,85,23,0,1,0,0,0,0
"reptomrooney","117697790448_10154898429355449","Tom Rooney","2017-02-23","2017-02-23 14:31:23","I had the distinct pleasure of presenting Ret. Cpl. Raymond French, from Babson Park, with medals he earned from his service in the Korean War. Raymond reached out to my office and we were able to obtain his medals, nearly 65 years after he was discharged. We cannot thank him enough for his distinguished service to our country.","photo","https://www.facebook.com/reptomrooney/photos/a.10151922569670449.1073741880.117697790448/10154898429280449/?type=3",NA,43,9,0,3,0,0,0,0
"reptomrooney","117697790448_10154900174485449","Tom Rooney","2017-02-24","2017-02-24 03:48:03","Today I met with a cross section of community leaders at Venice City Hall and was greeted by over 400 individuals participating in a rally organized by local Indivisible groups. I look forward to working with those who participated in the meeting, along with those who rallied outside, to make sure the work I do in Congress best serves the people of Southwest Florida.   https://rooney.house.gov/media-center/press-releases/rooney-hosts-community-leaders-greets-rally-in-venice","video","https://www.facebook.com/reptomrooney/videos/10154900174485449/",NA,31,19,9,1,0,0,0,0
"reptomrooney","117697790448_10154901563330449","Tom Rooney","2017-02-24","2017-02-24 16:33:30","As the new Co-Chairman of the House of Representative’s Joint Strike Fighter Caucus, I am committed to delivering the full combat requirement of the F-35 -- the very best, most advanced stealth strike fighter aircraft in the world -- to all of our frontline Air Force, Navy and Marine Corps combat fighter squadrons.","photo","https://www.facebook.com/reptomrooney/photos/a.10151922569670449.1073741880.117697790448/10154901563195449/?type=3",NA,47,16,1,1,0,0,0,0
"reptomrooney","117697790448_10154907586485449","Tom Rooney","2017-02-26","2017-02-26 18:51:55","As a former professor of Constitutional and Criminal Law at West Point, one of my favorite things is to get up in front of a classroom and engage with students. Thanks Lemon Bay High school for having me the other day to teach AP Government and Politics, I had a great time and hope the students learned something.","photo","https://www.facebook.com/reptomrooney/photos/a.423912060448.204941.117697790448/10154907557740449/?type=3",NA,57,9,1,3,0,0,0,0
