"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repvisclosky","118723661514709_1264802453573485","Congressman Pete Visclosky","2017-01-03","2017-01-03 20:58:46","In 2016, I testified at the International Trade Commission on steel-related trade cases eight times.  As we enter 2017, I will continue to do all that I can to support American steelworkers and ensure that our trade laws are fully enforced.","photo","https://www.facebook.com/repvisclosky/photos/a.146113385442403.35596.118723661514709/1264802453573485/?type=3",NA,160,12,9,1,0,0,0,0
"repvisclosky","118723661514709_1265370446850019","Congressman Pete Visclosky","2017-01-04","2017-01-04 14:44:14","I am looking forward to the 2017 Town Forums starting on January 7! I hold these Town Forums in order to hear directly from you about your issues of concern and provide an opportunity for discussion on how I can best serve and represent your interests. I also wish to provide an update and seek feedback on our collective efforts to transform the Northwest Indiana economy and describe the outlook for the progress anticipated during the coming year. Click below to find a Town Forum near you.","link","http://visclosky.house.gov/media-center/press-releases/visclosky-announces-2017-town-forum-schedule","visclosky.house.gov",61,5,23,2,0,0,0,0
"repvisclosky","118723661514709_1267317243322006","Congressman Pete Visclosky","2017-01-06","2017-01-06 19:49:12","I am deeply saddened to learn of the passing of LaPorte County Recorder Barbara Dean.  I am thankful for her years of dedicated public service and my thoughts and prayers are with her family and loved ones during this difficult time.","link","http://www.nwitimes.com/news/local/govt-and-politics/laporte-county-recorder-dies/article_82f8f59b-b3d2-5f4c-8fac-0266c9e45cbe.html","nwitimes.com",19,1,2,0,0,1,19,0
"repvisclosky","118723661514709_1268138406573223","Congressman Pete Visclosky","2017-01-07","2017-01-07 18:10:29","Appreciate the great introduction to start off the Town Forum in Portage.","photo","https://www.facebook.com/repvisclosky/photos/a.146113385442403.35596.118723661514709/1268138406573223/?type=3",NA,41,2,0,0,0,0,0,0
"repvisclosky","118723661514709_1268219489898448","Congressman Pete Visclosky","2017-01-07","2017-01-07 20:15:27","There is a good crowd here at the Town Forum in Valparaiso.","photo","https://www.facebook.com/repvisclosky/photos/a.146113385442403.35596.118723661514709/1268219489898448/?type=3",NA,55,3,1,1,0,0,0,0
"repvisclosky","118723661514709_1269135243140206","Congressman Pete Visclosky","2017-01-08","2017-01-08 22:17:57","Pleased to meet Cub Scouts Pack 550 prior to the start of the Town Forum at the St. John Community Center.","photo","https://www.facebook.com/repvisclosky/photos/a.146113385442403.35596.118723661514709/1269135243140206/?type=3",NA,58,0,0,2,0,0,0,0
"repvisclosky","118723661514709_1269905273063203","Congressman Pete Visclosky","2017-01-09","2017-01-09 20:43:40","Glad to have a free moment at the Merrillville Town Forum to speak with the Region News Team.","photo","https://www.facebook.com/repvisclosky/photos/a.146113385442403.35596.118723661514709/1269905273063203/?type=3",NA,30,4,6,0,0,0,0,0
"repvisclosky","118723661514709_1269909196396144","Congressman Pete Visclosky","2017-01-09","2017-01-09 20:54:03","I thank members of the Airline Pilots Association for their participation at today's Town Forum in Merrillville.","photo","https://www.facebook.com/repvisclosky/photos/a.146113385442403.35596.118723661514709/1269909196396144/?type=3",NA,31,7,6,0,0,0,0,0
"repvisclosky","118723661514709_1275434719176925","Congressman Pete Visclosky","2017-01-15","2017-01-15 18:06:45","Honored to be a part of this weekend's Dr. Martin Luther King, Jr. Memorial Breakfast with the Gary Frontiers Service Club.","photo","https://www.facebook.com/repvisclosky/photos/a.689766954410374.1073741843.118723661514709/1275427205844343/?type=3",NA,39,4,1,1,0,0,0,0
"repvisclosky","118723661514709_1276961015690962","Congressman Pete Visclosky","2017-01-17","2017-01-17 14:42:25",NA,"photo","https://www.facebook.com/repvisclosky/photos/a.1007378812649185.1073741874.118723661514709/1276961015690962/?type=3",NA,106,13,3,4,0,0,0,0
